result,name,level,points,placed_fighter,fight_round
+,Gisler Bruno,,10.00,Sempach Matthias ,1
+,Dick Christian,,10.00,Sempach Matthias ,2
+,Maurer Reto,,10.00,Sempach Matthias ,3
+,Luginbühl Hanspeter,,9.75,Sempach Matthias ,4
+,Graber Willy,,9.75,Sempach Matthias ,5
+,Siegenthaler Matthias,,10.00,Sempach Matthias ,6
-,Reust Markus,,8.75,Bohner Simon ,1
+,Urfer Simon,,9.75,Bohner Simon ,2
-,Niederberger Joel,,9.00,Bohner Simon ,3
+,Sommer Roman,,9.75,Bohner Simon ,4
+,Reusser Philipp,,10.00,Bohner Simon ,5
+,Wyss Kilian,,10.00,Bohner Simon ,6
-,Laimbacher Adi,,8.75,Zaugg Thomas ,1
+,Graber Alfred,,10.00,Zaugg Thomas ,2
+,Röthlisberger Simon,,9.75,Zaugg Thomas ,3
o,Gisler Bruno,,8.50,Zaugg Thomas ,4
+,Oester Thomas,,10.00,Zaugg Thomas ,5
+,Bremgartner Marcel,,10.00,Zaugg Thomas ,6
o,Sempach Matthias,,8.50,Gisler Bruno ,1
+,Schenkel Adrian,,9.75,Gisler Bruno ,2
+,Schütz Urs,,10.00,Gisler Bruno ,3
+,Zaugg Thomas,,9.75,Gisler Bruno ,4
-,Luginbühl Hanspeter,,8.75,Gisler Bruno ,5
+,Lengacher Jonas,,10.00,Gisler Bruno ,6
+,Kappeler Niklaus,,9.75,Wiedmer Mathias ,1
+,Riesen Julian,,10.00,Wiedmer Mathias ,2
o,Graber Willy,,8.50,Wiedmer Mathias ,3
+,Graber Bänz,,10.00,Wiedmer Mathias ,4
o,Wampfler Beat,,8.50,Wiedmer Mathias ,5
+,Staub Maël,,10.00,Wiedmer Mathias ,6
+,Rolli Martin,,9.75,Luginbühl Hanspeter ,1
+,Fankhauser Hans-Jakob,,10.00,Luginbühl Hanspeter ,2
+,Gerber Christian,,9.75,Luginbühl Hanspeter ,3
o,Sempach Matthias,,8.50,Luginbühl Hanspeter ,4
-,Gisler Bruno,,8.75,Luginbühl Hanspeter ,5
+,Schenkel Remo,,9.75,Luginbühl Hanspeter ,6
+,Brodard Simon,,10.00,Sempach Thomas ,1
o,Sempach Stefan,,8.50,Sempach Thomas ,2
+,Zimmermann Matthias,,9.75,Sempach Thomas ,3
o,Schenkel Adrian,,8.50,Sempach Thomas ,4
+,Lengacher Jonas,,9.75,Sempach Thomas ,5
+,Niederberger Joel,,9.75,Sempach Thomas ,6
+,Staub Maël,,9.75,Habegger Heinz ,1
o,Maurer Reto,,8.50,Habegger Heinz ,2
+,Waber Lorenz,,9.75,Habegger Heinz ,3
o,Wampfler Beat,,8.50,Habegger Heinz ,4
+,Brodard Simon,,9.75,Habegger Heinz ,5
+,Kämpf Marcel,,9.75,Habegger Heinz ,6
+,Zbinden Reto,,9.75,Kämpf Bernhard ,1
-,Forrer Arnold,,8.75,Kämpf Bernhard ,2
+,Roth Dominik,,9.75,Kämpf Bernhard ,3
+,Wüthrich Philip,,10.00,Kämpf Bernhard ,4
-,Bieri Christoph,,8.75,Kämpf Bernhard ,5
-,Moser Michael,,9.00,Kämpf Bernhard ,6
+,Wampfler Beat,,10.00,Gerber Christian ,1
+,Stämpfli Lorenz,,10.00,Gerber Christian ,2
o,Luginbühl Hanspeter,,8.50,Gerber Christian ,3
-,Dober Bruno,,8.75,Gerber Christian ,4
+,Mösching Andy,,9.75,Gerber Christian ,5
-,Käser Remo,,8.75,Gerber Christian ,6
o,Gerber Christian,,8.50,Wampfler Beat ,1
+,Wüthrich Niklaus,,10.00,Wampfler Beat ,2
o,Stucki Christian,,8.50,Wampfler Beat ,3
+,Habegger Heinz,,10.00,Wampfler Beat ,4
+,Wiedmer Mathias,,9.75,Wampfler Beat ,5
-,Salzmann Beat,,9.00,Wampfler Beat ,6
o,Flühmann Michel,,8.75,Gäggeler Adrian ,1
+,Kappeler Ruedi,,9.75,Gäggeler Adrian ,2
o,Gnägi Florian,,8.50,Gäggeler Adrian ,3
-,Wittwer Josias,,8.75,Gäggeler Adrian ,4
+,Walther Tobias,,9.75,Gäggeler Adrian ,5
+,Gilgen Pierre,,10.00,Gäggeler Adrian ,6
o,Salzmann Beat,,8.50,Oester Thomas ,1
+,Heiniger Michael,,10.00,Oester Thomas ,2
-,Reusser Philipp,,8.75,Oester Thomas ,3
+,Gerber Thomas,,10.00,Oester Thomas ,4
o,Zaugg Thomas,,8.50,Oester Thomas ,5
+,Habegger Jürg,,9.75,Oester Thomas ,6
-,Lanz Christian,,8.75,Urfer Simon ,1
o,Bohner Simon,,8.50,Urfer Simon ,2
o,Leuenberger Michael,,8.50,Urfer Simon ,3
+,Karlen Pascal,,10.00,Urfer Simon ,4
+,Brönimann Christian,,10.00,Urfer Simon ,5
+,Klossner Daniel,,9.75,Urfer Simon ,6
o,Meuter Adrian,,8.50,Zaugg Res ,1
+,Trachsel Daniel,,10.00,Zaugg Res ,2
+,Stämpfli Lorenz,,10.00,Zaugg Res ,3
o,Maurer Reto,,8.50,Zaugg Res ,4
+,Weyermann Michael,,10.00,Zaugg Res ,5
o,Anderegg Simon,,8.50,Zaugg Res ,6
+,Fankhauser André,,9.75,Röthlisberger Simon ,1
+,Dober Bruno,,9.75,Röthlisberger Simon ,2
o,Zaugg Thomas,,8.50,Röthlisberger Simon ,3
+,Tschanz Richard,,9.75,Röthlisberger Simon ,4
-,Wyss Kilian,,8.75,Röthlisberger Simon ,5
o,Wüthrich Niklaus,,8.75,Röthlisberger Simon ,6
+,Dummermuth Ueli,,9.75,Schenkel Remo ,1
+,Kappeler Niklaus,,9.75,Schenkel Remo ,2
o,Kämpf Simon,,8.50,Schenkel Remo ,3
o,Reusser Philipp,,8.75,Schenkel Remo ,4
+,Gerber Thomas,,10.00,Schenkel Remo ,5
o,Luginbühl Hanspeter,,8.50,Schenkel Remo ,6
+,Scheuner Michael,,10.00,Bremgartner Marcel ,1
o,Niederberger Joel,,8.50,Bremgartner Marcel ,2
+,Leuenberger Michael,,9.75,Bremgartner Marcel ,3
o,Meuter Adrian,,8.50,Bremgartner Marcel ,4
+,Mosimann Fabian,,9.75,Bremgartner Marcel ,5
o,Zaugg Thomas,,8.50,Bremgartner Marcel ,6
o,Habegger Heinz,,8.50,Staub Maël ,1
+,Zehnder Jürg,,9.75,Staub Maël ,2
o,Klossner Daniel,,8.50,Staub Maël ,3
+,Siegenthaler Jürg,,10.00,Staub Maël ,4
+,Siegenthaler Hans,,9.75,Staub Maël ,5
o,Wiedmer Mathias,,8.50,Staub Maël ,6
+,Zenger Michael,,10.00,Käser Remo ,1
o,Graber Willy,,8.75,Käser Remo ,2
+,Pulver Thomas,,10.00,Käser Remo ,3
-,Salzmann Beat,,9.00,Käser Remo ,4
o,Anderegg Simon,,8.50,Käser Remo ,5
-,Gerber Christian,,8.75,Käser Remo ,6
-,Marti Stefan,,9.00,Aeschbacher Matthias ,1
+,Messer Marco,,9.75,Aeschbacher Matthias ,2
-,Reust Markus,,8.75,Aeschbacher Matthias ,3
+,Zehnder Jürg,,10.00,Aeschbacher Matthias ,4
o,Schenkel Adrian,,8.50,Aeschbacher Matthias ,5
-,Brügger Christoph,,8.75,Aeschbacher Matthias ,6
-,Kämpf Alexander,,8.75,Leuenberger Michael ,1
o,Waber Lorenz,,8.50,Leuenberger Michael ,2
+,Urfer Simon,,10.00,Leuenberger Michael ,3
-,Burger Fredy,,9.00,Leuenberger Michael ,4
-,von Büren Stephan,,8.75,Leuenberger Michael ,5
+,Niederhäuser Martin,,9.75,Leuenberger Michael ,6
o,Siegenthaler Matthias,,8.50,Dober Bruno ,1
o,Röthlisberger Simon,,8.75,Dober Bruno ,2
+,Graber Bruno,,10.00,Dober Bruno ,3
-,Gerber Christian,,8.75,Dober Bruno ,4
+,Rolli Martin,,10.00,Dober Bruno ,5
-,Reusser Philipp,,8.75,Dober Bruno ,6
-,Urfer Simon,,8.75,Lanz Christian ,1
+,von Känel Daniel,,10.00,Lanz Christian ,2
o,Blatter Samuel,,8.50,Lanz Christian ,3
-,Waber Lorenz,,8.75,Lanz Christian ,4
-,Kobel Lorenz,,8.75,Lanz Christian ,5
+,Wüthrich Philip,,9.75,Lanz Christian ,6
o,Sempach Thomas,,8.50,Brodard Simon ,1
-,Wyss Kilian,,9.00,Brodard Simon ,2
+,Siegenthaler Hans,,9.75,Brodard Simon ,3
-,Scheuner Michael,,8.75,Brodard Simon ,4
o,Habegger Heinz,,8.50,Brodard Simon ,5
+,Gerber Thomas,,10.00,Brodard Simon ,6
+,Moser Michael,,10.00,Sempach Stefan ,1
+,Sempach Thomas,,9.75,Sempach Stefan ,2
o,Siegenthaler Matthias,,8.50,Sempach Stefan ,3
-,Fankhauser André,,9.00,Sempach Stefan ,4
-,Tschanz Richard,,8.75,Sempach Stefan ,5
o,Gehrig Damian,,8.50,Sempach Stefan ,6
-,Brönnimann Ronny,,9.00,Fankhauser Kurt ,1
+,Glauser Daniel,,10.00,Fankhauser Kurt ,2
o,Forrer Arnold,,8.50,Fankhauser Kurt ,3
+,Klossner Daniel,,9.75,Fankhauser Kurt ,4
o,Blatter Samuel,,8.50,Fankhauser Kurt ,5
o,Zenger Michael,,8.75,Fankhauser Kurt ,6
o,Maurer Reto,,8.50,Lauener Thomas ,1
+,Aebi Roger,,9.75,Lauener Thomas ,2
+,Zürcher Kurt,,9.75,Lauener Thomas ,3
-,Wälti Christoph,,8.75,Lauener Thomas ,4
-,Graber Bruno,,8.75,Lauener Thomas ,5
-,Kobel Lorenz,,8.75,Lauener Thomas ,6
o,Gnägi Florian,,8.50,Graber Bruno ,1
+,Leuenberger Michael,,9.75,Graber Bruno ,2
o,Dober Bruno,,8.50,Graber Bruno ,3
+,Aebi Roger,,10.00,Graber Bruno ,4
-,Lauener Thomas,,8.75,Graber Bruno ,5
-,Roth Philipp,,8.75,Graber Bruno ,6
o,Riesen Julian,,8.50,Waber Lorenz ,1
+,Leuenberger Michael,,10.00,Waber Lorenz ,2
o,Habegger Heinz,,8.50,Waber Lorenz ,3
-,Lanz Christian,,8.75,Waber Lorenz ,4
o,Brügger Christoph,,8.50,Waber Lorenz ,5
+,Mathys Simon,,10.00,Waber Lorenz ,6
+,Waber Lorenz,,10.00,Riesen Julian ,1
o,Wiedmer Mathias,,8.50,Riesen Julian ,2
o,Wälti Christoph,,8.50,Riesen Julian ,3
+,Glauser Daniel,,9.75,Riesen Julian ,4
o,Zenger Michael,,8.50,Riesen Julian ,5
-,Kestenholz Christian,,8.75,Riesen Julian ,6
+,Spring Stefan,,10.00,Wüthrich Philip ,1
o,Schütz Urs,,8.50,Wüthrich Philip ,2
+,Lauper Urs,,10.00,Wüthrich Philip ,3
o,Kämpf Bernhard,,8.50,Wüthrich Philip ,4
o,Jampen Simon,,8.50,Wüthrich Philip ,5
o,Lanz Christian,,8.50,Wüthrich Philip ,6
+,Mosimann Fabian,,10.00,Graber Bänz ,1
o,Salzmann Beat,,8.50,Graber Bänz ,2
+,Glauser Daniel,,9.75,Graber Bänz ,3
o,Wiedmer Mathias,,8.50,Graber Bänz ,4
o,Zimmermann Matthias,,8.50,Graber Bänz ,5
o,Weyermann Michael,,8.50,Graber Bänz ,6
-,Ramseier Fritz,,8.75,Niederhäuser Martin ,1
-,Gerber Marco,,9.00,Niederhäuser Martin ,2
-,Steffen Konrad,,8.75,Niederhäuser Martin ,3
+,Brönnimann Ronny,,9.75,Niederhäuser Martin ,4
-,Leuenberger Michael,,9.00,Niederhäuser Martin ,5
o,Leuenberger Michael,,8.50,Niederhäuser Martin ,6
+,Rufener Markus,,10.00,Leuenberger Michael ,1
o,Graber Bruno,,8.50,Leuenberger Michael ,2
o,Bremgartner Marcel,,8.50,Leuenberger Michael ,3
-,Schenk Thomas,,9.00,Leuenberger Michael ,4
-,Niederhäuser Martin,,9.00,Leuenberger Michael ,5
o,von Büren Stephan,,8.50,Leuenberger Michael ,6
+,Gerber Marco,,9.75,Zehnder Jürg ,1
o,Staub Maël,,8.75,Zehnder Jürg ,2
-,Brönimann Christian,,8.75,Zehnder Jürg ,3
o,Aeschbacher Matthias,,8.50,Zehnder Jürg ,4
-,Kestenholz Christian,,8.75,Zehnder Jürg ,5
-,Ramseier Fritz,,8.75,Zehnder Jürg ,6
-,Heiniger Michael,,8.75,Gerber Thomas ,1
+,Krebs Ueli,,10.00,Gerber Thomas ,2
-,Burger Fredy,,8.75,Gerber Thomas ,3
o,Oester Thomas,,8.50,Gerber Thomas ,4
o,Schenkel Remo,,8.50,Gerber Thomas ,5
o,Brodard Simon,,8.50,Gerber Thomas ,6
o,Graber Bänz,,8.50,Mosimann Fabian ,1
+,Jossen Reinhard,,10.00,Mosimann Fabian ,2
