result,name,level,points,placed_fighter,fight_round
+,Bösch Daniel ***,***,9.75,Ulrich Andreas ***,1
+,Baumann Roger *,*,10.00,Ulrich Andreas ***,2
+,Rychen Roger **,**,9.75,Ulrich Andreas ***,3
+,Bieri Christian *,*,10.00,Ulrich Andreas ***,4
+,Zwyssig Raphael ***,***,9.75,Ulrich Andreas ***,5
+,Laimbacher Philipp ***,***,10.00,Ulrich Andreas ***,6
o,Ulrich Andreas ***,***,8.50,Bösch Daniel ***,1
+,Linggi Bruno **,**,9.75,Bösch Daniel ***,2
+,Bieri Marcel **,**,10.00,Bösch Daniel ***,3
-,Müllestein Mike **,**,9.00,Bösch Daniel ***,4
+,Höﬂiger Andreas **,**,10.00,Bösch Daniel ***,5
+,Gasser Stefan **,**,9.75,Bösch Daniel ***,6
o,Krähenbühl Tobias **,**,8.50,Gloggner Hansjörg ***,1
+,Gwerder Christian **,**,9.75,Gloggner Hansjörg ***,2
+,Inderbitzin Daniel *,*,10.00,Gloggner Hansjörg ***,3
o,Rhyner Michael **,**,8.50,Gloggner Hansjörg ***,4
+,Waser Dominik *,*,9.75,Gloggner Hansjörg ***,5
+,Suter David **,**,10.00,Gloggner Hansjörg ***,6
+,Gasser Stefan **,**,9.75,Forrer Arnold ***,1
-,Laimbacher Adrian ***,***,9.00,Forrer Arnold ***,2
+,Villiger Cyrill *,*,9.75,Forrer Arnold ***,3
-,Suppiger Werner **,**,9.00,Forrer Arnold ***,4
-,Rohrer Marco **,**,9.00,Forrer Arnold ***,5
+,Schuler Alex **,**,10.00,Forrer Arnold ***,6
-,Kohler Fredi **,**,8.75,Suppiger Werner **,1
+,Schmid Dominik **,**,10.00,Suppiger Werner **,2
+,Wyrsch Marco *,*,10.00,Suppiger Werner **,3
-,Forrer Arnold ***,***,8.75,Suppiger Werner **,4
+,Steinauer Adrian **,**,10.00,Suppiger Werner **,5
-,Müllestein Mike **,**,8.75,Suppiger Werner **,6
+,Gwerder Andreas **,**,10.00,Britschgi Melk **,1
-,Suppiger René **,**,8.75,Britschgi Melk **,2
o,Bieri Christian *,*,8.75,Britschgi Melk **,3
+,Fässler Andreas **,**,9.75,Britschgi Melk **,4
-,Notz Beni ***,***,9.00,Britschgi Melk **,5
+,Steinauer Adrian **,**,9.75,Britschgi Melk **,6
+,Bieri Marcel **,**,10.00,Suppiger René **,1
-,Britschgi Melk **,**,8.75,Suppiger René **,2
o,Zwyssig Raphael ***,***,8.50,Suppiger René **,3
+,Reichmuth Armin *,*,10.00,Suppiger René **,4
o,Hersche Martin **,**,8.50,Suppiger René **,5
+,Oertig Dominik *,*,10.00,Suppiger René **,6
+,Schmid Dominik **,**,10.00,Rohrer Marco **,1
o,Schuler Christian ***,***,8.50,Rohrer Marco **,2
+,Linggi Bruno **,**,9.75,Rohrer Marco **,3
+,Horner Peter **,**,9.75,Rohrer Marco **,4
-,Forrer Arnold ***,***,8.75,Rohrer Marco **,5
-,Brun Jonas **,**,8.75,Rohrer Marco **,6
o,Rychen Roger **,**,8.50,Brun Jonas **,1
+,Ackermann Remo *,*,9.75,Brun Jonas **,2
+,Grab Daniel **,**,9.75,Brun Jonas **,3
o,Orlik Armon **,**,8.75,Brun Jonas **,4
+,Krähenbühl Tobias **,**,10.00,Brun Jonas **,5
-,Rohrer Marco **,**,8.75,Brun Jonas **,6
+,Burkhalter Stefan ***,***,10.00,Laimbacher Philipp ***,1
+,Murer Andy *,*,9.75,Laimbacher Philipp ***,2
+,Rohrer Ivan *,*,10.00,Laimbacher Philipp ***,3
+,Notz Beni ***,***,10.00,Laimbacher Philipp ***,4
+,Schuler Christian ***,***,10.00,Laimbacher Philipp ***,5
o,Ulrich Andreas ***,***,8.75,Laimbacher Philipp ***,6
+,Brun Jonas **,**,10.00,Rychen Roger **,1
+,Fankhauser Marco **,**,10.00,Rychen Roger **,2
o,Ulrich Andreas ***,***,8.50,Rychen Roger **,3
+,Schuler Alex **,**,9.75,Rychen Roger **,4
o,Laimbacher Adrian ***,***,8.75,Rychen Roger **,5
+,Kennel Stefan *,*,10.00,Rychen Roger **,6
+,Schneider Domenic **,**,9.75,Schurtenberger Sven **,1
-,Kennel Stefan *,*,9.00,Schurtenberger Sven **,2
-,Höﬂiger Andreas **,**,9.00,Schurtenberger Sven **,3
+,Oertig Dominik *,*,10.00,Schurtenberger Sven **,4
+,Suter David **,**,9.75,Schurtenberger Sven **,5
-,Laimbacher Adrian ***,***,9.00,Schurtenberger Sven **,6
+,Schuler Christian ***,***,9.75,Zwyssig Raphael ***,1
-,Waser Dominik *,*,8.75,Zwyssig Raphael ***,2
+,Suppiger René **,**,9.75,Zwyssig Raphael ***,3
+,Schelbert Ralf **,**,9.75,Zwyssig Raphael ***,4
o,Ulrich Andreas ***,***,8.50,Zwyssig Raphael ***,5
+,Föhn Pirmin *,*,9.75,Zwyssig Raphael ***,6
-,Notz Beni ***,***,8.75,Zimmermann Martin **,1
+,Waser Reto *,*,10.00,Zimmermann Martin **,2
o,Müllestein Mike **,**,8.50,Zimmermann Martin **,3
+,Gwerder Guido **,**,10.00,Zimmermann Martin **,4
+,Bieri Marcel **,**,10.00,Zimmermann Martin **,5
-,Orlik Armon **,**,9.00,Zimmermann Martin **,6
-,Bernold Christian *,*,9.00,Rohrer Ivan *,1
+,Reichmuth Armin *,*,10.00,Rohrer Ivan *,2
o,Laimbacher Philipp ***,***,8.50,Rohrer Ivan *,3
+,Föhn Pirmin *,*,10.00,Rohrer Ivan *,4
o,Orlik Armon **,**,8.50,Rohrer Ivan *,5
