result,name,level,points,placed_fighter,fight_round
+,Nötzli Reto,,9.75,Gnägi Florian ,1
+,Thomet Adrian,,10.00,Gnägi Florian ,2
+,Lengacher Jonas,,9.75,Gnägi Florian ,3
+,Glarner Matthias,,10.00,Gnägi Florian ,4
+,Sempach Thomas,,9.75,Gnägi Florian ,5
+,Graber Willy,,10.00,Gnägi Florian ,6
-,Zaugg Thomas,,8.75,Graber Willy ,1
+,Blaser Roman,,10.00,Graber Willy ,2
+,Schenk Patrick,,10.00,Graber Willy ,3
+,Wenger Kilian,,9.75,Graber Willy ,4
+,Studer Stefan,,10.00,Graber Willy ,5
o,Gnägi Florian,,8.75,Graber Willy ,6
-,Piemontesi Pascal,,8.75,Wampfler Beat ,1
-,Salzmann Beat,,9.00,Wampfler Beat ,2
+,Hadorn Christian,,9.75,Wampfler Beat ,3
+,Graber Bruno,,9.75,Wampfler Beat ,4
+,Thomet Adrian,,10.00,Wampfler Beat ,5
+,Wiedmer Mathias,,9.75,Wampfler Beat ,6
+,Thürig Mario,,10.00,Sempach Matthias ,1
-,Kämpf Bernhard,,8.75,Sempach Matthias ,2
+,Aeschbacher Matthias,,10.00,Sempach Matthias ,3
o,Siegenthaler Matthias,,8.50,Sempach Matthias ,4
+,Marti Stefan,,10.00,Sempach Matthias ,5
+,Luginbühl Hanspeter,,9.75,Sempach Matthias ,6
+,Meuter Adrian,,10.00,Lengacher Jonas ,1
+,Habegger Heinz,,10.00,Lengacher Jonas ,2
o,Gnägi Florian,,8.50,Lengacher Jonas ,3
+,Röthlisberger Simon,,10.00,Lengacher Jonas ,4
o,Stucki Christian,,8.50,Lengacher Jonas ,5
+,Wälchli Roger,,10.00,Lengacher Jonas ,6
-,Marti Stefan,,8.75,Schmid Reto ,1
+,Hofstetter Christian,,9.75,Schmid Reto ,2
+,Habegger Heinz,,10.00,Schmid Reto ,3
+,Thürig Mario,,10.00,Schmid Reto ,4
o,Siegenthaler Matthias,,8.50,Schmid Reto ,5
+,Glauser Daniel,,9.75,Schmid Reto ,6
o,Lengacher Jonas,,8.50,Meuter Adrian ,1
+,Zürcher Kurt,,10.00,Meuter Adrian ,2
+,Ramseier Fritz,,9.75,Meuter Adrian ,3
o,Anderegg Simon,,8.50,Meuter Adrian ,4
+,Schenkel Remo,,10.00,Meuter Adrian ,5
+,Matthey Michael,,10.00,Meuter Adrian ,6
+,Kindlimann Fabian,,10.00,Wenger Kilian ,1
-,Stucki Christian,,8.75,Wenger Kilian ,2
+,Jampen Simon,,10.00,Wenger Kilian ,3
o,Graber Willy,,8.75,Wenger Kilian ,4
+,Berger René,,9.75,Wenger Kilian ,5
-,Lauper Hansruedi,,8.75,Wenger Kilian ,6
o,von Büren Stephan,,8.50,Staub Maël ,1
+,Blaser Christian,,10.00,Staub Maël ,2
o,Sempach Thomas,,8.50,Staub Maël ,3
-,Leuenberger Michael,,9.00,Staub Maël ,4
+,Wüthrich Philip,,10.00,Staub Maël ,5
+,Binggeli Dominik,,10.00,Staub Maël ,6
-,Meyer Reto,,9.00,Zürcher Kurt ,1
o,Meuter Adrian,,8.50,Zürcher Kurt ,2
+,Klossner Adrian,,9.75,Zürcher Kurt ,3
o,Kindlimann Fabian,,8.50,Zürcher Kurt ,4
+,Aebi Roger,,10.00,Zürcher Kurt ,5
+,Thomet Adrian,,10.00,Zürcher Kurt ,6
+,Fankhauser Kurt,,9.75,Röthlisberger Simon ,1
o,Jampen Simon,,8.75,Röthlisberger Simon ,2
+,Gobeli Patrick,,9.75,Röthlisberger Simon ,3
o,Lengacher Jonas,,8.75,Röthlisberger Simon ,4
+,Scheidegger Adrian,,10.00,Röthlisberger Simon ,5
o,Zaugg Thomas,,8.75,Röthlisberger Simon ,6
-,Schmid Reto,,8.75,Marti Stefan ,1
+,Bühler Marcel,,9.75,Marti Stefan ,2
-,Götte Urban,,8.75,Marti Stefan ,3
+,von Känel Daniel,,10.00,Marti Stefan ,4
o,Sempach Matthias,,8.50,Marti Stefan ,5
+,Gobeli Patrick,,9.75,Marti Stefan ,6
+,Waber Lorenz,,9.75,Wälchli Roger ,1
o,Siegenthaler Matthias,,8.50,Wälchli Roger ,2
+,Bohren Ruedi,,10.00,Wälchli Roger ,3
-,Matthey Michael,,8.75,Wälchli Roger ,4
+,Müller Marc,,10.00,Wälchli Roger ,5
o,Lengacher Jonas,,8.50,Wälchli Roger ,6
-,Schenk Patrick,,9.00,Schenkel Remo ,1
+,Tschan Matthias,,9.75,Schenkel Remo ,2
o,Siegenthaler Matthias,,8.50,Schenkel Remo ,3
+,Dummermuth Ueli,,9.75,Schenkel Remo ,4
o,Meuter Adrian,,8.75,Schenkel Remo ,5
+,Berger René,,9.75,Schenkel Remo ,6
o,Röthlisberger Simon,,8.50,Fankhauser Kurt ,1
+,Zbinden Reto,,9.75,Fankhauser Kurt ,2
-,Lauper Hansruedi,,8.75,Fankhauser Kurt ,3
+,Gnägi Christian,,10.00,Fankhauser Kurt ,4
+,Weyermann Michael,,10.00,Fankhauser Kurt ,5
