result,name,level,points,placed_fighter,fight_round
o,Hersche Martin **,**,8.50,Rhyner Michael **,1
+,Ammann Rico *,*,10.00,Rhyner Michael **,2
+,Straub Robin *,*,10.00,Rhyner Michael **,3
+,Nigg Lukas **,**,10.00,Rhyner Michael **,4
+,Zwyssig Raphael ***,***,10.00,Rhyner Michael **,5
+,Kuster Marcel **,**,10.00,Rhyner Michael **,6
+,Rhyner Michael **,**,10.00,Hersche Martin **,1
+,Schmid David **,**,10.00,Hersche Martin **,2
+,Coray Beda *,*,10.00,Hersche Martin **,3
-,Forrer Arnold ***,***,8.75,Hersche Martin **,4
-,Orlik Armon **,**,9.00,Hersche Martin **,5
+,Scherer Christian *,*,10.00,Hersche Martin **,6
+,Gloggner Philipp ***,***,10.00,Forrer Arnold ***,1
-,Leuppi Samir **,**,8.75,Forrer Arnold ***,2
+,Korrodi Paul *,*,10.00,Forrer Arnold ***,3
-,Hersche Martin **,**,8.75,Forrer Arnold ***,4
+,Rychen Roger **,**,9.75,Forrer Arnold ***,5
+,Morger Adrian *,*,10.00,Forrer Arnold ***,6
+,Schnurrenberger Roman **,**,9.75,Kuster Marcel **,1
-,Battaglia Ursin **,**,8.75,Kuster Marcel **,2
+,Elmer Adrian,Adrian,10.00,Kuster Marcel **,3
+,Rüegg Roman *,*,10.00,Kuster Marcel **,4
+,Schneider Mario **,**,9.75,Kuster Marcel **,5
o,Rhyner Michael **,**,8.75,Kuster Marcel **,6
o,Leuppi Samir **,**,8.50,Kohler Fredi **,1
+,Kammermann Thomas *,*,10.00,Kohler Fredi **,2
+,Bickel Roman (1998),(1998),10.00,Kohler Fredi **,3
+,Morger Adrian *,*,10.00,Kohler Fredi **,4
+,Burkhalter Stefan ***,***,9.75,Kohler Fredi **,5
-,Scheuber Lutz **,**,8.75,Kohler Fredi **,6
+,Schneider Mario **,**,9.75,Horner Peter **,1
+,Baumann Rico *,*,10.00,Horner Peter **,2
o,Käser Remo **,**,8.75,Horner Peter **,3
+,Wicki Cédric,Cédric,10.00,Horner Peter **,4
o,Giger Samuel (1998) **,**,8.50,Horner Peter **,5
+,Oettli Marco (1997),(1997),10.00,Horner Peter **,6
-,Zwyssig Raphael ***,***,8.75,Thoenen Henryc **,1
+,Steiner Michael **,**,9.75,Thoenen Henryc **,2
+,Schläpfer Markus **,**,10.00,Thoenen Henryc **,3
o,Burkhalter Stefan ***,***,8.50,Thoenen Henryc **,4
+,Jöhl Christian *,*,10.00,Thoenen Henryc **,5
+,Bühler Ernst **,**,9.75,Thoenen Henryc **,6
+,Bäbler Sandro **,**,9.75,Battaglia Ursin **,1
-,Kuster Marcel **,**,8.75,Battaglia Ursin **,2
+,Scherrer Willi,Willi,9.75,Battaglia Ursin **,3
+,Wey Nicola *,*,9.75,Battaglia Ursin **,4
+,Koch Thomas (1997),(1997),9.75,Battaglia Ursin **,5
-,Steiner Michael **,**,8.75,Battaglia Ursin **,6
-,Eugster Ruedi **,**,8.75,Fässler Andreas **,1
+,Jud Pirmin *,*,10.00,Fässler Andreas **,2
+,Rütsche Stefan *,*,10.00,Fässler Andreas **,3
-,Leuppi Samir **,**,8.75,Fässler Andreas **,4
+,Oettli Marco (1997),(1997),10.00,Fässler Andreas **,5
-,Gwerder Andreas **,**,9.00,Fässler Andreas **,6
+,Gapany Benjamin **,**,9.75,Giger Samuel (1998) **,1
+,Holenstein Christian *,*,10.00,Giger Samuel (1998) **,2
o,Scheuber Lutz **,**,8.50,Giger Samuel (1998) **,3
+,Jöhl Christian *,*,9.75,Giger Samuel (1998) **,4
+,Horner Peter **,**,10.00,Giger Samuel (1998) **,5
+,Kamer Hanspeter *,*,9.75,Giger Samuel (1998) **,6
+,Notz Beni ***,***,10.00,Orlik Armon **,1
+,Kamer Hanspeter *,*,10.00,Orlik Armon **,2
-,Stucki Christian ***,***,8.75,Orlik Armon **,3
+,Vestner Bruno *,*,9.75,Orlik Armon **,4
-,Hersche Martin **,**,9.00,Orlik Armon **,5
+,Dörig Erich,Erich,10.00,Orlik Armon **,6
+,Riget Tobias **,**,10.00,Krähenbühl Tobias **,1
o,Scheuber Lutz **,**,8.50,Krähenbühl Tobias **,2
+,Truniger Manuel,Manuel,10.00,Krähenbühl Tobias **,3
+,Vestner Roman *,*,10.00,Krähenbühl Tobias **,4
