result,name,level,points,placed_fighter,fight_round
+,Gapany Benjamin **,**,10.00,Sempach Matthias ***,1
+,Cropt Harald **,**,10.00,Sempach Matthias ***,2
+,Guisolan Marc **,**,9.75,Sempach Matthias ***,3
+,Brodard Simon **,**,10.00,Sempach Matthias ***,4
+,Häni William **,**,9.75,Sempach Matthias ***,5
+,Guisolan Marc **,**,10.00,Sempach Matthias ***,6
+,Hayoz Quentin,Quentin,10.00,Duplan Steve (1997),1
+,Roch Vincent *,*,10.00,Duplan Steve (1997),2
-,Casarico Fabio,Fabio,9.00,Duplan Steve (1997),3
+,Brand Andreas *,*,9.75,Duplan Steve (1997),4
o,Guisolan Marc **,**,8.50,Duplan Steve (1997),5
+,Boschung Michaël,Michaël,10.00,Duplan Steve (1997),6
-,Borcard Johann *,*,8.75,Gottofrey Marc *,1
+,Loup Alexandre (1997),(1997),10.00,Gottofrey Marc *,2
-,Liaudat Rudy *,*,8.75,Gottofrey Marc *,3
+,Ducry Antoine,Antoine,9.75,Gottofrey Marc *,4
+,Emonet Frédéric *,*,10.00,Gottofrey Marc *,5
+,Hayoz Paul (1998),(1998),9.75,Gottofrey Marc *,6
+,Heiniger Vincent *,*,9.75,Overney Olivier *,1
-,Studer Stefan **,**,8.75,Overney Olivier *,2
+,Barras François (1998),(1998),9.75,Overney Olivier *,3
+,Delabays Alexandre,Alexandre,9.75,Overney Olivier *,4
+,Derron Cédric *,*,9.75,Overney Olivier *,5
-,Borcard Johann *,*,9.00,Overney Olivier *,6
o,Guisolan Marc **,**,8.50,Kropf Thomas *,1
+,Mauron Olivier *,*,10.00,Kropf Thomas *,2
+,Gothuey Jean-Pierre *,*,10.00,Kropf Thomas *,3
o,Gapany Benjamin **,**,8.50,Kropf Thomas *,4
+,Mosimann Vincent *,*,10.00,Kropf Thomas *,5
+,Piemontesi Pascal **,**,9.75,Kropf Thomas *,6
+,Gothuey Jean-Pierre *,*,9.75,Mauron Olivier *,1
o,Kropf Thomas *,*,8.50,Mauron Olivier *,2
+,Dind Clément,Clément,10.00,Mauron Olivier *,3
+,Schwander Severin,Severin,10.00,Mauron Olivier *,4
o,Piemontesi Pascal **,**,8.50,Mauron Olivier *,5
+,Pasche Bernard **,**,9.75,Mauron Olivier *,6
-,Pellet Michael **,**,8.75,Studer Stefan **,1
-,Overney Olivier *,*,9.00,Studer Stefan **,2
+,Oppliger Adrian,Adrian,10.00,Studer Stefan **,3
-,Matthey Mickaël **,**,8.75,Studer Stefan **,4
+,Dubey Gaël,Gaël,10.00,Studer Stefan **,5
+,Roch Vincent *,*,10.00,Studer Stefan **,6
-,Barras André,André,8.75,Kramer Lario (1998),1
+,Blanchard Benjamin (1997),(1997),9.75,Kramer Lario (1998),2
-,Moser Steven **,**,8.75,Kramer Lario (1998),3
+,Zosso Fabian (1998),(1998),10.00,Kramer Lario (1998),4
-,Remy Guillaume **,**,9.00,Kramer Lario (1998),5
+,Emonet Fabien,Fabien,10.00,Kramer Lario (1998),6
-,Gottofrey Marc *,*,8.75,Borcard Johann *,1
+,Dorsaz Théo (1998),(1998),10.00,Borcard Johann *,2
+,Heiniger Vincent *,*,9.75,Borcard Johann *,3
+,Minder Florian,Florian,10.00,Borcard Johann *,4
o,Niederberger Joel **,**,8.50,Borcard Johann *,5
-,Overney Olivier *,*,9.00,Borcard Johann *,6
+,Matthey Mickaël **,**,9.75,Käser Remo **,1
+,Dind Samuel **,**,9.75,Käser Remo **,2
-,Piemontesi Pascal **,**,9.00,Käser Remo **,3
+,Pellet Michael **,**,9.75,Käser Remo **,4
+,Gapany Benjamin **,**,9.75,Käser Remo **,5
+,Brodard Augustin **,**,9.75,Käser Remo **,6
-,Piemontesi Pascal **,**,8.75,Brodard Simon **,1
+,Boschung Michaël,Michaël,10.00,Brodard Simon **,2
+,Sonnay Thomas **,**,10.00,Brodard Simon **,3
o,Sempach Matthias ***,***,8.50,Brodard Simon **,4
+,Chèvre Bernard,Bernard,10.00,Brodard Simon **,5
+,Oppliger Adrian,Adrian,10.00,Brodard Simon **,6
o,von Büren Stephan *,*,8.50,Moser Steven **,1
+,Cressier Gaetan,Gaetan,9.75,Moser Steven **,2
-,Kramer Lario (1998),(1998),9.00,Moser Steven **,3
+,Pasche Bernard **,**,9.75,Moser Steven **,4
+,Parvex François **,**,10.00,Moser Steven **,5
+,Heiniger Vincent *,*,10.00,Moser Steven **,6
-,Giroud Jonathan **,**,8.75,Kropf Rolf **,1
+,Chèvre Bernard,Bernard,9.75,Kropf Rolf **,2
+,Hayoz Paul (1998),(1998),10.00,Kropf Rolf **,3
+,Dind Samuel **,**,9.75,Kropf Rolf **,4
-,Cropt Harald **,**,8.75,Kropf Rolf **,5
+,Derron Julien (1997),(1997),9.75,Kropf Rolf **,6
o,Sempach Matthias ***,***,8.50,Gapany Benjamin **,1
+,Wicky Jonathan,Jonathan,9.75,Gapany Benjamin **,2
+,Aladenise Jonathan,Jonathan,10.00,Gapany Benjamin **,3
+,Kropf Thomas *,*,10.00,Gapany Benjamin **,4
o,Käser Remo **,**,8.50,Gapany Benjamin **,5
+,Schwander Severin,Severin,10.00,Gapany Benjamin **,6
+,Schafer Claudio *,*,9.75,Emonet Frédéric *,1
o,Sonnay Thomas **,**,8.50,Emonet Frédéric *,2
+,Borcard Clovis (1999),(1999),10.00,Emonet Frédéric *,3
o,Gottofrey Marc *,*,8.50,Emonet Frédéric *,4
+,Rossy Yannick,Yannick,10.00,Emonet Frédéric *,5
+,Schafer Damien,Damien,9.75,Cardinaux Victor,1
o,Brand Andreas *,*,8.50,Cardinaux Victor,2
+,Gassmann Simon,Simon,9.75,Cardinaux Victor,3
-,Liaudat Rudy *,*,8.75,Cardinaux Victor,4
+,Forster Sämi (1997),(1997),9.75,Cardinaux Victor,5
