result,name,level,points,placed_fighter,fight_round
+,Glarner Matthias ***,***,10.00,Wicki Joel (1997) **,1
+,Meuter Adrian **,**,9.75,Wicki Joel (1997) **,2
o,Wenger Kilian ***,***,8.50,Wicki Joel (1997) **,3
+,Roth Philipp *,*,9.75,Wicki Joel (1997) **,4
+,Studer Stefan **,**,10.00,Wicki Joel (1997) **,5
+,Steinauer Adrian **,**,10.00,Wicki Joel (1997) **,6
-,von Ah Benji ***,***,8.75,Wenger Kilian ***,1
+,Zurﬂuh Markus **,**,10.00,Wenger Kilian ***,2
+,Wicki Joel (1997) **,**,9.75,Wenger Kilian ***,3
+,Odermatt Sepp **,**,10.00,Wenger Kilian ***,4
-,Schuler Christian ***,***,9.00,Wenger Kilian ***,5
+,Piemontesi Pascal **,**,10.00,Wenger Kilian ***,6
-,Nötzli Bruno ***,***,8.75,Sempach Thomas ***,1
+,Müllestein Mike **,**,9.75,Sempach Thomas ***,2
+,Fankhauser Marco **,**,10.00,Sempach Thomas ***,3
+,Duplan Steve (1997) *,*,10.00,Sempach Thomas ***,4
-,Ulrich Andreas ***,***,9.00,Sempach Thomas ***,5
+,Zimmermann Martin **,**,9.75,Sempach Thomas ***,6
o,Wicki Joel (1997) **,**,8.50,Glarner Matthias ***,1
+,Steinauer Adrian **,**,10.00,Glarner Matthias ***,2
+,Betschart Remo **,**,10.00,Glarner Matthias ***,3
+,Forster Adrian **,**,10.00,Glarner Matthias ***,4
-,von Ah Benji ***,***,8.75,Glarner Matthias ***,5
+,Fankhauser Marco **,**,10.00,Glarner Matthias ***,6
+,Piemontesi Pascal **,**,9.75,Steinauer Adrian **,1
o,Glarner Matthias ***,***,8.50,Steinauer Adrian **,2
+,Haenni Stéphane **,**,10.00,Steinauer Adrian **,3
+,Bloch Dominic **,**,9.75,Steinauer Adrian **,4
+,von Büren Stephan *,*,10.00,Steinauer Adrian **,5
o,Wicki Joel (1997) **,**,8.75,Steinauer Adrian **,6
-,Gnägi Florian ***,***,8.75,Ulrich Andreas ***,1
+,Bloch Dominic **,**,10.00,Ulrich Andreas ***,2
+,Marti Stefan **,**,10.00,Ulrich Andreas ***,3
+,Studer Stefan **,**,10.00,Ulrich Andreas ***,4
-,Sempach Thomas ***,***,9.00,Ulrich Andreas ***,5
o,Gerber Christian **,**,8.75,Ulrich Andreas ***,6
+,Berset Julien *,*,10.00,Luginbühl Hanspeter **,1
