result,name,level,points,placed_fighter,fight_round
+,Guisolan Marc **,**,10.00,Fankhauser Erich ***,1
+,Kropf Rolf **,**,10.00,Fankhauser Erich ***,2
+,Alpiger Nick **,**,10.00,Fankhauser Erich ***,3
-,Glarner Matthias ***,***,8.75,Fankhauser Erich ***,4
+,Glauser Thomas **,**,10.00,Fankhauser Erich ***,5
+,Mathis Marcel ***,***,10.00,Fankhauser Erich ***,6
+,Dind Samuel **,**,9.75,Erb Roger **,1
+,Brodard Augustin **,**,10.00,Erb Roger **,2
+,Siegenthaler Matthias ***,***,9.75,Erb Roger **,3
o,Mathis Marcel ***,***,8.50,Erb Roger **,4
+,Guisolan Marc **,**,9.75,Erb Roger **,5
+,Duplan Steve (1997) *,*,9.75,Erb Roger **,6
+,Gapany Benjamin **,**,10.00,Glarner Matthias ***,1
-,Kindlimann Fabian ***,***,8.75,Glarner Matthias ***,2
+,Haenni Stéphane **,**,10.00,Glarner Matthias ***,3
-,Fankhauser Erich ***,***,8.75,Glarner Matthias ***,4
+,Dind Samuel **,**,9.75,Glarner Matthias ***,5
+,Liaudat Rudy *,*,9.75,Glarner Matthias ***,6
o,Süess Gerry ***,***,8.50,Matthey Mickaël **,1
o,Liaudat Rudy *,*,8.50,Matthey Mickaël **,2
+,Riedo Fredy,Fredy,10.00,Matthey Mickaël **,3
+,Aladenise Jonathan,Jonathan,10.00,Matthey Mickaël **,4
+,Brodard Simon **,**,10.00,Matthey Mickaël **,5
+,Hayoz Paul (1998),(1998),10.00,Matthey Mickaël **,6
+,Giroud Jonathan **,**,9.75,Kropf Rolf **,1
o,Fankhauser Erich ***,***,8.50,Kropf Rolf **,2
+,Portmann Fabio (1998),(1998),10.00,Kropf Rolf **,3
+,Buchs Carlo,Carlo,10.00,Kropf Rolf **,4
o,Mathis Marcel ***,***,8.50,Kropf Rolf **,5
+,Schafer Damien,Damien,10.00,Kropf Rolf **,6
o,Alpiger Nick **,**,8.50,Duplan Steve (1997) *,1
+,Ducry Antoine,Antoine,9.75,Duplan Steve (1997) *,2
+,Emonet Fabien,Fabien,10.00,Duplan Steve (1997) *,3
+,Roch Vincent *,*,9.75,Duplan Steve (1997) *,4
+,Pellet Michael **,**,10.00,Duplan Steve (1997) *,5
o,Erb Roger **,**,8.75,Duplan Steve (1997) *,6
+,Overney Olivier *,*,10.00,Roch Vincent *,1
o,Siegenthaler Matthias ***,***,8.50,Roch Vincent *,2
+,Minder Florian,Florian,9.75,Roch Vincent *,3
o,Duplan Steve (1997) *,*,8.50,Roch Vincent *,4
+,Riedo Fredy,Fredy,10.00,Roch Vincent *,5
+,Schöpfer Dio (1997),(1997),9.75,Roch Vincent *,6
+,Cardinaux Nicolas,Nicolas,9.75,Minder Florian,1
+,Lerch Jimmy *,*,10.00,Minder Florian,2
o,Roch Vincent *,*,8.50,Minder Florian,3
+,Vonlanthen Alexandre,Alexandre,9.75,Minder Florian,4
o,Gottofrey Marc *,*,8.50,Minder Florian,5
+,Brodard Augustin **,**,10.00,Minder Florian,6
+,Délitroz Lucien (1999),(1999),10.00,Berset Cyril,1
o,Cardinaux Victor *,*,8.50,Berset Cyril,2
+,Dufey Gil (1997),(1997),9.75,Berset Cyril,3
+,Kramer Lario (1998) *,*,9.75,Berset Cyril,4
o,Remy Guillaume **,**,8.50,Berset Cyril,5
+,Dind Samuel **,**,9.75,Berset Cyril,6
+,Piemontesi Pascal **,**,10.00,Mathis Marcel ***,1
+,Süess Gerry ***,***,10.00,Mathis Marcel ***,2
+,Borcard Johann *,*,9.75,Mathis Marcel ***,3
+,Erb Roger **,**,9.75,Mathis Marcel ***,4
+,Kropf Rolf **,**,9.75,Mathis Marcel ***,5
o,Fankhauser Erich ***,***,8.75,Mathis Marcel ***,6
