result,name,level,points,placed_fighter,fight_round
+,Clopath Beat ***,***,10.00,Bösch Daniel ***,1
+,Horner Peter **,**,10.00,Bösch Daniel ***,2
+,Hersche Martin **,**,9.75,Bösch Daniel ***,3
+,Rychen Roger **,**,9.75,Bösch Daniel ***,4
+,Riget Tobias **,**,9.75,Bösch Daniel ***,5
-,Rhyner Michael **,**,8.75,Bösch Daniel ***,6
+,Zwyssig Raphael ***,***,10.00,Forrer Arnold ***,1
-,Schläpfer Markus **,**,9.00,Forrer Arnold ***,2
+,Landolt Reto *,*,10.00,Forrer Arnold ***,3
-,Orlik Curdin **,**,8.75,Forrer Arnold ***,4
+,Kuster Thomas *,*,10.00,Forrer Arnold ***,5
+,Battaglia Ursin **,**,9.75,Forrer Arnold ***,6
-,Rychen Roger **,**,8.75,Rhyner Michael **,1
+,Schegg Michael,Michael,10.00,Rhyner Michael **,2
+,Manser Bruno *,*,10.00,Rhyner Michael **,3
+,Horner Peter **,**,9.75,Rhyner Michael **,4
+,Kid Simon **,**,10.00,Rhyner Michael **,5
-,Bösch Daniel ***,***,8.75,Rhyner Michael **,6
-,Orlik Armon **,**,8.75,Büsser Andy ***,1
+,Kuster Thomas *,*,9.75,Büsser Andy ***,2
+,Vestner Bruno *,*,9.75,Büsser Andy ***,3
+,Vollenweider Jeremy (1998) *,*,10.00,Büsser Andy ***,4
+,Fejzaj Naim *,*,10.00,Büsser Andy ***,5
-,Kuster Marcel **,**,9.00,Büsser Andy ***,6
+,Vollenweider Jeremy (1998) *,*,9.75,Gmür Pirmin *,1
-,Peng Mike ***,***,8.75,Gmür Pirmin *,2
+,Thoma Nils (1999),(1999),10.00,Gmür Pirmin *,3
-,Kuster Marcel **,**,9.00,Gmür Pirmin *,4
+,Egger Ralf (1998),(1998),9.75,Gmür Pirmin *,5
+,Lozza Roman,Roman,9.75,Gmür Pirmin *,6
-,Peng Mike ***,***,8.75,Kid Simon **,1
+,Betschart Ueli,Ueli,10.00,Kid Simon **,2
+,Kammermann Dominik,Dominik,9.75,Kid Simon **,3
+,Zwyssig Raphael ***,***,10.00,Kid Simon **,4
o,Rhyner Michael **,**,8.50,Kid Simon **,5
+,Scheiwiller Andreas *,*,10.00,Kid Simon **,6
-,Rhyner Michael **,**,8.75,Rychen Roger **,1
+,Coray Beda *,*,9.75,Rychen Roger **,2
+,Egli Patrick,Patrick,10.00,Rychen Roger **,3
o,Bösch Daniel ***,***,8.50,Rychen Roger **,4
+,Mettler Florian (1997),(1997),10.00,Rychen Roger **,5
+,Bäbler Dominik *,*,9.75,Rychen Roger **,6
-,Schmid Dominik *,*,9.00,Oertig Dominik *,1
+,Meier Remo **,**,10.00,Oertig Dominik *,2
-,Signer Emil **,**,9.00,Oertig Dominik *,3
+,Rütsche Werner,Werner,10.00,Oertig Dominik *,4
o,Giger Urs *,*,8.75,Oertig Dominik *,5
+,Schrepfer Chris,Chris,10.00,Oertig Dominik *,6
+,Hersche Martin **,**,10.00,Riget Tobias **,1
o,Orlik Armon **,**,8.50,Riget Tobias **,2
+,Baumgartner Alexander (1997),(1997),10.00,Riget Tobias **,3
+,Fontana Michael,Michael,9.75,Riget Tobias **,4
o,Bösch Daniel ***,***,8.50,Riget Tobias **,5
+,Landolt Reto *,*,9.75,Riget Tobias **,6
+,Sprecher Sandro *,*,9.75,Coray Beda *,1
o,Rychen Roger **,**,8.50,Coray Beda *,2
+,Langenegger Beat (1997),(1997),10.00,Coray Beda *,3
+,Wild Stefan,Stefan,9.75,Coray Beda *,4
+,Baumann Rico *,*,9.75,Coray Beda *,5
+,Wickli Beat *,*,10.00,Coray Beda *,6
-,Signer Emil **,**,8.75,Eugster Ruedi **,1
+,Koch Thomas (1997),(1997),10.00,Eugster Ruedi **,2
+,Jud Andreas (1997),(1997),10.00,Eugster Ruedi **,3
-,Clopath Beat ***,***,8.75,Eugster Ruedi **,4
+,Sprecher Sandro *,*,10.00,Eugster Ruedi **,5
+,Giger Urs *,*,10.00,Eugster Ruedi **,6
-,Kohler Fredi **,**,8.75,Orlik Curdin **,1
+,Ueltschi Patric,Patric,9.75,Orlik Curdin **,2
+,Schlegel Reto (1997) *,*,10.00,Orlik Curdin **,3
-,Forrer Arnold ***,***,8.75,Orlik Curdin **,4
+,Städler Lars,Lars,10.00,Orlik Curdin **,5
+,Fejzaj Naim *,*,10.00,Orlik Curdin **,6
o,Bösch Daniel ***,***,8.50,Clopath Beat ***,1
+,Baumann Rico *,*,10.00,Clopath Beat ***,2
+,Elmer Daniel *,*,10.00,Clopath Beat ***,3
-,Eugster Ruedi **,**,8.75,Clopath Beat ***,4
+,Güntensperger Marcel *,*,10.00,Clopath Beat ***,5
+,Manser Bruno *,*,10.00,Clopath Beat ***,6
+,Inauen Andreas *,*,9.75,Scherer Christian *,1
o,Hersche Martin **,**,8.50,Scherer Christian *,2
+,Jecklin Alexsandro (1998),(1998),10.00,Scherer Christian *,3
-,Roth Andreas,Andreas,9.00,Scherer Christian *,4
+,Raschle Adrian,Adrian,10.00,Scherer Christian *,5
+,Bleiker Reto *,*,9.75,Scherer Christian *,6
o,Horner Peter **,**,8.50,Bösch Roman **,1
+,Castelberg Marius,Marius,10.00,Bösch Roman **,2
+,Bernold Edi **,**,10.00,Bösch Roman **,3
-,Schmucki Ivo,Ivo,8.75,Bösch Roman **,4
+,Oertle Daniel,Daniel,9.75,Bösch Roman **,5
+,Schrepfer Roy,Roy,10.00,Bösch Roman **,6
-,Orlik Curdin **,**,8.75,Kohler Fredi **,1
o,Vestner Bruno *,*,8.50,Kohler Fredi **,2
+,Riedi Thomas,Thomas,10.00,Kohler Fredi **,3
+,Schmid Dominik *,*,9.75,Kohler Fredi **,4
+,Kammermann Dominik,Dominik,10.00,Kohler Fredi **,5
+,Jöhl Christian *,*,9.75,Kohler Fredi **,6
o,Forrer Arnold ***,***,8.50,Zwyssig Raphael ***,1
+,Güntensperger Marcel *,*,9.75,Zwyssig Raphael ***,2
+,Rüegg Roman *,*,10.00,Zwyssig Raphael ***,3
o,Kid Simon **,**,8.50,Zwyssig Raphael ***,4
+,Näf Bruno *,*,10.00,Zwyssig Raphael ***,5
+,Vollenweider Jeremy (1998) *,*,9.75,Zwyssig Raphael ***,6
+,Giger Markus,Markus,9.75,Litscher Manuel,1
o,Landolt Reto *,*,8.50,Litscher Manuel,2
