result,name,level,points,placed_fighter,fight_round
-,Mathis Marcel ***,***,8.75,Imhof Andi ***,1
+,Brun Jonas **,**,10.00,Imhof Andi ***,2
+,Spichtig Markus *,*,10.00,Imhof Andi ***,3
+,Töngi Thomas *,*,10.00,Imhof Andi ***,4
+,Hess Dominik,Dominik,10.00,Imhof Andi ***,5
-,Britschgi Melk **,**,8.75,Imhof Andi ***,6
+,Habegger Jürg *,*,10.00,Bernhard Lukas *,1
o,Müller Bruno ***,***,8.75,Bernhard Lukas *,2
+,Wallimann Remo (1997),(1997),9.75,Bernhard Lukas *,3
+,von Deschwanden Patrick,Patrick,10.00,Bernhard Lukas *,4
-,Bieri Christoph ***,***,9.00,Bernhard Lukas *,5
+,Herger Matthias *,*,10.00,Bernhard Lukas *,6
+,Schaﬀner Samuel **,**,9.75,Rohrer Marco **,1
-,Schuler Philipp **,**,8.75,Rohrer Marco **,2
+,Indergand Michael,Michael,10.00,Rohrer Marco **,3
+,Herger Lukas,Lukas,10.00,Rohrer Marco **,4
-,Höﬂiger Andreas *,*,8.75,Rohrer Marco **,5
+,Waser Raphael (1998),(1998),9.75,Rohrer Marco **,6
-,Schärli Pius *,*,8.75,Zurﬂuh Markus **,1
+,Amgarten Roman *,*,10.00,Zurﬂuh Markus **,2
+,Gander Michael (1998),(1998),10.00,Zurﬂuh Markus **,3
o,Gassmann Fabian **,**,8.50,Zurﬂuh Markus **,4
+,Rohrer Bärti,Bärti,9.75,Zurﬂuh Markus **,5
+,Albert Thomas,Thomas,10.00,Zurﬂuh Markus **,6
-,Martin Robin,Robin,8.75,Hess Dominik,1
+,Rohrer Marco (1999),(1999),10.00,Hess Dominik,2
+,Gisler Patrick (1997),(1997),10.00,Hess Dominik,3
+,Spichtig Markus *,*,10.00,Hess Dominik,4
o,Imhof Andi ***,***,8.50,Hess Dominik,5
+,Herger Lukas,Lukas,9.75,Hess Dominik,6
+,Odermatt Silvan *,*,9.75,Wyrsch Marco *,1
+,Fankhauser Hans-Jakob *,*,9.75,Wyrsch Marco *,2
-,Brun Jonas **,**,8.75,Wyrsch Marco *,3
+,Albert Thomas,Thomas,10.00,Wyrsch Marco *,4
-,Rohrer Beat *,*,8.75,Wyrsch Marco *,5
+,Scherer Adrian *,*,9.75,Wyrsch Marco *,6
+,Fankhauser Hans-Jakob *,*,9.75,Rohrer Ivan *,1
o,Bieri Christoph ***,***,8.50,Rohrer Ivan *,2
+,Widmer David,David,10.00,Rohrer Ivan *,3
+,Zurﬂuh Michael (1999),(1999),9.75,Rohrer Ivan *,4
-,Odermatt Sepp **,**,8.75,Rohrer Ivan *,5
+,Wagner Severin (1998),(1998),10.00,Rohrer Ivan *,6
-,Imhof Andi ***,***,8.75,Mathis Marcel ***,1
-,Stöckli Stefan *,*,8.75,Mathis Marcel ***,2
+,Suter Beat,Beat,9.75,Mathis Marcel ***,3
+,Ettlin Martin (1998),(1998),9.75,Mathis Marcel ***,4
+,Amgarten Roman *,*,9.75,Mathis Marcel ***,5
+,Baumann Roger *,*,9.75,Mathis Marcel ***,6
o,Fink Bruno,Bruno,8.50,Niederberger Markus,1
+,Waser Andrin (1999),(1999),10.00,Niederberger Markus,2
+,Amstutz Niklaus *,*,10.00,Niederberger Markus,3
o,Briker Michael *,*,8.50,Niederberger Markus,4
+,Würsch Lars,Lars,9.75,Niederberger Markus,5
+,Imfeld Christian *,*,9.75,Niederberger Markus,6
