result,name,level,points,placed_fighter,fight_round
+,Gerber Christian **,**,9.75,Wenger Kilian ***,1
+,Reusser Philipp ***,***,9.75,Wenger Kilian ***,2
+,Röthlisberger Simon **,**,10.00,Wenger Kilian ***,3
-,Aeschbacher Matthias **,**,8.75,Wenger Kilian ***,4
+,Gerber Thomas *,*,10.00,Wenger Kilian ***,5
+,Stucki Christian ***,***,10.00,Wenger Kilian ***,6
-,Schenk Patrick ***,***,8.75,Anderegg Simon ***,1
+,Steﬀen Valentin *,*,10.00,Anderegg Simon ***,2
+,Gäggeler Adrian *,*,10.00,Anderegg Simon ***,3
-,Moser Steven **,**,8.75,Anderegg Simon ***,4
+,Jäggi Lukas *,*,10.00,Anderegg Simon ***,5
+,Aeschbacher Matthias **,**,10.00,Anderegg Simon ***,6
o,Aeschbacher Matthias **,**,8.50,Zenger Niklaus ***,1
+,Zehnder Jürg *,*,9.75,Zenger Niklaus ***,2
-,Weyermann Florian *,*,9.00,Zenger Niklaus ***,3
+,Steﬀen Valentin *,*,10.00,Zenger Niklaus ***,4
+,Gehrig Damian ***,***,9.75,Zenger Niklaus ***,5
+,Fankhauser Kurt **,**,10.00,Zenger Niklaus ***,6
+,Wittwer Josias *,*,10.00,Gerber Christian **,1
o,Wenger Kilian ***,***,8.50,Gerber Christian **,2
+,Lehmann Ueli,Ueli,10.00,Gerber Christian **,3
+,Iseli Marco *,*,9.75,Gerber Christian **,4
-,Kämpf Bernhard ***,***,8.75,Gerber Christian **,5
+,Zaugg Christian *,*,10.00,Gerber Christian **,6
o,Sempach Matthias ***,***,8.50,Giger Samuel ***,1
+,Gehrig Philipp **,**,10.00,Giger Samuel ***,2
-,Ramseier Fritz *,*,8.75,Giger Samuel ***,3
+,Zürcher Kurt *,*,9.75,Giger Samuel ***,4
+,Graber Bruno **,**,9.75,Giger Samuel ***,5
+,Waber Lorenz *,*,10.00,Giger Samuel ***,6
-,Käser Remo ***,***,8.75,Roschi Ruedi **,1
+,Schlüchter Colin *,*,9.75,Roschi Ruedi **,2
+,Schenk Thomas *,*,10.00,Roschi Ruedi **,3
+,Berger René **,**,9.75,Roschi Ruedi **,4
o,Stucki Christian ***,***,8.50,Roschi Ruedi **,5
+,Steﬀen Valentin *,*,9.75,Roschi Ruedi **,6
-,Erb Roger **,**,8.75,Sempach Thomas ***,1
+,Wenger Marcel (1999) *,*,10.00,Sempach Thomas ***,2
+,Zbinden Adrian *,*,10.00,Sempach Thomas ***,3
-,Lauper Hansruedi ***,***,8.75,Sempach Thomas ***,4
+,Rolli Martin **,**,10.00,Sempach Thomas ***,5
-,Orlik Curdin **,**,8.75,Sempach Thomas ***,6
-,Graber Willy ***,***,9.00,Voggensperger Janic **,1
-,Iseli Marco *,*,8.75,Voggensperger Janic **,2
+,Binggeli Dominik *,*,9.75,Voggensperger Janic **,3
+,Waber Lorenz *,*,9.75,Voggensperger Janic **,4
+,Fankhauser Kurt **,**,9.75,Voggensperger Janic **,5
-,Schenk Patrick ***,***,9.00,Voggensperger Janic **,6
+,Schneider Domenic ***,***,9.75,Stucki Christian ***,1
+,Wüthrich Niklaus **,**,10.00,Stucki Christian ***,2
+,von Weissenﬂuh Kilian **,**,10.00,Stucki Christian ***,3
+,Graber Willy ***,***,9.75,Stucki Christian ***,4
+,Roschi Ruedi **,**,10.00,Stucki Christian ***,5
o,Wenger Kilian ***,***,8.75,Stucki Christian ***,6
-,Roschi Ruedi **,**,8.75,Käser Remo ***,1
+,Zaugg Christian *,*,9.75,Käser Remo ***,2
+,Wittwer Jan *,*,9.75,Käser Remo ***,3
-,Kämpf Bernhard ***,***,9.00,Käser Remo ***,4
+,Fankhauser Reto *,*,10.00,Käser Remo ***,5
+,Wyss Kilian **,**,10.00,Käser Remo ***,6
o,Stucki Christian ***,***,8.50,Schneider Domenic ***,1
+,Waber Lorenz *,*,9.75,Schneider Domenic ***,2
-,Gobeli Patrick *,*,9.00,Schneider Domenic ***,3
+,Sommer Martin,Martin,10.00,Schneider Domenic ***,4
+,Wenger Marcel (1999) *,*,9.75,Schneider Domenic ***,5
+,Luginbühl Hanspeter **,**,10.00,Schneider Domenic ***,6
+,Habegger Heinz **,**,10.00,von Weissenﬂuh Kilian **,1
+,Walther Marcel *,*,10.00,von Weissenﬂuh Kilian **,2
o,Stucki Christian ***,***,8.50,von Weissenﬂuh Kilian **,3
+,Zaugg Christian *,*,10.00,von Weissenﬂuh Kilian **,4
o,Aeschbacher Matthias **,**,8.50,von Weissenﬂuh Kilian **,5
+,Gerber Thomas *,*,10.00,von Weissenﬂuh Kilian **,6
+,Bremgartner Marcel *,*,9.75,Gehrig Philipp **,1
o,Giger Samuel ***,***,8.50,Gehrig Philipp **,2
+,Santschi Hans,Hans,10.00,Gehrig Philipp **,3
-,Renfer Lukas *,*,8.75,Gehrig Philipp **,4
+,Walther Marcel *,*,9.75,Gehrig Philipp **,5
+,Aellen Florian *,*,10.00,Gehrig Philipp **,6
-,Fankhauser Erich ***,***,8.75,Kämpf Bernhard ***,1
+,Ramseier Thomas *,*,10.00,Kämpf Bernhard ***,2
+,Gerber Thomas *,*,10.00,Kämpf Bernhard ***,3
-,Käser Remo ***,***,9.00,Kämpf Bernhard ***,4
-,Gerber Christian **,**,8.75,Kämpf Bernhard ***,5
+,Scheuner Michael *,*,10.00,Kämpf Bernhard ***,6
-,Reust Markus *,*,8.75,Roth Dominik **,1
+,Schaad Remo,Remo,9.75,Roth Dominik **,2
-,Fankhauser Erich ***,***,9.00,Roth Dominik **,3
+,Berger Ueli *,*,10.00,Roth Dominik **,4
-,Kämpf Alexander **,**,8.75,Roth Dominik **,5
+,Fankhauser Reto *,*,10.00,Roth Dominik **,6
-,Anderegg Simon ***,***,8.75,Schenk Patrick ***,1
+,Aellen Florian *,*,9.75,Schenk Patrick ***,2
+,Urfer Simon *,*,10.00,Schenk Patrick ***,3
-,Luginbühl Hanspeter **,**,8.75,Schenk Patrick ***,4
+,Röthlisberger Simon **,**,9.75,Schenk Patrick ***,5
-,Voggensperger Janic **,**,9.00,Schenk Patrick ***,6
©,2019 Eidgenössischer Schwingerverba,Schwingerverba,nd,Schenk Patrick ***,7
-,Wittwer Jan *,*,8.75,Ramseier Fritz *,1
+,Schletti Andreas *,*,10.00,Ramseier Fritz *,2
-,Giger Samuel ***,***,8.75,Ramseier Fritz *,3
+,Grossen John,John,10.00,Ramseier Fritz *,4
+,Weyermann Florian *,*,10.00,Ramseier Fritz *,5
+,Fankhauser Erich ***,***,10.00,Ramseier Fritz *,6
-,Sempach Thomas ***,***,8.75,Erb Roger **,1
+,Blaser Roman *,*,9.75,Erb Roger **,2
+,Wyss Kilian **,**,9.75,Erb Roger **,3
-,Fankhauser Reto *,*,9.00,Erb Roger **,4
+,Urfer Simon *,*,9.75,Erb Roger **,5
+,Habegger Heinz **,**,10.00,Erb Roger **,6
-,Voggensperger Janic **,**,9.00,Graber Willy ***,1
+,Locher Alfred *,*,9.75,Graber Willy ***,2
+,Jäggi Lukas *,*,10.00,Graber Willy ***,3
o,Stucki Christian ***,***,8.50,Graber Willy ***,4
+,Leuenberger Michael *,*,9.75,Graber Willy ***,5
+,Wenger Marcel (1999) *,*,10.00,Graber Willy ***,6
+,Sommer Roman *,*,9.75,Iseli Marco *,1
-,Voggensperger Janic **,**,8.75,Iseli Marco *,2
+,Walther Marcel *,*,10.00,Iseli Marco *,3
o,Gerber Christian **,**,8.50,Iseli Marco *,4
+,Wüthrich Niklaus **,**,9.75,Iseli Marco *,5
+,Gehrig Damian ***,***,10.00,Iseli Marco *,6
+,Zenger Niklaus ***,***,9.75,Aeschbacher Matthias **,1
+,Thomet Adrian **,**,10.00,Aeschbacher Matthias **,2
+,Orlik Curdin **,**,9.75,Aeschbacher Matthias **,3
-,Wenger Kilian ***,***,8.75,Aeschbacher Matthias **,4
+,von Weissenﬂuh Kilian **,**,10.00,Aeschbacher Matthias **,5
o,Anderegg Simon ***,***,8.50,Aeschbacher Matthias **,6
+,Staub Maël *,*,10.00,Orlik Curdin **,1
+,Schenkel Remo *,*,10.00,Orlik Curdin **,2
o,Aeschbacher Matthias **,**,8.75,Orlik Curdin **,3
-,Reusser Philipp ***,***,9.00,Orlik Curdin **,4
+,Aebi Roger,Roger,10.00,Orlik Curdin **,5
-,Sempach Thomas ***,***,8.75,Orlik Curdin **,6
-,Gehrig Damian ***,***,8.75,Moser Steven **,1
+,Gasser Dominik (2000),(2000),10.00,Moser Steven **,2
+,Michel Jonas *,*,10.00,Moser Steven **,3
-,Anderegg Simon ***,***,8.75,Moser Steven **,4
-,Gäggeler Adrian *,*,8.75,Moser Steven **,5
+,Ramseier Thomas *,*,10.00,Moser Steven **,6
+,Kropf Thomas *,*,10.00,Lauper Hansruedi ***,1
+,Zürcher Kurt *,*,9.75,Lauper Hansruedi ***,2
-,Steﬀen Konrad *,*,8.75,Lauper Hansruedi ***,3
-,Sempach Thomas ***,***,8.75,Lauper Hansruedi ***,4
-,Sommer Roman *,*,8.75,Lauper Hansruedi ***,5
+,Aeschlimann Martin,Martin,10.00,Lauper Hansruedi ***,6
,14.12.2019 09:01,09:01,Seite 1/,Lauper Hansruedi ***,7
+,Graber Alfred *,*,10.00,Gäggeler Adrian *,1
-,Kämpf Alexander **,**,8.75,Gäggeler Adrian *,2
o,Anderegg Simon ***,***,8.50,Gäggeler Adrian *,3
+,Schaad Remo,Remo,10.00,Gäggeler Adrian *,4
-,Moser Steven **,**,8.75,Gäggeler Adrian *,5
+,Leuenberger Michael *,*,10.00,Gäggeler Adrian *,6
-,Kämpf Bernhard ***,***,8.75,Fankhauser Erich ***,1
+,Steﬀen Gustav *,*,9.75,Fankhauser Erich ***,2
-,Roth Dominik **,**,9.00,Fankhauser Erich ***,3
+,Kappeler Ruedi,Ruedi,10.00,Fankhauser Erich ***,4
+,Ramseier Thomas *,*,9.75,Fankhauser Erich ***,5
o,Ramseier Fritz *,*,8.50,Fankhauser Erich ***,6
-,Schütz Urs **,**,8.75,Wyss Kilian **,1
+,Lehmann Ueli,Ueli,9.75,Wyss Kilian **,2
o,Erb Roger **,**,8.50,Wyss Kilian **,3
+,Reust Markus *,*,10.00,Wyss Kilian **,4
+,Schenkel Remo *,*,10.00,Wyss Kilian **,5
o,Käser Remo ***,***,8.50,Wyss Kilian **,6
