result,name,level,points,placed_fighter,fight_round
+,Burkhalter Stefan ***,***,9.75,Bösch Daniel ***,1
+,Leuppi Samir **,**,9.75,Bösch Daniel ***,2
+,Zwyssig Raphael ***,***,10.00,Bösch Daniel ***,3
+,Schneider Mario **,**,9.75,Bösch Daniel ***,4
+,Bühler Ernst **,**,9.75,Bösch Daniel ***,5
+,Krähenbühl Tobias **,**,10.00,Bösch Daniel ***,6
+,Notz Beni ***,***,10.00,Leuppi Samir **,1
o,Bösch Daniel ***,***,8.50,Leuppi Samir **,2
+,Raymann David,David,9.75,Leuppi Samir **,3
+,Hengartner Ivo,Ivo,10.00,Leuppi Samir **,4
+,Baumann Rico *,*,10.00,Leuppi Samir **,5
+,Steiner Michael **,**,9.75,Leuppi Samir **,6
-,Schneider Domenic **,**,8.75,Kindlimann Fabian ***,1
+,Fejzaj Naim *,*,9.75,Kindlimann Fabian ***,2
+,Breitenmoser Manuel,Manuel,10.00,Kindlimann Fabian ***,3
+,Notz Hans *,*,10.00,Kindlimann Fabian ***,4
+,Zbinden Marc *,*,10.00,Kindlimann Fabian ***,5
-,Fässler Andreas **,**,8.75,Kindlimann Fabian ***,6
+,Bernold Edi **,**,9.75,Hersche Martin **,1
-,Schneider Mario **,**,8.75,Hersche Martin **,2
+,Peter Simon (1997),(1997),10.00,Hersche Martin **,3
+,Dumelin David *,*,10.00,Hersche Martin **,4
-,Burkhalter Stefan ***,***,8.75,Hersche Martin **,5
+,Fäh Tobias,Tobias,9.75,Hersche Martin **,6
+,Gwerder Andreas **,**,9.75,Schneider Mario **,1
-,Hersche Martin **,**,8.75,Schneider Mario **,2
+,Schlumpf Dominik,Dominik,10.00,Schneider Mario **,3
o,Bösch Daniel ***,***,8.50,Schneider Mario **,4
+,Dörig Erich,Erich,10.00,Schneider Mario **,5
+,Korrodi Paul *,*,10.00,Schneider Mario **,6
+,Wey Nicola *,*,10.00,Dumelin David *,1
+,Reichmuth Beat (1997),(1997),10.00,Dumelin David *,2
+,Zingg Christoph,Christoph,10.00,Dumelin David *,3
o,Hersche Martin **,**,8.50,Dumelin David *,4
o,Signer Emil **,**,8.50,Dumelin David *,5
+,Pﬁﬀner Ivo,Ivo,10.00,Dumelin David *,6
+,Inauen Marco (1999),(1999),10.00,Straub Robin,1
+,Ulmann Fabian (1999),(1999),10.00,Straub Robin,2
+,Bernold Edi **,**,9.75,Straub Robin,3
o,Fejzaj Naim *,*,8.50,Straub Robin,4
+,Keller Lukas,Lukas,9.75,Straub Robin,5
-,Ammann Rico,Rico,8.75,Straub Robin,6
+,Brand Andreas *,*,9.75,Ackermann Remo *,1
o,Bühler Ernst **,**,8.50,Ackermann Remo *,2
+,Bürki Patrik (1999),(1999),10.00,Ackermann Remo *,3
+,Notz Armin *,*,9.75,Ackermann Remo *,4
-,Keller Manuel,Manuel,8.75,Ackermann Remo *,5
+,Rieser Fabian,Fabian,10.00,Ackermann Remo *,6
+,Kammermann Thomas *,*,9.75,Koller Martin *,1
o,Fässler Andreas **,**,8.50,Koller Martin *,2
+,Ulmann Fabian (1999),(1999),10.00,Koller Martin *,3
+,Bickel Roman (1998),(1998),10.00,Koller Martin *,4
o,Schlegel Reto (1997),(1997),8.50,Koller Martin *,5
+,Inauen Franz *,*,10.00,Koller Martin *,6
o,Steiner Michael **,**,8.50,Signer Emil **,1
+,Fiechter Stefan,Stefan,9.75,Signer Emil **,2
+,Furrer Damian (1998),(1998),9.75,Signer Emil **,3
+,Akeret Benno,Benno,10.00,Signer Emil **,4
