result,name,level,points,placed_fighter,fight_round
+,Betschart Rainer **,**,10.00,Bieri Christoph ***,1
+,Brand Christian **,**,10.00,Bieri Christoph ***,2
-,Gisler Bruno ***,***,8.75,Bieri Christoph ***,3
+,Stoﬀel Marc **,**,10.00,Bieri Christoph ***,4
+,Kropf Marcel **,**,10.00,Bieri Christoph ***,5
+,Gisler Bruno ***,***,10.00,Bieri Christoph ***,6
+,Betschart Remo **,**,10.00,Gisler Bruno ***,1
+,Voggensperger Janic (1998) *,*,10.00,Gisler Bruno ***,2
-,Bieri Christoph ***,***,8.75,Gisler Bruno ***,3
+,Odermatt Christian,Christian,9.75,Gisler Bruno ***,4
+,Kocher Remo **,**,10.00,Gisler Bruno ***,5
o,Bieri Christoph ***,***,8.75,Gisler Bruno ***,6
-,Schär Simon *,*,8.75,Moser Matthias,1
+,Steger Robert (1998),(1998),10.00,Moser Matthias,2
+,Fehlmann Armin,Armin,10.00,Moser Matthias,3
+,Steinmann Yves *,*,9.75,Moser Matthias,4
o,Erb Roger **,**,8.50,Moser Matthias,5
+,Widmer Dino,Dino,10.00,Moser Matthias,6
+,Uebersax Remo **,**,9.75,Lang Martin **,1
o,Stoﬀel Marc **,**,8.50,Lang Martin **,2
-,Hasler Manuel,Manuel,8.75,Lang Martin **,3
+,Wyss Patrick,Patrick,9.75,Lang Martin **,4
+,Schneider Markus *,*,10.00,Lang Martin **,5
+,Stoll Simon,Simon,10.00,Lang Martin **,6
o,Kropf Marcel **,**,8.50,Alpiger Nick **,1
+,Moos Christoph,Christoph,10.00,Alpiger Nick **,2
+,Uebersax Remo **,**,9.75,Alpiger Nick **,3
-,Rolli Ueli,Ueli,8.75,Alpiger Nick **,4
+,Elsener Marcel,Marcel,9.75,Alpiger Nick **,5
+,Bader Andreas *,*,10.00,Alpiger Nick **,6
o,Stalder Remo ***,***,8.50,Räbmatter Patrick **,1
+,Schläpfer Matthias *,*,9.75,Räbmatter Patrick **,2
o,Kocher Remo **,**,8.50,Räbmatter Patrick **,3
+,Stich Yannick (1997),(1997),10.00,Räbmatter Patrick **,4
+,Strebel Joel (1997) *,*,10.00,Räbmatter Patrick **,5
+,Uebersax Remo **,**,9.75,Räbmatter Patrick **,6
o,Voggensperger Janic (1998) *,*,8.50,Studinger Mathias **,1
o,Kropf Marcel **,**,8.50,Studinger Mathias **,2
+,Nussbaumer Gabriel,Gabriel,10.00,Studinger Mathias **,3
+,Nyﬀeler Christoph,Christoph,9.75,Studinger Mathias **,4
+,Klausner Yanick **,**,9.75,Studinger Mathias **,5
+,Rolli Ueli,Ueli,9.75,Studinger Mathias **,6
-,Nyﬀeler Christoph,Christoph,9.00,Steinmann Kevin **,1
+,Lisser Daniel *,*,10.00,Steinmann Kevin **,2
o,Stalder Remo ***,***,8.50,Steinmann Kevin **,3
+,Krebs Clemens,Clemens,9.75,Steinmann Kevin **,4
+,Widmer David,David,10.00,Steinmann Kevin **,5
o,Probst Gabriel **,**,8.75,Steinmann Kevin **,6
+,Waldner Patrick **,**,9.75,Vieira Tiago **,1
+,Sigg David *,*,9.75,Vieira Tiago **,2
+,Erb Roger **,**,10.00,Vieira Tiago **,3
-,Henzer Andreas **,**,8.75,Vieira Tiago **,4
-,Stoﬀel Marc **,**,8.75,Vieira Tiago **,5
-,Brand Christian **,**,8.75,Vieira Tiago **,6
o,Stoﬀel Marc **,**,8.50,Studinger Stephan **,1
+,Elsener Marcel,Marcel,10.00,Studinger Stephan **,2
+,Schläpfer Matthias *,*,9.75,Studinger Stephan **,3
+,Sigg David *,*,10.00,Studinger Stephan **,4
+,Hauri Urs **,**,10.00,Studinger Stephan **,5
+,Stalder Remo ***,***,9.75,Studinger Stephan **,6
-,Henzer Andreas **,**,8.75,Bächli Michael (1998) *,1
+,Bucher Roland *,*,10.00,Bächli Michael (1998) *,2
+,Wittmer Lukas,Lukas,10.00,Bächli Michael (1998) *,3
o,Stalder Remo ***,***,8.50,Bächli Michael (1998) *,4
+,Bucher Thomas,Thomas,10.00,Bächli Michael (1998) *,5
+,Betschart Rainer **,**,10.00,Bächli Michael (1998) *,6
+,Probst Gabriel **,**,10.00,Leuthard Reto *,1
o,Blatter Lorenz *,*,8.50,Leuthard Reto *,2
+,Bachmann Marco (1999),(1999),10.00,Leuthard Reto *,3
o,Erb Roger **,**,8.50,Leuthard Reto *,4
+,Studer Remo,Remo,10.00,Leuthard Reto *,5
+,Kropf Marcel **,**,10.00,Leuthard Reto *,6
+,Blatter Lorenz *,*,10.00,Erb Roger **,1
+,Stalder Remo ***,***,9.75,Erb Roger **,2
o,Vieira Tiago **,**,8.50,Erb Roger **,3
+,Leuthard Reto *,*,10.00,Erb Roger **,4
+,Moser Matthias,Matthias,9.75,Erb Roger **,5
-,Betschart Remo **,**,8.75,Erb Roger **,6
+,Studinger Mathias **,**,10.00,Voggensperger Janic (1998) *,1
o,Gisler Bruno ***,***,8.50,Voggensperger Janic (1998) *,2
+,Aerni Lars (1997),(1997),10.00,Voggensperger Janic (1998) *,3
+,Hauri Urs **,**,10.00,Voggensperger Janic (1998) *,4
o,Stalder Remo ***,***,8.50,Voggensperger Janic (1998) *,5
+,von Arx Christian *,*,9.75,Voggensperger Janic (1998) *,6
+,Stüdeli Thomas **,**,9.75,Odermatt Christian,1
+,Waldner Patrick **,**,9.75,Odermatt Christian,2
+,Kropf Marcel **,**,9.75,Odermatt Christian,3
o,Gisler Bruno ***,***,8.50,Odermatt Christian,4
+,Stoll Simon,Simon,10.00,Odermatt Christian,5
o,Henzer Andreas **,**,8.75,Odermatt Christian,6
+,Bucher Roland *,*,9.75,Hauri Urs **,1
+,Schär Simon *,*,9.75,Hauri Urs **,2
+,Reinhard Adrian (1997),(1997),9.75,Hauri Urs **,3
o,Voggensperger Janic (1998) *,*,8.75,Hauri Urs **,4
o,Studinger Stephan **,**,8.50,Hauri Urs **,5
+,Waldner Patrick **,**,9.75,Hauri Urs **,6
+,Scherrer Johann **,**,10.00,Sigg David *,1
o,Vieira Tiago **,**,8.50,Sigg David *,2
+,Wyss Patrick,Patrick,10.00,Sigg David *,3
o,Studinger Stephan **,**,8.50,Sigg David *,4
+,Aerni Lars (1997),(1997),10.00,Sigg David *,5
-,Kocher Remo **,**,9.00,Sigg David *,6
-,Döbeli Andreas (1998) *,*,8.75,von Arx Christian *,1
+,Küng Marco,Marco,10.00,von Arx Christian *,2
+,Roth Christian,Christian,9.75,von Arx Christian *,3
+,Winiger Fabian **,**,9.75,von Arx Christian *,4
o,Betschart Remo **,**,8.75,von Arx Christian *,5
o,Voggensperger Janic (1998) *,*,8.75,von Arx Christian *,6
©,2017 Eidgenössischer Schwingerverba,Schwingerverba,nd,von Arx Christian *,7
o,Erb Roger **,**,8.50,Blatter Lorenz *,1
+,Leuthard Reto *,*,9.75,Blatter Lorenz *,2
+,Hügli Kaj (1997) *,*,10.00,Blatter Lorenz *,3
+,Kramer Franz *,*,9.75,Blatter Lorenz *,4
+,Steinmann Yves *,*,9.75,Blatter Lorenz *,5
+,Döbeli Andreas (1998) *,*,10.00,Blatter Lorenz *,6
-,Bächli Michael (1998) *,*,8.75,Henzer Andreas **,1
+,Klausner Yanick **,**,9.75,Henzer Andreas **,2
+,Mangold Martin,Martin,10.00,Henzer Andreas **,3
-,Vieira Tiago **,**,8.75,Henzer Andreas **,4
+,Mangold Michael (1997),(1997),10.00,Henzer Andreas **,5
+,Odermatt Christian,Christian,9.75,Henzer Andreas **,6
+,Studinger Stephan **,**,9.75,Stoﬀel Marc **,1
+,Lang Martin **,**,10.00,Stoﬀel Marc **,2
+,Widmer David,David,10.00,Stoﬀel Marc **,3
o,Bieri Christoph ***,***,8.50,Stoﬀel Marc **,4
-,Vieira Tiago **,**,8.75,Stoﬀel Marc **,5
+,Huber Jan (1997) *,*,9.75,Stoﬀel Marc **,6
o,Gisler Bruno ***,***,8.50,Betschart Remo **,1
+,Döbeli Andreas (1998) *,*,10.00,Betschart Remo **,2
+,Leimgruber Daniel,Daniel,9.75,Betschart Remo **,3
+,Bader Andreas *,*,10.00,Betschart Remo **,4
+,von Arx Christian *,*,9.75,Betschart Remo **,5
-,Erb Roger **,**,8.75,Betschart Remo **,6
+,Räbmatter Patrick **,**,10.00,Stalder Remo ***,1
o,Erb Roger **,**,8.50,Stalder Remo ***,2
+,Steinmann Kevin **,**,10.00,Stalder Remo ***,3
+,Bächli Michael (1998) *,*,10.00,Stalder Remo ***,4
+,Voggensperger Janic (1998) *,*,9.75,Stalder Remo ***,5
o,Studinger Stephan **,**,8.50,Stalder Remo ***,6
o,Hauri Urs **,**,8.50,Bucher Roland *,1
o,Bächli Michael (1998) *,*,8.50,Bucher Roland *,2
+,Büchi Christian,Christian,10.00,Bucher Roland *,3
+,Vetter Mike,Mike,10.00,Bucher Roland *,4
+,Huber Jan (1997) *,*,9.75,Bucher Roland *,5
+,Stüdeli Thomas **,**,9.75,Bucher Roland *,6
-,Klausner Yanick **,**,8.75,Kocher Remo **,1
+,Wittmer Lukas,Lukas,10.00,Kocher Remo **,2
+,Räbmatter Patrick **,**,10.00,Kocher Remo **,3
+,Mangold Martin,Martin,10.00,Kocher Remo **,4
o,Gisler Bruno ***,***,8.50,Kocher Remo **,5
-,Sigg David *,*,9.00,Kocher Remo **,6
o,Leuthard Reto *,*,8.50,Probst Gabriel **,1
-,Schneider Markus *,*,9.00,Probst Gabriel **,2
+,Burkhardt Roy,Roy,10.00,Probst Gabriel **,3
o,Bucher Thomas,Thomas,8.50,Probst Gabriel **,4
+,Nussbaumer Gabriel,Gabriel,10.00,Probst Gabriel **,5
+,Steinmann Kevin **,**,10.00,Probst Gabriel **,6
+,Kramer Franz *,*,9.75,Schläpfer Matthias *,1
o,Räbmatter Patrick **,**,8.50,Schläpfer Matthias *,2
o,Studinger Stephan **,**,8.50,Schläpfer Matthias *,3
-,Vögtlin Roman,Roman,9.00,Schläpfer Matthias *,4
+,Lisser Beat,Beat,10.00,Schläpfer Matthias *,5
+,Kohler Adrian,Adrian,10.00,Schläpfer Matthias *,6
,04.09.2017 10:37,10:37,Seite 1/,Schläpfer Matthias *,7
o,Vieira Tiago **,**,8.50,Waldner Patrick **,1
o,Odermatt Christian,Christian,8.50,Waldner Patrick **,2
+,Räber Lukas,Lukas,10.00,Waldner Patrick **,3
+,Hermann Oliver,Oliver,10.00,Waldner Patrick **,4
+,Scherrer Johann **,**,10.00,Waldner Patrick **,5
o,Hauri Urs **,**,8.75,Waldner Patrick **,6
o,Odermatt Christian,Christian,8.50,Stüdeli Thomas **,1
+,Steinmann Yves *,*,9.75,Stüdeli Thomas **,2
+,Grossmann Andreas,Andreas,10.00,Stüdeli Thomas **,3
+,Widmer David,David,10.00,Stüdeli Thomas **,4
-,Betschart Rainer **,**,8.75,Stüdeli Thomas **,5
o,Bucher Roland *,*,8.50,Stüdeli Thomas **,6
-,Lisser Daniel *,*,8.75,Hügli Kaj (1997) *,1
+,Haymoz Jan (1999),(1999),9.75,Hügli Kaj (1997) *,2
o,Blatter Lorenz *,*,8.50,Hügli Kaj (1997) *,3
