result,name,level,points,placed_fighter,fight_round
+,Matthey Mickaël **,**,10.00,Käser Remo ***,1
+,Brodard Augustin **,**,9.75,Käser Remo ***,2
+,Widmer Tobias **,**,9.75,Käser Remo ***,3
+,Schuler Christian ***,***,10.00,Käser Remo ***,4
+,Haenni Stéphane **,**,10.00,Käser Remo ***,5
+,Gapany Benjamin **,**,10.00,Käser Remo ***,6
+,Kramer Lario **,**,9.75,Schuler Christian ***,1
+,Gerber Christian **,**,10.00,Schuler Christian ***,2
+,Gapany Benjamin **,**,9.75,Schuler Christian ***,3
o,Käser Remo ***,***,8.50,Schuler Christian ***,4
+,Guisolan Marc **,**,10.00,Schuler Christian ***,5
+,Dousse Michel **,**,10.00,Schuler Christian ***,6
+,Mauron Olivier *,*,9.75,Cardinaux Victor **,1
o,Hersche Martin ***,***,8.50,Cardinaux Victor **,2
+,Schläﬂi Hugo (2002),(2002),10.00,Cardinaux Victor **,3
-,Moser Steven **,**,9.00,Cardinaux Victor **,4
+,Burri Flemming,Flemming,10.00,Cardinaux Victor **,5
+,Zimmermann Mario *,*,10.00,Cardinaux Victor **,6
+,Guisolan Marc **,**,10.00,Gerber Christian **,1
o,Schuler Christian ***,***,8.50,Gerber Christian **,2
+,Loup Alexandre *,*,10.00,Gerber Christian **,3
+,Zimmermann Mario *,*,10.00,Gerber Christian **,4
o,Schurtenberger Sven ***,***,8.50,Gerber Christian **,5
+,Dind Samuel **,**,10.00,Gerber Christian **,6
-,Bieri Christoph ***,***,8.75,Gottofrey Marc **,1
+,Grossenbacher Marc (2000),(2000),10.00,Gottofrey Marc **,2
o,Hersche Martin ***,***,8.50,Gottofrey Marc **,3
+,Pürro Tobias,Tobias,10.00,Gottofrey Marc **,4
+,Derron Cédric *,*,9.75,Gottofrey Marc **,5
+,Vonlanthen Alexandre,Alexandre,9.75,Gottofrey Marc **,6
+,Hersche Martin ***,***,10.00,Moser Steven **,1
-,Hofer Sven *,*,9.00,Moser Steven **,2
+,Monney Branighan,Branighan,10.00,Moser Steven **,3
-,Cardinaux Victor **,**,9.00,Moser Steven **,4
-,Bieri Christoph ***,***,8.75,Moser Steven **,5
+,Tschachtli Sven (2002),(2002),10.00,Moser Steven **,6
+,Mollet Ivan *,*,9.75,Ducry Antoine *,1
o,Bieri Christoph ***,***,8.50,Ducry Antoine *,2
+,Mollet Adrian,Adrian,9.75,Ducry Antoine *,3
+,Torche Bastian,Bastian,10.00,Ducry Antoine *,4
o,Piemontesi Pascal **,**,8.50,Ducry Antoine *,5
+,Droxler Jonathan **,**,10.00,Ducry Antoine *,6
o,Mollet Adrian,Adrian,8.50,Balimann Sandro (2001),1
+,Jacot Ismaël (2000),(2000),9.75,Balimann Sandro (2001),2
+,Tissot Aurélien (2002),(2002),9.75,Balimann Sandro (2001),3
o,Dousse Michel **,**,8.50,Balimann Sandro (2001),4
+,Schweizer Jason (2001),(2001),9.75,Balimann Sandro (2001),5
+,Parvex Yannick *,*,9.75,Balimann Sandro (2001),6
-,Piemontesi Pascal **,**,8.75,Schurtenberger Sven ***,1
+,Haenni Stéphane **,**,10.00,Schurtenberger Sven ***,2
+,Derron Cédric *,*,9.75,Schurtenberger Sven ***,3
+,Riedo Fredy *,*,10.00,Schurtenberger Sven ***,4
+,Gerber Christian **,**,10.00,Schurtenberger Sven ***,5
+,Colò Kilian *,*,10.00,Schurtenberger Sven ***,6
o,Widmer Tobias **,**,8.50,Roch Vincent **,1
+,Kohler Matthias,Matthias,9.75,Roch Vincent **,2
+,Kilchoer Alain *,*,9.75,Roch Vincent **,3
+,Bapst Richard,Richard,10.00,Roch Vincent **,4
+,Buchs Carlo *,*,9.75,Roch Vincent **,5
+,Kuster Marcel ***,***,9.75,Roch Vincent **,6
-,Schurtenberger Sven ***,***,8.75,Piemontesi Pascal **,1
+,Bersier Jean-Jacques *,*,10.00,Piemontesi Pascal **,2
+,Zbinden Samuel (2000),(2000),10.00,Piemontesi Pascal **,3
+,Hofer Sven *,*,9.75,Piemontesi Pascal **,4
+,Ducry Antoine *,*,9.75,Piemontesi Pascal **,5
-,Widmer Tobias **,**,8.75,Piemontesi Pascal **,6
+,Lötscher Adrian *,*,10.00,Haenni Stéphane **,1
o,Schurtenberger Sven ***,***,8.50,Haenni Stéphane **,2
+,Fankhauser Hans (2001),(2001),10.00,Haenni Stéphane **,3
+,Golliard Steve,Steve,10.00,Haenni Stéphane **,4
o,Käser Remo ***,***,8.75,Haenni Stéphane **,5
+,Riedo Fredy *,*,9.75,Haenni Stéphane **,6
o,Gerber Christian **,**,8.50,Guisolan Marc **,1
+,Ledermann Michael (2000),(2000),10.00,Guisolan Marc **,2
+,Kramer Dorian *,*,10.00,Guisolan Marc **,3
+,Vonlanthen Alexandre,Alexandre,10.00,Guisolan Marc **,4
o,Schuler Christian ***,***,8.50,Guisolan Marc **,5
+,Hofer Sven *,*,9.75,Guisolan Marc **,6
+,Roch Vincent **,**,10.00,Widmer Tobias **,1
+,Dind Samuel **,**,9.75,Widmer Tobias **,2
o,Käser Remo ***,***,8.50,Widmer Tobias **,3
+,Matthey Mickaël **,**,9.75,Widmer Tobias **,4
+,Brodard Augustin **,**,9.75,Widmer Tobias **,5
-,Piemontesi Pascal **,**,8.75,Widmer Tobias **,6
-,Gottofrey Marc **,**,8.75,Bieri Christoph ***,1
+,Ducry Antoine *,*,10.00,Bieri Christoph ***,2
+,Dousse Michel **,**,9.75,Bieri Christoph ***,3
-,Droxler Jonathan **,**,9.00,Bieri Christoph ***,4
-,Moser Steven **,**,8.75,Bieri Christoph ***,5
+,Bapst Richard,Richard,10.00,Bieri Christoph ***,6
+,Dind Clément,Clément,9.75,Ledermann Michael (2000),1
o,Guisolan Marc **,**,8.50,Ledermann Michael (2000),2
+,Z'Rotz Roman,Roman,9.75,Ledermann Michael (2000),3
+,Zosso Fabian,Fabian,9.75,Ledermann Michael (2000),4
o,Kramer Lario **,**,8.50,Ledermann Michael (2000),5
+,Baeriswyl Christoph (2002),(2002),9.75,Ledermann Michael (2000),6
©,2018 Eidgenössischer Schwingerverba,Schwingerverba,nd,Ledermann Michael (2000),7
o,Schuler Christian ***,***,8.50,Kramer Lario **,1
+,Buchs Carlo *,*,10.00,Kramer Lario **,2
+,Kolly Elmar (2002),(2002),10.00,Kramer Lario **,3
+,Hersche Martin ***,***,9.75,Kramer Lario **,4
+,Ledermann Michael (2000),(2000),9.75,Kramer Lario **,5
+,Mollet Ivan *,*,10.00,Kramer Lario **,6
+,Kuster Marcel ***,***,10.00,Gapany Benjamin **,1
+,Riedo Fredy *,*,10.00,Gapany Benjamin **,2
o,Schuler Christian ***,***,8.50,Gapany Benjamin **,3
+,Choﬄon Anthony,Anthony,10.00,Gapany Benjamin **,4
+,Dind Samuel **,**,10.00,Gapany Benjamin **,5
o,Käser Remo ***,***,8.75,Gapany Benjamin **,6
+,Schöpfer Dio **,**,10.00,Brodard Augustin **,1
o,Käser Remo ***,***,8.50,Brodard Augustin **,2
+,Zingrich Jan,Jan,10.00,Brodard Augustin **,3
+,Z'Rotz Roman,Roman,10.00,Brodard Augustin **,4
o,Widmer Tobias **,**,8.50,Brodard Augustin **,5
+,Burri Flemming,Flemming,10.00,Brodard Augustin **,6
o,Moser Steven **,**,8.50,Hersche Martin ***,1
+,Cardinaux Victor **,**,10.00,Hersche Martin ***,2
+,Gottofrey Marc **,**,10.00,Hersche Martin ***,3
o,Kramer Lario **,**,8.50,Hersche Martin ***,4
+,Beliakov Alexandre,Alexandre,10.00,Hersche Martin ***,5
+,Bersier Jean-Jacques *,*,10.00,Hersche Martin ***,6
o,Käser Remo ***,***,8.50,Matthey Mickaël **,1
+,Crausaz Simon,Simon,10.00,Matthey Mickaël **,2
+,Emonet Fabien **,**,10.00,Matthey Mickaël **,3
o,Widmer Tobias **,**,8.50,Matthey Mickaël **,4
+,Baeriswyl Christoph (2002),(2002),10.00,Matthey Mickaël **,5
+,Dubey Gaël,Gaël,9.75,Matthey Mickaël **,6
o,Hofer Sven *,*,8.50,Colò Kilian *,1
+,Philipona Nicolas,Nicolas,9.75,Colò Kilian *,2
+,Vaucher Rémy,Rémy,9.75,Colò Kilian *,3
+,Mauron Olivier *,*,10.00,Colò Kilian *,4
+,Emonet Fabien **,**,10.00,Colò Kilian *,5
o,Schurtenberger Sven ***,***,8.50,Colò Kilian *,6
-,Droxler Jonathan **,**,8.75,Loup Alexandre *,1
+,Kolly Simon (2002),(2002),10.00,Loup Alexandre *,2
o,Gerber Christian **,**,8.50,Loup Alexandre *,3
-,Germanier Joel (2000),(2000),9.00,Loup Alexandre *,4
+,Kyburz Silas,Silas,10.00,Loup Alexandre *,5
+,Choﬄon Anthony,Anthony,10.00,Loup Alexandre *,6
o,Haenni Stéphane **,**,8.50,Lötscher Adrian *,1
-,Vonlanthen Alexandre,Alexandre,8.75,Lötscher Adrian *,2
-,Kyburz Silas,Silas,8.75,Lötscher Adrian *,3
+,Délitroz Lucien,Lucien,10.00,Lötscher Adrian *,4
+,Parvex Bryan,Bryan,10.00,Lötscher Adrian *,5
+,Berthet Luca (2001),(2001),10.00,Lötscher Adrian *,6
,13.10.2018 11:02,11:02,Seite 1/,Lötscher Adrian *,7
+,Bersier Jean-Jacques *,*,9.75,Minder Florian **,1
o,Kuster Marcel ***,***,8.50,Minder Florian **,2
-,Dubey Gaël,Gaël,9.00,Minder Florian **,3
+,Goy Sébastien,Sébastien,10.00,Minder Florian **,4
-,Mollet Ivan *,*,8.75,Minder Florian **,5
+,Perret Loïc (2002),(2002),10.00,Minder Florian **,6
-,Dousse Michel **,**,8.75,Buchs Carlo *,1
o,Kramer Lario **,**,8.50,Buchs Carlo *,2
+,Squaratti Yannick,Yannick,10.00,Buchs Carlo *,3
+,Niederberger Nicola (2000),(2000),10.00,Buchs Carlo *,4
o,Roch Vincent **,**,8.50,Buchs Carlo *,5
+,Menoud Liam (2001),(2001),10.00,Buchs Carlo *,6
o,Ducry Antoine *,*,8.50,Mollet Ivan *,1
+,Balimann Fabian,Fabian,10.00,Mollet Ivan *,2
+,Kuster Marcel ***,***,9.75,Mollet Ivan *,3
+,Crausaz Simon,Simon,10.00,Mollet Ivan *,4
-,Minder Florian **,**,9.00,Mollet Ivan *,5
o,Kramer Lario **,**,8.50,Mollet Ivan *,6
-,Rapin Florent *,*,8.75,Kramer Dorian *,1
+,Schweizer Jason (2001),(2001),9.75,Kramer Dorian *,2
o,Guisolan Marc **,**,8.50,Kramer Dorian *,3
-,Beliakov Alexandre,Alexandre,9.00,Kramer Dorian *,4
+,Erb Vincent,Vincent,9.75,Kramer Dorian *,5
+,Vaucher Rémy,Rémy,9.75,Kramer Dorian *,6
o,Ledermann Michael (2000),(2000),8.50,Dind Clément,1
+,Buntschu Christoph,Christoph,9.75,Dind Clément,2
+,Bapst Richard,Richard,9.75,Dind Clément,3
-,Rapin Florent *,*,9.00,Dind Clément,4
o,Zimmermann Mario *,*,8.50,Dind Clément,5
+,Fankhauser Hans (2001),(2001),10.00,Dind Clément,6
o,Cotting Florian,Florian,8.50,Erb Vincent,1
+,Dubuis Marc (2000),(2000),9.75,Erb Vincent,2
o,Crettaz Olivier *,*,8.75,Erb Vincent,3
+,Kolly Elmar (2002),(2002),10.00,Erb Vincent,4
o,Kramer Dorian *,*,8.50,Erb Vincent,5
+,Kolly Simon (2002),(2002),10.00,Erb Vincent,6
+,Squaratti Yannick,Yannick,10.00,Choﬄon Anthony,1
-,Mauron Olivier *,*,8.75,Choﬄon Anthony,2
+,Balimann Fabian,Fabian,9.75,Choﬄon Anthony,3
o,Gapany Benjamin **,**,8.50,Choﬄon Anthony,4
+,Germanier Joel (2000),(2000),9.75,Choﬄon Anthony,5
o,Loup Alexandre *,*,8.50,Choﬄon Anthony,6
+,Balimann Sandro (2001),(2001),9.75,Mollet Adrian,1
+,Buchs Julien,Julien,9.75,Mollet Adrian,2
o,Ducry Antoine *,*,8.50,Mollet Adrian,3
o,Baeriswyl Christoph (2002),(2002),8.50,Mollet Adrian,4
-,Niederberger Nicola (2000),(2000),8.75,Mollet Adrian,5
+,Cotting Florian,Florian,10.00,Mollet Adrian,6
+,Grisel Samuel,Samuel,10.00,Bapst Richard,1
+,Grossenbacher Simon (2002),(2002),9.75,Bapst Richard,2
o,Dind Clément,Clément,8.50,Bapst Richard,3
o,Roch Vincent **,**,8.50,Bapst Richard,4
+,Torche Bastian,Bastian,10.00,Bapst Richard,5
o,Bieri Christoph ***,***,8.50,Bapst Richard,6
-,Kramer Dorian *,*,8.75,Rapin Florent *,1
+,Zosso Fabian,Fabian,10.00,Rapin Florent *,2
o,Droxler Jonathan **,**,8.50,Rapin Florent *,3
-,Dind Clément,Clément,9.00,Rapin Florent *,4
+,Schläﬂi Hugo (2002),(2002),9.75,Rapin Florent *,5
+,Kohler Matthias,Matthias,10.00,Rapin Florent *,6
-,Buchs Carlo *,*,8.75,Dousse Michel **,1
+,Cotting Alexandre,Alexandre,10.00,Dousse Michel **,2
o,Bieri Christoph ***,***,8.50,Dousse Michel **,3
+,Balimann Sandro (2001),(2001),10.00,Dousse Michel **,4
