result,name,level,points,placed_fighter,fight_round
-,Rychen Roger **,**,9.00,Ulrich Andreas ***,1
+,Villiger Cyrill *,*,10.00,Ulrich Andreas ***,2
+,Zgraggen Fabian,Fabian,10.00,Ulrich Andreas ***,3
+,Imhof Andi ***,***,9.75,Ulrich Andreas ***,4
+,Muﬀ Armin **,**,9.75,Ulrich Andreas ***,5
+,Schuler Christian ***,***,10.00,Ulrich Andreas ***,6
-,Fankhauser Erich ***,***,9.00,Laimbacher Philipp ***,1
+,Muﬀ Armin **,**,9.75,Laimbacher Philipp ***,2
+,Schuler Daniel,Daniel,10.00,Laimbacher Philipp ***,3
-,Bieri Marcel **,**,8.75,Laimbacher Philipp ***,4
+,Scheuber Stefan,Stefan,10.00,Laimbacher Philipp ***,5
+,Odermatt Christian **,**,10.00,Laimbacher Philipp ***,6
-,Gwerder Guido **,**,8.75,Föhn Franz **,1
+,Bürgler André *,*,9.75,Föhn Franz **,2
+,Heinzer Florian,Florian,9.75,Föhn Franz **,3
-,Kessler Joel,Joel,8.75,Föhn Franz **,4
+,Schilter Daniel,Daniel,10.00,Föhn Franz **,5
+,Betschart Silvan *,*,10.00,Föhn Franz **,6
-,Schuler Christian ***,***,8.75,Imhof Andi ***,1
+,Höﬂiger Andreas **,**,10.00,Imhof Andi ***,2
+,Suter Paul,Paul,10.00,Imhof Andi ***,3
o,Ulrich Andreas ***,***,8.50,Imhof Andi ***,4
+,Gwerder Guido **,**,9.75,Imhof Andi ***,5
+,Bürgler Lukas,Lukas,10.00,Imhof Andi ***,6
+,Eﬃnger Markus *,*,10.00,Muﬀ Armin **,1
o,Laimbacher Philipp ***,***,8.50,Muﬀ Armin **,2
+,Keller Janik,Janik,10.00,Muﬀ Armin **,3
+,Fässler Cornel *,*,10.00,Muﬀ Armin **,4
o,Ulrich Andreas ***,***,8.50,Muﬀ Armin **,5
+,Schürpf Guido,Guido,10.00,Muﬀ Armin **,6
-,Betschart Rainer **,**,9.00,Nötzli Reto ***,1
+,Heinzer Stefan *,*,9.75,Nötzli Reto ***,2
+,Schindler Thomas,Thomas,10.00,Nötzli Reto ***,3
+,Betschart Remo **,**,9.75,Nötzli Reto ***,4
o,Schuler Christian ***,***,8.50,Nötzli Reto ***,5
+,Zemp Thomas *,*,9.75,Nötzli Reto ***,6
-,Inderbitzin Daniel *,*,8.75,Bucher Roland *,1
+,Grab Daniel **,**,9.75,Bucher Roland *,2
+,Bürgi Tobias,Tobias,9.75,Bucher Roland *,3
o,Hasler Florian **,**,8.50,Bucher Roland *,4
+,Ulrich Roman (2000),(2000),10.00,Bucher Roland *,5
+,Schelbert Roman,Roman,9.75,Bucher Roland *,6
+,Waser Dominik **,**,10.00,Steinauer Adrian **,1
