result,name,level,points,placed_fighter,fight_round
-,Alpiger Nick ***,***,8.75,Stucki Christian ***,1
+,Brand Christian **,**,10.00,Stucki Christian ***,2
+,Aellen Florian *,*,10.00,Stucki Christian ***,3
+,Moser Michael **,**,10.00,Stucki Christian ***,4
+,Schwander Severin *,*,9.75,Stucki Christian ***,5
+,Gnägi Florian ***,***,10.00,Stucki Christian ***,6
+,Glarner Matthias ***,***,10.00,Kramer Lario **,1
+,Wüthrich Niklaus **,**,9.75,Kramer Lario **,2
o,Gerber Christian **,**,8.50,Kramer Lario **,3
+,Leuenberger Michael *,*,9.75,Kramer Lario **,4
+,Renfer Lukas *,*,9.75,Kramer Lario **,5
+,Inniger Thomas *,*,10.00,Kramer Lario **,6
-,Räbmatter Patrick ***,***,8.75,Sempach Thomas ***,1
+,Roch Vincent **,**,10.00,Sempach Thomas ***,2
+,Stoﬀel Marc **,**,10.00,Sempach Thomas ***,3
+,Luginbühl Hanspeter **,**,9.75,Sempach Thomas ***,4
o,Gnägi Florian ***,***,8.50,Sempach Thomas ***,5
+,Stegmüller Klemens *,*,9.75,Sempach Thomas ***,6
+,Parvex Yannick *,*,10.00,Inniger Thomas *,1
-,Bieri Christoph ***,***,8.75,Inniger Thomas *,2
+,Lerch Jimmy *,*,10.00,Inniger Thomas *,3
-,Widmer Tobias **,**,9.00,Inniger Thomas *,4
+,Ramseier Fritz **,**,10.00,Inniger Thomas *,5
o,Kramer Lario **,**,8.75,Inniger Thomas *,6
-,Orlik Curdin **,**,8.75,Thürig Mario ***,1
+,Kämpf Alexander **,**,9.75,Thürig Mario ***,2
+,Wittwer Jan *,*,10.00,Thürig Mario ***,3
-,Mathys Simon **,**,9.00,Thürig Mario ***,4
-,Gerber Christian **,**,8.75,Thürig Mario ***,5
+,Gehrig Damian ***,***,10.00,Thürig Mario ***,6
-,Sempach Thomas ***,***,8.75,Räbmatter Patrick ***,1
+,Renfer Lukas *,*,9.75,Räbmatter Patrick ***,2
-,Schwander Severin *,*,8.75,Räbmatter Patrick ***,3
