result,name,level,points,placed_fighter,fight_round
+,Schenk Patrick ***,***,10.00,Wicki Joel **,1
+,Ulrich Andreas ***,***,9.75,Wicki Joel **,2
+,Arnold Stefan **,**,9.75,Wicki Joel **,3
+,Imhof Andi ***,***,10.00,Wicki Joel **,4
+,Kropf Marcel **,**,10.00,Wicki Joel **,5
+,Schurtenberger Sven ***,***,10.00,Wicki Joel **,6
+,Zenger Niklaus ***,***,10.00,Schurtenberger Sven ***,1
+,Bieri Marcel **,**,9.75,Schurtenberger Sven ***,2
+,Nötzli Reto ***,***,10.00,Schurtenberger Sven ***,3
o,Alpiger Nick ***,***,8.50,Schurtenberger Sven ***,4
+,Schenk Patrick ***,***,10.00,Schurtenberger Sven ***,5
o,Wicki Joel **,**,8.75,Schurtenberger Sven ***,6
+,Wittwer Josias **,**,9.75,Suppiger Werner **,1
+,Hügli Kaj **,**,9.75,Suppiger Werner **,2
o,Räbmatter Patrick ***,***,8.50,Suppiger Werner **,3
+,Arnold Raphael **,**,9.75,Suppiger Werner **,4
-,Herger Matthias **,**,8.75,Suppiger Werner **,5
+,Studinger Stephan **,**,10.00,Suppiger Werner **,6
-,Schwander Severin **,**,8.75,Herger Matthias **,1
+,Schmid Samuel **,**,10.00,Herger Matthias **,2
o,Hermann Oliver *,*,8.75,Herger Matthias **,3
+,Reichmuth Marco **,**,10.00,Herger Matthias **,4
-,Suppiger Werner **,**,8.75,Herger Matthias **,5
+,Ulrich Marco *,*,10.00,Herger Matthias **,6
-,Mathis Marcel ***,***,8.75,Suppiger René ***,1
+,Eﬃnger Markus *,*,10.00,Suppiger René ***,2
o,Schenk Patrick ***,***,8.50,Suppiger René ***,3
+,Hess Dominik *,*,10.00,Suppiger René ***,4
+,Erb Roger **,**,10.00,Suppiger René ***,5
-,Ulrich Andreas ***,***,8.75,Suppiger René ***,6
-,Rohrer Ueli *,*,8.75,Rüegger Aaron *,1
+,Schürpf Bruno *,*,9.75,Rüegger Aaron *,2
-,Eﬃnger Markus *,*,8.75,Rüegger Aaron *,3
+,Thierstein Marco *,*,9.75,Rüegger Aaron *,4
-,Imhof Andi ***,***,8.75,Rüegger Aaron *,5
+,Felder Martin *,*,10.00,Rüegger Aaron *,6
o,Ulrich Andreas ***,***,8.50,Inniger Thomas **,1
+,Waser Reto *,*,9.75,Inniger Thomas **,2
+,Kälin Roland **,**,10.00,Inniger Thomas **,3
-,Scheuber Lutz **,**,8.75,Inniger Thomas **,4
+,Schöpfer Ronny *,*,10.00,Inniger Thomas **,5
-,Mathis Marcel ***,***,8.75,Inniger Thomas **,6
+,Fink Bruno *,*,10.00,Kenel Franz-Toni *,1
-,Zurﬂuh Roman **,**,8.75,Kenel Franz-Toni *,2
+,Schillig Willi **,**,10.00,Kenel Franz-Toni *,3
o,Räbmatter Patrick ***,***,8.50,Kenel Franz-Toni *,4
+,Odermatt Adrian (2001) *,*,10.00,Kenel Franz-Toni *,5
o,Alpiger Nick ***,***,8.50,Kenel Franz-Toni *,6
-,Alpiger Nick ***,***,9.00,Reichmuth Pirmin ***,1
+,Müllestein Mike ***,***,10.00,Reichmuth Pirmin ***,2
-,Mathis Marcel ***,***,9.00,Reichmuth Pirmin ***,3
+,Hermann Oliver *,*,10.00,Reichmuth Pirmin ***,4
+,Räbmatter Patrick ***,***,9.75,Reichmuth Pirmin ***,5
+,Döbeli Andreas *,*,10.00,Reichmuth Pirmin ***,6
-,Reichmuth Pirmin ***,***,8.75,Alpiger Nick ***,1
+,Egli Damian **,**,9.75,Alpiger Nick ***,2
+,Van Messel Noe (2002) *,*,10.00,Alpiger Nick ***,3
+,Schurtenberger Sven ***,***,10.00,Alpiger Nick ***,4
-,Bieri Marcel **,**,8.75,Alpiger Nick ***,5
+,Kenel Franz-Toni *,*,9.75,Alpiger Nick ***,6
+,Studinger Stephan **,**,10.00,Müllestein Mike ***,1
o,Reichmuth Pirmin ***,***,8.50,Müllestein Mike ***,2
+,Vieira Tiago **,**,9.75,Müllestein Mike ***,3
-,Gäumann Stefan *,*,8.75,Müllestein Mike ***,4
+,Schwander Severin **,**,9.75,Müllestein Mike ***,5
+,Voggensperger Lars (2001) *,*,9.75,Müllestein Mike ***,6
+,Kropf Marcel **,**,10.00,Bieri Marcel **,1
o,Schurtenberger Sven ***,***,8.75,Bieri Marcel **,2
+,Brun Jonas **,**,10.00,Bieri Marcel **,3
+,Egli Damian **,**,10.00,Bieri Marcel **,4
-,Alpiger Nick ***,***,8.75,Bieri Marcel **,5
-,Gäumann Stefan *,*,8.75,Bieri Marcel **,6
o,Döbeli Lukas **,**,8.50,Scheuber Lutz **,1
+,Fink Bruno *,*,10.00,Scheuber Lutz **,2
+,Erb Roger **,**,10.00,Scheuber Lutz **,3
-,Inniger Thomas **,**,8.75,Scheuber Lutz **,4
-,Zenger Niklaus ***,***,8.75,Scheuber Lutz **,5
+,Schwander Severin **,**,10.00,Scheuber Lutz **,6
-,Ambühl Joel **,**,8.75,Gäumann Stefan *,1
+,Rohrer Ueli *,*,9.75,Gäumann Stefan *,2
+,Graber Michael *,*,10.00,Gäumann Stefan *,3
-,Müllestein Mike ***,***,8.75,Gäumann Stefan *,4
+,Linggi Bruno **,**,9.75,Gäumann Stefan *,5
-,Bieri Marcel **,**,8.75,Gäumann Stefan *,6
+,Brun Jonas **,**,9.75,Döbeli Andreas *,1
-,Nötzli Reto ***,***,8.75,Döbeli Andreas *,2
+,Bürgler André *,*,9.75,Döbeli Andreas *,3
-,Van Messel Noe (2002) *,*,9.00,Döbeli Andreas *,4
+,Betschart Remo **,**,10.00,Döbeli Andreas *,5
o,Reichmuth Pirmin ***,***,8.50,Döbeli Andreas *,6
o,Van Messel Noe (2002) *,*,8.50,Voggensperger Lars (2001) *,1
-,Schmid Simon *,*,8.75,Voggensperger Lars (2001) *,2
+,Suppiger Thomas *,*,9.75,Voggensperger Lars (2001) *,3
+,Eﬃnger Markus *,*,10.00,Voggensperger Lars (2001) *,4
+,Hess Dominik *,*,10.00,Voggensperger Lars (2001) *,5
o,Müllestein Mike ***,***,8.50,Voggensperger Lars (2001) *,6
©,2021 Eidgenössischer Schwingerverba,Schwingerverba,nd,Voggensperger Lars (2001) *,7
+,Voggensperger Lars (2001) *,*,10.00,Van Messel Noe (2002) *,1
+,Anderegg David *,*,10.00,Van Messel Noe (2002) *,2
o,Alpiger Nick ***,***,8.50,Van Messel Noe (2002) *,3
-,Döbeli Andreas *,*,9.00,Van Messel Noe (2002) *,4
+,Kurmann Toni *,*,9.75,Van Messel Noe (2002) *,5
+,Schenk Patrick ***,***,10.00,Van Messel Noe (2002) *,6
+,Kocher Remo **,**,10.00,Arnold Stefan **,1
+,Linggi Bruno **,**,10.00,Arnold Stefan **,2
o,Wicki Joel **,**,8.50,Arnold Stefan **,3
+,Ulrich Marco *,*,9.75,Arnold Stefan **,4
-,Mathis Marcel ***,***,8.75,Arnold Stefan **,5
+,Hermann Oliver *,*,10.00,Arnold Stefan **,6
o,Imhof Andi ***,***,8.50,Räbmatter Patrick ***,1
+,Graber Michael *,*,10.00,Räbmatter Patrick ***,2
+,Suppiger Werner **,**,9.75,Räbmatter Patrick ***,3
+,Kenel Franz-Toni *,*,10.00,Räbmatter Patrick ***,4
o,Reichmuth Pirmin ***,***,8.50,Räbmatter Patrick ***,5
+,Arnold Raphael **,**,9.75,Räbmatter Patrick ***,6
+,Inniger Thomas **,**,9.75,Ulrich Andreas ***,1
o,Wicki Joel **,**,8.50,Ulrich Andreas ***,2
+,Burch Jonas *,*,10.00,Ulrich Andreas ***,3
-,Odermatt Adrian (2001) *,*,9.00,Ulrich Andreas ***,4
+,Rohrer Ueli *,*,10.00,Ulrich Andreas ***,5
-,Suppiger René ***,***,8.75,Ulrich Andreas ***,6
+,Waser Reto *,*,10.00,Berger Lorenz *,1
o,Ulrich Marco *,*,8.50,Berger Lorenz *,2
o,Betschart Remo **,**,8.75,Berger Lorenz *,3
o,Kurmann Toni *,*,8.75,Berger Lorenz *,4
+,Durrer Nando *,*,10.00,Berger Lorenz *,5
+,Zimmermann Martin **,**,10.00,Berger Lorenz *,6
o,Reichmuth Marco **,**,8.50,Leuthard Reto **,1
-,Ambühl Joel **,**,8.75,Leuthard Reto **,2
+,Waser Reto *,*,10.00,Leuthard Reto **,3
+,Schmid Simon *,*,9.75,Leuthard Reto **,4
-,Egli Damian **,**,8.75,Leuthard Reto **,5
+,Rohrer Ueli *,*,10.00,Leuthard Reto **,6
+,Höﬂiger Andreas **,**,10.00,Kropf Marcel **,1
o,Bieri Marcel **,**,8.50,Kropf Marcel **,2
+,Thierstein Marco *,*,10.00,Kropf Marcel **,3
+,Nötzli Reto ***,***,10.00,Kropf Marcel **,4
o,Wicki Joel **,**,8.50,Kropf Marcel **,5
-,Schuler Philipp **,**,8.75,Kropf Marcel **,6
o,Hügli Kaj **,**,8.50,Schuler Philipp **,1
o,Schwander Severin **,**,8.50,Schuler Philipp **,2
+,Anderegg David *,*,10.00,Schuler Philipp **,3
+,Graber Michael *,*,9.75,Schuler Philipp **,4
+,Vieira Tiago **,**,10.00,Schuler Philipp **,5
-,Kropf Marcel **,**,8.75,Schuler Philipp **,6
,12.09.2021 11:43,11:43,Seite 1/,Schuler Philipp **,7
+,Erb Roger **,**,10.00,Nötzli Reto ***,1
-,Döbeli Andreas *,*,8.75,Nötzli Reto ***,2
o,Schurtenberger Sven ***,***,8.50,Nötzli Reto ***,3
o,Kropf Marcel **,**,8.50,Nötzli Reto ***,4
+,Fellmann Roman **,**,10.00,Nötzli Reto ***,5
+,Gehrig Philipp **,**,9.75,Nötzli Reto ***,6
+,Mangold Martin *,*,9.75,Hess Dominik *,1
-,Bürgler André *,*,8.75,Hess Dominik *,2
+,Schwander Severin **,**,10.00,Hess Dominik *,3
o,Suppiger René ***,***,8.50,Hess Dominik *,4
o,Voggensperger Lars (2001) *,*,8.50,Hess Dominik *,5
+,Schöpfer Ronny *,*,9.75,Hess Dominik *,6
o,Wicki Joel **,**,8.50,Schenk Patrick ***,1
+,Kälin Roland **,**,10.00,Schenk Patrick ***,2
+,Suppiger René ***,***,9.75,Schenk Patrick ***,3
+,Betschart Remo **,**,10.00,Schenk Patrick ***,4
o,Schurtenberger Sven ***,***,8.50,Schenk Patrick ***,5
o,Van Messel Noe (2002) *,*,8.50,Schenk Patrick ***,6
-,Schmid Samuel **,**,8.75,Arnold Raphael **,1
+,Brun Samuel **,**,9.75,Arnold Raphael **,2
+,Felder Martin *,*,9.75,Arnold Raphael **,3
o,Suppiger Werner **,**,8.50,Arnold Raphael **,4
+,Döbeli Lukas **,**,9.75,Arnold Raphael **,5
o,Räbmatter Patrick ***,***,8.50,Arnold Raphael **,6
+,Ettlin Martin *,*,10.00,Odermatt Adrian (2001) *,1
-,Durrer Nando *,*,8.75,Odermatt Adrian (2001) *,2
+,Reichmuth Marco **,**,9.75,Odermatt Adrian (2001) *,3
-,Ulrich Andreas ***,***,9.00,Odermatt Adrian (2001) *,4
o,Kenel Franz-Toni *,*,8.50,Odermatt Adrian (2001) *,5
-,Betschart Remo **,**,9.00,Odermatt Adrian (2001) *,6
+,Räbmatter Patrick ***,***,9.75,Imhof Andi ***,1
-,Betschart Remo **,**,8.75,Imhof Andi ***,2
+,Ulrich Marco *,*,10.00,Imhof Andi ***,3
o,Wicki Joel **,**,8.50,Imhof Andi ***,4
-,Rüegger Aaron *,*,8.75,Imhof Andi ***,5
-,Zenger Niklaus ***,***,9.00,Imhof Andi ***,6
-,Zimmermann Martin **,**,9.00,Gehrig Philipp **,1
-,Thierstein Marco *,*,9.00,Gehrig Philipp **,2
o,Fankhauser Reto **,**,8.50,Gehrig Philipp **,3
+,Schürpf Bruno *,*,9.75,Gehrig Philipp **,4
+,Kessler Joel *,*,9.75,Gehrig Philipp **,5
o,Nötzli Reto ***,***,8.50,Gehrig Philipp **,6
+,Scheuber Lutz **,**,9.75,Döbeli Lukas **,1
-,Burch Jonas *,*,8.75,Döbeli Lukas **,2
+,Höﬂiger Andreas **,**,9.75,Döbeli Lukas **,3
-,Zimmermann Martin **,**,8.75,Döbeli Lukas **,4
o,Arnold Raphael **,**,8.50,Döbeli Lukas **,5
-,Kurmann Toni *,*,8.75,Döbeli Lukas **,6
+,Gwerder Andreas *,*,10.00,Hermann Oliver *,1
-,Kurmann Toni *,*,8.75,Hermann Oliver *,2
+,Herger Matthias **,**,10.00,Hermann Oliver *,3
o,Reichmuth Pirmin ***,***,8.50,Hermann Oliver *,4
+,Burch Jonas *,*,9.75,Hermann Oliver *,5
o,Arnold Stefan **,**,8.50,Hermann Oliver *,6
+,Kennel Beat *,*,10.00,Burch Jonas *,1
-,Döbeli Lukas **,**,8.75,Burch Jonas *,2
o,Ulrich Andreas ***,***,8.50,Burch Jonas *,3
+,Mangold Martin *,*,9.75,Burch Jonas *,4
o,Hermann Oliver *,*,8.50,Burch Jonas *,5
+,Schmid Samuel **,**,9.75,Burch Jonas *,6
o,Nötzli Reto ***,***,8.50,Erb Roger **,1
