result,name,level,points,placed_fighter,fight_round
+,Stalder Remo ***,***,10.00,Müllestein Mike ***,1
+,Stoll Simon *,*,10.00,Müllestein Mike ***,2
-,Giger Samuel ***,***,9.00,Müllestein Mike ***,3
+,Widmer Tobias **,**,10.00,Müllestein Mike ***,4
+,Kropf Marcel **,**,10.00,Müllestein Mike ***,5
-,Anderegg Simon ***,***,8.75,Müllestein Mike ***,6
-,Orlik Curdin **,**,8.75,Alpiger Nick ***,1
+,Krebs Clemens *,*,9.75,Alpiger Nick ***,2
+,Rychen Roger ***,***,10.00,Alpiger Nick ***,3
-,Gapany Benjamin **,**,9.00,Alpiger Nick ***,4
+,Leuthard Reto *,*,10.00,Alpiger Nick ***,5
+,Gerber Manuel *,*,10.00,Alpiger Nick ***,6
-,Brand Christian **,**,8.75,Widmer Tobias **,1
+,Moser Matthias *,*,10.00,Widmer Tobias **,2
+,Burkhardt Roy,Roy,10.00,Widmer Tobias **,3
o,Müllestein Mike ***,***,8.50,Widmer Tobias **,4
+,Stoll Simon *,*,9.75,Widmer Tobias **,5
+,Stalder Remo ***,***,10.00,Widmer Tobias **,6
o,Rychen Roger ***,***,8.50,Voggensperger Janic **,1
+,Küng Marco *,*,10.00,Voggensperger Janic **,2
+,Hitz Florian,Florian,10.00,Voggensperger Janic **,3
o,Anderegg Simon ***,***,8.50,Voggensperger Janic **,4
+,Winiger Fabian **,**,9.75,Voggensperger Janic **,5
+,Stegmüller Klemens *,*,10.00,Voggensperger Janic **,6
+,Döbeli Lukas (2000) **,**,10.00,Stoll Simon *,1
o,Müllestein Mike ***,***,8.50,Stoll Simon *,2
+,Schwegler Dominik,Dominik,9.75,Stoll Simon *,3
+,Odermatt Adrian (2001) *,*,9.75,Stoll Simon *,4
o,Widmer Tobias **,**,8.50,Stoll Simon *,5
+,Steinmann Yves *,*,10.00,Stoll Simon *,6
-,Stüdeli Thomas **,**,8.75,Hügli Kaj **,1
-,Schaﬀner Samuel **,**,8.75,Hügli Kaj **,2
+,Dobler Florian,Florian,9.75,Hügli Kaj **,3
+,Grieder Nonda,Nonda,10.00,Hügli Kaj **,4
-,Kocher Remo **,**,8.75,Hügli Kaj **,5
+,Bruder Adrian,Adrian,10.00,Hügli Kaj **,6
-,Vieira Tiago **,**,8.75,Odermatt Adrian (2001) *,1
-,Reinhard Adrian *,*,9.00,Odermatt Adrian (2001) *,2
+,Järmann Florian (2002),(2002),10.00,Odermatt Adrian (2001) *,3
o,Stoll Simon *,*,8.50,Odermatt Adrian (2001) *,4
+,Jakober Daniel,Daniel,10.00,Odermatt Adrian (2001) *,5
+,Räbmatter Patrick ***,***,9.75,Odermatt Adrian (2001) *,6
+,Hasler Luis (2002),(2002),9.75,Voggensperger Lars (2001),1
-,Mangold Martin *,*,8.75,Voggensperger Lars (2001),2
+,Arnold Kornel *,*,9.75,Voggensperger Lars (2001),3
-,Schaﬀner Samuel **,**,8.75,Voggensperger Lars (2001),4
-,Bearda Samuel **,**,8.75,Voggensperger Lars (2001),5
+,Küng Marco *,*,10.00,Voggensperger Lars (2001),6
-,Schmid David ***,***,8.75,Ulrich Andreas ***,1
-,Kropf Marcel **,**,8.75,Ulrich Andreas ***,2
+,Vieira Tiago **,**,10.00,Ulrich Andreas ***,3
o,Leuthard Reto *,*,8.50,Ulrich Andreas ***,4
+,Nussbaumer Gabriel,Gabriel,9.75,Ulrich Andreas ***,5
+,Mangold Martin *,*,10.00,Ulrich Andreas ***,6
+,Räbmatter Patrick ***,***,9.75,Giger Samuel ***,1
+,Döbeli Andreas *,*,10.00,Giger Samuel ***,2
-,Müllestein Mike ***,***,9.00,Giger Samuel ***,3
-,Schmid David ***,***,9.00,Giger Samuel ***,4
+,Schmid Samuel **,**,10.00,Giger Samuel ***,5
+,Anderegg David *,*,10.00,Giger Samuel ***,6
-,Bieri Christoph ***,***,8.75,Anderegg Simon ***,1
+,Schmid Samuel **,**,9.75,Anderegg Simon ***,2
+,Erb Roger **,**,10.00,Anderegg Simon ***,3
+,Voggensperger Janic **,**,9.75,Anderegg Simon ***,4
+,Räbmatter Patrick ***,***,9.75,Anderegg Simon ***,5
-,Müllestein Mike ***,***,9.00,Anderegg Simon ***,6
-,Stegmüller Klemens *,*,9.00,Leuthard Reto *,1
+,Bruder Adrian,Adrian,9.75,Leuthard Reto *,2
+,Gerber Manuel *,*,9.75,Leuthard Reto *,3
+,Ulrich Andreas ***,***,9.75,Leuthard Reto *,4
o,Alpiger Nick ***,***,8.50,Leuthard Reto *,5
+,Burkhardt Roy,Roy,10.00,Leuthard Reto *,6
o,Schmid Samuel **,**,8.50,Hauri Urs **,1
-,Anderegg David *,*,8.75,Hauri Urs **,2
+,Müller Christian,Christian,10.00,Hauri Urs **,3
+,Meyer Markus,Markus,9.75,Hauri Urs **,4
+,Mangold Michael **,**,9.75,Hauri Urs **,5
+,Brodard Augustin **,**,9.75,Hauri Urs **,6
+,Erb Roger **,**,9.75,Gapany Benjamin **,1
+,Schillig Willi **,**,10.00,Gapany Benjamin **,2
+,Studinger Stephan **,**,10.00,Gapany Benjamin **,3
-,Alpiger Nick ***,***,9.00,Gapany Benjamin **,4
o,Schmid David ***,***,8.75,Gapany Benjamin **,5
-,Döbeli Lukas (2000) **,**,8.75,Gapany Benjamin **,6
-,Alpiger Nick ***,***,8.75,Orlik Curdin **,1
+,Bearda Samuel **,**,10.00,Orlik Curdin **,2
+,Mangold Michael **,**,10.00,Orlik Curdin **,3
-,Döbeli Andreas *,*,8.75,Orlik Curdin **,4
+,Stalder Remo ***,***,9.75,Orlik Curdin **,5
-,Brand Christian **,**,8.75,Orlik Curdin **,6
-,Hügli Kaj **,**,8.75,Stüdeli Thomas **,1
-,Dobler Florian,Florian,8.75,Stüdeli Thomas **,2
+,Meyer Markus,Markus,10.00,Stüdeli Thomas **,3
+,Hasler Luis (2002),(2002),10.00,Stüdeli Thomas **,4
o,Brodard Augustin **,**,8.50,Stüdeli Thomas **,5
+,Järmann Florian (2002),(2002),10.00,Stüdeli Thomas **,6
-,Waldner Patrick **,**,8.75,Kramer Franz *,1
o,Bader Andreas **,**,8.50,Kramer Franz *,2
-,Widmer Dino,Dino,8.75,Kramer Franz *,3
+,Schaub Florent,Florent,10.00,Kramer Franz *,4
+,Fritz Christian,Christian,10.00,Kramer Franz *,5
+,Moser Matthias *,*,9.75,Kramer Franz *,6
o,Stoll Simon *,*,8.50,Döbeli Lukas (2000) **,1
+,Schmutz Adrian *,*,10.00,Döbeli Lukas (2000) **,2
o,Kropf Marcel **,**,8.50,Döbeli Lukas (2000) **,3
+,Nyﬀenegger Florian (2001),(2001),10.00,Döbeli Lukas (2000) **,4
+,Waldner Patrick **,**,10.00,Döbeli Lukas (2000) **,5
-,Gapany Benjamin **,**,8.75,Döbeli Lukas (2000) **,6
©,2021 Eidgenössischer Schwingerverba,Schwingerverba,nd,Döbeli Lukas (2000) **,7
