result,name,level,points,placed_fighter,fight_round
o,Wampﬂer Beat ***,***,8.50,Dind Samuel **,1
+,Dubey Gaël,Gaël,10.00,Dind Samuel **,2
+,Mauron Olivier *,*,10.00,Dind Samuel **,3
+,Derron Cédric *,*,9.75,Dind Samuel **,4
+,Kramer Lario (1998) *,*,10.00,Dind Samuel **,5
+,Glauser Thomas **,**,9.75,Dind Samuel **,6
-,Duplan Steve **,**,8.75,Guisolan Marc **,1
+,Kyburz Silas,Silas,9.75,Guisolan Marc **,2
+,Kropf Rolf **,**,10.00,Guisolan Marc **,3
+,Pouye Diey *,*,10.00,Guisolan Marc **,4
+,Dousse Michel *,*,10.00,Guisolan Marc **,5
-,Moser Steven **,**,8.75,Guisolan Marc **,6
-,Moser Steven **,**,8.75,Roschi Ruedi **,1
+,Roch Vincent *,*,10.00,Roschi Ruedi **,2
+,Dousse Michel *,*,10.00,Roschi Ruedi **,3
-,Piemontesi Pascal **,**,8.75,Roschi Ruedi **,4
+,Ducry Antoine,Antoine,9.75,Roschi Ruedi **,5
+,Mauron Olivier *,*,9.75,Roschi Ruedi **,6
+,Barras François (1998),(1998),10.00,Ducry Antoine,1
+,Morger Adrian,Adrian,10.00,Ducry Antoine,2
+,Emonet Frédéric *,*,10.00,Ducry Antoine,3
o,Dousse Michel *,*,8.50,Ducry Antoine,4
o,Roschi Ruedi **,**,8.50,Ducry Antoine,5
+,Chèvre Bernard,Bernard,9.75,Ducry Antoine,6
+,Kropf Rolf **,**,9.75,Gapany Benjamin **,1
+,Berset Julien *,*,10.00,Gapany Benjamin **,2
-,Wampﬂer Beat ***,***,8.50,Gapany Benjamin **,3
+,Riedo Fredy,Fredy,10.00,Gapany Benjamin **,4
o,Nydegger Michael ***,***,8.50,Gapany Benjamin **,5
+,Cropt Harald **,**,9.75,Gapany Benjamin **,6
-,Guisolan Marc **,**,8.75,Duplan Steve **,1
+,Loup Alexandre,Alexandre,10.00,Duplan Steve **,2
+,Liaudat Rudy **,**,10.00,Duplan Steve **,3
-,Borcard Johann **,**,8.75,Duplan Steve **,4
o,Glauser Thomas **,**,8.50,Duplan Steve **,5
+,Derron Julien,Julien,10.00,Duplan Steve **,6
+,Droxler Jonathan *,*,9.75,Nydegger Michael ***,1
-,Haenni Stéphane **,**,8.75,Nydegger Michael ***,2
+,Gottofrey Marc **,**,10.00,Nydegger Michael ***,3
+,Zosso Remo **,**,9.75,Nydegger Michael ***,4
+,Gapany Benjamin **,**,9.75,Nydegger Michael ***,5
+,Derron Cédric *,*,9.75,Nydegger Michael ***,6
-,Roschi Ruedi **,**,8.75,Moser Steven **,1
+,Wieland Micha,Micha,9.75,Moser Steven **,2
+,Cardinaux Victor *,*,10.00,Moser Steven **,3
+,Berset Julien *,*,10.00,Moser Steven **,4
+,Brodard Augustin **,**,10.00,Moser Steven **,5
-,Guisolan Marc **,**,8.75,Moser Steven **,6
+,Beer Peter (1999),(1999),10.00,Hayoz Paul (1998),1
-,Rüegg Patrick (1999),(1999),8.75,Hayoz Paul (1998),2
+,Skryapnik Oleg *,*,9.75,Hayoz Paul (1998),3
o,Wampﬂer Beat ***,***,8.50,Hayoz Paul (1998),4
+,Pürro Tobias,Tobias,10.00,Hayoz Paul (1998),5
+,Schwander Severin,Severin,10.00,Hayoz Paul (1998),6
+,Borcard Johann **,**,10.00,Roch Vincent *,1
o,Roschi Ruedi **,**,8.50,Roch Vincent *,2
+,Dufey Gil,Gil,9.75,Roch Vincent *,3
+,Beer Peter (1999),(1999),10.00,Roch Vincent *,4
o,Gottofrey Marc **,**,8.50,Roch Vincent *,5
+,Haenni Stéphane **,**,10.00,Roch Vincent *,6
+,Morger Adrian,Adrian,9.75,Wenger Marcel (1999),1
-,Gassmann Simon,Simon,8.75,Wenger Marcel (1999),2
+,Schafer Damien,Damien,9.75,Wenger Marcel (1999),3
+,Brodard Simon **,**,10.00,Wenger Marcel (1999),4
o,Piemontesi Pascal **,**,8.50,Wenger Marcel (1999),5
+,Riedo Fredy,Fredy,9.75,Wenger Marcel (1999),6
+,Glauser Thomas **,**,10.00,Haenni Stéphane **,1
-,Nydegger Michael ***,***,8.75,Haenni Stéphane **,2
-,Brodard Augustin **,**,8.75,Haenni Stéphane **,3
+,Burri Flemming,Flemming,10.00,Haenni Stéphane **,4
