result,name,level,points,placed_fighter,fight_round
+,Rhyner Michael **,**,10.00,Orlik Armon **,1
+,Coray Beda *,*,10.00,Orlik Armon **,2
-,Bösch Daniel ***,***,8.75,Orlik Armon **,3
+,Notz Beni ***,***,10.00,Orlik Armon **,4
+,Kuster Marcel **,**,10.00,Orlik Armon **,5
+,Giger Samuel (1998) **,**,10.00,Orlik Armon **,6
+,Schnurrenberger Roman **,**,9.75,Schneider Mario **,1
+,Schläpfer Matthias *,*,9.75,Schneider Mario **,2
+,Odermatt Martin *,*,9.75,Schneider Mario **,3
-,Rychen Roger **,**,9.00,Schneider Mario **,4
+,Giger Urs *,*,9.75,Schneider Mario **,5
+,Fejzaj Naim *,*,10.00,Schneider Mario **,6
o,Bösch Daniel ***,***,8.50,Schneider Domenic **,1
+,Truniger Manuel,Manuel,10.00,Schneider Domenic **,2
+,Hämmerli Gian-Franco *,*,10.00,Schneider Domenic **,3
+,Fejzaj Naim *,*,10.00,Schneider Domenic **,4
o,Schnurrenberger Roman **,**,8.75,Schneider Domenic **,5
+,Oertig Dominik *,*,10.00,Schneider Domenic **,6
o,Gwerder Andreas **,**,8.75,Koller Martin *,1
+,Salnajs Leo (1998),(1998),10.00,Koller Martin *,2
-,Nägeli Marco *,*,8.75,Koller Martin *,3
+,Korrodi Paul *,*,9.75,Koller Martin *,4
+,Raymann David,David,10.00,Koller Martin *,5
+,Landolt Reto *,*,9.75,Koller Martin *,6
+,Korrodi Paul *,*,10.00,Dumelin David *,1
o,Odermatt Christoph *,*,8.75,Dumelin David *,2
+,Büsser André,André,9.75,Dumelin David *,3
o,Siegenthaler Tobias *,*,8.50,Dumelin David *,4
+,Sprecher Sandro *,*,10.00,Dumelin David *,5
+,Koch Thomas,Thomas,10.00,Dumelin David *,6
o,Orlik Armon **,**,8.50,Rhyner Michael **,1
-,Wey Nicola *,*,8.75,Rhyner Michael **,2
+,Furrer Matthias,Matthias,10.00,Rhyner Michael **,3
+,Schläpfer Matthias *,*,9.75,Rhyner Michael **,4
+,Fässler Patrick,Patrick,9.75,Rhyner Michael **,5
+,Näf Pius *,*,10.00,Rhyner Michael **,6
+,Schlegel Reto *,*,10.00,Schläpfer Matthias *,1
o,Schneider Mario **,**,8.50,Schläpfer Matthias *,2
+,Roth Lukas *,*,9.75,Schläpfer Matthias *,3
o,Rhyner Michael **,**,8.50,Schläpfer Matthias *,4
+,Thiemann Fabrice,Fabrice,10.00,Schläpfer Matthias *,5
+,Glaus Martin ***,***,10.00,Schläpfer Matthias *,6
-,Schläpfer Markus **,**,8.75,Wickli Beat **,1
+,Fässler Patrick,Patrick,9.75,Wickli Beat **,2
