result,name,level,points,placed_fighter,fight_round
+,Rychen Roger **,**,10.00,Zwyssig Raphael ***,1
+,Güntensperger Marcel *,*,10.00,Zwyssig Raphael ***,2
+,Scherer Christian *,*,10.00,Zwyssig Raphael ***,3
+,Bernold Christian **,**,10.00,Zwyssig Raphael ***,4
+,Fejzaj Naim **,**,10.00,Zwyssig Raphael ***,5
-,Bless Michael ***,***,9.00,Zwyssig Raphael ***,6
o,Scherer Christian *,*,8.75,Giger Urs *,1
+,Horner Sämi,Sämi,10.00,Giger Urs *,2
-,Rüegg Fabian *,*,9.00,Giger Urs *,3
+,Bürgler Patrick,Patrick,10.00,Giger Urs *,4
+,Leuppi Karim *,*,10.00,Giger Urs *,5
+,Landolt Reto *,*,9.75,Giger Urs *,6
-,Bernold Christian **,**,9.00,Fejzaj Naim **,1
+,Harder Benj,Benj,10.00,Fejzaj Naim **,2
+,Jöhl Christian *,*,9.75,Fejzaj Naim **,3
+,Horner Sämi,Sämi,10.00,Fejzaj Naim **,4
o,Zwyssig Raphael ***,***,8.50,Fejzaj Naim **,5
+,Rüegg Fabian *,*,10.00,Fejzaj Naim **,6
+,Akeret Benno *,*,10.00,Koch Thomas,1
+,Frei Hanspeter (1999),(1999),9.75,Koch Thomas,2
+,Elmer Daniel *,*,10.00,Koch Thomas,3
o,Good Marco *,*,8.75,Koch Thomas,4
+,Scherer Christian *,*,10.00,Koch Thomas,5
o,Bösch Daniel ***,***,8.50,Koch Thomas,6
+,Bless Michael ***,***,9.75,Bösch Daniel ***,1
-,Hersche Martin **,**,8.75,Bösch Daniel ***,2
+,Horner Peter **,**,10.00,Bösch Daniel ***,3
-,Kuster Marcel **,**,8.75,Bösch Daniel ***,4
+,Frick Andreas *,*,9.75,Bösch Daniel ***,5
+,Koch Thomas,Thomas,9.75,Bösch Daniel ***,6
+,Gmür Pirmin *,*,9.75,Schneider Domenic **,1
+,Kuster Thomas *,*,9.75,Schneider Domenic **,2
o,Leuppi Samir **,**,8.50,Schneider Domenic **,3
-,Kammermann Dominik,Dominik,9.00,Schneider Domenic **,4
+,Burkhard Patrick *,*,10.00,Schneider Domenic **,5
+,Oertig Dominik **,**,9.75,Schneider Domenic **,6
+,Burkhard Patrick *,*,9.75,Kuster Thomas *,1
o,Schneider Domenic **,**,8.50,Kuster Thomas *,2
+,Funk Nicola (1999),(1999),9.75,Kuster Thomas *,3
+,Riedi Thomas,Thomas,10.00,Kuster Thomas *,4
+,Hersche Daniel,Daniel,9.75,Kuster Thomas *,5
-,Good Marco *,*,8.75,Kuster Thomas *,6
+,Leuppi Karim *,*,9.75,Frick Andreas *,1
o,Rychen Roger **,**,8.50,Frick Andreas *,2
+,Hengartner Ivo,Ivo,10.00,Frick Andreas *,3
+,Götti Samuel (1998),(1998),9.75,Frick Andreas *,4
o,Bösch Daniel ***,***,8.50,Frick Andreas *,5
+,Notz Armin *,*,10.00,Frick Andreas *,6
o,Bösch Daniel ***,***,8.50,Bless Michael ***,1
+,Krähenbühl Lukas *,*,10.00,Bless Michael ***,2
+,Korrodi Paul *,*,10.00,Bless Michael ***,3
+,Rychen Roger **,**,10.00,Bless Michael ***,4
+,Coray Beda *,*,10.00,Bless Michael ***,5
+,Schneider Mario **,**,9.75,Bless Michael ***,6
-,Zwyssig Raphael ***,***,0.00,Bless Michael ***,7
o,Oertig Adrian **,**,8.50,Schläpfer Markus **,1
+,Götti Samuel (1998),(1998),10.00,Schläpfer Markus **,2
+,Akeret Benno *,*,10.00,Schläpfer Markus **,3
-,Leuppi Samir **,**,9.00,Schläpfer Markus **,4
+,Ackermann Remo *,*,10.00,Schläpfer Markus **,5
