result,name,level,points,placed_fighter,fight_round
©,2016 Eidgenössischer Schwingerverba,Schwingerverba,nd,,0
,ONWGiswilKra,ONWGiswilKra,nz,URBürglenKran,1
,URAttinghausenKran,URAttinghausenKran,z,ONWNidwaldenKran,1
,ONWLungernKran,ONWLungernKran,z,ONWNidwaldenKran,2
,SZMuotathalKran,SZMuotathalKran,z,ONWNidwaldenKran,3
,GRHeinzenbergKran,GRHeinzenbergKran,z,ONWNidwaldenKran,1
,ONWSachselnKran,ONWSachselnKran,z,ONWNidwaldenKran,2
,ONWNidwaldenNeu,ONWNidwaldenNeu,kranze,ONWNidwaldenKran,1
,SZRigiverbandKran,SZRigiverbandKran,z,ONWSachselnKran,1
,ONWLungern,ONWLungern,,ONWNidwaldenKran,1
,ONWKerns,ONWKerns,,nONWNidwalden,1
,ONWLungern,ONWLungern,,ONWNidwalden,1
,URFlüelen,URFlüelen,,GRDavos,1
,LUEntlebuch,LUEntlebuch,,ONWSachseln,1
,02.08.2016 18:27,18:27,Seite 1/,ONWBeckenried,1
©,2016 Eidgenössischer Schwingerverba,Schwingerverba,nd,T,1
,ONWGiswil,ONWGiswil,,URBürglen,1
,ONWKerns,ONWKerns,,ONWSachseln,1
,ONWLungern,ONWLungern,,ONWSachseln,2
,LUWolhusen,LUWolhusen,,ONWNidwalden,1
,ONWNidwalden,ONWNidwalden,,ONWAlpnach,1
,GRHeinzenberg,GRHeinzenberg,,SZMuotathal,1
,LURothenburg,LURothenburg,,ONWBeckenried,1
,GRHeinzenberg,GRHeinzenberg,,ONWBeckenried,2
,LUWiggertal,LUWiggertal,,ONWNidwalden,1
,ONWGiswil,ONWGiswil,,ONWNidwalden,2
,URErstfeld,URErstfeld,,ONWNidwalden,3
,ONWGiswil,ONWGiswil,,ONWBeckenried,1
,GRHeinzenberg,GRHeinzenberg,,ONWBeckenried,2
,ONWLungern,ONWLungern,,ONWBeckenried,3
,ONWLungern,ONWLungern,,ONWBeckenried,4
,URFlüelen,URFlüelen,,ONWBeckenried,5
,ONWGiswil,ONWGiswil,,ONWSachseln,1
,ONWKerns,ONWKerns,,ONWSachseln,2
,ONWNidwalden,ONWNidwalden,,ONWSachseln,3
,ONWKerns,ONWKerns,,lisauLUWiggertal,1
,ONWLungern,ONWLungern,,lisauLUWiggertal,2
,ONWKerns,ONWKerns,,lisauLUWiggertal,3
,ONWSarnen,ONWSarnen,,lisauLUWiggertal,4
,ONWNidwalden,ONWNidwalden,,ONWNidwalden,1
,TITessin,TITessin,,ONWNidwalden,2
,URFlüelen,URFlüelen,,ONWNidwalden,3
,02.08.2016 18:27,18:27,Seite 2/,ONWNidwalden,4
©,2016 Eidgenössischer Schwingerverba,Schwingerverba,nd,", S",1
,ONWKerns,ONWKerns,,SchwingklubSta,1
,URErstfeld,URErstfeld,,URSchattdorf,1
,URFlüelen,URFlüelen,,URSchattdorf,2
,ONWGiswil,ONWGiswil,,URBürglen,1
,ONWKerns,ONWKerns,,ONWSachseln,1
,ONWLungern,ONWLungern,,ONWBeckenried,1
,ONWLungern,ONWLungern,,ONWAlpnach,1
,TITessin,TITessin,,URBürglen,1
,ONWLungern,ONWLungern,,URBürglen,2
,ONWKerns,ONWKerns,,URBürglen,3
,GRDavos,GRDavos,,ONWSachseln,1
,ONWAlpnachUnfa,ONWAlpnachUnfa,ll,URSchattdorfUnfa,1
,URErstfeldUnfa,URErstfeldUnfa,ll,URSchattdorfUnfa,2
,ONWGiswil,ONWGiswil,,URSchattdorfUnfa,3
,ONWLungern,ONWLungern,,URSchattdorfUnfa,4
,ONWKerns,ONWKerns,,URSchattdorfUnfa,5
,ONWLungern,ONWLungern,,ONWNidwalden,1
,ONWGiswil,ONWGiswil,,ZGAegerital,1
,ONWLungern,ONWLungern,,ZGAegerital,2
,ONWLungern,ONWLungern,,ZGAegerital,3
,ONWKerns,ONWKerns,,ZGAegerital,4
,ONWLungern,ONWLungern,,URBürglen,1
,TITessin,TITessin,,TITessin,1
,02.08.2016 18:27,18:27,Seite 3/,URBürglenUnfa,1
©,2016 Eidgenössischer Schwingerverba,Schwingerverba,nd,,0
,ONWKernsUnfa,ONWKernsUnfa,ll,SchwingklubSta,1
,02.08.2016 18:27,18:27,Seite 4/,ZGAegeritalUnfa,1
