result,name,level,points,placed_fighter,fight_round
+,Grab Martin ***,***,10.00,Sempach Matthias ***,1
+,Betschart Rainer **,**,10.00,Sempach Matthias ***,2
+,Roschi Ruedi **,**,10.00,Sempach Matthias ***,3
-,Stucki Christian ***,***,8.75,Sempach Matthias ***,4
+,Schuler Philipp **,**,9.75,Sempach Matthias ***,5
+,Stucki Christian ***,***,10.00,Sempach Matthias ***,6
+,Gloggner Philipp ***,***,10.00,Stucki Christian ***,1
+,Kennel Beat *,*,10.00,Stucki Christian ***,2
+,Käser Remo **,**,9.75,Stucki Christian ***,3
-,Sempach Matthias ***,***,8.75,Stucki Christian ***,4
+,Gerber Christian **,**,10.00,Stucki Christian ***,5
o,Sempach Matthias ***,***,8.75,Stucki Christian ***,6
-,Schurtenberger Sven **,**,8.75,Wenger Kilian ***,1
+,Kälin Remo *,*,9.75,Wenger Kilian ***,2
-,Schuler Alex **,**,9.00,Wenger Kilian ***,3
+,Schelbert Ralf **,**,10.00,Wenger Kilian ***,4
+,Brun Jonas **,**,10.00,Wenger Kilian ***,5
+,Suppiger René **,**,9.75,Wenger Kilian ***,6
-,Waser Dominik **,**,8.75,Aeschbacher Matthias **,1
+,Höﬂiger Andreas **,**,10.00,Aeschbacher Matthias **,2
+,Felder Seppi *,*,10.00,Aeschbacher Matthias **,3
o,Gnägi Florian ***,***,8.50,Aeschbacher Matthias **,4
+,Lang Sven (1998) *,*,9.75,Aeschbacher Matthias **,5
+,Grab Martin ***,***,9.75,Aeschbacher Matthias **,6
o,Käser Remo **,**,8.50,Schuler Alex **,1
+,Schenk Patrick **,**,9.75,Schuler Alex **,2
-,Wenger Kilian ***,***,8.75,Schuler Alex **,3
+,Niederberger Markus *,*,10.00,Schuler Alex **,4
+,Guisolan Marc **,**,9.75,Schuler Alex **,5
+,Felder Seppi *,*,9.75,Schuler Alex **,6
-,Wenger Kilian ***,***,8.75,Schurtenberger Sven **,1
-,Moser Michael **,**,9.00,Schurtenberger Sven **,2
+,Bloch Dominic **,**,10.00,Schurtenberger Sven **,3
+,Aellen Florian *,*,10.00,Schurtenberger Sven **,4
+,Weyermann Florian *,*,9.75,Schurtenberger Sven **,5
o,Kämpf Bernhard ***,***,8.50,Schurtenberger Sven **,6
-,Gwerder Carlo **,**,8.75,Weyermann Florian *,1
+,Küttel Pirmin **,**,9.75,Weyermann Florian *,2
+,Imfeld Peter ***,***,10.00,Weyermann Florian *,3
+,Reichmuth Armin *,*,10.00,Weyermann Florian *,4
o,Schurtenberger Sven **,**,8.50,Weyermann Florian *,5
o,Linggi Bruno **,**,8.75,Weyermann Florian *,6
+,Droxler Jonathan **,**,9.75,Bürli Roger **,1
-,Sempach Thomas ***,***,8.75,Bürli Roger **,2
o,Thomet Adrian **,**,8.50,Bürli Roger **,3
+,Waser Reto *,*,10.00,Bürli Roger **,4
o,Grab Martin ***,***,8.50,Bürli Roger **,5
+,Roch Vincent **,**,10.00,Bürli Roger **,6
o,Kennel Stefan **,**,8.50,Gerber Christian **,1
+,Murer Andy *,*,10.00,Gerber Christian **,2
+,Grab Martin ***,***,10.00,Gerber Christian **,3
+,Kennel Beat *,*,10.00,Gerber Christian **,4
o,Stucki Christian ***,***,8.50,Gerber Christian **,5
o,Betschart Rainer **,**,8.50,Gerber Christian **,6
+,Steinauer Adrian **,**,10.00,Anderegg Simon ***,1
+,Kennel Stefan **,**,9.75,Anderegg Simon ***,2
+,Gapany Benjamin **,**,10.00,Anderegg Simon ***,3
+,Fankhauser Erich ***,***,9.75,Anderegg Simon ***,4
-,Sempach Thomas ***,***,8.75,Anderegg Simon ***,5
+,Nötzli Reto ***,***,9.75,Anderegg Simon ***,6
+,Suppiger René **,**,9.75,Gnägi Florian ***,1
-,Linggi Bruno **,**,9.00,Gnägi Florian ***,2
+,Gwerder Dario **,**,10.00,Gnägi Florian ***,3
+,Aeschbacher Matthias **,**,10.00,Gnägi Florian ***,4
-,Kämpf Bernhard ***,***,8.75,Gnägi Florian ***,5
+,Steinauer Adrian **,**,9.75,Gnägi Florian ***,6
-,Kämpf Bernhard ***,***,8.75,Fankhauser Erich ***,1
+,Emonet Frédéric *,*,10.00,Fankhauser Erich ***,2
+,Roch Vincent **,**,10.00,Fankhauser Erich ***,3
o,Anderegg Simon ***,***,8.50,Fankhauser Erich ***,4
+,Rolli Martin **,**,10.00,Fankhauser Erich ***,5
+,Roschi Ruedi **,**,10.00,Fankhauser Erich ***,6
+,Nydegger Michael ***,***,9.75,Betschart Rainer **,1
o,Sempach Matthias ***,***,8.50,Betschart Rainer **,2
-,Gloggner Reto **,**,8.75,Betschart Rainer **,3
+,Hess Dominik *,*,10.00,Betschart Rainer **,4
+,Aellen Florian *,*,10.00,Betschart Rainer **,5
+,Gerber Christian **,**,9.75,Betschart Rainer **,6
+,Schuler Alex **,**,9.75,Käser Remo **,1
+,Wyrsch Marco *,*,10.00,Käser Remo **,2
o,Stucki Christian ***,***,8.50,Käser Remo **,3
+,Kennel Stefan **,**,9.75,Käser Remo **,4
o,Nötzli Reto ***,***,8.75,Käser Remo **,5
+,Rohrer Ivan **,**,9.75,Käser Remo **,6
-,Studer Stefan **,**,8.75,Brun Jonas **,1
+,Heinzer Stefan *,*,10.00,Brun Jonas **,2
+,Rolli Martin **,**,9.75,Brun Jonas **,3
-,Roschi Ruedi **,**,8.75,Brun Jonas **,4
o,Wenger Kilian ***,***,8.50,Brun Jonas **,5
+,Wyss Kilian **,**,10.00,Brun Jonas **,6
+,Blaser Theo *,*,9.75,Moser Michael **,1
-,Schurtenberger Sven **,**,8.75,Moser Michael **,2
+,Waser Reto *,*,10.00,Moser Michael **,3
o,Nötzli Reto ***,***,8.50,Moser Michael **,4
-,Reichmuth Armin *,*,8.75,Moser Michael **,5
+,Schärli Pius *,*,9.75,Moser Michael **,6
+,Gloggner Reto **,**,9.75,Roschi Ruedi **,1
+,Reichmuth Armin *,*,10.00,Roschi Ruedi **,2
o,Sempach Matthias ***,***,8.50,Roschi Ruedi **,3
-,Brun Jonas **,**,8.75,Roschi Ruedi **,4
+,Kennel Stefan **,**,10.00,Roschi Ruedi **,5
o,Fankhauser Erich ***,***,8.50,Roschi Ruedi **,6
-,Arnold Raphael *,*,8.75,Felder Seppi *,1
+,Guisolan Marc **,**,10.00,Felder Seppi *,2
o,Aeschbacher Matthias **,**,8.50,Felder Seppi *,3
+,Steﬀen Gustav *,*,9.75,Felder Seppi *,4
+,Emonet Frédéric *,*,9.75,Felder Seppi *,5
o,Schuler Alex **,**,8.50,Felder Seppi *,6
©,2021 Eidgenössischer Schwingerverba,Schwingerverba,nd,Felder Seppi *,7
+,Nötzli Reto ***,***,10.00,Sempach Thomas ***,1
-,Bürli Roger **,**,9.00,Sempach Thomas ***,2
+,Rohrer Ivan **,**,10.00,Sempach Thomas ***,3
+,Müller Michael **,**,10.00,Sempach Thomas ***,4
-,Anderegg Simon ***,***,8.75,Sempach Thomas ***,5
+,Gapany Benjamin **,**,9.75,Sempach Thomas ***,6
-,Fankhauser Erich ***,***,9.00,Kämpf Bernhard ***,1
+,Waser Reto *,*,10.00,Kämpf Bernhard ***,2
+,Hurschler Thomas **,**,10.00,Kämpf Bernhard ***,3
+,Thomet Adrian **,**,9.75,Kämpf Bernhard ***,4
-,Gnägi Florian ***,***,8.75,Kämpf Bernhard ***,5
+,Schurtenberger Sven **,**,9.75,Kämpf Bernhard ***,6
o,Sempach Thomas ***,***,8.50,Nötzli Reto ***,1
