result,name,level,points,placed_fighter,fight_round
+,Voggensperger Janic **,**,10.00,Wicki Joel **,1
+,Alpiger Nick ***,***,9.75,Wicki Joel **,2
+,Gisler Bruno ***,***,10.00,Wicki Joel **,3
-,Schmid David ***,***,9.00,Wicki Joel **,4
+,Kropf Marcel **,**,10.00,Wicki Joel **,5
+,Thürig Mario ***,***,10.00,Wicki Joel **,6
+,Schmid Samuel **,**,10.00,Thürig Mario ***,1
+,Leuthard Reto *,*,10.00,Thürig Mario ***,2
+,Fankhauser Erich ***,***,10.00,Thürig Mario ***,3
-,Fankhauser Reto **,**,8.75,Thürig Mario ***,4
+,Brun Samuel (1999) **,**,10.00,Thürig Mario ***,5
o,Wicki Joel **,**,8.75,Thürig Mario ***,6
o,Fankhauser Erich ***,***,8.50,Erb Roger **,1
+,Gerber Valentin (1999),(1999),10.00,Erb Roger **,2
+,Schaﬀner Samuel **,**,10.00,Erb Roger **,3
-,Döbeli Andreas *,*,9.00,Erb Roger **,4
+,Jusuﬁ Azret,Azret,9.75,Erb Roger **,5
+,Hermann Oliver *,*,10.00,Erb Roger **,6
o,Wicki Joel **,**,8.50,Voggensperger Janic **,1
+,Läuchli Janik (2000),(2000),10.00,Voggensperger Janic **,2
+,Hügli Kaj *,*,9.75,Voggensperger Janic **,3
+,Bader Fabian (2000),(2000),9.75,Voggensperger Janic **,4
-,Stoll Simon *,*,8.75,Voggensperger Janic **,5
+,Lisser Daniel *,*,10.00,Voggensperger Janic **,6
-,Winiger Fabian **,**,8.75,Arnold Kornel *,1
+,Burtschi Michael,Michael,10.00,Arnold Kornel *,2
+,Küng Marco *,*,9.75,Arnold Kornel *,3
o,Fankhauser Erich ***,***,8.50,Arnold Kornel *,4
+,Bader Fabian (2000),(2000),10.00,Arnold Kornel *,5
+,Nussbaumer Gabriel,Gabriel,9.75,Arnold Kornel *,6
+,Bieri Christoph ***,***,9.75,Kropf Marcel **,1
o,Döbeli Lukas (2000) *,*,8.50,Kropf Marcel **,2
+,Abt Robin,Robin,10.00,Kropf Marcel **,3
+,Burkhardt Roy,Roy,10.00,Kropf Marcel **,4
o,Wicki Joel **,**,8.50,Kropf Marcel **,5
+,Portmann Roger,Roger,10.00,Kropf Marcel **,6
+,Körkel Yannik,Yannik,9.75,Gerber Andrj (2000),1
o,Bader Andreas **,**,8.50,Gerber Andrj (2000),2
+,Binggeli Silvan (1999),(1999),10.00,Gerber Andrj (2000),3
+,Küng Marco *,*,9.75,Gerber Andrj (2000),4
