result,name,level,points,placed_fighter,fight_round
+,Britschgi Melk **,**,9.75,Schuler Christian ***,1
+,Schelbert Ralf **,**,9.75,Schuler Christian ***,2
+,Nötzli Bruno ***,***,10.00,Schuler Christian ***,3
+,Linggi Bruno **,**,9.75,Schuler Christian ***,4
+,Gwerder Dario,Dario,9.75,Schuler Christian ***,5
+,Grab Martin ***,***,10.00,Schuler Christian ***,6
+,Fischer Tobias,Tobias,10.00,Gwerder Dario,1
+,Wittwer Jan *,*,10.00,Gwerder Dario,2
+,Kennel Stefan *,*,10.00,Gwerder Dario,3
o,Schuler Christian ***,***,8.50,Gwerder Dario,4
-,Waser Dominik **,**,8.75,Gwerder Dario,5
+,Schindler Thomas,Thomas,10.00,Gwerder Dario,6
-,Müllestein Mike **,**,8.75,Bieri Marcel **,1
+,Fink Bruno *,*,10.00,Bieri Marcel **,2
+,Kessler Joel,Joel,10.00,Bieri Marcel **,3
o,Schelbert Ralf **,**,8.50,Bieri Marcel **,4
+,Schürpf Bruno,Bruno,9.75,Bieri Marcel **,5
+,Blaser Theo *,*,10.00,Bieri Marcel **,6
+,Zimmermann Daniel *,*,10.00,Bieri Christian *,1
+,Heinzer Stefan *,*,10.00,Bieri Christian *,2
o,Laimbacher Philipp ***,***,8.50,Bieri Christian *,3
+,Suter Paul,Paul,10.00,Bieri Christian *,4
o,Grab Martin ***,***,8.50,Bieri Christian *,5
+,Betschart Patrick (1999),(1999),10.00,Bieri Christian *,6
o,Schuler Christian ***,***,8.50,Britschgi Melk **,1
-,Fässler Cornel *,*,8.75,Britschgi Melk **,2
+,Küttel Samuel,Samuel,10.00,Britschgi Melk **,3
+,Gwerder Beni,Beni,9.75,Britschgi Melk **,4
+,Hösli Fritz *,*,10.00,Britschgi Melk **,5
+,Kessler Joel,Joel,9.75,Britschgi Melk **,6
+,Lustenberger Josef,Josef,9.75,Bürgler Lukas,1
+,Hurschler Michael,Michael,9.75,Bürgler Lukas,2
