result,name,level,points,placed_fighter,fight_round
+,Gisler Bruno ***,***,10.00,Sempach Thomas ***,1
+,Döbeli Andreas *,*,10.00,Sempach Thomas ***,2
+,Stalder Remo ***,***,9.75,Sempach Thomas ***,3
+,Thürig Mario ***,***,9.75,Sempach Thomas ***,4
+,Bieri Christoph ***,***,9.75,Sempach Thomas ***,5
+,Widmer Tobias **,**,10.00,Sempach Thomas ***,6
+,Nägeli Marco **,**,10.00,Widmer Tobias **,1
+,Probst Gabriel **,**,10.00,Widmer Tobias **,2
-,Fankhauser Erich ***,***,8.75,Widmer Tobias **,3
+,Lisser Daniel *,*,9.75,Widmer Tobias **,4
+,Erb Roger **,**,10.00,Widmer Tobias **,5
o,Sempach Thomas ***,***,8.75,Widmer Tobias **,6
+,Steinmann Yves *,*,10.00,Erb Roger **,1
+,Schenk Patrick ***,***,10.00,Erb Roger **,2
-,Schmid David ***,***,8.75,Erb Roger **,3
+,Leuthard Reto *,*,10.00,Erb Roger **,4
o,Widmer Tobias **,**,8.50,Erb Roger **,5
+,Büttler Adrian,Adrian,10.00,Erb Roger **,6
-,Thürig Mario ***,***,8.75,von Weissenﬂuh Kilian **,1
-,Klausner Yanick **,**,8.75,von Weissenﬂuh Kilian **,2
+,Huber Fabian,Fabian,10.00,von Weissenﬂuh Kilian **,3
+,Hasler Manuel *,*,10.00,von Weissenﬂuh Kilian **,4
+,Stoll Simon *,*,9.75,von Weissenﬂuh Kilian **,5
+,Schmutz Adrian *,*,9.75,von Weissenﬂuh Kilian **,6
+,Fritz Andreas,Andreas,9.75,Freund Romeo **,1
o,Nägeli Marco **,**,8.50,Freund Romeo **,2
+,Jakober Daniel,Daniel,9.75,Freund Romeo **,3
+,Läuchli Janik (2000),(2000),9.75,Freund Romeo **,4
-,Thürig Mario ***,***,9.00,Freund Romeo **,5
+,Leuthard Reto *,*,10.00,Freund Romeo **,6
-,Mangold Michael **,**,8.75,Voggensperger Janic **,1
+,Kaspar Jan,Jan,9.75,Voggensperger Janic **,2
+,Kehr Damian (2001),(2001),10.00,Voggensperger Janic **,3
o,Bieri Marcel **,**,8.50,Voggensperger Janic **,4
+,Anderegg David *,*,9.75,Voggensperger Janic **,5
+,Stoll Thomas,Thomas,10.00,Voggensperger Janic **,6
o,Oertig Dominik **,**,8.50,Räbmatter Patrick ***,1
+,Anderegg David *,*,10.00,Räbmatter Patrick ***,2
o,Bieri Marcel **,**,8.50,Räbmatter Patrick ***,3
+,Krebs Clemens,Clemens,10.00,Räbmatter Patrick ***,4
+,Hauri Urs **,**,10.00,Räbmatter Patrick ***,5
+,Schmid Dominik **,**,9.75,Räbmatter Patrick ***,6
+,Studinger Stephan **,**,9.75,Schmid Dominik **,1
o,Stalder Remo ***,***,8.50,Schmid Dominik **,2
+,Brügger Joël (2000),(2000),9.75,Schmid Dominik **,3
+,Kropf Marcel **,**,9.75,Schmid Dominik **,4
+,Stegmüller Klemens *,*,10.00,Schmid Dominik **,5
o,Räbmatter Patrick ***,***,8.50,Schmid Dominik **,6
-,Hauri Urs **,**,8.75,Schmid Samuel **,1
-,Arnold Kornel *,*,8.75,Schmid Samuel **,2
+,Bruder Adrian,Adrian,9.75,Schmid Samuel **,3
+,Brügger Joël (2000),(2000),10.00,Schmid Samuel **,4
-,Bader Andreas **,**,8.75,Schmid Samuel **,5
+,Reinhard Adrian,Adrian,9.75,Schmid Samuel **,6
+,Schenk Patrick ***,***,9.75,Alpiger Nick ***,1
-,Oertig Dominik **,**,9.00,Alpiger Nick ***,2
+,Bader Andreas **,**,9.75,Alpiger Nick ***,3
+,Brun Samuel **,**,10.00,Alpiger Nick ***,4
+,Gisler Bruno ***,***,9.75,Alpiger Nick ***,5
+,Bieri Marcel **,**,9.75,Alpiger Nick ***,6
+,Dobler Florian,Florian,9.75,Räber Lukas,1
-,Hauri Urs **,**,8.75,Räber Lukas,2
+,Schillig Willi **,**,9.75,Räber Lukas,3
-,Küng Marco *,*,9.00,Räber Lukas,4
+,Dettwiler Patrick,Patrick,10.00,Räber Lukas,5
+,Büttler Gian (2000),(2000),10.00,Räber Lukas,6
-,Bieri Christoph ***,***,8.75,Fankhauser Erich ***,1
+,Kropf Marcel **,**,10.00,Fankhauser Erich ***,2
-,Widmer Tobias **,**,8.75,Fankhauser Erich ***,3
+,Schaﬀner Samuel **,**,10.00,Fankhauser Erich ***,4
+,Vieira Tiago **,**,9.75,Fankhauser Erich ***,5
+,Kocher Remo **,**,9.75,Fankhauser Erich ***,6
+,Schaﬀner Samuel **,**,10.00,Kropf Marcel **,1
o,Fankhauser Erich ***,***,8.50,Kropf Marcel **,2
+,Schwenkfelder Lukas,Lukas,10.00,Kropf Marcel **,3
o,Schmid Dominik **,**,8.50,Kropf Marcel **,4
+,Reinhard Pirmin (2001),(2001),10.00,Kropf Marcel **,5
+,Winiger Fabian **,**,10.00,Kropf Marcel **,6
+,Lisser Daniel *,*,10.00,Klausner Yanick **,1
-,von Weissenﬂuh Kilian **,**,8.75,Klausner Yanick **,2
o,Thürig Mario ***,***,8.50,Klausner Yanick **,3
+,Bieli Andreas,Andreas,10.00,Klausner Yanick **,4
+,Jusuﬁ Ilber,Ilber,9.75,Klausner Yanick **,5
+,Rüegger Aaron,Aaron,9.75,Klausner Yanick **,6
+,Moser Matthias *,*,9.75,Döbeli Andreas *,1
o,Sempach Thomas ***,***,8.50,Döbeli Andreas *,2
+,Stoll Thomas,Thomas,10.00,Döbeli Andreas *,3
+,Probst Gabriel **,**,10.00,Döbeli Andreas *,4
