result,name,level,points,placed_fighter,fight_round
-,Egli Pirmin **,**,8.75,Moser Steven **,1
+,Schmidiger Marco *,*,10.00,Moser Steven **,2
+,Emonet Frédéric *,*,10.00,Moser Steven **,3
+,Lerch Jimmy *,*,10.00,Moser Steven **,4
+,Dind Samuel **,**,10.00,Moser Steven **,5
+,Kramer Lario **,**,10.00,Moser Steven **,6
+,Giroud Jonathan **,**,10.00,Kramer Lario **,1
-,Duplan Steve **,**,9.00,Kramer Lario **,2
+,Gottofrey Luc *,*,9.75,Kramer Lario **,3
+,Haenni Stéphane **,**,10.00,Kramer Lario **,4
+,Egli Damian **,**,10.00,Kramer Lario **,5
o,Moser Steven **,**,8.75,Kramer Lario **,6
+,Dousse Michel **,**,10.00,Duplan Steve **,1
-,Kramer Lario **,**,9.00,Duplan Steve **,2
+,Barras André *,*,9.75,Duplan Steve **,3
o,Egli Damian **,**,8.50,Duplan Steve **,4
+,Wieland Micha,Micha,10.00,Duplan Steve **,5
+,Crausaz Simon,Simon,9.75,Duplan Steve **,6
o,Dind Samuel **,**,8.50,Roch Vincent **,1
+,Balimann Sandro (2001),(2001),9.75,Roch Vincent **,2
+,Crettaz Olivier,Olivier,10.00,Roch Vincent **,3
+,Schafer Damien *,*,10.00,Roch Vincent **,4
+,Mosimann Vincent *,*,10.00,Roch Vincent **,5
o,Piemontesi Pascal **,**,8.50,Roch Vincent **,6
-,Rapin Florent,Florent,8.75,Crettaz Olivier,1
+,Pürro David (2001),(2001),10.00,Crettaz Olivier,2
o,Roch Vincent **,**,8.50,Crettaz Olivier,3
+,Gottofrey Luc *,*,9.75,Crettaz Olivier,4
+,Sturny Nicolas,Nicolas,9.75,Crettaz Olivier,5
+,Bersier Jean-Jacques *,*,9.75,Crettaz Olivier,6
+,Z'Rotz Roman,Roman,9.75,Derron Julien,1
o,Matthey Mickaël **,**,8.50,Derron Julien,2
+,Taillard Virgile,Virgile,9.75,Derron Julien,3
o,Doppmann Ueli,Ueli,8.50,Derron Julien,4
+,Holweger Marek,Marek,9.75,Derron Julien,5
+,Dorsaz Alexandre *,*,10.00,Derron Julien,6
-,Crettaz Olivier,Olivier,8.75,Rapin Florent,1
+,Dormond Noa,Noa,10.00,Rapin Florent,2
o,Egli David *,*,8.50,Rapin Florent,3
-,Dorsaz Alexandre *,*,8.75,Rapin Florent,4
+,Vionnet Julien (2000),(2000),10.00,Rapin Florent,5
+,Remy André (2001),(2001),10.00,Rapin Florent,6
-,Moser Steven **,**,8.75,Egli Pirmin **,1
+,Mollet Ivan *,*,10.00,Egli Pirmin **,2
o,Haenni Stéphane **,**,8.50,Egli Pirmin **,3
-,Ledermann Michael (2000),(2000),9.00,Egli Pirmin **,4
+,Barras André *,*,9.75,Egli Pirmin **,5
+,Ambresin Cyril (1999),(1999),9.75,Egli Pirmin **,6
+,Roch Vincent **,**,9.75,Dind Samuel **,1
o,Piemontesi Pascal **,**,8.50,Dind Samuel **,2
+,Golliard Steve,Steve,10.00,Dind Samuel **,3
+,Sturny Nicolas,Nicolas,10.00,Dind Samuel **,4
o,Moser Steven **,**,8.50,Dind Samuel **,5
-,Brodard Simon **,**,9.00,Dind Samuel **,6
+,Egli Damian **,**,10.00,Piemontesi Pascal **,1
+,Dind Samuel **,**,9.75,Piemontesi Pascal **,2
-,Brodard Simon **,**,8.75,Piemontesi Pascal **,3
+,Lützelschwab Luc (1999),(1999),10.00,Piemontesi Pascal **,4
+,Dousse Michel **,**,10.00,Piemontesi Pascal **,5
+,Roch Vincent **,**,9.75,Piemontesi Pascal **,6
+,Doppmann Urs *,*,10.00,Haenni Stéphane **,1
+,Bersier Jean-Jacques *,*,10.00,Haenni Stéphane **,2
+,Egli Pirmin **,**,10.00,Haenni Stéphane **,3
o,Kramer Lario **,**,8.50,Haenni Stéphane **,4
-,Brodard Augustin **,**,8.75,Haenni Stéphane **,5
+,Cotting Florian,Florian,10.00,Haenni Stéphane **,6
+,Schafer Damien *,*,10.00,Mollet Ivan *,1
o,Egli Pirmin **,**,8.50,Mollet Ivan *,2
+,Vaucher Rémy (1999),(1999),10.00,Mollet Ivan *,3
+,Pürro Tobias,Tobias,10.00,Mollet Ivan *,4
o,Borcard Johann **,**,8.75,Mollet Ivan *,5
+,Berset Julien *,*,9.75,Mollet Ivan *,6
o,Duplan Steve **,**,8.50,Dousse Michel **,1
+,Doppmann Ueli,Ueli,9.75,Dousse Michel **,2
+,Dorsaz Alexandre *,*,10.00,Dousse Michel **,3
+,Ambresin Cyril (1999),(1999),10.00,Dousse Michel **,4
o,Piemontesi Pascal **,**,8.50,Dousse Michel **,5
+,Mosimann Vincent *,*,10.00,Dousse Michel **,6
-,Borcard Johann **,**,9.00,Matthey Mickaël **,1
+,Derron Julien,Julien,10.00,Matthey Mickaël **,2
o,Berset Julien *,*,8.50,Matthey Mickaël **,3
+,Buchs Julien (1999),(1999),10.00,Matthey Mickaël **,4
-,Schmidiger Marco *,*,9.00,Matthey Mickaël **,5
+,Ducry Antoine *,*,10.00,Matthey Mickaël **,6
-,Cropt Harald **,**,8.75,Brodard Simon **,1
+,Loup Grégoire (2000),(2000),10.00,Brodard Simon **,2
-,Piemontesi Pascal **,**,8.75,Brodard Simon **,3
+,Wieland Janis,Janis,9.75,Brodard Simon **,4
+,Emonet Frédéric *,*,9.75,Brodard Simon **,5
-,Dind Samuel **,**,9.00,Brodard Simon **,6
+,Turin Antoine (2001),(2001),9.75,Ledermann Michael (2000),1
+,Duvoisin Antony,Antony,9.75,Ledermann Michael (2000),2
-,Schmidiger Marco *,*,8.75,Ledermann Michael (2000),3
-,Egli Pirmin **,**,8.75,Ledermann Michael (2000),4
-,Kramer Dorian (1999),(1999),8.75,Ledermann Michael (2000),5
+,Torche Bastian,Bastian,10.00,Ledermann Michael (2000),6
-,Gassmann Simon *,*,8.75,Berset Julien *,1
+,Taillard Virgile,Virgile,10.00,Berset Julien *,2
+,Matthey Mickaël **,**,10.00,Berset Julien *,3
-,Doppmann Urs *,*,8.75,Berset Julien *,4
+,Cotting Alexandre,Alexandre,9.75,Berset Julien *,5
o,Mollet Ivan *,*,8.50,Berset Julien *,6
-,Gottofrey Luc *,*,8.75,Ducry Antoine *,1
-,Buchs Julien (1999),(1999),8.75,Ducry Antoine *,2
+,Pürro David (2001),(2001),9.75,Ducry Antoine *,3
+,Giroud Jonathan **,**,9.75,Ducry Antoine *,4
+,Lerch Jimmy *,*,10.00,Ducry Antoine *,5
o,Matthey Mickaël **,**,8.50,Ducry Antoine *,6
©,2017 Eidgenössischer Schwingerverba,Schwingerverba,nd,Ducry Antoine *,7
-,Matthey Mickaël **,**,9.00,Borcard Johann **,1
+,Kramer Dorian (1999),(1999),9.75,Borcard Johann **,2
+,Loup Alexandre *,*,9.75,Borcard Johann **,3
+,Parvex Yannick,Yannick,9.75,Borcard Johann **,4
+,Mollet Ivan *,*,10.00,Borcard Johann **,5
+,Doppmann Urs *,*,9.75,Borcard Johann **,6
-,Egli David *,*,9.00,Gottofrey Marc **,1
+,Lützelschwab Luc (1999),(1999),10.00,Gottofrey Marc **,2
o,Doppmann Urs *,*,8.50,Gottofrey Marc **,3
+,Von Niederhäusern Martin,Martin,10.00,Gottofrey Marc **,4
+,Schafer Damien *,*,9.75,Gottofrey Marc **,5
+,Brodard Augustin **,**,10.00,Gottofrey Marc **,6
o,Piemontesi Pascal **,**,8.50,Egli Damian **,1
+,Brodard Augustin **,**,10.00,Egli Damian **,2
+,Sturny Nicolas,Nicolas,10.00,Egli Damian **,3
+,Duplan Steve **,**,10.00,Egli Damian **,4
o,Kramer Lario **,**,8.50,Egli Damian **,5
+,Lützelschwab Luc (1999),(1999),10.00,Egli Damian **,6
+,Dubey Gaël,Gaël,10.00,Minder Florian,1
-,Egli David *,*,8.75,Minder Florian,2
-,Dind Clément,Clément,9.00,Minder Florian,3
-,Loup Alexandre *,*,9.00,Minder Florian,4
+,Quartenoud Samuel,Samuel,10.00,Minder Florian,5
