result,name,level,points,placed_fighter,fight_round
+,Wenger Kilian ***,***,10.00,Giger Samuel ***,1
+,Staudenmann Fabian **,**,9.75,Giger Samuel ***,2
+,Strebel Joel **,**,10.00,Giger Samuel ***,3
+,Wiget Michael **,**,10.00,Giger Samuel ***,4
+,Räbmatter Patrick ***,***,10.00,Giger Samuel ***,5
+,Wiget Michael **,**,10.00,Giger Samuel ***,6
+,Schillig Willi **,**,10.00,Ramseier Fritz **,1
+,Zwyssig Raphael ***,***,10.00,Ramseier Fritz **,2
-,Erb Roger **,**,8.75,Ramseier Fritz **,3
+,Schmid David ***,***,10.00,Ramseier Fritz **,4
o,Alpiger Nick ***,***,8.50,Ramseier Fritz **,5
+,Voggensperger Lars (2001) *,*,9.75,Ramseier Fritz **,6
o,Gnägi Florian ***,***,8.50,Bless Michael ***,1
+,Kocher Remo **,**,10.00,Bless Michael ***,2
+,Gerber Christian **,**,10.00,Bless Michael ***,3
+,Gobeli Patrick **,**,10.00,Bless Michael ***,4
o,Wenger Kilian ***,***,8.50,Bless Michael ***,5
+,von Weissenﬂuh Kilian **,**,10.00,Bless Michael ***,6
+,Zwyssig Raphael ***,***,9.75,Staudenmann Fabian **,1
o,Giger Samuel ***,***,8.50,Staudenmann Fabian **,2
+,Stoll Simon **,**,10.00,Staudenmann Fabian **,3
+,Kocher Remo **,**,9.75,Staudenmann Fabian **,4
+,Strebel Joel **,**,9.75,Staudenmann Fabian **,5
-,Wenger Kilian ***,***,8.75,Staudenmann Fabian **,6
-,Kämpf Bernhard ***,***,8.75,Alpiger Nick ***,1
+,Gehrig Philipp **,**,9.75,Alpiger Nick ***,2
+,Iseli Marco **,**,9.75,Alpiger Nick ***,3
+,Roth Dominik **,**,9.75,Alpiger Nick ***,4
+,Ramseier Fritz **,**,9.75,Alpiger Nick ***,5
o,Wiget Michael **,**,8.50,Alpiger Nick ***,6
-,Hügli Kaj **,**,8.75,Zangger Dominik *,1
-,Krebs Clemens *,*,8.75,Zangger Dominik *,2
+,Scherrer Johann **,**,10.00,Zangger Dominik *,3
+,Mangold Michael **,**,10.00,Zangger Dominik *,4
+,Oertig Dominik **,**,10.00,Zangger Dominik *,5
o,Räbmatter Patrick ***,***,8.50,Zangger Dominik *,6
+,Stegmüller Klemens *,*,10.00,Oertig Dominik **,1
+,Gnägi Florian ***,***,10.00,Oertig Dominik **,2
-,Aeschbacher Matthias **,**,9.00,Oertig Dominik **,3
o,Wenger Kilian ***,***,8.50,Oertig Dominik **,4
o,Zangger Dominik *,*,8.50,Oertig Dominik **,5
+,Gobeli Patrick **,**,10.00,Oertig Dominik **,6
+,Kropf Marcel **,**,10.00,Wiget Michael **,1
+,Krähenbühl Tobias ***,***,9.75,Wiget Michael **,2
+,Leuppi Samir **,**,9.75,Wiget Michael **,3
o,Giger Samuel ***,***,8.50,Wiget Michael **,4
+,Rychen Roger ***,***,9.75,Wiget Michael **,5
+,Alpiger Nick ***,***,9.75,Wiget Michael **,6
o,Giger Samuel ***,***,0.00,Wiget Michael **,7
+,Bless Michael ***,***,10.00,Gnägi Florian ***,1
o,Oertig Dominik **,**,8.50,Gnägi Florian ***,2
-,Kropf Marcel **,**,8.75,Gnägi Florian ***,3
+,Stalder Remo ***,***,10.00,Gnägi Florian ***,4
+,Leuthard Reto **,**,10.00,Gnägi Florian ***,5
+,Steiner Michael **,**,9.75,Gnägi Florian ***,6
+,Stalder Remo ***,***,10.00,Studer Stefan **,1
o,Strebel Joel **,**,8.50,Studer Stefan **,2
+,Schmutz Simon *,*,9.75,Studer Stefan **,3
+,Krähenbühl Tobias ***,***,9.75,Studer Stefan **,4
-,Schmid David ***,***,8.75,Studer Stefan **,5
+,von Arx Christian *,*,10.00,Studer Stefan **,6
+,Räbmatter Patrick ***,***,9.75,Leuppi Samir **,1
+,Brand Christian **,**,10.00,Leuppi Samir **,2
o,Wiget Michael **,**,8.50,Leuppi Samir **,3
+,Voggensperger Lars (2001) *,*,9.75,Leuppi Samir **,4
-,Kämpf Bernhard ***,***,8.75,Leuppi Samir **,5
+,Gerber Christian **,**,9.75,Leuppi Samir **,6
+,Klausner Yanick **,**,9.75,von Weissenﬂuh Kilian **,1
+,Forrer Arnold ***,***,10.00,von Weissenﬂuh Kilian **,2
-,Voggensperger Lars (2001) *,*,9.00,von Weissenﬂuh Kilian **,3
-,Kindlimann Fabian ***,***,8.75,von Weissenﬂuh Kilian **,4
+,Kuster Thomas *,*,10.00,von Weissenﬂuh Kilian **,5
o,Bless Michael ***,***,8.75,von Weissenﬂuh Kilian **,6
-,Hauri Urs **,**,8.75,Roth Dominik **,1
+,Scherrer Johann **,**,10.00,Roth Dominik **,2
+,Schwenkfelder Lukas *,*,10.00,Roth Dominik **,3
o,Alpiger Nick ***,***,8.50,Roth Dominik **,4
-,Steiner Michael **,**,9.00,Roth Dominik **,5
+,Stalder Remo ***,***,9.75,Roth Dominik **,6
-,Kindlimann Fabian ***,***,8.75,Studinger Stephan **,1
+,Schläpfer Matthias *,*,10.00,Studinger Stephan **,2
o,Schenk Patrick ***,***,8.50,Studinger Stephan **,3
o,Kuster Thomas *,*,8.50,Studinger Stephan **,4
+,Jörger Marc *,*,10.00,Studinger Stephan **,5
+,Rychen Roger ***,***,10.00,Studinger Stephan **,6
©,2021 Eidgenössischer Schwingerverba,Schwingerverba,nd,Studinger Stephan **,7
o,Giger Samuel ***,***,8.50,Wenger Kilian ***,1
+,Riget Tobias **,**,10.00,Wenger Kilian ***,2
+,Kuster Thomas *,*,10.00,Wenger Kilian ***,3
+,Oertig Dominik **,**,10.00,Wenger Kilian ***,4
+,Bless Michael ***,***,9.75,Wenger Kilian ***,5
-,Staudenmann Fabian **,**,8.75,Wenger Kilian ***,6
o,Leuppi Samir **,**,8.50,Räbmatter Patrick ***,1
+,Gasser Dominik *,*,9.75,Räbmatter Patrick ***,2
+,Wickli Beat **,**,10.00,Räbmatter Patrick ***,3
+,Schenk Patrick ***,***,10.00,Räbmatter Patrick ***,4
o,Giger Samuel ***,***,8.75,Räbmatter Patrick ***,5
+,Zangger Dominik *,*,10.00,Räbmatter Patrick ***,6
+,Rychen Roger ***,***,10.00,Erb Roger **,1
+,Notz Beni ***,***,10.00,Erb Roger **,2
-,Ramseier Fritz **,**,8.75,Erb Roger **,3
+,Iseli Marco **,**,9.75,Erb Roger **,4
o,Schenk Patrick ***,***,8.50,Erb Roger **,5
+,Gasser Dominik *,*,9.75,Erb Roger **,6
+,Forrer Arnold ***,***,10.00,Strebel Joel **,1
+,Studer Stefan **,**,9.75,Strebel Joel **,2
o,Giger Samuel ***,***,8.50,Strebel Joel **,3
+,Gasser Dominik *,*,9.75,Strebel Joel **,4
o,Staudenmann Fabian **,**,8.75,Strebel Joel **,5
+,Schenk Patrick ***,***,9.75,Strebel Joel **,6
-,Alpiger Nick ***,***,8.75,Kämpf Bernhard ***,1
+,Schmid Samuel **,**,9.75,Kämpf Bernhard ***,2
-,Döbeli Andreas **,**,8.75,Kämpf Bernhard ***,3
+,Stadler Kevin (2002) *,*,10.00,Kämpf Bernhard ***,4
-,Leuppi Samir **,**,8.75,Kämpf Bernhard ***,5
+,Widmer David **,**,10.00,Kämpf Bernhard ***,6
-,Schenk Patrick ***,***,8.75,Döbeli Andreas **,1
+,Jöhl Christian *,*,10.00,Döbeli Andreas **,2
-,Kämpf Bernhard ***,***,8.75,Döbeli Andreas **,3
+,Jörger Marc *,*,10.00,Döbeli Andreas **,4
o,Gasser Dominik *,*,8.50,Döbeli Andreas **,5
+,Iseli Marco **,**,10.00,Döbeli Andreas **,6
-,Döbeli Andreas **,**,8.75,Schenk Patrick ***,1
+,Schwenkfelder Lukas *,*,10.00,Schenk Patrick ***,2
+,Studinger Stephan **,**,10.00,Schenk Patrick ***,3
o,Räbmatter Patrick ***,***,8.50,Schenk Patrick ***,4
+,Erb Roger **,**,9.75,Schenk Patrick ***,5
o,Strebel Joel **,**,8.75,Schenk Patrick ***,6
,01.11.2021 03:41,03:41,Seite 1/,Schenk Patrick ***,7
+,Bader Andreas **,**,10.00,Kuster Thomas *,1
o,Schmid David ***,***,8.75,Kuster Thomas *,2
o,Wenger Kilian ***,***,8.50,Kuster Thomas *,3
+,Studinger Stephan **,**,10.00,Kuster Thomas *,4
o,von Weissenﬂuh Kilian **,**,8.50,Kuster Thomas *,5
+,Kropf Marcel **,**,10.00,Kuster Thomas *,6
o,Staudenmann Fabian **,**,8.50,Zwyssig Raphael ***,1
o,Ramseier Fritz **,**,8.50,Zwyssig Raphael ***,2
+,Stüdeli Thomas **,**,10.00,Zwyssig Raphael ***,3
-,Aeschbacher Matthias **,**,8.75,Zwyssig Raphael ***,4
+,Hauri Urs **,**,10.00,Zwyssig Raphael ***,5
+,Stadler Kevin (2002) *,*,9.75,Zwyssig Raphael ***,6
+,Aellen Philipp *,*,9.75,Voggensperger Lars (2001) *,1
+,Rychen Roger ***,***,9.75,Voggensperger Lars (2001) *,2
-,von Weissenﬂuh Kilian **,**,9.00,Voggensperger Lars (2001) *,3
o,Leuppi Samir **,**,8.50,Voggensperger Lars (2001) *,4
+,Arztmann Beda **,**,9.75,Voggensperger Lars (2001) *,5
o,Ramseier Fritz **,**,8.50,Voggensperger Lars (2001) *,6
-,Roth Dominik **,**,8.75,Hauri Urs **,1
o,Jörger Marc *,*,8.50,Hauri Urs **,2
+,Krebs Clemens *,*,9.75,Hauri Urs **,3
+,Widmer David **,**,10.00,Hauri Urs **,4
o,Zwyssig Raphael ***,***,8.50,Hauri Urs **,5
+,Schläpfer Matthias *,*,9.75,Hauri Urs **,6
+,Scherrer Johann **,**,10.00,Iseli Marco **,1
+,Vieira Tiago **,**,10.00,Iseli Marco **,2
o,Alpiger Nick ***,***,8.50,Iseli Marco **,3
o,Erb Roger **,**,8.50,Iseli Marco **,4
+,Hügli Kaj **,**,9.75,Iseli Marco **,5
o,Döbeli Andreas **,**,8.50,Iseli Marco **,6
o,Voggensperger Lars (2001) *,*,8.50,Aellen Philipp *,1
o,Döbeli Lukas **,**,8.50,Aellen Philipp *,2
+,Ris Jörn *,*,9.75,Aellen Philipp *,3
+,Schwenkfelder Lukas *,*,9.75,Aellen Philipp *,4
o,Schläpfer Markus **,**,8.50,Aellen Philipp *,5
+,Brand Christian **,**,10.00,Aellen Philipp *,6
-,Gerber Manuel *,*,8.75,Stoll Simon **,1
-,Stadler Kevin (2002) *,*,8.75,Stoll Simon **,2
o,Staudenmann Fabian **,**,8.50,Stoll Simon **,3
+,Mangold Martin *,*,9.75,Stoll Simon **,4
-,Henzer Andreas **,**,8.75,Stoll Simon **,5
+,Notz Beni ***,***,10.00,Stoll Simon **,6
-,Rüegger Aaron *,*,9.00,Jörger Marc *,1
+,Hauri Urs **,**,10.00,Jörger Marc *,2
o,Stalder Remo ***,***,8.50,Jörger Marc *,3
o,Döbeli Andreas **,**,8.50,Jörger Marc *,4
o,Studinger Stephan **,**,8.50,Jörger Marc *,5
+,Kohler Adrian *,*,10.00,Jörger Marc *,6
o,Wiget Michael **,**,8.50,Kropf Marcel **,1
+,Bruder Adrian *,*,10.00,Kropf Marcel **,2
-,Gnägi Florian ***,***,8.75,Kropf Marcel **,3
o,Steiner Michael **,**,8.50,Kropf Marcel **,4
+,Grossen John *,*,10.00,Kropf Marcel **,5
o,Kuster Thomas *,*,8.50,Kropf Marcel **,6
-,Schmid David ***,***,9.00,Aeschbacher Matthias **,1
+,Odermatt Adrian (2001) *,*,10.00,Aeschbacher Matthias **,2
-,Oertig Dominik **,**,9.00,Aeschbacher Matthias **,3
-,Zwyssig Raphael ***,***,8.75,Aeschbacher Matthias **,4
-,Schläpfer Markus **,**,9.00,Aeschbacher Matthias **,5
+,Hügli Kaj **,**,10.00,Aeschbacher Matthias **,6
+,Schläpfer Markus **,**,10.00,Gobeli Patrick **,1
-,Kindlimann Fabian ***,***,8.75,Gobeli Patrick **,2
+,Riget Tobias **,**,10.00,Gobeli Patrick **,3
o,Bless Michael ***,***,8.50,Gobeli Patrick **,4
+,Kocher Remo **,**,9.75,Gobeli Patrick **,5
o,Oertig Dominik **,**,8.50,Gobeli Patrick **,6
o,Gehrig Philipp **,**,8.50,Stüdeli Thomas **,1
+,Mangold Martin *,*,9.75,Stüdeli Thomas **,2
o,Zwyssig Raphael ***,***,8.50,Stüdeli Thomas **,3
+,Wickli Beat **,**,9.75,Stüdeli Thomas **,4
+,Stadler Kevin (2002) *,*,9.75,Stüdeli Thomas **,5
-,Döbeli Lukas **,**,9.00,Stüdeli Thomas **,6
-,Vieira Tiago **,**,8.75,Gerber Christian **,1
+,Schmutz Simon *,*,9.75,Gerber Christian **,2
o,Bless Michael ***,***,8.50,Gerber Christian **,3
+,Burren Patrick *,*,10.00,Gerber Christian **,4
+,Döbeli Lukas **,**,9.75,Gerber Christian **,5
o,Leuppi Samir **,**,8.50,Gerber Christian **,6
-,Döbeli Lukas **,**,8.75,Krähenbühl Tobias ***,1
