result,name,level,points,placed_fighter,fight_round
-,Giger Samuel ***,***,8.75,Orlik Armon ***,1
+,Eugster Ruedi **,**,9.75,Orlik Armon ***,2
+,Oettli Marco *,*,10.00,Orlik Armon ***,3
+,Bless Michael ***,***,9.75,Orlik Armon ***,4
+,Schneider Mario **,**,10.00,Orlik Armon ***,5
+,Schneider Domenic ***,***,10.00,Orlik Armon ***,6
-,Orlik Armon ***,***,8.75,Giger Samuel ***,1
+,Good Marco *,*,10.00,Giger Samuel ***,2
+,Gwerder Andreas **,**,10.00,Giger Samuel ***,3
+,Hersche Martin ***,***,9.75,Giger Samuel ***,4
-,Zwyssig Raphael ***,***,9.00,Giger Samuel ***,5
+,Rüegg Fabian *,*,10.00,Giger Samuel ***,6
+,Kuster Marcel ***,***,10.00,Schneider Domenic ***,1
+,Koch Thomas *,*,10.00,Schneider Domenic ***,2
-,Forrer Arnold ***,***,8.75,Schneider Domenic ***,3
+,Funk Nicola (1999),(1999),10.00,Schneider Domenic ***,4
+,Bühler Hannes *,*,9.75,Schneider Domenic ***,5
o,Orlik Armon ***,***,8.75,Schneider Domenic ***,6
-,Vollenweider Jeremy *,*,8.75,Bühler Ernst **,1
+,Bürgler Patrick,Patrick,10.00,Bühler Ernst **,2
o,Zwyssig Raphael ***,***,8.50,Bühler Ernst **,3
+,Oettli Silvio (2000),(2000),10.00,Bühler Ernst **,4
+,Jörger Marc,Marc,10.00,Bühler Ernst **,5
+,Vestner Bruno *,*,10.00,Bühler Ernst **,6
-,Schwyn Adrian,Adrian,9.00,Hengartner Ivo,1
+,Schwager Mike (2000),(2000),10.00,Hengartner Ivo,2
o,Rüegg Fabian *,*,8.50,Hengartner Ivo,3
+,Lötscher Abraham (2000),(2000),9.75,Hengartner Ivo,4
+,Ackermann Roman,Roman,10.00,Hengartner Ivo,5
+,Wolfer Lukas,Lukas,9.75,Hengartner Ivo,6
+,Gwerder Andreas **,**,10.00,Steiner Michael **,1
o,Hersche Martin ***,***,8.50,Steiner Michael **,2
+,Wingeier Janik,Janik,9.75,Steiner Michael **,3
-,Pﬁﬀner Ivo,Ivo,9.00,Steiner Michael **,4
+,Raschle Adrian,Adrian,9.75,Steiner Michael **,5
+,Gartmann Mauro,Mauro,9.75,Steiner Michael **,6
o,Schneider Domenic ***,***,8.50,Kuster Marcel ***,1
+,Ammann Rico *,*,10.00,Kuster Marcel ***,2
+,Straub Robin *,*,9.75,Kuster Marcel ***,3
+,Vogel Thomas,Thomas,10.00,Kuster Marcel ***,4
+,Krähenbühl Lukas *,*,9.75,Kuster Marcel ***,5
o,Krähenbühl Tobias ***,***,8.75,Kuster Marcel ***,6
-,Bühler Hannes *,*,8.75,Kuster Thomas *,1
+,Fäh Tobias,Tobias,10.00,Kuster Thomas *,2
o,Schneider Mario **,**,8.50,Kuster Thomas *,3
+,Vollmeier Sandro,Sandro,9.75,Kuster Thomas *,4
+,Schuler Martin,Martin,9.75,Kuster Thomas *,5
+,Breitenmoser Manuel,Manuel,9.75,Kuster Thomas *,6
o,Rüegg Fabian *,*,8.50,Wolfer Lukas,1
+,Roth Sämi (2000),(2000),10.00,Wolfer Lukas,2
+,Egli Martin,Martin,9.75,Wolfer Lukas,3
+,Oertle Daniel *,*,9.75,Wolfer Lukas,4
+,Vogel Thomas,Thomas,9.75,Wolfer Lukas,5
o,Hengartner Ivo,Ivo,8.75,Wolfer Lukas,6
+,Krähenbühl Tobias ***,***,9.75,Forrer Arnold ***,1
+,Dumelin David *,*,9.75,Forrer Arnold ***,2
-,Schneider Domenic ***,***,8.75,Forrer Arnold ***,3
+,Giger Urs *,*,9.75,Forrer Arnold ***,4
+,Ammann Rico *,*,10.00,Forrer Arnold ***,5
+,Zwyssig Raphael ***,***,10.00,Forrer Arnold ***,6
-,Zwyssig Raphael ***,***,8.75,Burkhalter Stefan ***,1
+,Breitenmoser Manuel,Manuel,10.00,Burkhalter Stefan ***,2
-,Hochholdinger Roman **,**,8.75,Burkhalter Stefan ***,3
+,Bärtsch Jann (2000),(2000),10.00,Burkhalter Stefan ***,4
+,Lieberherr Michael (1999),(1999),10.00,Burkhalter Stefan ***,5
+,Giger Urs *,*,10.00,Burkhalter Stefan ***,6
-,Peng Mike ***,***,8.75,Schnurrenberger Roman **,1
+,Raschle Adrian,Adrian,10.00,Schnurrenberger Roman **,2
+,Schlegel Sämi (2000),(2000),10.00,Schnurrenberger Roman **,3
-,Notz Beni ***,***,8.75,Schnurrenberger Roman **,4
+,Gartmann Mauro,Mauro,9.75,Schnurrenberger Roman **,5
+,Rieser Fabian,Fabian,10.00,Schnurrenberger Roman **,6
-,Hersche Martin ***,***,8.75,Notz Beni ***,1
+,Arnold Christian,Christian,10.00,Notz Beni ***,2
+,Alder Armin,Armin,9.75,Notz Beni ***,3
-,Schnurrenberger Roman **,**,8.75,Notz Beni ***,4
+,Hugelshofer Lars (2001),(2001),9.75,Notz Beni ***,5
+,Mathis Patrick,Patrick,10.00,Notz Beni ***,6
+,Bommer Christoph,Christoph,10.00,Blaser Niklas,1
+,Roth Lukas *,*,10.00,Blaser Niklas,2
o,Sprecher Sandro *,*,8.50,Blaser Niklas,3
+,Held Florian,Florian,10.00,Blaser Niklas,4
o,Krähenbühl Tobias ***,***,8.50,Blaser Niklas,5
+,Vogel Thomas,Thomas,10.00,Blaser Niklas,6
o,Zbinden Marc *,*,8.50,Sprecher Sandro *,1
+,Neﬀ Florian,Florian,10.00,Sprecher Sandro *,2
+,Blaser Niklas,Niklas,10.00,Sprecher Sandro *,3
o,Zwyssig Raphael ***,***,8.50,Sprecher Sandro *,4
+,Bürgler Patrick,Patrick,10.00,Sprecher Sandro *,5
+,Dumelin David *,*,9.75,Sprecher Sandro *,6
o,Steiner Michael **,**,8.50,Gwerder Andreas **,1
+,Vogel Simon (2000),(2000),10.00,Gwerder Andreas **,2
o,Giger Samuel ***,***,8.50,Gwerder Andreas **,3
+,Oertig Simon,Simon,10.00,Gwerder Andreas **,4
+,Flütsch Marco (1999),(1999),9.75,Gwerder Andreas **,5
+,Zbinden Marc *,*,10.00,Gwerder Andreas **,6
+,Rütsche Stefan *,*,9.75,Koller Martin *,1
o,Bless Michael ***,***,8.50,Koller Martin *,2
+,Dobler Lorenz (2000),(2000),10.00,Koller Martin *,3
-,Peng Mike ***,***,8.75,Koller Martin *,4
+,Alder Armin,Armin,9.75,Koller Martin *,5
+,Büsser Remo,Remo,9.75,Koller Martin *,6
+,Wolfer Lukas,Lukas,9.75,Rüegg Fabian *,1
o,Krähenbühl Tobias ***,***,8.50,Rüegg Fabian *,2
+,Hengartner Ivo,Ivo,10.00,Rüegg Fabian *,3
+,Schäppi Urs,Urs,9.75,Rüegg Fabian *,4
+,Oettli Marco *,*,10.00,Rüegg Fabian *,5
o,Giger Samuel ***,***,8.50,Rüegg Fabian *,6
©,2022 Eidgenössischer Schwingerverba,Schwingerverba,nd,Rüegg Fabian *,7
o,Forrer Arnold ***,***,8.50,Krähenbühl Tobias ***,1
