result,name,level,points,placed_fighter,fight_round
+,Mathys Simon **,**,9.75,Schmid David ***,1
-,Bieri Marcel **,**,9.00,Schmid David ***,2
+,Bader Andreas **,**,10.00,Schmid David ***,3
+,Nötzli Reto ***,***,9.75,Schmid David ***,4
+,Studinger Stephan **,**,10.00,Schmid David ***,5
+,Döbeli Andreas **,**,10.00,Schmid David ***,6
+,Brand Christian **,**,10.00,Vieira Tiago **,1
+,Schneider Domenic ***,***,10.00,Vieira Tiago **,2
o,Bieri Marcel **,**,8.50,Vieira Tiago **,3
+,Rohrbach Jérôme,Jérôme,10.00,Vieira Tiago **,4
-,Notz Beni ***,***,8.75,Vieira Tiago **,5
+,Stüdeli Thomas **,**,10.00,Vieira Tiago **,6
-,Thürig Mario ***,***,8.75,Nötzli Reto ***,1
+,Brun Samuel **,**,10.00,Nötzli Reto ***,2
+,Studinger Stephan **,**,10.00,Nötzli Reto ***,3
o,Schmid David ***,***,8.50,Nötzli Reto ***,4
+,Strebel Joel **,**,10.00,Nötzli Reto ***,5
+,Henzer Andreas **,**,9.75,Nötzli Reto ***,6
o,Voggensperger Janic **,**,8.75,Hauri Urs **,1
+,Nussbaumer Gabriel,Gabriel,10.00,Hauri Urs **,2
o,Räbmatter Patrick ***,***,8.50,Hauri Urs **,3
+,Grieder Nonda,Nonda,10.00,Hauri Urs **,4
+,Steinmann Yves *,*,9.75,Hauri Urs **,5
+,Burkhardt Roy,Roy,10.00,Hauri Urs **,6
+,Haenni Stéphane **,**,9.75,Döbeli Lukas **,1
-,Scherrer Johann **,**,8.75,Döbeli Lukas **,2
+,Rohrbach Jérôme,Jérôme,10.00,Döbeli Lukas **,3
+,Schmutz Adrian *,*,9.75,Döbeli Lukas **,4
o,Bieri Marcel **,**,8.75,Döbeli Lukas **,5
+,Widmer David **,**,9.75,Döbeli Lukas **,6
-,Bieri Christoph ***,***,8.75,Gobeli Patrick **,1
-,Voggensperger Janic **,**,9.00,Gobeli Patrick **,2
+,Probst Gabriel **,**,10.00,Gobeli Patrick **,3
-,Schmid Samuel **,**,9.00,Gobeli Patrick **,4
+,Rohrbach Jérôme,Jérôme,10.00,Gobeli Patrick **,5
+,Klausner Yanick **,**,10.00,Gobeli Patrick **,6
o,Mangold Michael **,**,8.50,Schillig Willi **,1
+,Rüegger Aaron *,*,10.00,Schillig Willi **,2
-,Bruder Adrian *,*,8.75,Schillig Willi **,3
-,Meyer Markus,Markus,8.75,Schillig Willi **,4
+,Furrer Mathias,Mathias,10.00,Schillig Willi **,5
+,Schwegler Dominik,Dominik,10.00,Schillig Willi **,6
+,Waldner Patrick **,**,10.00,Döbeli Andreas **,1
+,Notz Beni ***,***,10.00,Döbeli Andreas **,2
+,Haenni Stéphane **,**,9.75,Döbeli Andreas **,3
+,Stalder Remo ***,***,10.00,Döbeli Andreas **,4
+,Hermann Oliver *,*,10.00,Döbeli Andreas **,5
o,Schmid David ***,***,8.75,Döbeli Andreas **,6
-,Schneider Domenic ***,***,8.75,Räbmatter Patrick ***,1
+,Schmutz Adrian *,*,10.00,Räbmatter Patrick ***,2
+,Hauri Urs **,**,10.00,Räbmatter Patrick ***,3
o,Bieri Marcel **,**,8.50,Räbmatter Patrick ***,4
+,Stegmüller Klemens *,*,10.00,Räbmatter Patrick ***,5
+,Bruder Adrian *,*,10.00,Räbmatter Patrick ***,6
+,Kropf Marcel **,**,10.00,Notz Beni ***,1
o,Döbeli Andreas **,**,8.50,Notz Beni ***,2
+,Klausner Yanick **,**,9.75,Notz Beni ***,3
+,Hügli Kaj **,**,10.00,Notz Beni ***,4
-,Vieira Tiago **,**,8.75,Notz Beni ***,5
+,Voggensperger Janic **,**,10.00,Notz Beni ***,6
-,Gottofrey Marc **,**,8.75,Stalder Remo ***,1
+,Steinmann Yves *,*,9.75,Stalder Remo ***,2
+,Hermann Oliver *,*,10.00,Stalder Remo ***,3
o,Döbeli Andreas **,**,8.50,Stalder Remo ***,4
+,Brun Samuel **,**,9.75,Stalder Remo ***,5
+,Schwenkfelder Lukas *,*,10.00,Stalder Remo ***,6
o,Bieri Marcel **,**,8.50,Strebel Joel **,1
+,Schmutz Simon *,*,10.00,Strebel Joel **,2
+,Bachmann Sämi (2001),(2001),9.75,Strebel Joel **,3
+,Kropf Marcel **,**,10.00,Strebel Joel **,4
o,Nötzli Reto ***,***,8.50,Strebel Joel **,5
+,Mathys Simon **,**,10.00,Strebel Joel **,6
o,Klausner Yanick **,**,8.50,Stoll Simon **,1
+,Hitz Florian,Florian,10.00,Stoll Simon **,2
+,Odermatt Adrian (2001) *,*,10.00,Stoll Simon **,3
+,Nussbaumer Gabriel,Gabriel,9.75,Stoll Simon **,4
o,Thürig Mario ***,***,8.50,Stoll Simon **,5
+,Brügger Joël,Joël,9.75,Stoll Simon **,6
+,Widmer David **,**,10.00,Leuthard Reto **,1
-,Gerber Manuel *,*,8.75,Leuthard Reto **,2
o,Mathys Simon **,**,8.50,Leuthard Reto **,3
+,Burkhardt Roy,Roy,10.00,Leuthard Reto **,4
-,Scherrer Johann **,**,8.75,Leuthard Reto **,5
+,Streich Sascha (2001),(2001),10.00,Leuthard Reto **,6
©,2021 Eidgenössischer Schwingerverba,Schwingerverba,nd,Leuthard Reto **,7
+,Strebel Joel **,**,10.00,Bieri Marcel **,1
-,Schmid David ***,***,9.00,Bieri Marcel **,2
+,Vieira Tiago **,**,9.75,Bieri Marcel **,3
+,Räbmatter Patrick ***,***,9.75,Bieri Marcel **,4
+,Döbeli Lukas **,**,9.75,Bieri Marcel **,5
+,Kropf Marcel **,**,10.00,Bieri Marcel **,6
-,Nötzli Reto ***,***,8.75,Thürig Mario ***,1
+,Bruder Adrian *,*,9.75,Thürig Mario ***,2
-,Voggensperger Lars (2001) *,*,8.75,Thürig Mario ***,3
+,Studer Remo *,*,9.75,Thürig Mario ***,4
+,Stoll Simon **,**,10.00,Thürig Mario ***,5
+,Odermatt Adrian (2001) *,*,10.00,Thürig Mario ***,6
+,Probst Gabriel **,**,9.75,Studinger Stephan **,1
+,Kohler Adrian *,*,10.00,Studinger Stephan **,2
o,Nötzli Reto ***,***,8.50,Studinger Stephan **,3
+,Bader Thomas (2002),(2002),10.00,Studinger Stephan **,4
o,Schmid David ***,***,8.75,Studinger Stephan **,5
+,Kocher Remo **,**,10.00,Studinger Stephan **,6
-,Kocher Remo **,**,8.75,Hügli Kaj **,1
+,Ris Jörn *,*,9.75,Hügli Kaj **,2
+,Burkhardt Roy,Roy,10.00,Hügli Kaj **,3
o,Notz Beni ***,***,8.50,Hügli Kaj **,4
+,Schmutz Adrian *,*,10.00,Hügli Kaj **,5
+,Studer Remo *,*,9.75,Hügli Kaj **,6
+,Stüdeli Thomas **,**,9.75,Hermann Oliver *,1
+,Krebs Clemens *,*,10.00,Hermann Oliver *,2
o,Stalder Remo ***,***,8.50,Hermann Oliver *,3
+,Brügger Joël,Joël,10.00,Hermann Oliver *,4
o,Döbeli Andreas **,**,8.50,Hermann Oliver *,5
+,Nussbaumer Gabriel,Gabriel,10.00,Hermann Oliver *,6
-,Hügli Kaj **,**,8.75,Kocher Remo **,1
+,Meyer Lukas (2001),(2001),10.00,Kocher Remo **,2
-,Bieri Christoph ***,***,8.75,Kocher Remo **,3
+,Müller Simon,Simon,10.00,Kocher Remo **,4
+,Schmid Samuel **,**,10.00,Kocher Remo **,5
o,Studinger Stephan **,**,8.75,Kocher Remo **,6
o,Vieira Tiago **,**,8.50,Brand Christian **,1
-,Stadler Kevin (2002) *,*,8.75,Brand Christian **,2
-,Fricker Ivo,Ivo,8.75,Brand Christian **,3
+,Burren Dominik (2003),(2003),10.00,Brand Christian **,4
+,Schär Jonas,Jonas,9.75,Brand Christian **,5
+,Graber Colin,Colin,10.00,Brand Christian **,6
,27.06.2021 12:05,12:05,Seite 1/,Brand Christian **,7
o,Brun Samuel **,**,8.75,Schmid Samuel **,1
+,Stoll Thomas,Thomas,9.75,Schmid Samuel **,2
+,Bader Thomas (2002),(2002),10.00,Schmid Samuel **,3
-,Gobeli Patrick **,**,9.00,Schmid Samuel **,4
o,Kocher Remo **,**,8.50,Schmid Samuel **,5
+,Scherrer Johann **,**,9.75,Schmid Samuel **,6
-,Mangold Martin *,*,8.75,Gerber Manuel *,1
-,Leuthard Reto **,**,8.75,Gerber Manuel *,2
+,Järmann Florian (2002),(2002),9.75,Gerber Manuel *,3
+,Reimann Marco,Marco,9.75,Gerber Manuel *,4
+,Bader Andreas **,**,9.75,Gerber Manuel *,5
-,Schneider Domenic ***,***,8.75,Gerber Manuel *,6
-,Räbmatter Patrick ***,***,8.75,Schneider Domenic ***,1
o,Vieira Tiago **,**,8.50,Schneider Domenic ***,2
+,Waldner Patrick **,**,9.75,Schneider Domenic ***,3
+,Stüdeli Thomas **,**,9.75,Schneider Domenic ***,4
+,Bieri Christoph ***,***,9.75,Schneider Domenic ***,5
-,Gerber Manuel *,*,9.00,Schneider Domenic ***,6
-,Arnold Kornel *,*,8.75,Bader Andreas **,1
+,Wüthrich Jonas (2003),(2003),10.00,Bader Andreas **,2
o,Schmid David ***,***,8.50,Bader Andreas **,3
+,Senn Marco,Marco,10.00,Bader Andreas **,4
o,Gerber Manuel *,*,8.50,Bader Andreas **,5
+,Järmann Florian (2002),(2002),9.75,Bader Andreas **,6
o,Notz Beni ***,***,8.50,Kropf Marcel **,1
+,Bearda Samuel **,**,10.00,Kropf Marcel **,2
+,Hitz Florian,Florian,10.00,Kropf Marcel **,3
o,Strebel Joel **,**,8.50,Kropf Marcel **,4
+,Graf Gian (2003),(2003),10.00,Kropf Marcel **,5
o,Bieri Marcel **,**,8.50,Kropf Marcel **,6
o,Schmid David ***,***,8.50,Mathys Simon **,1
+,Henzer Andreas **,**,10.00,Mathys Simon **,2
+,Leuthard Reto **,**,9.75,Mathys Simon **,3
-,Voggensperger Janic **,**,8.75,Mathys Simon **,4
+,Klausner Yanick **,**,9.75,Mathys Simon **,5
o,Strebel Joel **,**,8.50,Mathys Simon **,6
+,Schmid Samuel **,**,10.00,Brun Samuel **,1
o,Nötzli Reto ***,***,8.50,Brun Samuel **,2
+,Büttler Gian,Gian,9.75,Brun Samuel **,3
-,Schwenkfelder Lukas *,*,8.75,Brun Samuel **,4
