result,name,level,points,placed_fighter,fight_round
+,Odermatt Adrian **,**,10.00,Walther Adrian **,1
+,Steﬀen Gustav **,**,10.00,Walther Adrian **,2
+,Leuenberger Michael *,*,10.00,Walther Adrian **,3
+,Sempach Thomas ***,***,10.00,Walther Adrian **,4
+,Wenger Kilian ***,***,10.00,Walther Adrian **,5
o,Staudenmann Fabian ***,***,8.75,Walther Adrian **,6
+,Wittwer Josias **,**,9.75,Käser Remo ***,1
-,Aeschbacher Matthias ***,***,8.75,Käser Remo ***,2
+,Nufer Sämi *,*,9.75,Käser Remo ***,3
+,Fankhauser Erich ***,***,10.00,Käser Remo ***,4
-,Gobeli Patrick **,**,9.00,Käser Remo ***,5
+,Berger Lorenz **,**,10.00,Käser Remo ***,6
-,Staudenmann Fabian ***,***,8.75,Leuppi Samir ***,1
+,Zaugg Lars **,**,9.75,Leuppi Samir ***,2
+,Gnägi Damian *,*,10.00,Leuppi Samir ***,3
-,Wenger Kilian ***,***,8.75,Leuppi Samir ***,4
+,Burger Matthieu **,**,9.75,Leuppi Samir ***,5
+,Klossner Adrian **,**,10.00,Leuppi Samir ***,6
o,Orlik Curdin ***,***,8.50,Rohrer Ueli **,1
+,Ramseier Thomas *,*,10.00,Rohrer Ueli **,2
+,Steﬀen Valentin *,*,10.00,Rohrer Ueli **,3
+,Aeschbacher Matthias ***,***,9.75,Rohrer Ueli **,4
-,Staudenmann Fabian ***,***,9.00,Rohrer Ueli **,5
+,Iseli Marco **,**,9.75,Rohrer Ueli **,6
+,Räbmatter Patrick ***,***,10.00,Wenger Kilian ***,1
+,Gasser Dominik **,**,9.75,Wenger Kilian ***,2
+,Burger Matthieu **,**,10.00,Wenger Kilian ***,3
-,Leuppi Samir ***,***,8.75,Wenger Kilian ***,4
o,Walther Adrian **,**,8.50,Wenger Kilian ***,5
+,Zaugg Lars **,**,10.00,Wenger Kilian ***,6
+,Collaud Romain **,**,9.75,Aeschbacher Matthias ***,1
-,Käser Remo ***,***,9.00,Aeschbacher Matthias ***,2
+,Weyermann Michael **,**,10.00,Aeschbacher Matthias ***,3
o,Rohrer Ueli **,**,8.50,Aeschbacher Matthias ***,4
+,Hehlen Nico *,*,9.75,Aeschbacher Matthias ***,5
+,Wittwer Jan **,**,9.75,Aeschbacher Matthias ***,6
+,Luginbühl Hanspeter **,**,9.75,Fankhauser Erich ***,1
-,Orlik Curdin ***,***,8.75,Fankhauser Erich ***,2
+,Berger Lorenz **,**,9.75,Fankhauser Erich ***,3
o,Käser Remo ***,***,8.50,Fankhauser Erich ***,4
+,Thöni Ivan *,*,9.75,Fankhauser Erich ***,5
