result,name,level,points,placed_fighter,fight_round
+,Imhof Andi ***,***,10.00,Stucki Christian ***,1
+,Ulrich Andreas ***,***,10.00,Stucki Christian ***,2
+,Herger Matthias **,**,9.75,Stucki Christian ***,3
+,Nötzli Reto ***,***,10.00,Stucki Christian ***,4
+,Bieri Marcel **,**,10.00,Stucki Christian ***,5
-,Wicki Joel **,**,8.75,Stucki Christian ***,6
+,Erb Roger **,**,10.00,Ulrich Andreas ***,1
o,Stucki Christian ***,***,8.50,Ulrich Andreas ***,2
+,Ottiger Lukas *,*,10.00,Ulrich Andreas ***,3
+,Bernhard Lukas *,*,9.75,Ulrich Andreas ***,4
+,Fankhauser Marco **,**,10.00,Ulrich Andreas ***,5
+,von Ah Benji ***,***,10.00,Ulrich Andreas ***,6
+,Heinzer Stefan *,*,10.00,Fellmann Roman *,1
+,Rhyner Michael **,**,9.75,Fellmann Roman *,2
o,von Ah Benji ***,***,8.50,Fellmann Roman *,3
+,Nietlispach Pascal **,**,10.00,Fellmann Roman *,4
-,Gwerder Michael (2000) *,*,9.00,Fellmann Roman *,5
+,Arnold Severin *,*,10.00,Fellmann Roman *,6
-,Kenel Franz-Toni *,*,8.75,Binggeli Stefan *,1
-,Betschart Patrick *,*,8.75,Binggeli Stefan *,2
+,Gasser Peter *,*,10.00,Binggeli Stefan *,3
+,Rohrer Marco **,**,9.75,Binggeli Stefan *,4
+,Bernhard Lukas *,*,10.00,Binggeli Stefan *,5
+,Ettlin Stefan *,*,9.75,Binggeli Stefan *,6
-,Rhyner Michael **,**,8.75,Gloggner Philipp ***,1
+,Villiger Cyrill *,*,10.00,Gloggner Philipp ***,2
+,Wyrsch Marco **,**,9.75,Gloggner Philipp ***,3
o,Linggi Bruno **,**,8.75,Gloggner Philipp ***,4
+,Gander Adrian *,*,9.75,Gloggner Philipp ***,5
+,Heinzer Stefan **,**,10.00,Gloggner Philipp ***,6
+,Müller Michael **,**,10.00,Herger Matthias **,1
+,Inderbitzin Daniel *,*,10.00,Herger Matthias **,2
o,Stucki Christian ***,***,8.50,Herger Matthias **,3
+,Arnold Marcel *,*,9.75,Herger Matthias **,4
-,Rohrer Ivan **,**,8.75,Herger Matthias **,5
+,Villiger Cyrill *,*,10.00,Herger Matthias **,6
+,Waser Reto *,*,10.00,Ambühl Joel *,1
+,Gwerder Carlo **,**,9.75,Ambühl Joel *,2
o,Nötzli Reto ***,***,8.75,Ambühl Joel *,3
+,Ulrich Marco *,*,10.00,Ambühl Joel *,4
+,Schelbert Ralf **,**,10.00,Ambühl Joel *,5
o,Müllestein Mike ***,***,8.50,Ambühl Joel *,6
+,Sempach Matthias ***,***,9.75,Wicki Joel **,1
+,Odermatt Remo *,*,9.75,Wicki Joel **,2
+,Nietlispach Pascal **,**,10.00,Wicki Joel **,3
+,Zimmermann Martin **,**,10.00,Wicki Joel **,4
+,von Ah Benji ***,***,10.00,Wicki Joel **,5
-,Stucki Christian ***,***,9.00,Wicki Joel **,6
-,Gnägi Florian ***,***,8.75,Schurtenberger Sven ***,1
+,Würsch Lars *,*,10.00,Schurtenberger Sven ***,2
+,Langenstein Philip **,**,10.00,Schurtenberger Sven ***,3
+,Erb Roger **,**,10.00,Schurtenberger Sven ***,4
+,Müllestein Mike ***,***,10.00,Schurtenberger Sven ***,5
-,Schuler Alex ***,***,9.00,Schurtenberger Sven ***,6
-,Moser Steven **,**,8.75,Müllestein Mike ***,1
+,Niederberger Markus *,*,10.00,Müllestein Mike ***,2
+,Thalmann Thomas *,*,9.75,Müllestein Mike ***,3
+,Elsener Peter **,**,10.00,Müllestein Mike ***,4
o,Schurtenberger Sven ***,***,8.75,Müllestein Mike ***,5
