result,name,level,points,placed_fighter,fight_round
+,Krähenbühl Tobias ***,***,9.75,Leuppi Samir **,1
+,Giger Urs *,*,9.75,Leuppi Samir **,2
+,Dumelin David *,*,10.00,Leuppi Samir **,3
+,Bollhalder Manuel (2001),(2001),10.00,Leuppi Samir **,4
+,Schneider Mario **,**,10.00,Leuppi Samir **,5
+,Rychen Roger ***,***,10.00,Leuppi Samir **,6
-,Horner Peter ***,***,8.75,Schnurrenberger Roman **,1
+,Raschle Adrian,Adrian,10.00,Schnurrenberger Roman **,2
+,Vögeli Sven *,*,9.75,Schnurrenberger Roman **,3
+,Reichmuth Beat,Beat,10.00,Schnurrenberger Roman **,4
-,Krähenbühl Tobias ***,***,9.00,Schnurrenberger Roman **,5
+,Arztmann Beda,Beda,10.00,Schnurrenberger Roman **,6
-,Kindlimann Fabian ***,***,8.75,Schneider Mario **,1
+,Wittenwiler Roman,Roman,10.00,Schneider Mario **,2
+,Schläpfer Matthias *,*,10.00,Schneider Mario **,3
+,Arztmann Beda,Beda,10.00,Schneider Mario **,4
o,Leuppi Samir **,**,8.50,Schneider Mario **,5
+,Bollhalder Manuel (2001),(2001),10.00,Schneider Mario **,6
+,Koch Thomas *,*,9.75,Bickel Roman *,1
+,Hungerbühler Marcel,Marcel,10.00,Bickel Roman *,2
o,Bäbler Sandro **,**,8.50,Bickel Roman *,3
+,Raschle Adrian,Adrian,10.00,Bickel Roman *,4
o,Schudel Simon *,*,8.75,Bickel Roman *,5
+,Rieser Fabian,Fabian,10.00,Bickel Roman *,6
-,Schnurrenberger Roman **,**,8.75,Horner Peter ***,1
+,Ammann Rico *,*,9.75,Horner Peter ***,2
o,Bernold Christian **,**,8.50,Horner Peter ***,3
+,Güntensperger Marcel *,*,10.00,Horner Peter ***,4
+,Baumann Rico *,*,9.75,Horner Peter ***,5
+,Coray Beda *,*,10.00,Horner Peter ***,6
+,Streule Marco,Marco,10.00,Schäppi Urs,1
o,Bäbler Sandro **,**,8.50,Schäppi Urs,2
o,Wittenwiler Roman,Roman,8.50,Schäppi Urs,3
+,Schwyn Adrian,Adrian,9.75,Schäppi Urs,4
+,Koch Thomas *,*,10.00,Schäppi Urs,5
+,Odermatt Christoph *,*,10.00,Schäppi Urs,6
o,Ackermann Remo *,*,8.50,Bäbler Dominik *,1
-,Ott Dominik *,*,8.75,Bäbler Dominik *,2
+,Rieser Fabian,Fabian,9.75,Bäbler Dominik *,3
+,Keller Werner,Werner,9.75,Bäbler Dominik *,4
+,Fuster Sepp,Sepp,10.00,Bäbler Dominik *,5
+,Morger Adrian *,*,9.75,Bäbler Dominik *,6
o,Rüegg Fabian *,*,8.50,Bickel Stefan *,1
o,Bollhalder Manuel (2001),(2001),8.50,Bickel Stefan *,2
+,Städler Roman,Roman,10.00,Bickel Stefan *,3
+,Nüssli Philipp *,*,9.75,Bickel Stefan *,4
+,Schmidlin Tobias (2001),(2001),9.75,Bickel Stefan *,5
+,Bosshard Dario (1999),(1999),10.00,Bickel Stefan *,6
o,Oertig Dominik **,**,8.50,Schneider Domenic ***,1
+,Riget Ivan *,*,9.75,Schneider Domenic ***,2
+,Dörig Erich *,*,10.00,Schneider Domenic ***,3
+,Morger Adrian *,*,9.75,Schneider Domenic ***,4
+,Bernold Christian **,**,9.75,Schneider Domenic ***,5
+,Nägeli Marco *,*,10.00,Schneider Domenic ***,6
+,Burkhalter Stefan ***,***,10.00,Rychen Roger ***,1
+,Schmid Dominik **,**,9.75,Rychen Roger ***,2
-,Oertig Dominik **,**,9.00,Rychen Roger ***,3
+,Vögeli Sven *,*,9.75,Rychen Roger ***,4
+,Bühler Ernst **,**,10.00,Rychen Roger ***,5
o,Leuppi Samir **,**,8.75,Rychen Roger ***,6
+,Frick Andreas *,*,10.00,Oertig Adrian **,1
-,Schläpfer Matthias *,*,8.75,Oertig Adrian **,2
-,Kindlimann Fabian ***,***,8.75,Oertig Adrian **,3
+,Neﬀ Florian,Florian,9.75,Oertig Adrian **,4
+,Ott Dominik *,*,9.75,Oertig Adrian **,5
+,Fejzaj Naim **,**,10.00,Oertig Adrian **,6
+,Schneider Domenic ***,***,9.75,Oertig Dominik **,1
+,Schmid Patrick *,*,9.75,Oertig Dominik **,2
-,Rychen Roger ***,***,9.00,Oertig Dominik **,3
+,Vogel Thomas,Thomas,9.75,Oertig Dominik **,4
+,Candrian Gian-Luca,Gian-Luca,9.75,Oertig Dominik **,5
-,Burkhalter Stefan ***,***,8.75,Oertig Dominik **,6
+,Schegg Daniel (2000),(2000),10.00,Spangaro Luciano (2001),1
o,Arztmann Beda,Beda,8.50,Spangaro Luciano (2001),2
o,Notz Armin *,*,8.50,Spangaro Luciano (2001),3
+,Büchler Livio (2001),(2001),9.75,Spangaro Luciano (2001),4
+,Schuler Martin,Martin,10.00,Spangaro Luciano (2001),5
+,Reichmuth Beat,Beat,10.00,Spangaro Luciano (2001),6
+,Pﬁster Florian *,*,9.75,Arztmann Beda,1
+,Spangaro Luciano (2001),(2001),10.00,Arztmann Beda,2
+,Furrer Matthias,Matthias,10.00,Arztmann Beda,3
o,Schneider Mario **,**,8.50,Arztmann Beda,4
+,Wettstein Daniel,Daniel,10.00,Arztmann Beda,5
o,Schnurrenberger Roman **,**,8.50,Arztmann Beda,6
+,Korrodi Paul *,*,10.00,Vestner Bruno *,1
o,Bernold Christian **,**,8.50,Vestner Bruno *,2
+,Schuler Martin,Martin,10.00,Vestner Bruno *,3
+,Bucher Roland,Roland,9.75,Vestner Bruno *,4
o,Burkhalter Stefan ***,***,8.50,Vestner Bruno *,5
+,Vollmeier Sandro,Sandro,9.75,Vestner Bruno *,6
-,Bühler Ernst **,**,8.75,Gwerder Andreas **,1
+,Bürgler Patrick,Patrick,10.00,Gwerder Andreas **,2
-,Kuster Thomas *,*,9.00,Gwerder Andreas **,3
-,Wittenwiler Roman,Roman,8.75,Gwerder Andreas **,4
+,Büsser André,André,10.00,Gwerder Andreas **,5
+,Frick Andreas *,*,10.00,Gwerder Andreas **,6
©,2018 Eidgenössischer Schwingerverba,Schwingerverba,nd,Gwerder Andreas **,7
+,Bäbler Dominik *,*,9.75,Ackermann Remo *,1
+,Inauen Andreas *,*,9.75,Ackermann Remo *,2
o,Bühler Ernst **,**,8.50,Ackermann Remo *,3
+,Fuster Sepp,Sepp,9.75,Ackermann Remo *,4
+,Vollmeier Sandro,Sandro,10.00,Ackermann Remo *,5
+,Vogel Thomas,Thomas,10.00,Ackermann Remo *,6
o,Dändliker Shane,Shane,8.50,Schudel Simon *,1
+,Hauser Simon,Simon,10.00,Schudel Simon *,2
-,Lanter Christian,Christian,9.00,Schudel Simon *,3
+,Kammermann Thomas *,*,10.00,Schudel Simon *,4
+,Bickel Roman *,*,9.75,Schudel Simon *,5
+,Dändliker Hansheinrich,Hansheinrich,10.00,Schudel Simon *,6
-,Steiner Michael **,**,9.00,Bernold Christian **,1
+,Vestner Bruno *,*,9.75,Bernold Christian **,2
+,Horner Peter ***,***,10.00,Bernold Christian **,3
+,Candrian Gian-Luca,Gian-Luca,10.00,Bernold Christian **,4
o,Schneider Domenic ***,***,8.50,Bernold Christian **,5
+,Schmid Dominik **,**,9.75,Bernold Christian **,6
+,Fejzaj Naim **,**,9.75,Nägeli Marco *,1
+,Nüssli Philipp *,*,10.00,Nägeli Marco *,2
+,Koch Reto,Reto,9.75,Nägeli Marco *,3
-,Krähenbühl Tobias ***,***,9.00,Nägeli Marco *,4
+,Giger Urs *,*,9.75,Nägeli Marco *,5
o,Schneider Domenic ***,***,8.50,Nägeli Marco *,6
+,Kammermann Thomas *,*,10.00,Schmid Dominik **,1
o,Rychen Roger ***,***,8.50,Schmid Dominik **,2
+,Bischof Martin,Martin,9.75,Schmid Dominik **,3
+,Bernold Michael (1999),(1999),9.75,Schmid Dominik **,4
+,Dumelin David *,*,10.00,Schmid Dominik **,5
o,Bernold Christian **,**,8.75,Schmid Dominik **,6
+,Leuppi Karim *,*,10.00,Schläpfer Matthias *,1
-,Oertig Adrian **,**,8.75,Schläpfer Matthias *,2
o,Schneider Mario **,**,8.50,Schläpfer Matthias *,3
+,Bosshard Dario (1999),(1999),9.75,Schläpfer Matthias *,4
+,Lanter Christian,Christian,9.75,Schläpfer Matthias *,5
