result,name,level,points,placed_fighter,fight_round
-,Fankhauser Erich ***,***,9.00,Bieri Marcel **,1
+,Odermatt Sepp,Sepp,10.00,Bieri Marcel **,2
+,Höﬂiger Andreas **,**,9.75,Bieri Marcel **,3
+,Gwerder Dario **,**,10.00,Bieri Marcel **,4
+,Suppiger René ***,***,9.75,Bieri Marcel **,5
+,Schuler Christian ***,***,10.00,Bieri Marcel **,6
-,Vonlaufen Alexander **,**,8.75,Schurtenberger Sven ***,1
-,Gwerder Dario **,**,9.00,Schurtenberger Sven ***,2
+,Suter David **,**,9.75,Schurtenberger Sven ***,3
+,Arnold Andreas *,*,10.00,Schurtenberger Sven ***,4
+,Gasser Stefan **,**,10.00,Schurtenberger Sven ***,5
+,Hasler Florian **,**,9.75,Schurtenberger Sven ***,6
-,Schuler Christian ***,***,8.75,Wicki Joel **,1
+,Niederberger Markus *,*,9.75,Wicki Joel **,2
+,Büsser André,André,10.00,Wicki Joel **,3
-,Nötzli Bruno ***,***,8.75,Wicki Joel **,4
+,Odermatt Christian **,**,9.75,Wicki Joel **,5
+,Imfeld Beat,Beat,9.75,Wicki Joel **,6
+,Barmettler Peter *,*,10.00,Reichmuth Marco **,1
+,Imhof Andi ***,***,9.75,Reichmuth Marco **,2
-,Felder Martin,Martin,9.00,Reichmuth Marco **,3
+,Niederberger Markus *,*,9.75,Reichmuth Marco **,4
o,Schuler Christian ***,***,8.50,Reichmuth Marco **,5
+,Barmet Sven,Sven,9.75,Reichmuth Marco **,6
+,Gwerder Beni,Beni,9.75,Bucher Christian,1
+,Elmer Daniel *,*,10.00,Bucher Christian,2
+,Ettlin Martin,Martin,10.00,Bucher Christian,3
o,Schuler Philipp **,**,8.50,Bucher Christian,4
o,Hasler Florian **,**,8.75,Bucher Christian,5
+,Odermatt Sepp,Sepp,9.75,Bucher Christian,6
-,Muﬀ André *,*,8.75,Suter David **,1
+,Müller Michael **,**,9.75,Suter David **,2
o,Schurtenberger Sven ***,***,8.50,Suter David **,3
+,Ming Hannes,Hannes,10.00,Suter David **,4
+,Herger Lukas,Lukas,9.75,Suter David **,5
+,Elsener Manuel,Manuel,9.75,Suter David **,6
-,Hasler Florian **,**,8.75,Müller Michael **,1
o,Suter David **,**,8.75,Müller Michael **,2
+,Gwerder Beni,Beni,10.00,Müller Michael **,3
+,Imfeld Beat,Beat,10.00,Müller Michael **,4
+,Gwerder Michael (2000),(2000),10.00,Müller Michael **,5
-,Nötzli Reto ***,***,9.00,Müller Michael **,6
+,Schuler Philipp **,**,9.75,Odermatt Christian **,1
o,Grab Martin ***,***,8.50,Odermatt Christian **,2
+,Kennel Roger (1999),(1999),10.00,Odermatt Christian **,3
+,Streiﬀ Dominik,Dominik,9.75,Odermatt Christian **,4
o,Wicki Joel **,**,8.50,Odermatt Christian **,5
+,Stadelmann Ron,Ron,9.75,Odermatt Christian **,6
-,Bieri Marcel **,**,8.75,Fankhauser Erich ***,1
+,Gwerder Carlo **,**,9.75,Fankhauser Erich ***,2
+,Reichmuth Armin *,*,10.00,Fankhauser Erich ***,3
+,Grab Martin ***,***,10.00,Fankhauser Erich ***,4
+,Oertig Dominik **,**,10.00,Fankhauser Erich ***,5
-,Gwerder Dario **,**,9.00,Fankhauser Erich ***,6
+,Oertig Adrian **,**,9.75,Suppiger Werner **,1
o,Schuler Christian ***,***,8.50,Suppiger Werner **,2
+,Hauser Roman (2000),(2000),10.00,Suppiger Werner **,3
+,Arnold Marcel,Marcel,10.00,Suppiger Werner **,4
+,Schuler Philipp **,**,10.00,Suppiger Werner **,5
-,Kennel Stefan **,**,9.00,Suppiger Werner **,6
-,Höﬂiger Andreas **,**,8.75,Zimmermann Martin **,1
+,Egli Damian **,**,10.00,Zimmermann Martin **,2
o,Schuler Christian ***,***,8.50,Zimmermann Martin **,3
+,Häﬂiger Patrick,Patrick,10.00,Zimmermann Martin **,4
+,Suter Beat,Beat,9.75,Zimmermann Martin **,5
+,Gerber Peter,Peter,9.75,Zimmermann Martin **,6
-,Betschart Remo **,**,8.75,Brun Jonas **,1
+,Bürgi Reto *,*,10.00,Brun Jonas **,2
o,Mathis Marcel ***,***,8.50,Brun Jonas **,3
+,Odermatt Sepp,Sepp,10.00,Brun Jonas **,4
+,Elsener Manuel,Manuel,9.75,Brun Jonas **,5
+,Rohrer Ueli (1999),(1999),9.75,Brun Jonas **,6
+,Herger Matthias **,**,10.00,Gwerder Dario **,1
-,Schurtenberger Sven ***,***,9.00,Gwerder Dario **,2
+,Burch Jonas (1999),(1999),10.00,Gwerder Dario **,3
o,Bieri Marcel **,**,8.75,Gwerder Dario **,4
+,Bucher Thomas,Thomas,10.00,Gwerder Dario **,5
-,Fankhauser Erich ***,***,9.00,Gwerder Dario **,6
-,Laimbacher Philipp ***,***,8.75,Imhof Andi ***,1
o,Reichmuth Marco **,**,8.50,Imhof Andi ***,2
+,Rüegg Roman *,*,9.75,Imhof Andi ***,3
+,Heinzer Stefan *,*,9.75,Imhof Andi ***,4
+,Hösli Fritz *,*,10.00,Imhof Andi ***,5
+,Eﬃnger Markus *,*,9.75,Imhof Andi ***,6
-,Zimmermann Martin **,**,9.00,Höﬂiger Andreas **,1
+,Muﬀ Armin **,**,10.00,Höﬂiger Andreas **,2
o,Bieri Marcel **,**,8.50,Höﬂiger Andreas **,3
-,Wetzstein Adrian,Adrian,9.00,Höﬂiger Andreas **,4
+,Spichtig Clemens,Clemens,10.00,Höﬂiger Andreas **,5
+,Amgarten Roman *,*,10.00,Höﬂiger Andreas **,6
-,Rüegg Roman *,*,8.75,Kennel Stefan **,1
-,Bernhard Lukas *,*,8.75,Kennel Stefan **,2
+,Rust Sandro (1999),(1999),10.00,Kennel Stefan **,3
+,Müller Mathias,Mathias,9.75,Kennel Stefan **,4
+,Gerber Peter,Peter,10.00,Kennel Stefan **,5
-,Suppiger Werner **,**,9.00,Kennel Stefan **,6
©,2021 Eidgenössischer Schwingerverba,Schwingerverba,nd,Kennel Stefan **,7
-,Wicki Joel **,**,8.75,Schuler Christian ***,1
+,Suppiger Werner **,**,10.00,Schuler Christian ***,2
+,Zimmermann Martin **,**,9.75,Schuler Christian ***,3
+,Mathis Marcel ***,***,10.00,Schuler Christian ***,4
+,Reichmuth Marco **,**,10.00,Schuler Christian ***,5
o,Bieri Marcel **,**,8.75,Schuler Christian ***,6
o,Gassmann Michael *,*,8.50,Reichmuth Armin *,1
+,Vogler Daniel *,*,10.00,Reichmuth Armin *,2
o,Fankhauser Erich ***,***,8.75,Reichmuth Armin *,3
+,Burch Jonas (1999),(1999),10.00,Reichmuth Armin *,4
+,Facchini Oscar,Oscar,9.75,Reichmuth Armin *,5
+,Lagler Christian,Christian,10.00,Reichmuth Armin *,6
+,Nötzli Reto ***,***,9.75,Suppiger René ***,1
+,Eﬃnger Markus *,*,9.75,Suppiger René ***,2
-,Elsener Adrian **,**,8.75,Suppiger René ***,3
+,Gwerder Michael (2000),(2000),10.00,Suppiger René ***,4
o,Bieri Marcel **,**,8.50,Suppiger René ***,5
+,Schuler Philipp **,**,10.00,Suppiger René ***,6
+,Rüttimann Daniel,Daniel,10.00,Gwerder Michael (2000),1
+,Ambühl Joel *,*,9.75,Gwerder Michael (2000),2
+,Blattmann Philipp (2000),(2000),10.00,Gwerder Michael (2000),3
o,Suppiger René ***,***,8.50,Gwerder Michael (2000),4
o,Müller Michael **,**,8.50,Gwerder Michael (2000),5
+,Baumann Lukas,Lukas,10.00,Gwerder Michael (2000),6
-,Schurtenberger Sven ***,***,8.75,Vonlaufen Alexander **,1
+,Thalmann Thomas *,*,9.75,Vonlaufen Alexander **,2
+,Lustenberger Josef,Josef,9.75,Vonlaufen Alexander **,3
+,Schärli Reto,Reto,9.75,Vonlaufen Alexander **,4
-,Linggi Bruno **,**,8.75,Vonlaufen Alexander **,5
+,Arnold Andreas *,*,9.75,Vonlaufen Alexander **,6
o,Gwerder Carlo **,**,8.50,Bürli Roger **,1
+,Bürgi Reto *,*,9.75,Bürli Roger **,2
-,Nötzli Reto ***,***,8.75,Bürli Roger **,3
+,Staub Ivan (1999),(1999),10.00,Bürli Roger **,4
+,Niederberger Markus *,*,9.75,Bürli Roger **,5
+,Gander Martin,Martin,9.75,Bürli Roger **,6
+,Lang Sven *,*,9.75,Oertig Dominik **,1
o,Nötzli Bruno ***,***,8.50,Oertig Dominik **,2
+,Vogel Manuel,Manuel,9.75,Oertig Dominik **,3
+,Laimbacher Philipp ***,***,10.00,Oertig Dominik **,4
o,Fankhauser Erich ***,***,8.50,Oertig Dominik **,5
+,Gabriel Christian (2000),(2000),9.75,Oertig Dominik **,6
-,Imhof Andi ***,***,8.75,Laimbacher Philipp ***,1
+,Gassmann Michael *,*,10.00,Laimbacher Philipp ***,2
-,Waser Dominik **,**,8.75,Laimbacher Philipp ***,3
