result,name,level,points,placed_fighter,fight_round
+,Sturny Nicolas **,**,10.00,Schurtenberger Sven ***,1
+,Hayoz Quentin *,*,10.00,Schurtenberger Sven ***,2
-,von Weissenﬂuh Kilian ***,***,8.75,Schurtenberger Sven ***,3
+,Moser Steven **,**,9.75,Schurtenberger Sven ***,4
+,Haenni Stéphane **,**,10.00,Schurtenberger Sven ***,5
+,Collaud Romain **,**,10.00,Schurtenberger Sven ***,6
+,Arnold Stefan **,**,9.75,Borcard Johann **,1
+,Röthlisberger Sven,Sven,9.75,Borcard Johann **,2
o,Voggensperger Lars **,**,8.50,Borcard Johann **,3
+,Collaud Bastien (2005),(2005),10.00,Borcard Johann **,4
+,Schläpfer Markus **,**,10.00,Borcard Johann **,5
+,Droxler Jonathan **,**,9.75,Borcard Johann **,6
-,Voggensperger Lars **,**,8.75,Gapany Benjamin ***,1
+,Riedo Fredy *,*,9.75,Gapany Benjamin ***,2
o,Dändliker Shane **,**,8.75,Gapany Benjamin ***,3
+,Dorsaz Théo *,*,10.00,Gapany Benjamin ***,4
+,Hügli Kaj **,**,10.00,Gapany Benjamin ***,5
+,Rogivue Théo *,*,10.00,Gapany Benjamin ***,6
-,Schläpfer Markus **,**,8.75,Moser Steven **,1
+,Fontaine Anthony (2006),(2006),9.75,Moser Steven **,2
+,Barras André *,*,10.00,Moser Steven **,3
o,Schurtenberger Sven ***,***,8.50,Moser Steven **,4
+,Portmann Fabio *,*,10.00,Moser Steven **,5
+,Hayoz Quentin *,*,10.00,Moser Steven **,6
o,Borcard Johann **,**,8.50,Arnold Stefan **,1
+,Gottofrey Luc *,*,10.00,Arnold Stefan **,2
+,Emonet Frédéric **,**,10.00,Arnold Stefan **,3
+,Dousse Michel **,**,9.75,Arnold Stefan **,4
-,Voggensperger Lars **,**,8.75,Arnold Stefan **,5
+,Grossenbacher Simon *,*,9.75,Arnold Stefan **,6
o,Roschi Ruedi **,**,8.50,Hofer Sven **,1
+,Zbinden Silvan (2004),(2004),10.00,Hofer Sven **,2
+,Tornare Paul *,*,9.75,Hofer Sven **,3
+,Schläﬂi Hugo *,*,10.00,Hofer Sven **,4
o,von Weissenﬂuh Kilian ***,***,8.50,Hofer Sven **,5
+,Dufey Gil *,*,10.00,Hofer Sven **,6
+,Schläﬂi Hugo *,*,9.75,Droxler Jonathan **,1
-,Schläpfer Markus **,**,8.75,Droxler Jonathan **,2
+,Fuchs Sylvain (2005),(2005),9.75,Droxler Jonathan **,3
+,Dufey Gil *,*,9.75,Droxler Jonathan **,4
+,Bucher Roman,Roman,9.75,Droxler Jonathan **,5
o,Borcard Johann **,**,8.50,Droxler Jonathan **,6
-,Borcard Clovis *,*,8.75,Sonnay Thomas **,1
-,Fankhauser Hans *,*,8.75,Sonnay Thomas **,2
+,Cochrane Benjamin,Benjamin,10.00,Sonnay Thomas **,3
o,Colò Kilian **,**,8.50,Sonnay Thomas **,4
+,Suchet Jonathan (2005),(2005),10.00,Sonnay Thomas **,5
+,Rey Arnaud,Arnaud,10.00,Sonnay Thomas **,6
+,Kramer Lario ***,***,10.00,von Weissenﬂuh Kilian ***,1
+,Matthey Mickaël **,**,9.75,von Weissenﬂuh Kilian ***,2
-,Schurtenberger Sven ***,***,8.75,von Weissenﬂuh Kilian ***,3
+,Pürro David *,*,10.00,von Weissenﬂuh Kilian ***,4
+,Hofer Sven **,**,9.75,von Weissenﬂuh Kilian ***,5
+,Sturny Nicolas **,**,9.75,von Weissenﬂuh Kilian ***,6
+,Hügli Kaj **,**,10.00,Collaud Romain **,1
+,Martin Gaël (2004) *,*,10.00,Collaud Romain **,2
+,Roschi Ruedi **,**,9.75,Collaud Romain **,3
-,Dändliker Shane **,**,9.00,Collaud Romain **,4
+,Gottofrey Luc *,*,10.00,Collaud Romain **,5
o,Schurtenberger Sven ***,***,8.75,Collaud Romain **,6
+,Dubey Gaël *,*,10.00,Haenni Stéphane **,1
-,Hügli Kaj **,**,8.75,Haenni Stéphane **,2
+,Schwab Livio (2005),(2005),10.00,Haenni Stéphane **,3
+,Riedo Fredy *,*,10.00,Haenni Stéphane **,4
o,Schurtenberger Sven ***,***,8.50,Haenni Stéphane **,5
+,Crettaz Olivier *,*,10.00,Haenni Stéphane **,6
o,Gottofrey Luc *,*,8.50,Siegenthaler Leo (2005) *,1
