result,name,level,points,placed_fighter,fight_round
+,Burkhalter Stefan ***,***,10.00,Bless Michael ***,1
+,Baumann Rico *,*,10.00,Bless Michael ***,2
+,Bernold Christian **,**,10.00,Bless Michael ***,3
+,Krähenbühl Tobias ***,***,10.00,Bless Michael ***,4
+,Vollenweider Jeremy *,*,10.00,Bless Michael ***,5
+,Schneider Domenic ***,***,10.00,Bless Michael ***,6
+,Schneider Domenic ***,***,9.75,Oertig Dominik **,1
-,Schläpfer Markus **,**,8.75,Oertig Dominik **,2
-,Hersche Martin ***,***,9.00,Oertig Dominik **,3
+,Burkhard Tobias,Tobias,10.00,Oertig Dominik **,4
+,Flütsch Marco,Marco,10.00,Oertig Dominik **,5
+,Keller Manuel *,*,10.00,Oertig Dominik **,6
+,Jörger Marc *,*,10.00,Baumann Rico *,1
o,Bless Michael ***,***,8.50,Baumann Rico *,2
+,Signer Walter,Walter,10.00,Baumann Rico *,3
+,Keller Dominic,Dominic,10.00,Baumann Rico *,4
-,Schläpfer Markus **,**,8.75,Baumann Rico *,5
+,Giger Urs *,*,10.00,Baumann Rico *,6
+,Bühler Ernst **,**,9.75,Kuster Marcel ***,1
+,Vollenweider Jeremy *,*,10.00,Kuster Marcel ***,2
-,Straub Robin *,*,9.00,Kuster Marcel ***,3
-,Rhyner Michael **,**,8.75,Kuster Marcel ***,4
+,Bühler Hannes *,*,9.75,Kuster Marcel ***,5
+,Jöhl Christian *,*,9.75,Kuster Marcel ***,6
o,Straub Robin *,*,8.50,Schudel Simon *,1
+,Biser Niklaus,Niklaus,10.00,Schudel Simon *,2
+,Manser Adrian,Adrian,10.00,Schudel Simon *,3
o,Schläpfer Matthias *,*,8.50,Schudel Simon *,4
+,Giger Lorenz (2000),(2000),10.00,Schudel Simon *,5
+,Fässler Michael,Michael,10.00,Schudel Simon *,6
o,Hersche Martin ***,***,8.50,Dändliker Shane **,1
+,Keller Dominic,Dominic,10.00,Dändliker Shane **,2
+,Schnyder Christian,Christian,10.00,Dändliker Shane **,3
-,Burkhalter Stefan ***,***,8.75,Dändliker Shane **,4
+,Kobler Janosch (2000),(2000),9.75,Dändliker Shane **,5
+,Pﬁster Florian *,*,9.75,Dändliker Shane **,6
+,Mettler Valentin *,*,9.75,Wey Nicola *,1
o,Zwyssig Raphael ***,***,8.50,Wey Nicola *,2
+,Held Simon (2002),(2002),10.00,Wey Nicola *,3
+,Winzeler Dominik (2000),(2000),9.75,Wey Nicola *,4
o,Krähenbühl Tobias ***,***,8.75,Wey Nicola *,5
+,Rentsch Christian,Christian,10.00,Wey Nicola *,6
+,Jöhl Christian *,*,9.75,Schläpfer Matthias *,1
+,Hobi Ignaz,Ignaz,10.00,Schläpfer Matthias *,2
o,Notz Beni ***,***,8.50,Schläpfer Matthias *,3
+,Schudel Simon *,*,9.75,Schläpfer Matthias *,4
o,Lehmann Philipp,Philipp,8.75,Schläpfer Matthias *,5
+,Ochsner Reto (2000),(2000),9.75,Schläpfer Matthias *,6
o,Oertig Dominik **,**,8.50,Schneider Domenic ***,1
+,Ackermann Remo *,*,10.00,Schneider Domenic ***,2
+,Jörger Marc *,*,9.75,Schneider Domenic ***,3
+,Hersche Martin ***,***,9.75,Schneider Domenic ***,4
+,Giger Urs *,*,9.75,Schneider Domenic ***,5
+,Schmid Patrick *,*,10.00,Schneider Domenic ***,6
o,Bless Michael ***,***,0.00,Schneider Domenic ***,7
+,Flütsch Marco,Marco,10.00,Lehmann Philipp,1
-,Mettler Valentin *,*,9.00,Lehmann Philipp,2
o,Rhyner Michael **,**,8.50,Lehmann Philipp,3
+,Jörger Corsin,Corsin,10.00,Lehmann Philipp,4
+,Schläpfer Matthias *,*,10.00,Lehmann Philipp,5
+,Straub Robin *,*,10.00,Lehmann Philipp,6
o,Bless Michael ***,***,8.50,Burkhalter Stefan ***,1
+,Elmer Daniel *,*,10.00,Burkhalter Stefan ***,2
+,Dörig Erich *,*,10.00,Burkhalter Stefan ***,3
-,Dändliker Shane **,**,8.75,Burkhalter Stefan ***,4
+,Kammermann Thomas *,*,10.00,Burkhalter Stefan ***,5
+,Funk Nicola *,*,10.00,Burkhalter Stefan ***,6
+,Glauser Thomas **,**,9.75,Bernold Christian **,1
+,Oettli Marco *,*,10.00,Bernold Christian **,2
o,Bless Michael ***,***,8.50,Bernold Christian **,3
+,Junker Nik,Nik,10.00,Bernold Christian **,4
+,Aerne Christian,Christian,10.00,Bernold Christian **,5
-,Notz Beni ***,***,8.75,Bernold Christian **,6
+,Wolfer Lukas *,*,10.00,Vollenweider Jeremy *,1
o,Kuster Marcel ***,***,8.50,Vollenweider Jeremy *,2
+,Sieber Marc (2000),(2000),10.00,Vollenweider Jeremy *,3
+,Pﬁster Florian *,*,10.00,Vollenweider Jeremy *,4
o,Bless Michael ***,***,8.50,Vollenweider Jeremy *,5
+,Stadelmann Patrick (2000),(2000),10.00,Vollenweider Jeremy *,6
-,Zwyssig Raphael ***,***,8.75,Krähenbühl Tobias ***,1
+,Giger Urs *,*,10.00,Krähenbühl Tobias ***,2
+,Rüegg Fabian *,*,10.00,Krähenbühl Tobias ***,3
o,Bless Michael ***,***,8.50,Krähenbühl Tobias ***,4
+,Wey Nicola *,*,9.75,Krähenbühl Tobias ***,5
+,Holenstein Christian *,*,9.75,Krähenbühl Tobias ***,6
+,Rhyner Michael **,**,9.75,Schläpfer Markus **,1
-,Oertig Dominik **,**,8.75,Schläpfer Markus **,2
+,Kobler Janosch (2000),(2000),9.75,Schläpfer Markus **,3
+,Landolt Reto *,*,9.75,Schläpfer Markus **,4
-,Baumann Rico *,*,8.75,Schläpfer Markus **,5
+,Lanter Christian,Christian,9.75,Schläpfer Markus **,6
+,Keller Manuel *,*,10.00,Schwyn Adrian *,1
o,Straub Robin *,*,8.50,Schwyn Adrian *,2
+,Manser Dominik,Dominik,10.00,Schwyn Adrian *,3
+,Fässler Michael,Michael,9.75,Schwyn Adrian *,4
o,Notz Beni ***,***,8.50,Schwyn Adrian *,5
+,Flütsch Marco,Marco,9.75,Schwyn Adrian *,6
©,2022 Eidgenössischer Schwingerverba,Schwingerverba,nd,Schwyn Adrian *,7
+,Bühler Hannes *,*,9.75,Schlegel Sandro **,1
o,Hersche Martin ***,***,8.50,Schlegel Sandro **,2
+,Furrer Matthias,Matthias,10.00,Schlegel Sandro **,3
+,Funk Nicola *,*,9.75,Schlegel Sandro **,4
+,Rentsch Christian,Christian,10.00,Schlegel Sandro **,5
+,Rüegg Fabian *,*,9.75,Schlegel Sandro **,6
-,Gmür Pirmin **,**,9.00,Notz Beni ***,1
+,Kunz Daniel *,*,10.00,Notz Beni ***,2
+,Schläpfer Matthias *,*,9.75,Notz Beni ***,3
+,Glauser Thomas **,**,9.75,Notz Beni ***,4
+,Schwyn Adrian *,*,10.00,Notz Beni ***,5
-,Bernold Christian **,**,8.75,Notz Beni ***,6
o,Schläpfer Markus **,**,8.50,Rhyner Michael **,1
+,Jörger Corsin,Corsin,10.00,Rhyner Michael **,2
+,Lehmann Philipp,Philipp,10.00,Rhyner Michael **,3
-,Kuster Marcel ***,***,8.75,Rhyner Michael **,4
+,Kunz Daniel *,*,10.00,Rhyner Michael **,5
+,Wolfer Lukas *,*,10.00,Rhyner Michael **,6
+,Dändliker Shane **,**,9.75,Hersche Martin ***,1
+,Schlegel Sandro **,**,10.00,Hersche Martin ***,2
-,Oertig Dominik **,**,9.00,Hersche Martin ***,3
o,Schneider Domenic ***,***,8.50,Hersche Martin ***,4
+,Oettli Marco *,*,10.00,Hersche Martin ***,5
+,Ackermann Remo *,*,9.75,Hersche Martin ***,6
-,Krähenbühl Tobias ***,***,8.75,Zwyssig Raphael ***,1
+,Wey Nicola *,*,9.75,Zwyssig Raphael ***,2
+,Wolfer Lukas *,*,10.00,Zwyssig Raphael ***,3
-,Holenstein Christian *,*,8.75,Zwyssig Raphael ***,4
+,Arztmann Beda *,*,9.75,Zwyssig Raphael ***,5
+,Bühler Ernst **,**,9.75,Zwyssig Raphael ***,6
-,Holenstein Christian *,*,8.75,Landolt Reto *,1
+,Imhof Gregor (2001),(2001),10.00,Landolt Reto *,2
+,Rentsch Christian,Christian,9.75,Landolt Reto *,3
o,Schläpfer Markus **,**,8.50,Landolt Reto *,4
+,Roth Michael,Michael,10.00,Landolt Reto *,5
+,Winzeler Simon (2000),(2000),9.75,Landolt Reto *,6
+,Schmid Patrick *,*,9.75,Elmer Daniel *,1
o,Burkhalter Stefan ***,***,8.50,Elmer Daniel *,2
+,Müller Christian (2001),(2001),10.00,Elmer Daniel *,3
+,Reichmuth Beat,Beat,9.75,Elmer Daniel *,4
o,Keller Manuel *,*,8.50,Elmer Daniel *,5
+,Burkhard Tobias,Tobias,10.00,Elmer Daniel *,6
+,Arztmann Beda *,*,9.75,Oettli Marco *,1
o,Bernold Christian **,**,8.50,Oettli Marco *,2
+,Ritter Fabio (2001),(2001),10.00,Oettli Marco *,3
+,Mathis Patrick,Patrick,9.75,Oettli Marco *,4
o,Hersche Martin ***,***,8.50,Oettli Marco *,5
+,Kobler Janosch (2000),(2000),9.75,Oettli Marco *,6
,08.01.2022 00:36,00:36,Seite 1/,Oettli Marco *,7
-,Schlegel Werner (2002) *,*,9.00,Dörig Erich *,1
+,Bosshard Dario,Dario,10.00,Dörig Erich *,2
o,Burkhalter Stefan ***,***,8.50,Dörig Erich *,3
-,Roth Michael,Michael,8.75,Dörig Erich *,4
+,Bärtsch Fabian (2000),(2000),10.00,Dörig Erich *,5
+,Buchmann Michael,Michael,10.00,Dörig Erich *,6
-,Dörig Erich *,*,9.00,Schlegel Werner (2002) *,1
-,Nock Benjamin (2001),(2001),8.75,Schlegel Werner (2002) *,2
o,Burkhard Tobias,Tobias,8.75,Schlegel Werner (2002) *,3
+,Brülisauer Dominik (2001),(2001),9.75,Schlegel Werner (2002) *,4
+,Galli Cedric (2001),(2001),9.75,Schlegel Werner (2002) *,5
+,Aerne Christian,Christian,10.00,Schlegel Werner (2002) *,6
o,Oettli Marco *,*,8.75,Arztmann Beda *,1
+,Inauen Aurel,Aurel,9.75,Arztmann Beda *,2
+,Winzeler Simon (2000),(2000),10.00,Arztmann Beda *,3
-,Mettler Valentin *,*,9.00,Arztmann Beda *,4
o,Zwyssig Raphael ***,***,8.50,Arztmann Beda *,5
+,Jörger Marc *,*,9.75,Arztmann Beda *,6
+,Frauenfelder Florian (2001),(2001),10.00,Keller Dominic,1
o,Dändliker Shane **,**,8.50,Keller Dominic,2
+,Bosshard Dario,Dario,10.00,Keller Dominic,3
o,Baumann Rico *,*,8.50,Keller Dominic,4
-,Junker Nik,Nik,8.75,Keller Dominic,5
+,Zumbach Michael,Michael,10.00,Keller Dominic,6
+,Bickel Roman *,*,9.75,Giger Urs *,1
o,Krähenbühl Tobias ***,***,8.75,Giger Urs *,2
+,Lanter Christian,Christian,10.00,Giger Urs *,3
+,Buchmann Michael,Michael,10.00,Giger Urs *,4
o,Schneider Domenic ***,***,8.50,Giger Urs *,5
o,Baumann Rico *,*,8.75,Giger Urs *,6
+,Schudel Simon *,*,9.75,Straub Robin *,1
+,Schwyn Adrian *,*,10.00,Straub Robin *,2
-,Kuster Marcel ***,***,8.75,Straub Robin *,3
+,Roth David,David,9.75,Straub Robin *,4
-,Jörger Marc *,*,8.75,Straub Robin *,5
o,Lehmann Philipp,Philipp,8.50,Straub Robin *,6
+,Mathis Patrick,Patrick,10.00,Lanter Christian,1
-,Gmür Pirmin **,**,8.75,Lanter Christian,2
o,Giger Urs *,*,8.50,Lanter Christian,3
+,Koller Andreas,Andreas,10.00,Lanter Christian,4
+,Glauser Thomas **,**,9.75,Lanter Christian,5
o,Schläpfer Markus **,**,8.50,Lanter Christian,6
+,Arnold Christian,Christian,10.00,Reichmuth Beat,1
o,Bühler Ernst **,**,8.50,Reichmuth Beat,2
+,Jörger Corsin,Corsin,9.75,Reichmuth Beat,3
o,Elmer Daniel *,*,8.50,Reichmuth Beat,4
o,Zumbach Michael,Michael,8.75,Reichmuth Beat,5
+,Manser Adrian,Adrian,10.00,Reichmuth Beat,6
-,Pﬁster Florian *,*,8.75,Funk Nicola *,1
+,Wehrli Jan (2002),(2002),10.00,Funk Nicola *,2
+,Ochsner Reto (2000),(2000),9.75,Funk Nicola *,3
o,Schlegel Sandro **,**,8.50,Funk Nicola *,4
+,Bleiker Daniel,Daniel,9.75,Funk Nicola *,5
o,Burkhalter Stefan ***,***,8.50,Funk Nicola *,6
o,Wey Nicola *,*,8.50,Mettler Valentin *,1
-,Lehmann Philipp,Philipp,9.00,Mettler Valentin *,2
+,Lötscher Abraham (2000),(2000),9.75,Mettler Valentin *,3
-,Arztmann Beda *,*,9.00,Mettler Valentin *,4
+,Schwyn Patrick,Patrick,10.00,Mettler Valentin *,5
+,Kammermann Thomas *,*,10.00,Mettler Valentin *,6
+,Rüegg Fabian *,*,10.00,Ackermann Remo *,1
o,Schneider Domenic ***,***,8.50,Ackermann Remo *,2
+,Gerig Marcel,Marcel,10.00,Ackermann Remo *,3
-,Keller Manuel *,*,9.00,Ackermann Remo *,4
+,Roth David,David,10.00,Ackermann Remo *,5
o,Hersche Martin ***,***,8.50,Ackermann Remo *,6
o,Kuster Marcel ***,***,8.50,Bühler Ernst **,1
+,Reichmuth Beat,Beat,9.75,Bühler Ernst **,2
+,Bleiker Daniel,Daniel,10.00,Bühler Ernst **,3
-,Schmid Patrick *,*,9.00,Bühler Ernst **,4
+,Schönenberger Philipp,Philipp,10.00,Bühler Ernst **,5
o,Zwyssig Raphael ***,***,8.50,Bühler Ernst **,6
o,Schwyn Adrian *,*,8.50,Keller Manuel *,1
+,Bärtsch Fabian (2000),(2000),10.00,Keller Manuel *,2
+,Bürgler Patrick,Patrick,10.00,Keller Manuel *,3
-,Ackermann Remo *,*,8.75,Keller Manuel *,4
+,Elmer Daniel *,*,10.00,Keller Manuel *,5
o,Oertig Dominik **,**,8.50,Keller Manuel *,6
+,Müller Christian (2001),(2001),10.00,Inauen Aurel,1
o,Arztmann Beda *,*,8.50,Inauen Aurel,2
o,Roth Michael,Michael,8.75,Inauen Aurel,3
o,Baumann Simon,Simon,8.50,Inauen Aurel,4
+,Schmidlin Tobias (2001),(2001),10.00,Inauen Aurel,5
+,Schönenberger Philipp,Philipp,10.00,Inauen Aurel,6
+,Brülisauer Dominik (2001),(2001),10.00,Bärtsch Fabian (2000),1
o,Keller Manuel *,*,8.50,Bärtsch Fabian (2000),2
-,Nock Benjamin (2001),(2001),8.75,Bärtsch Fabian (2000),3
+,Bosshard Dario,Dario,9.75,Bärtsch Fabian (2000),4
o,Dörig Erich *,*,8.50,Bärtsch Fabian (2000),5
+,Held Simon (2002),(2002),10.00,Bärtsch Fabian (2000),6
o,Elmer Daniel *,*,8.50,Schmid Patrick *,1
+,Schönenberger Philipp,Philipp,9.75,Schmid Patrick *,2
+,Buchmann Michael,Michael,9.75,Schmid Patrick *,3
-,Bühler Ernst **,**,9.00,Schmid Patrick *,4
+,Schnyder Christian,Christian,10.00,Schmid Patrick *,5
o,Schneider Domenic ***,***,8.50,Schmid Patrick *,6
+,Burkhard Tobias,Tobias,10.00,Roth David,1
o,Kammermann Thomas *,*,8.50,Roth David,2
+,Wehrli Jan (2002),(2002),10.00,Roth David,3
o,Straub Robin *,*,8.50,Roth David,4
o,Ackermann Remo *,*,8.50,Roth David,5
+,Schnyder Christian,Christian,10.00,Roth David,6
-,Stadelmann Patrick (2000),(2000),8.75,Inauen Marco,1
o,Galli Cedric (2001),(2001),8.50,Inauen Marco,2
o,Zumbach Michael,Michael,8.50,Inauen Marco,3
+,Gerig Marcel,Marcel,9.75,Inauen Marco,4
+,Steiner Lukas (2002),(2002),9.75,Inauen Marco,5
+,Kiener Raphael (2000),(2000),10.00,Inauen Marco,6
©,2022 Eidgenössischer Schwingerverba,Schwingerverba,nd,Inauen Marco,7
-,Notz Beni ***,***,8.75,Gmür Pirmin **,1
-,Lanter Christian,Christian,8.75,Gmür Pirmin **,2
+,Schweingruber Thomas,Thomas,9.75,Gmür Pirmin **,3
o,Aerne Christian,Christian,8.75,Gmür Pirmin **,4
+,Kiener Raphael (2000),(2000),10.00,Gmür Pirmin **,5
+,Bühler Hannes *,*,10.00,Gmür Pirmin **,6
-,Landolt Reto *,*,8.75,Holenstein Christian *,1
+,Bickel Roman *,*,10.00,Holenstein Christian *,2
+,Hodler Mathias,Mathias,9.75,Holenstein Christian *,3
-,Zwyssig Raphael ***,***,8.75,Holenstein Christian *,4
+,Pianta Christian,Christian,9.75,Holenstein Christian *,5
o,Krähenbühl Tobias ***,***,8.75,Holenstein Christian *,6
+,Gerig Marcel,Marcel,10.00,Junker Nik,1
o,Rüegg Fabian *,*,8.50,Junker Nik,2
+,Kirchmeier Christof,Christof,10.00,Junker Nik,3
o,Bernold Christian **,**,8.50,Junker Nik,4
-,Keller Dominic,Dominic,8.75,Junker Nik,5
+,Müller Christian (2001),(2001),10.00,Junker Nik,6
+,Rickenmann Ramon (2001),(2001),10.00,Bürgler Patrick,1
+,Giger Lorenz (2000),(2000),9.75,Bürgler Patrick,2
o,Keller Manuel *,*,8.75,Bürgler Patrick,3
o,Flütsch Marco,Marco,8.75,Bürgler Patrick,4
o,Fässler Michael,Michael,8.50,Bürgler Patrick,5
+,Wehrli Jan (2002),(2002),10.00,Bürgler Patrick,6
+,Signer Ramon (2002),(2002),10.00,Winzeler Dominik (2000),1
+,Kirchmeier Christof,Christof,10.00,Winzeler Dominik (2000),2
o,Kammermann Thomas *,*,8.50,Winzeler Dominik (2000),3
o,Wey Nicola *,*,8.50,Winzeler Dominik (2000),4
o,Nock Benjamin (2001),(2001),8.75,Winzeler Dominik (2000),5
+,Giger Lorenz (2000),(2000),10.00,Winzeler Dominik (2000),6
+,Schnyder Christian,Christian,10.00,Hodler Mathias,1
o,Buchmann Michael,Michael,8.50,Hodler Mathias,2
o,Holenstein Christian *,*,8.50,Hodler Mathias,3
-,Stähli Jan,Jan,8.75,Hodler Mathias,4
+,Dobler Lorenz (2000),(2000),9.75,Hodler Mathias,5
+,Rust Emanuel,Emanuel,10.00,Hodler Mathias,6
+,Baumann Simon,Simon,10.00,Jörger Corsin,1
o,Rhyner Michael **,**,8.50,Jörger Corsin,2
o,Reichmuth Beat,Beat,8.75,Jörger Corsin,3
o,Lehmann Philipp,Philipp,8.50,Jörger Corsin,4
+,Frauenfelder Florian (2001),(2001),10.00,Jörger Corsin,5
+,Bosshard Dario,Dario,9.75,Jörger Corsin,6
o,Ackermann Remo *,*,8.50,Rüegg Fabian *,1
+,Junker Nik,Nik,10.00,Rüegg Fabian *,2
o,Krähenbühl Tobias ***,***,8.50,Rüegg Fabian *,3
+,Ritter Fabio (2001),(2001),10.00,Rüegg Fabian *,4
+,Wehrli Jan (2002),(2002),10.00,Rüegg Fabian *,5
o,Schlegel Sandro **,**,8.50,Rüegg Fabian *,6
+,Ruppanner Philipp (2000),(2000),9.75,Roth Michael,1
o,Rentsch Christian,Christian,8.50,Roth Michael,2
+,Inauen Aurel,Aurel,9.75,Roth Michael,3
-,Dörig Erich *,*,8.75,Roth Michael,4
o,Landolt Reto *,*,8.75,Roth Michael,5
+,Stähli Jan,Jan,9.75,Roth Michael,6
,08.01.2022 00:36,00:36,Seite 2/,Roth Michael,7
-,Inauen Marco,Marco,8.75,Stadelmann Patrick (2000),1
o,Flütsch Marco,Marco,8.50,Stadelmann Patrick (2000),2
+,Langenegger Beat,Beat,9.75,Stadelmann Patrick (2000),3
+,Zemp Stefan (2002),(2002),10.00,Stadelmann Patrick (2000),4
+,Glauser Thomas **,**,9.75,Stadelmann Patrick (2000),5
o,Vollenweider Jeremy *,*,8.50,Stadelmann Patrick (2000),6
+,Bleiker Daniel,Daniel,9.75,Buchmann Michael,1
+,Hodler Mathias,Mathias,9.75,Buchmann Michael,2
o,Schmid Patrick *,*,8.75,Buchmann Michael,3
o,Giger Urs *,*,8.50,Buchmann Michael,4
+,Imhof Gregor (2001),(2001),9.75,Buchmann Michael,5
o,Dörig Erich *,*,8.75,Buchmann Michael,6
+,Sprecher Martin (2000),(2000),9.75,Fässler Michael,1
o,Winzeler Simon (2000),(2000),8.50,Fässler Michael,2
+,Wild Thomas,Thomas,10.00,Fässler Michael,3
o,Schwyn Adrian *,*,8.50,Fässler Michael,4
+,Bürgler Patrick,Patrick,10.00,Fässler Michael,5
o,Schudel Simon *,*,8.50,Fässler Michael,6
+,Falch Urs (2001),(2001),9.75,Hobi Ignaz,1
o,Schläpfer Matthias *,*,8.50,Hobi Ignaz,2
o,Aerne Christian,Christian,8.50,Hobi Ignaz,3
+,Furrer Matthias,Matthias,9.75,Hobi Ignaz,4
o,Jöhl Christian *,*,8.75,Hobi Ignaz,5
+,Ritter Fabio (2001),(2001),10.00,Hobi Ignaz,6
+,Inauen Severin (2002),(2002),10.00,Winzeler Simon (2000),1
+,Fässler Michael,Michael,9.75,Winzeler Simon (2000),2
o,Arztmann Beda *,*,8.50,Winzeler Simon (2000),3
o,Jörger Marc *,*,8.50,Winzeler Simon (2000),4
+,Lötscher Abraham (2000),(2000),9.75,Winzeler Simon (2000),5
o,Landolt Reto *,*,8.75,Winzeler Simon (2000),6
+,Galli Cedric (2001),(2001),9.75,Kobler Janosch (2000),1
+,Zbinden Marc *,*,9.75,Kobler Janosch (2000),2
o,Schläpfer Markus **,**,8.50,Kobler Janosch (2000),3
+,Signer Walter,Walter,10.00,Kobler Janosch (2000),4
o,Dändliker Shane **,**,8.50,Kobler Janosch (2000),5
o,Oettli Marco *,*,8.50,Kobler Janosch (2000),6
+,Furrer Matthias,Matthias,9.75,Zumbach Michael,1
o,Glauser Thomas **,**,8.50,Zumbach Michael,2
+,Inauen Marco,Marco,9.75,Zumbach Michael,3
o,Bühler Hannes *,*,8.50,Zumbach Michael,4
+,Reichmuth Beat,Beat,9.75,Zumbach Michael,5
o,Keller Dominic,Dominic,8.50,Zumbach Michael,6
+,Biser Niklaus,Niklaus,10.00,Schwyn Patrick,1
-,Signer Walter,Walter,9.00,Schwyn Patrick,2
