result,name,level,points,placed_fighter,fight_round
+,Leuppi Samir **,**,10.00,Orlik Armon ***,1
+,Dändliker Shane **,**,9.75,Orlik Armon ***,2
+,Rychen Roger ***,***,9.75,Orlik Armon ***,3
+,Schnurrenberger Roman **,**,10.00,Orlik Armon ***,4
+,Zwyssig Raphael ***,***,9.75,Orlik Armon ***,5
+,Schlegel Sandro **,**,10.00,Orlik Armon ***,6
+,Dumelin David **,**,10.00,Schlegel Sandro **,1
o,Rychen Roger ***,***,8.75,Schlegel Sandro **,2
+,Hänni Marc (2001),(2001),10.00,Schlegel Sandro **,3
+,Schlegel Werner (2002) *,*,10.00,Schlegel Sandro **,4
+,Kuster Marcel ***,***,10.00,Schlegel Sandro **,5
o,Orlik Armon ***,***,8.75,Schlegel Sandro **,6
-,Bernold Christian **,**,8.75,Schnurrenberger Roman **,1
+,Inauen Andreas *,*,10.00,Schnurrenberger Roman **,2
+,Riget Florian *,*,10.00,Schnurrenberger Roman **,3
o,Orlik Armon ***,***,8.50,Schnurrenberger Roman **,4
+,Fausch Kjetil *,*,10.00,Schnurrenberger Roman **,5
+,Breitenmoser Manuel *,*,10.00,Schnurrenberger Roman **,6
-,Lehmann Philipp *,*,9.00,Wittenwiler Roman *,1
+,Badat Thomas,Thomas,9.75,Wittenwiler Roman *,2
o,Leuppi Samir **,**,8.50,Wittenwiler Roman *,3
+,Baumgartner Joël,Joël,10.00,Wittenwiler Roman *,4
+,Räbsamen Marcel *,*,10.00,Wittenwiler Roman *,5
+,Naef Sandro,Sandro,9.75,Wittenwiler Roman *,6
-,Kindlimann Fabian ***,***,8.75,Zwyssig Raphael ***,1
+,Breitenmoser Manuel *,*,10.00,Zwyssig Raphael ***,2
+,Wey Nicola *,*,9.75,Zwyssig Raphael ***,3
+,Jörger Marc *,*,10.00,Zwyssig Raphael ***,4
o,Orlik Armon ***,***,8.50,Zwyssig Raphael ***,5
+,Arztmann Beda *,*,9.75,Zwyssig Raphael ***,6
+,Rhyner Michael **,**,10.00,Dändliker Shane **,1
o,Orlik Armon ***,***,8.50,Dändliker Shane **,2
+,Ackermann Roman,Roman,9.75,Dändliker Shane **,3
o,Geisser Lars **,**,8.50,Dändliker Shane **,4
+,Bernold Edi **,**,10.00,Dändliker Shane **,5
+,Lötscher Abraham,Abraham,10.00,Dändliker Shane **,6
-,Jörger Marc *,*,8.75,Funk Nicola *,1
+,Lötscher Abraham,Abraham,9.75,Funk Nicola *,2
+,Bless Michael ***,***,9.75,Funk Nicola *,3
+,Castelli Fabio,Fabio,10.00,Funk Nicola *,4
o,Riget Tobias **,**,8.50,Funk Nicola *,5
+,Horner Sämi,Sämi,9.75,Funk Nicola *,6
-,Zwyssig Raphael ***,***,8.75,Kindlimann Fabian ***,1
-,Steiner Michael **,**,9.00,Kindlimann Fabian ***,2
-,Fausch Kjetil *,*,8.75,Kindlimann Fabian ***,3
+,Martin Dominik,Dominik,10.00,Kindlimann Fabian ***,4
+,Dörig Erich *,*,10.00,Kindlimann Fabian ***,5
