result,name,level,points,placed_fighter,fight_round
-,Kämpf Bernhard ***,***,8.75,Ott Damian **,1
+,Roth Philipp ***,***,10.00,Ott Damian **,2
+,Gnägi Damian *,*,9.75,Ott Damian **,3
+,Walther Adrian **,**,9.75,Ott Damian **,4
+,Burger Matthieu **,**,10.00,Ott Damian **,5
+,Giger Samuel ***,***,10.00,Ott Damian **,6
+,Gnägi Florian ***,***,9.75,Giger Samuel ***,1
-,Ledermann Michael **,**,9.00,Giger Samuel ***,2
+,Roth Dominik **,**,9.75,Giger Samuel ***,3
+,Schwander Severin **,**,10.00,Giger Samuel ***,4
+,Klossner Adrian **,**,10.00,Giger Samuel ***,5
o,Ott Damian **,**,8.75,Giger Samuel ***,6
+,Geisser Lars **,**,10.00,Ledermann Michael **,1
-,Giger Samuel ***,***,9.00,Ledermann Michael **,2
+,Wey Nicola *,*,9.75,Ledermann Michael **,3
+,Tschumi Lukas *,*,9.75,Ledermann Michael **,4
o,Rychen Roger ***,***,8.50,Ledermann Michael **,5
+,Rüegg Fabian *,*,9.75,Ledermann Michael **,6
+,Collaud Romain **,**,10.00,Walther Adrian **,1
+,Rychen Roger ***,***,9.75,Walther Adrian **,2
+,Burger Matthieu **,**,10.00,Walther Adrian **,3
o,Ott Damian **,**,8.50,Walther Adrian **,4
+,Arztmann Beda **,**,9.75,Walther Adrian **,5
o,Gnägi Florian ***,***,8.50,Walther Adrian **,6
+,Weyermann Michael **,**,9.75,Sturny Nicolas,1
o,Wittwer Josias **,**,8.50,Sturny Nicolas,2
o,Bollhalder Manuel *,*,8.50,Sturny Nicolas,3
+,Dumelin David **,**,9.75,Sturny Nicolas,4
+,Schlüchter Colin *,*,9.75,Sturny Nicolas,5
+,Klossner Adrian **,**,9.75,Sturny Nicolas,6
-,Wey Nicola *,*,8.75,Steﬀen Gustav **,1
+,Ducry Antoine **,**,10.00,Steﬀen Gustav **,2
+,Mollet Ivan **,**,9.75,Steﬀen Gustav **,3
o,Gnägi Florian ***,***,8.50,Steﬀen Gustav **,4
+,Kuster Thomas *,*,9.75,Steﬀen Gustav **,5
-,Gottofrey Marc **,**,9.00,Steﬀen Gustav **,6
+,Tschachtli Sven **,**,10.00,Lüthi David *,1
o,Baeriswyl Christoph **,**,8.50,Lüthi David *,2
o,Krähenbühl Tobias ***,***,8.50,Lüthi David *,3
-,Colò Kilian **,**,8.75,Lüthi David *,4
+,Buchs Noah (2004),(2004),10.00,Lüthi David *,5
+,Emonet Frédéric **,**,10.00,Lüthi David *,6
+,Matthey Mickaël **,**,10.00,Berger Lorenz **,1
+,Kämpf Bernhard ***,***,9.75,Berger Lorenz **,2
-,Gottofrey Marc **,**,8.75,Berger Lorenz **,3
o,Arztmann Beda **,**,8.75,Berger Lorenz **,4
o,Krähenbühl Tobias ***,***,8.50,Berger Lorenz **,5
+,Fausch Kjetil *,*,10.00,Berger Lorenz **,6
+,Vollenweider Jeremy **,**,10.00,Roth Dominik **,1
+,Kämpf Alexander **,**,9.75,Roth Dominik **,2
o,Giger Samuel ***,***,8.50,Roth Dominik **,3
+,Wey Nicola *,*,9.75,Roth Dominik **,4
+,Kramer Dorian **,**,10.00,Roth Dominik **,5
+,Rychen Roger ***,***,9.75,Roth Dominik **,6
+,Schmid Dominik **,**,10.00,Roschi Ruedi **,1
o,Wiget Michael ***,***,8.50,Roschi Ruedi **,2
+,Hayoz Quentin *,*,10.00,Roschi Ruedi **,3
-,Borcard Johann **,**,9.00,Roschi Ruedi **,4
+,Baeriswyl Christoph **,**,10.00,Roschi Ruedi **,5
+,Zaugg Lars *,*,9.75,Roschi Ruedi **,6
+,Gerber Christian ***,***,9.75,Rychen Roger ***,1
o,Walther Adrian **,**,8.50,Rychen Roger ***,2
+,Binggeli Dominik *,*,10.00,Rychen Roger ***,3
+,Gasser Dominik *,*,10.00,Rychen Roger ***,4
+,Ledermann Michael **,**,9.75,Rychen Roger ***,5
o,Roth Dominik **,**,8.75,Rychen Roger ***,6
-,Sempach Thomas ***,***,8.75,Schneider Domenic ***,1
+,Zaugg Lars *,*,9.75,Schneider Domenic ***,2
+,Tschumi Lukas *,*,9.75,Schneider Domenic ***,3
+,Luginbühl Hanspeter **,**,9.75,Schneider Domenic ***,4
o,Gnägi Florian ***,***,8.50,Schneider Domenic ***,5
+,Binggeli Dominik *,*,9.75,Schneider Domenic ***,6
-,Gasser Dominik *,*,9.00,Räbsamen Marcel *,1
-,Orlik Curdin ***,***,8.75,Räbsamen Marcel *,2
+,Gäggeler Adrian *,*,10.00,Räbsamen Marcel *,3
