result,name,level,points,placed_fighter,fight_round
+,von Ah Benji ***,***,9.75,Wicki Joel **,1
+,Blaser Roman *,*,10.00,Wicki Joel **,2
+,Schelbert Ralf **,**,9.75,Wicki Joel **,3
+,Wüthrich Philip *,*,10.00,Wicki Joel **,4
+,Bieri Marcel **,**,9.75,Wicki Joel **,5
+,Schurtenberger Sven ***,***,10.00,Wicki Joel **,6
+,Gloggner Philipp ***,***,9.75,Bieri Marcel **,1
+,Schmidiger Marco *,*,10.00,Bieri Marcel **,2
+,Vogel Remo **,**,9.75,Bieri Marcel **,3
+,Widmer Adrian *,*,10.00,Bieri Marcel **,4
o,Wicki Joel **,**,8.50,Bieri Marcel **,5
+,Stöckli Damian,Damian,9.75,Bieri Marcel **,6
-,Müller Michael **,**,8.75,Ulrich Andreas ***,1
-,Muﬀ André *,*,8.75,Ulrich Andreas ***,2
+,Fink Bruno *,*,10.00,Ulrich Andreas ***,3
+,Ambühl Joel *,*,10.00,Ulrich Andreas ***,4
+,Achermann Christoph *,*,10.00,Ulrich Andreas ***,5
+,Portmann Josef *,*,9.75,Ulrich Andreas ***,6
-,Suppiger René ***,***,8.75,Arnold Stefan **,1
+,Graber Michael *,*,9.75,Arnold Stefan **,2
+,Wüest David (2000),(2000),9.75,Arnold Stefan **,3
+,Ottiger Lukas,Lukas,10.00,Arnold Stefan **,4
-,Egli Damian **,**,8.75,Arnold Stefan **,5
+,Müller Roger *,*,10.00,Arnold Stefan **,6
-,Odermatt Christian **,**,8.75,Suppiger Werner **,1
+,Inderbitzin Daniel *,*,10.00,Suppiger Werner **,2
+,Gwerder Marco,Marco,10.00,Suppiger Werner **,3
+,Reichmuth Armin *,*,10.00,Suppiger Werner **,4
o,Schurtenberger Sven ***,***,8.50,Suppiger Werner **,5
+,Wyss Kilian **,**,9.75,Suppiger Werner **,6
+,Steinauer Adrian **,**,9.75,Gloggner Reto **,1
+,Zurﬂuh Michael *,*,10.00,Gloggner Reto **,2
o,Wüthrich Philip *,*,8.75,Gloggner Reto **,3
o,Inderbitzin Daniel *,*,8.50,Gloggner Reto **,4
+,Aregger Fabian (2001),(2001),10.00,Gloggner Reto **,5
+,Gwerder Marco,Marco,10.00,Gloggner Reto **,6
-,Linggi Bruno **,**,8.75,Heiniger Marco *,1
+,Reichmuth Roland,Roland,9.75,Heiniger Marco *,2
+,Durrer Robin,Robin,10.00,Heiniger Marco *,3
+,Bucher Roland *,*,9.75,Heiniger Marco *,4
-,Blaser Roman *,*,8.75,Heiniger Marco *,5
+,Wüthrich Philip *,*,9.75,Heiniger Marco *,6
-,Bürgi Reto *,*,8.75,Lang Sven *,1
+,Imfeld Beat,Beat,9.75,Lang Sven *,2
o,von Ah Benji ***,***,8.50,Lang Sven *,3
+,Wyss Christian,Christian,9.75,Lang Sven *,4
+,Zimmermann Daniel *,*,10.00,Lang Sven *,5
+,Amgarten Roman *,*,10.00,Lang Sven *,6
+,Mathis Marcel ***,***,10.00,Schurtenberger Sven ***,1
+,Wyrsch Marco **,**,10.00,Schurtenberger Sven ***,2
+,Waser Dominik **,**,9.75,Schurtenberger Sven ***,3
+,Baumann Roger *,*,10.00,Schurtenberger Sven ***,4
+,Suppiger Werner **,**,9.75,Schurtenberger Sven ***,5
o,Wicki Joel **,**,8.75,Schurtenberger Sven ***,6
o,Bieri Marcel **,**,8.50,Gloggner Philipp ***,1
+,Fassbind René *,*,10.00,Gloggner Philipp ***,2
+,Amgarten Martin *,*,10.00,Gloggner Philipp ***,3
+,Kälin Roland **,**,9.75,Gloggner Philipp ***,4
+,Gwerder Michael (2000) *,*,9.75,Gloggner Philipp ***,5
+,Gwerder Guido **,**,9.75,Gloggner Philipp ***,6
o,Waser Dominik **,**,8.50,Fellmann Roman *,1
+,Kammermann Dominik,Dominik,10.00,Fellmann Roman *,2
+,Heiniger Luca,Luca,10.00,Fellmann Roman *,3
+,Linggi Bruno **,**,9.75,Fellmann Roman *,4
-,Schelbert Ralf **,**,9.00,Fellmann Roman *,5
+,Spichtig Aldo,Aldo,10.00,Fellmann Roman *,6
-,Fankhauser Reto *,*,9.00,Thalmann Thomas *,1
-,Odermatt Christian **,**,8.75,Thalmann Thomas *,2
+,Gwerder Beni,Beni,9.75,Thalmann Thomas *,3
+,Suter Samuel,Samuel,10.00,Thalmann Thomas *,4
+,Huber Alex *,*,9.75,Thalmann Thomas *,5
+,Lang Julian,Julian,9.75,Thalmann Thomas *,6
+,Fink Bruno *,*,10.00,Wyrsch Marco **,1
o,Schurtenberger Sven ***,***,8.50,Wyrsch Marco **,2
+,Bühler Kilian (2000),(2000),10.00,Wyrsch Marco **,3
-,Bättig Martin *,*,8.75,Wyrsch Marco **,4
+,Schnider Markus *,*,9.75,Wyrsch Marco **,5
+,Kurmann Jvo,Jvo,10.00,Wyrsch Marco **,6
+,Gwerder Beni,Beni,10.00,Stöckli Damian,1
+,Bürgler Lukas *,*,10.00,Stöckli Damian,2
+,Moos Christoph *,*,10.00,Stöckli Damian,3
o,Schelbert Ralf **,**,8.50,Stöckli Damian,4
+,Wüthrich Philip *,*,10.00,Stöckli Damian,5
o,Bieri Marcel **,**,8.50,Stöckli Damian,6
-,Kurmann Toni *,*,8.75,Lussi Marco *,1
-,Stadelmann Pius *,*,8.75,Lussi Marco *,2
+,Ziegler Manuel,Manuel,9.75,Lussi Marco *,3
+,Bieri Elias,Elias,9.75,Lussi Marco *,4
+,Lemmenmeier Lukas *,*,10.00,Lussi Marco *,5
+,Wigger Simon,Simon,9.75,Lussi Marco *,6
+,Muﬀ Armin **,**,10.00,Michel Jonas *,1
+,Thierstein Marco *,*,9.75,Michel Jonas *,2
-,Schmid Simon (2000) *,*,8.75,Michel Jonas *,3
o,Fankhauser Erich ***,***,8.50,Michel Jonas *,4
+,Ming Christian 2,2,10.00,Michel Jonas *,5
+,Gisler Stefan,Stefan,9.75,Michel Jonas *,6
©,2018 Eidgenössischer Schwingerverba,Schwingerverba,nd,Michel Jonas *,7
o,Schelbert Ralf **,**,8.50,Fankhauser Erich ***,1
+,Arnold Fabian *,*,9.75,Fankhauser Erich ***,2
+,Amgarten Roman *,*,10.00,Fankhauser Erich ***,3
+,Michel Jonas *,*,10.00,Fankhauser Erich ***,4
+,Portmann Fabian,Fabian,9.75,Fankhauser Erich ***,5
+,Reichmuth Armin *,*,10.00,Fankhauser Erich ***,6
+,Arnold Andreas *,*,10.00,Muﬀ André *,1
-,Ulrich Andreas ***,***,8.75,Muﬀ André *,2
+,Suter Samuel,Samuel,9.75,Muﬀ André *,3
-,Schürpf Bruno *,*,8.75,Muﬀ André *,4
+,Durrer Robin,Robin,10.00,Muﬀ André *,5
+,Stäger Franz (2000),(2000),10.00,Muﬀ André *,6
+,Fankhauser Erich ***,***,10.00,Schelbert Ralf **,1
+,Bättig Martin *,*,9.75,Schelbert Ralf **,2
o,Wicki Joel **,**,8.75,Schelbert Ralf **,3
+,Stöckli Damian,Damian,10.00,Schelbert Ralf **,4
-,Fellmann Roman *,*,9.00,Schelbert Ralf **,5
+,Portmann Fabian,Fabian,9.75,Schelbert Ralf **,6
+,Ambühl Joel *,*,9.75,Kälin Roland **,1
-,Widmer Adrian *,*,8.75,Kälin Roland **,2
+,Fellmann Simon,Simon,10.00,Kälin Roland **,3
o,Gloggner Philipp ***,***,8.50,Kälin Roland **,4
+,Ziegler Manuel,Manuel,10.00,Kälin Roland **,5
+,Felder Martin *,*,10.00,Kälin Roland **,6
o,Kälin Roland **,**,8.50,Ambühl Joel *,1
+,Wigger Simon,Simon,10.00,Ambühl Joel *,2
+,Portmann Roger,Roger,10.00,Ambühl Joel *,3
o,Ulrich Andreas ***,***,8.75,Ambühl Joel *,4
+,Fassbind René *,*,10.00,Ambühl Joel *,5
+,Baumann Roger *,*,9.75,Ambühl Joel *,6
+,Ulrich Marco *,*,9.75,Thierstein Marco *,1
o,Michel Jonas *,*,8.50,Thierstein Marco *,2
+,Gander Michael,Michael,10.00,Thierstein Marco *,3
o,Rohrer Ueli *,*,8.75,Thierstein Marco *,4
+,Murpf Dario,Dario,10.00,Thierstein Marco *,5
+,Reichmuth Roland,Roland,10.00,Thierstein Marco *,6
-,Graber Michael *,*,9.00,Gwerder Michael (2000) *,1
+,Troxler Jonas (2000),(2000),10.00,Gwerder Michael (2000) *,2
+,Wicki David,David,9.75,Gwerder Michael (2000) *,3
+,Fankhauser Reto **,**,9.75,Gwerder Michael (2000) *,4
o,Gloggner Philipp ***,***,8.50,Gwerder Michael (2000) *,5
