result,name,level,points,placed_fighter,fight_round
+,Bless Michael ***,***,9.75,Bösch Daniel ***,1
+,Schlegel Sandro **,**,10.00,Bösch Daniel ***,2
+,Arztmann Beda *,*,10.00,Bösch Daniel ***,3
+,Roth Martin **,**,10.00,Bösch Daniel ***,4
+,Koch Thomas *,*,9.75,Bösch Daniel ***,5
+,Ott Damian **,**,10.00,Bösch Daniel ***,6
-,Peng Mike ***,***,8.75,Rhyner Michael **,1
+,Oertle Daniel *,*,10.00,Rhyner Michael **,2
+,Wehrli Jan (2002),(2002),10.00,Rhyner Michael **,3
-,Schlegel Sandro **,**,9.00,Rhyner Michael **,4
+,Arztmann Beda *,*,9.75,Rhyner Michael **,5
+,Schmid Patrick *,*,10.00,Rhyner Michael **,6
+,Sieber Marc,Marc,10.00,Rotach Lars,1
+,Ott Dominik *,*,9.75,Rotach Lars,2
o,Schlegel Sandro **,**,8.75,Rotach Lars,3
+,Ziegler Andreas (2002),(2002),10.00,Rotach Lars,4
-,Poltera Andrin *,*,9.00,Rotach Lars,5
+,Büsser Remo,Remo,9.75,Rotach Lars,6
-,Rhyner Michael **,**,8.75,Peng Mike ***,1
-,Büsser André *,*,8.75,Peng Mike ***,2
+,Stauﬀacher Martin,Martin,10.00,Peng Mike ***,3
+,Pﬁster Florian *,*,9.75,Peng Mike ***,4
+,Vollmeier Sandro,Sandro,9.75,Peng Mike ***,5
+,Zwyssig Raphael ***,***,10.00,Peng Mike ***,6
+,Schlegel Reto *,*,10.00,Roth Martin **,1
-,Bernold Christian **,**,9.00,Roth Martin **,2
+,Bärtsch Fabian,Fabian,10.00,Roth Martin **,3
o,Bösch Daniel ***,***,8.50,Roth Martin **,4
+,Bollhalder Manuel (2001),(2001),9.75,Roth Martin **,5
+,Elmer Daniel *,*,9.75,Roth Martin **,6
+,Räbsamen Marcel *,*,9.75,Schläpfer Matthias *,1
o,Ott Damian **,**,8.50,Schläpfer Matthias *,2
o,Bollhalder Manuel (2001),(2001),8.75,Schläpfer Matthias *,3
+,Stadelmann Patrick,Patrick,10.00,Schläpfer Matthias *,4
+,Wenger Dominic,Dominic,10.00,Schläpfer Matthias *,5
+,Lehmann Philipp *,*,10.00,Schläpfer Matthias *,6
+,Ott Dominik *,*,9.75,Bärtsch Fabian,1
+,Lieberherr Michael,Michael,10.00,Bärtsch Fabian,2
o,Roth Martin **,**,8.50,Bärtsch Fabian,3
+,Arnold Christian,Christian,10.00,Bärtsch Fabian,4
+,Battaglia Ursin **,**,10.00,Bärtsch Fabian,5
o,Bless Michael ***,***,8.75,Bärtsch Fabian,6
+,Leuppi Karim *,*,9.75,Büsser André *,1
-,Peng Mike ***,***,8.75,Büsser André *,2
+,Langenegger Beat,Beat,10.00,Büsser André *,3
+,Gerig Marcel,Marcel,10.00,Büsser André *,4
o,Zwyssig Raphael ***,***,8.50,Büsser André *,5
+,Lieberherr David (2003),(2003),9.75,Büsser André *,6
o,Riget Tobias **,**,8.50,Kuster Marcel ***,1
+,Bernold Michael *,*,10.00,Kuster Marcel ***,2
+,Alder Armin *,*,10.00,Kuster Marcel ***,3
+,Baumann Rico *,*,9.75,Kuster Marcel ***,4
+,Rüegg Fabian *,*,9.75,Kuster Marcel ***,5
+,Bernold Christian **,**,9.75,Kuster Marcel ***,6
o,Arztmann Beda *,*,8.50,Kamer Hanspeter *,1
+,Inauen Maurus (2003),(2003),10.00,Kamer Hanspeter *,2
+,Ackermann Roman,Roman,10.00,Kamer Hanspeter *,3
-,Gwerder Andreas **,**,9.00,Kamer Hanspeter *,4
+,Bernold Edi **,**,10.00,Kamer Hanspeter *,5
+,Blaser Christian *,*,10.00,Kamer Hanspeter *,6
+,Kunz Daniel *,*,10.00,Bollhalder Manuel (2001),1
+,Steiner Joel,Joel,9.75,Bollhalder Manuel (2001),2
+,Schläpfer Matthias *,*,10.00,Bollhalder Manuel (2001),3
-,Good Marco *,*,9.00,Bollhalder Manuel (2001),4
o,Roth Martin **,**,8.50,Bollhalder Manuel (2001),5
+,Giger Florian (2001),(2001),10.00,Bollhalder Manuel (2001),6
-,Schnurrenberger Roman **,**,8.75,Geisser Lars **,1
+,Lehmann Philipp *,*,9.75,Geisser Lars **,2
+,Blaser Christian *,*,9.75,Geisser Lars **,3
-,Poltera Andrin *,*,9.00,Geisser Lars **,4
+,Castelli Fabio,Fabio,10.00,Geisser Lars **,5
+,Wey Nicola *,*,9.75,Geisser Lars **,6
o,Schläpfer Matthias *,*,8.50,Räbsamen Marcel *,1
+,Galli Cedric (2001),(2001),10.00,Räbsamen Marcel *,2
+,Giger Florian (2001),(2001),10.00,Räbsamen Marcel *,3
-,Wittenwiler Roman *,*,9.00,Räbsamen Marcel *,4
+,Lehmann Philipp *,*,9.75,Räbsamen Marcel *,5
+,Oertle Daniel *,*,9.75,Räbsamen Marcel *,6
o,Schlegel Sandro **,**,8.50,Rüegg Fabian *,1
+,Scherrer Pascal,Pascal,10.00,Rüegg Fabian *,2
+,Rickenmann Ramon (2001),(2001),10.00,Rüegg Fabian *,3
+,Battaglia Ursin **,**,10.00,Rüegg Fabian *,4
o,Kuster Marcel ***,***,8.50,Rüegg Fabian *,5
+,Bürgler Patrick,Patrick,10.00,Rüegg Fabian *,6
-,Schläpfer Markus **,**,8.75,Gmür Pirmin **,1
o,Arztmann Beda *,*,8.50,Gmür Pirmin **,2
+,Bosshard Dario,Dario,10.00,Gmür Pirmin **,3
+,Fuster Sepp *,*,10.00,Gmür Pirmin **,4
+,Fontana Michael *,*,9.75,Gmür Pirmin **,5
+,Biäsch Christian *,*,9.75,Gmür Pirmin **,6
o,Roth Martin **,**,8.50,Schlegel Reto *,1
+,Nüesch Remo (2001),(2001),9.75,Schlegel Reto *,2
+,Graf Nicola (2003),(2003),10.00,Schlegel Reto *,3
o,Schmid Patrick *,*,8.75,Schlegel Reto *,4
+,Knellwolf Sebastian (2001),(2001),10.00,Schlegel Reto *,5
+,Wittenwiler Roman *,*,9.75,Schlegel Reto *,6
©,2022 Eidgenössischer Schwingerverba,Schwingerverba,nd,Schlegel Reto *,7
+,Kuster Marcel ***,***,10.00,Riget Tobias **,1
+,Biäsch Christian *,*,9.75,Riget Tobias **,2
-,Poltera Andrin *,*,9.00,Riget Tobias **,3
-,Schnurrenberger Roman **,**,8.75,Riget Tobias **,4
+,Gwerder Andreas **,**,10.00,Riget Tobias **,5
+,Schudel Simon *,*,10.00,Riget Tobias **,6
+,Keller Werner,Werner,10.00,Wetter Silvan,1
+,Burkhard Patrick *,*,9.75,Wetter Silvan,2
-,Giger Urs *,*,9.00,Wetter Silvan,3
+,Wenger Dominic,Dominic,10.00,Wetter Silvan,4
-,Schlegel Sandro **,**,8.75,Wetter Silvan,5
+,Wicki Cédric,Cédric,9.75,Wetter Silvan,6
+,Battaglia Ursin **,**,10.00,Ott Damian **,1
+,Schläpfer Matthias *,*,9.75,Ott Damian **,2
o,Bless Michael ***,***,8.50,Ott Damian **,3
+,Jörger Corsin,Corsin,10.00,Ott Damian **,4
+,Giger Urs *,*,10.00,Ott Damian **,5
o,Bösch Daniel ***,***,8.75,Ott Damian **,6
-,Zwyssig Raphael ***,***,8.75,Forrer Arnold ***,1
+,Wey Nicola *,*,10.00,Forrer Arnold ***,2
+,Koch Thomas *,*,10.00,Forrer Arnold ***,3
-,Bless Michael ***,***,8.75,Forrer Arnold ***,4
+,Biäsch Christian *,*,9.75,Forrer Arnold ***,5
+,Koch Reto *,*,9.75,Forrer Arnold ***,6
o,Bösch Daniel ***,***,8.50,Bless Michael ***,1
+,Ziegler Andreas (2002),(2002),10.00,Bless Michael ***,2
+,Ott Damian **,**,10.00,Bless Michael ***,3
-,Forrer Arnold ***,***,8.75,Bless Michael ***,4
+,Schlegel Werner (2002) *,*,10.00,Bless Michael ***,5
+,Bärtsch Fabian,Fabian,9.75,Bless Michael ***,6
+,Fausch Kjetil *,*,9.75,Koch Thomas *,1
+,Roth Peter,Peter,10.00,Koch Thomas *,2
o,Forrer Arnold ***,***,8.75,Koch Thomas *,3
+,Schiess Christian,Christian,10.00,Koch Thomas *,4
o,Bösch Daniel ***,***,8.50,Koch Thomas *,5
+,Pﬁster Florian *,*,10.00,Koch Thomas *,6
o,Koch Thomas *,*,8.50,Fausch Kjetil *,1
+,Schönenberger Björn,Björn,10.00,Fausch Kjetil *,2
-,Fuster Sepp *,*,9.00,Fausch Kjetil *,3
+,Ott Dominik *,*,9.75,Fausch Kjetil *,4
+,Rüegg Patrick,Patrick,9.75,Fausch Kjetil *,5
+,Breitenmoser Simon,Simon,9.75,Fausch Kjetil *,6
o,Good Marco *,*,8.75,Koch Reto *,1
+,Niederer Andreas (2002),(2002),9.75,Koch Reto *,2
+,Rütsche Stefan *,*,10.00,Koch Reto *,3
+,Roth Peter,Peter,9.75,Koch Reto *,4
+,Baumgartner Ramon (2002),(2002),10.00,Koch Reto *,5
o,Forrer Arnold ***,***,8.50,Koch Reto *,6
,07.01.2022 23:21,23:21,Seite 1/,Koch Reto *,7
o,Wey Nicola *,*,8.75,Heierli Pascal *,1
+,Buchmann Michael,Michael,9.75,Heierli Pascal *,2
+,Frauenfelder Florian (2001),(2001),10.00,Heierli Pascal *,3
o,Zwyssig Raphael ***,***,8.50,Heierli Pascal *,4
+,Galli Cedric (2001),(2001),9.75,Heierli Pascal *,5
+,Baumgartner Ramon (2002),(2002),10.00,Heierli Pascal *,6
+,Heierli Pascal *,*,10.00,Wey Nicola *,1
o,Forrer Arnold ***,***,8.75,Wey Nicola *,2
+,Vollmeier Sandro,Sandro,9.75,Wey Nicola *,3
+,Egli Martin,Martin,9.75,Wey Nicola *,4
+,Rüegg Roman *,*,9.75,Wey Nicola *,5
o,Geisser Lars **,**,8.50,Wey Nicola *,6
-,Mettler Valentin *,*,9.00,Giger Urs *,1
+,Tremp Remo,Remo,10.00,Giger Urs *,2
-,Wetter Silvan,Silvan,9.00,Giger Urs *,3
+,Schegg Daniel,Daniel,10.00,Giger Urs *,4
o,Ott Damian **,**,8.50,Giger Urs *,5
+,Breitenmoser Manuel *,*,10.00,Giger Urs *,6
+,Dudli Gallus,Gallus,10.00,Badat Thomas,1
-,Castelli Fabio,Fabio,9.00,Badat Thomas,2
-,Ueltschi Patric *,*,9.00,Badat Thomas,3
-,Breitenmoser Manuel *,*,8.75,Badat Thomas,4
+,Schmid Reto,Reto,9.75,Badat Thomas,5
+,Alder Armin *,*,9.75,Badat Thomas,6
+,Gwerder Andreas **,**,10.00,Bernold Christian **,1
-,Roth Martin **,**,9.00,Bernold Christian **,2
+,Buchmann Michael,Michael,9.75,Bernold Christian **,3
-,Schläpfer Markus **,**,9.00,Bernold Christian **,4
+,Kuster Thomas *,*,10.00,Bernold Christian **,5
o,Kuster Marcel ***,***,8.50,Bernold Christian **,6
o,Schudel Simon *,*,8.50,Scheiwiller Andreas *,1
