result,name,level,points,placed_fighter,fight_round
+,Müllestein Mike ***,***,10.00,Schurtenberger Sven ***,1
+,Kennel Beat **,**,10.00,Schurtenberger Sven ***,2
+,Arnold Stefan **,**,10.00,Schurtenberger Sven ***,3
+,von Ah Benji ***,***,10.00,Schurtenberger Sven ***,4
+,Herger Matthias **,**,10.00,Schurtenberger Sven ***,5
+,von Ah Benji ***,***,10.00,Schurtenberger Sven ***,6
-,Schuler Alex ***,***,8.75,Fankhauser Erich ***,1
+,Zurﬂuh Michael *,*,10.00,Fankhauser Erich ***,2
+,Hess Dominik *,*,9.75,Fankhauser Erich ***,3
-,Omlin Toni *,*,9.00,Fankhauser Erich ***,4
+,Ulrich Marco **,**,10.00,Fankhauser Erich ***,5
+,Kenel Franz-Toni *,*,9.75,Fankhauser Erich ***,6
+,Egli Damian **,**,10.00,Schuler Philipp **,1
o,von Ah Benji ***,***,8.50,Schuler Philipp **,2
+,Huwyler Sven,Sven,10.00,Schuler Philipp **,3
+,Müller Roger *,*,9.75,Schuler Philipp **,4
-,Stöckli Damian *,*,8.75,Schuler Philipp **,5
+,Waser Raphael,Raphael,10.00,Schuler Philipp **,6
-,Burch Jonas **,**,8.75,Fankhauser Reto **,1
+,Gisler Jonas *,*,10.00,Fankhauser Reto **,2
+,Ming Hannes,Hannes,10.00,Fankhauser Reto **,3
+,Wallimann Remo *,*,9.75,Fankhauser Reto **,4
o,von Ah Benji ***,***,8.50,Fankhauser Reto **,5
+,Durrer Ueli,Ueli,10.00,Fankhauser Reto **,6
+,Suter Beat *,*,9.75,Stöckli Damian *,1
+,Odermatt Christian **,**,10.00,Stöckli Damian *,2
o,von Ah Benji ***,***,8.50,Stöckli Damian *,3
+,Zumstein Patrick,Patrick,10.00,Stöckli Damian *,4
-,Schuler Philipp **,**,8.75,Stöckli Damian *,5
+,Ming Hannes,Hannes,9.75,Stöckli Damian *,6
-,Kenel Franz-Toni *,*,8.75,Arnold Raphael **,1
o,Würsch Lars *,*,8.50,Arnold Raphael **,2
+,Gander Michael,Michael,9.75,Arnold Raphael **,3
+,Zimmermann Raﬀael,Raﬀael,10.00,Arnold Raphael **,4
+,Kennel Beat **,**,9.75,Arnold Raphael **,5
+,Bättig Martin *,*,10.00,Arnold Raphael **,6
+,Schmid Joel,Joel,9.75,Mehr Lars,1
o,Achermann Christoph *,*,8.50,Mehr Lars,2
-,Thalmann Thomas *,*,8.75,Mehr Lars,3
+,Wigger Simon,Simon,10.00,Mehr Lars,4
+,Felder Martin *,*,9.75,Mehr Lars,5
+,Ming Christian 2,2,9.75,Mehr Lars,6
o,Kurmann Toni *,*,8.50,Betschart Patrick *,1
+,Waser Raphael,Raphael,9.75,Betschart Patrick *,2
+,Kempf Fabian,Fabian,10.00,Betschart Patrick *,3
+,Suppiger René ***,***,10.00,Betschart Patrick *,4
o,Arnold Stefan **,**,8.50,Betschart Patrick *,5
+,Zemp Christian (2004),(2004),9.75,Betschart Patrick *,6
+,Schuler Philipp **,**,10.00,von Ah Benji ***,1
+,Schmid Dominik **,**,10.00,von Ah Benji ***,2
+,Stöckli Damian *,*,9.75,von Ah Benji ***,3
o,Schurtenberger Sven ***,***,8.50,von Ah Benji ***,4
+,Fankhauser Reto **,**,10.00,von Ah Benji ***,5
+,Zurﬂuh Michael *,*,9.75,von Ah Benji ***,6
o,Schurtenberger Sven ***,***,0.00,von Ah Benji ***,7
o,Schurtenberger Sven ***,***,8.50,Müllestein Mike ***,1
+,Wallimann Remo *,*,10.00,Müllestein Mike ***,2
+,Achermann Christoph *,*,10.00,Müllestein Mike ***,3
+,Bättig Martin *,*,10.00,Müllestein Mike ***,4
-,Ambühl Joel **,**,8.75,Müllestein Mike ***,5
+,Gasser Peter *,*,10.00,Müllestein Mike ***,6
-,Reichmuth Marco **,**,8.75,Herger Matthias **,1
+,Imfeld Beat *,*,10.00,Herger Matthias **,2
+,Durrer Ueli,Ueli,10.00,Herger Matthias **,3
+,Thierstein Marco *,*,9.75,Herger Matthias **,4
o,Schurtenberger Sven ***,***,8.50,Herger Matthias **,5
+,Kaiser Sandro,Sandro,10.00,Herger Matthias **,6
-,Herger Matthias **,**,8.75,Reichmuth Marco **,1
+,Kurmann Toni *,*,9.75,Reichmuth Marco **,2
+,Schuler Alex,Alex,10.00,Reichmuth Marco **,3
+,Barmettler Peter *,*,9.75,Reichmuth Marco **,4
+,Heiniger Marco **,**,9.75,Reichmuth Marco **,5
-,Arnold Stefan **,**,8.75,Reichmuth Marco **,6
+,Suter Michael,Michael,9.75,Barmettler Renato (2003),1
+,Ackermann Rico (2003) *,*,9.75,Barmettler Renato (2003),2
o,Kennel Beat **,**,8.50,Barmettler Renato (2003),3
+,Dörig Erich *,*,9.75,Barmettler Renato (2003),4
+,Schuler Alex,Alex,10.00,Barmettler Renato (2003),5
-,Riebli Urs,Urs,9.00,Barmettler Renato (2003),6
+,Gander Adrian *,*,9.75,Zurﬂuh Michael *,1
o,Fankhauser Erich ***,***,8.50,Zurﬂuh Michael *,2
+,Ettlin Jan,Jan,10.00,Zurﬂuh Michael *,3
+,Ming Hannes,Hannes,10.00,Zurﬂuh Michael *,4
+,Portmann Josef **,**,10.00,Zurﬂuh Michael *,5
o,von Ah Benji ***,***,8.50,Zurﬂuh Michael *,6
o,Ambühl Joel **,**,8.50,Ulrich Marco **,1
+,Thalmann Thomas *,*,9.75,Ulrich Marco **,2
+,Gander Sebastian (2003),(2003),10.00,Ulrich Marco **,3
+,Grüter Marcel,Marcel,9.75,Ulrich Marco **,4
o,Fankhauser Erich ***,***,8.50,Ulrich Marco **,5
+,Portmann Josef **,**,10.00,Ulrich Marco **,6
-,Heinzer Lukas (2004),(2004),9.00,Riebli Urs,1
+,Rohrer Michael,Michael,10.00,Riebli Urs,2
+,Gander Adrian *,*,9.75,Riebli Urs,3
+,Waser Reto *,*,9.75,Riebli Urs,4
-,Rohrer Ueli **,**,9.00,Riebli Urs,5
-,Barmettler Renato (2003),(2003),9.00,Riebli Urs,6
©,2021 Eidgenössischer Schwingerverba,Schwingerverba,nd,Riebli Urs,7
-,Fankhauser Reto **,**,8.75,Burch Jonas **,1
+,Müller Roger *,*,10.00,Burch Jonas **,2
+,Bühler Ramon,Ramon,10.00,Burch Jonas **,3
-,Felder Martin *,*,9.00,Burch Jonas **,4
+,Doppmann Ueli,Ueli,9.75,Burch Jonas **,5
+,Wicki Kevin,Kevin,10.00,Burch Jonas **,6
-,Odermatt Andreas **,**,8.75,Bucher Christian **,1
-,Bättig Martin *,*,8.75,Bucher Christian **,2
+,Gander Benjamin,Benjamin,10.00,Bucher Christian **,3
+,Albert Thomas,Thomas,9.75,Bucher Christian **,4
+,Zimmermann Martin ***,***,10.00,Bucher Christian **,5
+,Durrer Lukas,Lukas,9.75,Bucher Christian **,6
-,Rohrer Ueli **,**,8.75,Heiniger Marco **,1
+,Waser Dominik **,**,10.00,Heiniger Marco **,2
+,Durrer Lukas,Lukas,9.75,Heiniger Marco **,3
+,Niederberger Markus *,*,10.00,Heiniger Marco **,4
o,Reichmuth Marco **,**,8.75,Heiniger Marco **,5
+,Zimmermann Raﬀael,Raﬀael,9.75,Heiniger Marco **,6
+,Portmann Josef **,**,9.75,Bernhard Lukas **,1
+,Thierstein Marco *,*,9.75,Bernhard Lukas **,2
-,Suppiger René ***,***,8.75,Bernhard Lukas **,3
+,Doppmann Ueli,Ueli,9.75,Bernhard Lukas **,4
+,Betschart Marcel *,*,9.75,Bernhard Lukas **,5
-,Kurmann Toni *,*,9.00,Bernhard Lukas **,6
+,Suppiger Werner **,**,9.75,Arnold Stefan **,1
+,Niederberger Markus *,*,9.75,Arnold Stefan **,2
o,Schurtenberger Sven ***,***,8.50,Arnold Stefan **,3
+,Suter Raphael,Raphael,10.00,Arnold Stefan **,4
+,Betschart Patrick *,*,10.00,Arnold Stefan **,5
-,Reichmuth Marco **,**,8.75,Arnold Stefan **,6
o,Arnold Stefan **,**,8.50,Suppiger Werner **,1
+,Waser Reto *,*,10.00,Suppiger Werner **,2
+,Durrer Markus,Markus,9.75,Suppiger Werner **,3
+,Betschart Daniel,Daniel,9.75,Suppiger Werner **,4
+,Durrer Jonas (2003) *,*,9.75,Suppiger Werner **,5
-,Wyrsch Marco **,**,8.75,Suppiger Werner **,6
+,Gasser Peter *,*,10.00,Thierstein Marco *,1
o,Bernhard Lukas **,**,8.50,Thierstein Marco *,2
+,von Ah Markus,Markus,10.00,Thierstein Marco *,3
o,Herger Matthias **,**,8.50,Thierstein Marco *,4
+,Gisler Silvan,Silvan,9.75,Thierstein Marco *,5
+,Durrer Markus,Markus,9.75,Thierstein Marco *,6
+,Felder Seppi *,*,9.75,Ming Christian *,1
-,Schuler Alex ***,***,8.75,Ming Christian *,2
+,Wigger Simon,Simon,10.00,Ming Christian *,3
-,Betschart Marcel *,*,9.00,Ming Christian *,4
+,von Euw Lukas *,*,10.00,Ming Christian *,5
-,Achermann Simon,Simon,9.00,Ming Christian *,6
,15.10.2021 23:05,23:05,Seite 1/,Ming Christian *,7
+,Dörig Erich *,*,9.75,Durrer Jonas (2003) *,1
o,Suppiger René ***,***,8.50,Durrer Jonas (2003) *,2
+,Von Euw Adi,Adi,9.75,Durrer Jonas (2003) *,3
+,Ziegler Elias,Elias,10.00,Durrer Jonas (2003) *,4
o,Suppiger Werner **,**,8.50,Durrer Jonas (2003) *,5
+,Ulrich Michael (2003),(2003),9.75,Durrer Jonas (2003) *,6
-,Omlin Toni *,*,9.00,Poltera Andrin *,1
-,Wyrsch Marco **,**,8.75,Poltera Andrin *,2
+,Kälin Michael,Michael,10.00,Poltera Andrin *,3
+,Durrer Ueli,Ueli,9.75,Poltera Andrin *,4
-,Schuler Alex ***,***,8.75,Poltera Andrin *,5
+,Würsch Lars *,*,10.00,Poltera Andrin *,6
+,Betschart Patrick *,*,10.00,Kurmann Toni *,1
o,Reichmuth Marco **,**,8.75,Kurmann Toni *,2
+,Kaiser Sandro,Sandro,9.75,Kurmann Toni *,3
-,Rohrer Ueli **,**,8.75,Kurmann Toni *,4
+,Kaufmann Jens,Jens,10.00,Kurmann Toni *,5
-,Bernhard Lukas **,**,9.00,Kurmann Toni *,6
+,Achermann Christoph *,*,10.00,Kessler Joel *,1
-,Ambühl Joel **,**,8.75,Kessler Joel *,2
-,Achermann Simon,Simon,8.75,Kessler Joel *,3
+,Wittwer Roy,Roy,9.75,Kessler Joel *,4
+,Hess Dominik *,*,9.75,Kessler Joel *,5
-,Gander Michael,Michael,9.00,Kessler Joel *,6
+,Gander Sebastian (2003),(2003),10.00,Achermann Simon,1
+,Hürlimann Marco,Marco,10.00,Achermann Simon,2
-,Kessler Joel *,*,8.75,Achermann Simon,3
o,Schuler Alex ***,***,8.50,Achermann Simon,4
+,Zumstein Patrick,Patrick,9.75,Achermann Simon,5
-,Ming Christian *,*,9.00,Achermann Simon,6
+,Zberg Nuyen (2003),(2003),10.00,Gut Koni,1
+,Felder Seppi *,*,10.00,Gut Koni,2
o,Portmann Josef **,**,8.50,Gut Koni,3
+,Fuster Sepp *,*,10.00,Gut Koni,4
o,Egli Damian **,**,8.50,Gut Koni,5
-,Doppmann Ueli,Ueli,9.00,Gut Koni,6
-,Wyrsch Marco **,**,9.00,Lang Sven **,1
+,Odermatt Remo *,*,9.75,Lang Sven **,2
+,Zemp Christian (2004),(2004),9.75,Lang Sven **,3
-,Kenel Franz-Toni *,*,8.75,Lang Sven **,4
+,Durrer Markus,Markus,9.75,Lang Sven **,5
-,Durrer Nando *,*,8.75,Lang Sven **,6
+,Waser Adrian *,*,10.00,Vogel Marcel *,1
o,Rohrer Ueli **,**,8.50,Vogel Marcel *,2
+,Heinzer Lukas (2004),(2004),9.75,Vogel Marcel *,3
-,Graber Sandro,Sandro,8.75,Vogel Marcel *,4
-,Gisler Jonas *,*,8.75,Vogel Marcel *,5
+,Solenthaler David (2004),(2004),10.00,Vogel Marcel *,6
-,Reichmuth Roland *,*,8.75,Kaufmann Reto *,1
o,Omlin Toni *,*,8.50,Kaufmann Reto *,2
+,Suter Michael,Michael,9.75,Kaufmann Reto *,3
-,Zemp Christian (2004),(2004),9.00,Kaufmann Reto *,4
+,Dörig Erich *,*,10.00,Kaufmann Reto *,5
+,Wallimann Remo *,*,9.75,Kaufmann Reto *,6
o,Bättig Martin *,*,8.50,Barmettler Peter *,1
+,Gwerder Andreas *,*,9.75,Barmettler Peter *,2
+,Küng Jonas (2004),(2004),10.00,Barmettler Peter *,3
