result,name,level,points,placed_fighter,fight_round
+,Betschart Patrick *,*,10.00,Leuppi Samir **,1
+,Schneider Mario **,**,9.75,Leuppi Samir **,2
+,Oettli Marco *,*,9.75,Leuppi Samir **,3
+,Rhyner Michael **,**,10.00,Leuppi Samir **,4
-,Krähenbühl Tobias ***,***,8.75,Leuppi Samir **,5
+,Lanter Christian,Christian,10.00,Leuppi Samir **,6
+,Notz Armin *,*,10.00,Wey Nicola *,1
-,Burkhalter Stefan ***,***,8.75,Wey Nicola *,2
+,Landolt Cla,Cla,10.00,Wey Nicola *,3
-,Krähenbühl Lukas *,*,9.00,Wey Nicola *,4
+,Schudel Simon *,*,9.75,Wey Nicola *,5
+,Hugelshofer Lars (2001) *,*,9.75,Wey Nicola *,6
+,Riget Florian *,*,10.00,Vollenweider Jeremy *,1
-,Gmür Pirmin **,**,8.75,Vollenweider Jeremy *,2
+,Laager Michael (2001),(2001),10.00,Vollenweider Jeremy *,3
-,Schneider Domenic ***,***,8.75,Vollenweider Jeremy *,4
+,Schlegel Werner (2002) *,*,9.75,Vollenweider Jeremy *,5
+,Arnold Marcel *,*,9.75,Vollenweider Jeremy *,6
+,Hugelshofer Lars (2001) *,*,9.75,Arztmann Beda *,1
-,Forrer Arnold ***,***,8.75,Arztmann Beda *,2
+,Forster Christian,Christian,10.00,Arztmann Beda *,3
+,Inauen Andreas *,*,9.75,Arztmann Beda *,4
o,Oettli Marco *,*,8.75,Arztmann Beda *,5
+,Landolt Reto *,*,10.00,Arztmann Beda *,6
+,Baumann Rico *,*,10.00,Lehmann Philipp *,1
-,Straub Robin *,*,8.75,Lehmann Philipp *,2
o,Ammann Rico *,*,8.50,Lehmann Philipp *,3
+,Tschudi Mario (2001),(2001),10.00,Lehmann Philipp *,4
+,Schuler Martin,Martin,9.75,Lehmann Philipp *,5
+,Kobler Janosch,Janosch,9.75,Lehmann Philipp *,6
+,Dändliker Hansheinrich,Hansheinrich,10.00,Pianta Christian,1
o,Roth Martin **,**,8.50,Pianta Christian,2
+,Scherrer Pascal,Pascal,9.75,Pianta Christian,3
+,Bärtsch Fabian,Fabian,9.75,Pianta Christian,4
+,Dändliker Shane **,**,10.00,Pianta Christian,5
o,Schneider Domenic ***,***,8.50,Pianta Christian,6
+,Schwyn Adrian *,*,9.75,Bickel Roman *,1
o,Oettli Marco *,*,8.50,Bickel Roman *,2
+,Anliker Andri (2003),(2003),9.75,Bickel Roman *,3
+,Horner Sämi,Sämi,10.00,Bickel Roman *,4
o,Burkhalter Stefan ***,***,8.50,Bickel Roman *,5
+,Plüer Fabian (2003),(2003),10.00,Bickel Roman *,6
-,Schmid Patrick *,*,9.00,Bernold Michael *,1
o,Arnold Marcel *,*,8.75,Bernold Michael *,2
+,Maglia Leo,Leo,10.00,Bernold Michael *,3
+,Schnurrenberger Roman **,**,10.00,Bernold Michael *,4
-,Schäppi Urs *,*,8.75,Bernold Michael *,5
+,Wittenwiler Roman *,*,10.00,Bernold Michael *,6
-,Kindlimann Fabian ***,***,9.00,Schneider Domenic ***,1
+,Wickli Beat **,**,10.00,Schneider Domenic ***,2
+,Arnold Marcel *,*,10.00,Schneider Domenic ***,3
-,Vollenweider Jeremy *,*,8.75,Schneider Domenic ***,4
+,Baumann Rico *,*,10.00,Schneider Domenic ***,5
+,Pianta Christian,Christian,9.75,Schneider Domenic ***,6
+,Inauen Aurel,Aurel,9.75,Räbsamen Marcel,1
+,Betschart Patrick *,*,9.75,Räbsamen Marcel,2
-,Dändliker Shane **,**,9.00,Räbsamen Marcel,3
+,Junker Nik,Nik,10.00,Räbsamen Marcel,4
-,Kindlimann Fabian ***,***,9.00,Räbsamen Marcel,5
+,Giger Urs *,*,9.75,Räbsamen Marcel,6
-,Gmür Pirmin **,**,8.75,Zbinden Marc *,1
+,Forster Christian,Christian,10.00,Zbinden Marc *,2
+,Landolt Reto *,*,9.75,Zbinden Marc *,3
o,Rychen Roger ***,***,8.50,Zbinden Marc *,4
+,Arnold Christian,Christian,10.00,Zbinden Marc *,5
+,Rhyner Michael **,**,10.00,Zbinden Marc *,6
+,Zumbach Michael,Michael,10.00,Schmidlin Tobias (2001),1
+,Aerne Christian *,*,10.00,Schmidlin Tobias (2001),2
o,Roth Martin **,**,8.50,Schmidlin Tobias (2001),3
+,Rotach Lars,Lars,10.00,Schmidlin Tobias (2001),4
o,Notz Beni ***,***,8.50,Schmidlin Tobias (2001),5
+,Buchmann Michael,Michael,10.00,Schmidlin Tobias (2001),6
+,Schläpfer Markus **,**,9.75,Schneider Mario **,1
o,Leuppi Samir **,**,8.50,Schneider Mario **,2
+,Bollhalder Manuel (2001),(2001),10.00,Schneider Mario **,3
o,Roth Martin **,**,8.50,Schneider Mario **,4
+,Marty Jaime *,*,10.00,Schneider Mario **,5
+,Arnold Christian,Christian,10.00,Schneider Mario **,6
o,Krähenbühl Lukas *,*,8.50,Keller Andreas *,1
+,Stähli Jan,Jan,9.75,Keller Andreas *,2
+,Wingeier Janik,Janik,10.00,Keller Andreas *,3
o,Gmür Pirmin **,**,8.50,Keller Andreas *,4
