result,name,level,points,placed_fighter,fight_round
+,Wicki Joel **,**,10.00,Reichmuth Pirmin ***,1
+,Schurtenberger Sven ***,***,10.00,Reichmuth Pirmin ***,2
+,Arnold Andreas *,*,10.00,Reichmuth Pirmin ***,3
+,Nötzli Reto ***,***,10.00,Reichmuth Pirmin ***,4
+,Arnold Stefan **,**,10.00,Reichmuth Pirmin ***,5
+,Schurtenberger Sven ***,***,10.00,Reichmuth Pirmin ***,6
+,Fankhauser Erich ***,***,10.00,Nötzli Reto ***,1
+,Mathis Marcel ***,***,9.75,Nötzli Reto ***,2
+,Graber Michael *,*,10.00,Nötzli Reto ***,3
o,Reichmuth Pirmin ***,***,8.50,Nötzli Reto ***,4
+,Schmid Simon *,*,9.75,Nötzli Reto ***,5
+,Muﬀ André *,*,9.75,Nötzli Reto ***,6
-,Gloggner Reto **,**,9.00,Scheuber Lutz **,1
+,Bürgler André *,*,10.00,Scheuber Lutz **,2
+,Bühlmann Daniel,Daniel,10.00,Scheuber Lutz **,3
o,Suppiger René ***,***,8.50,Scheuber Lutz **,4
+,Brun Christian,Christian,10.00,Scheuber Lutz **,5
+,Wicki David,David,9.75,Scheuber Lutz **,6
+,Schaﬀner Samuel **,**,10.00,Herger Matthias **,1
-,Ulrich Andreas ***,***,8.75,Herger Matthias **,2
+,Ulrich Pascal,Pascal,10.00,Herger Matthias **,3
+,Müller Michael **,**,9.75,Herger Matthias **,4
-,Suppiger René ***,***,8.75,Herger Matthias **,5
+,Huser Christian,Christian,9.75,Herger Matthias **,6
o,Nötzli Reto ***,***,8.50,Fankhauser Erich ***,1
-,Kempf Elias **,**,8.75,Fankhauser Erich ***,2
+,Odermatt Andreas *,*,9.75,Fankhauser Erich ***,3
+,Eﬃnger Markus *,*,10.00,Fankhauser Erich ***,4
+,Niederberger Markus *,*,10.00,Fankhauser Erich ***,5
+,Kennel Beat *,*,10.00,Fankhauser Erich ***,6
+,Fischer Maurus (2001),(2001),9.75,Gisler Jonas (2001),1
-,Bürgi Tobias,Tobias,8.75,Gisler Jonas (2001),2
o,Eﬃnger Markus *,*,8.50,Gisler Jonas (2001),3
+,Durrer Julian (2002),(2002),10.00,Gisler Jonas (2001),4
+,Barmettler Peter *,*,9.75,Gisler Jonas (2001),5
+,Fink Bruno *,*,10.00,Gisler Jonas (2001),6
+,Murer Remo *,*,10.00,Graber Michael *,1
+,Bissig Fabian,Fabian,9.75,Graber Michael *,2
o,Nötzli Reto ***,***,8.50,Graber Michael *,3
o,Beﬀa Mario,Mario,8.50,Graber Michael *,4
+,Albert Thomas,Thomas,10.00,Graber Michael *,5
+,Arnold Stefan **,**,10.00,Graber Michael *,6
+,Schilter Daniel *,*,9.75,Herger Fabian *,1
+,Fink Bruno *,*,10.00,Herger Fabian *,2
+,Huser Christian,Christian,9.75,Herger Fabian *,3
o,Schurtenberger Sven ***,***,8.50,Herger Fabian *,4
-,Beﬀa Mario,Mario,8.75,Herger Fabian *,5
+,Gwerder Beni,Beni,9.75,Herger Fabian *,6
+,Imhof Andi ***,***,10.00,Schurtenberger Sven ***,1
o,Reichmuth Pirmin ***,***,8.50,Schurtenberger Sven ***,2
+,Zimmermann Simon **,**,10.00,Schurtenberger Sven ***,3
+,Herger Fabian *,*,10.00,Schurtenberger Sven ***,4
+,Betschart Remo **,**,10.00,Schurtenberger Sven ***,5
+,Mathis Marcel ***,***,10.00,Schurtenberger Sven ***,6
o,Reichmuth Pirmin ***,***,0.00,Schurtenberger Sven ***,7
+,Ulrich Andreas ***,***,10.00,Suppiger René ***,1
-,Müllestein Mike ***,***,9.00,Suppiger René ***,2
+,Bucher Roland *,*,9.75,Suppiger René ***,3
+,Scheuber Lutz **,**,9.75,Suppiger René ***,4
-,Herger Matthias **,**,8.75,Suppiger René ***,5
+,Van Messel Noe (2002) *,*,10.00,Suppiger René ***,6
-,Betschart Remo **,**,8.75,Suppiger Werner **,1
+,Durrer Robin *,*,10.00,Suppiger Werner **,2
+,Steiner Severin (2001),(2001),10.00,Suppiger Werner **,3
-,Murer Andy **,**,8.75,Suppiger Werner **,4
+,Gwerder Christian **,**,9.75,Suppiger Werner **,5
+,Kempf Damian,Damian,9.75,Suppiger Werner **,6
+,Odermatt Christian **,**,10.00,Ambühl Joel **,1
-,Schuler Christian ***,***,8.75,Ambühl Joel **,2
+,Herger Andreas,Andreas,10.00,Ambühl Joel **,3
+,Bucher Christian *,*,9.75,Ambühl Joel **,4
-,von Ah Benji ***,***,8.75,Ambühl Joel **,5
+,Röthlin Pascal,Pascal,9.75,Ambühl Joel **,6
-,Suppiger Werner **,**,8.75,Betschart Remo **,1
+,Felder Seppi *,*,10.00,Betschart Remo **,2
+,Wandeler Roman (2002),(2002),9.75,Betschart Remo **,3
+,Zimmermann Martin **,**,10.00,Betschart Remo **,4
o,Schurtenberger Sven ***,***,8.50,Betschart Remo **,5
+,Rohrer Ivan **,**,10.00,Betschart Remo **,6
+,Bucher Christian *,*,9.75,Zimmermann Martin **,1
+,Schuler Alex ***,***,9.75,Zimmermann Martin **,2
+,Klauser Nico,Nico,10.00,Zimmermann Martin **,3
o,Betschart Remo **,**,8.75,Zimmermann Martin **,4
o,Schuler Christian ***,***,8.50,Zimmermann Martin **,5
+,Beﬀa Mario,Mario,10.00,Zimmermann Martin **,6
o,Suppiger René ***,***,8.50,Ulrich Andreas ***,1
-,Herger Matthias **,**,8.75,Ulrich Andreas ***,2
+,Arnold Fabian *,*,9.75,Ulrich Andreas ***,3
+,Bernet Christoph *,*,9.75,Ulrich Andreas ***,4
+,Binggeli Stefan **,**,9.75,Ulrich Andreas ***,5
+,Rohrer Marco **,**,10.00,Ulrich Andreas ***,6
+,Arnold Fabian *,*,9.75,Van Messel Noe (2002) *,1
+,Bürgi Reto *,*,10.00,Van Messel Noe (2002) *,2
+,Zürcher Ueli,Ueli,9.75,Van Messel Noe (2002) *,3
o,Mathis Marcel ***,***,8.50,Van Messel Noe (2002) *,4
+,Kempf Elias **,**,10.00,Van Messel Noe (2002) *,5
o,Suppiger René ***,***,8.50,Van Messel Noe (2002) *,6
©,2021 Eidgenössischer Schwingerverba,Schwingerverba,nd,Van Messel Noe (2002) *,7
o,Reichmuth Pirmin ***,***,8.75,Wicki Joel **,1
+,Arnold Raphael **,**,9.75,Wicki Joel **,2
+,Röthlin Pascal,Pascal,10.00,Wicki Joel **,3
+,Reichmuth Marco **,**,9.75,Wicki Joel **,4
+,Gwerder Michael **,**,9.75,Wicki Joel **,5
+,Müllestein Mike ***,***,9.75,Wicki Joel **,6
-,Schuler Christian ***,***,8.75,Bieri Marcel **,1
-,Rohrer Marco **,**,8.75,Bieri Marcel **,2
+,Barmet Sven,Sven,10.00,Bieri Marcel **,3
+,Reichmuth Lukas *,*,10.00,Bieri Marcel **,4
+,Arnold Andreas *,*,9.75,Bieri Marcel **,5
+,Müller Michael **,**,10.00,Bieri Marcel **,6
-,Bieri Marcel **,**,8.75,Schuler Christian ***,1
-,Ambühl Joel **,**,8.75,Schuler Christian ***,2
+,Wyrsch Silvio *,*,10.00,Schuler Christian ***,3
+,Odermatt Christian **,**,10.00,Schuler Christian ***,4
+,Zimmermann Martin **,**,9.75,Schuler Christian ***,5
+,Reichmuth Marco **,**,9.75,Schuler Christian ***,6
o,Schurtenberger Sven ***,***,8.75,Imhof Andi ***,1
-,Linggi Bruno **,**,8.75,Imhof Andi ***,2
+,Kennel Beat *,*,10.00,Imhof Andi ***,3
+,Heinzer Stefan **,**,9.75,Imhof Andi ***,4
+,Höﬂiger Andreas **,**,10.00,Imhof Andi ***,5
+,Odermatt Andreas *,*,9.75,Imhof Andi ***,6
-,Bürgler André *,*,9.00,Zurﬂuh Michael *,1
o,Muﬀ Armin **,**,8.50,Zurﬂuh Michael *,2
+,Bühler Kilian,Kilian,9.75,Zurﬂuh Michael *,3
+,Widmer Dominik,Dominik,10.00,Zurﬂuh Michael *,4
+,Heinzer Ronny *,*,9.75,Zurﬂuh Michael *,5
