result,name,level,points,placed_fighter,fight_round
+,Schuler Christian ***,***,10.00,Schurtenberger Sven ***,1
+,Schuler Philipp **,**,10.00,Schurtenberger Sven ***,2
+,Grab Martin *,*,9.75,Schurtenberger Sven ***,3
+,Rychen Roger ***,***,10.00,Schurtenberger Sven ***,4
+,Waser Dominik **,**,9.75,Schurtenberger Sven ***,5
+,Kessler Joel *,*,10.00,Schurtenberger Sven ***,6
-,Linggi Bruno **,**,8.75,Herger Matthias **,1
+,Käslin Benno *,*,10.00,Herger Matthias **,2
+,Schuler Christian ***,***,10.00,Herger Matthias **,3
+,Gwerder Beni,Beni,10.00,Herger Matthias **,4
-,Fankhauser Erich ***,***,8.75,Herger Matthias **,5
+,Inderbitzin Daniel *,*,9.75,Herger Matthias **,6
-,Binggeli Stefan **,**,8.75,Kälin Roland **,1
+,Niederberger Markus *,*,10.00,Kälin Roland **,2
o,von Ah Benji ***,***,8.75,Kälin Roland **,3
+,Egli Adrian (2002),(2002),10.00,Kälin Roland **,4
+,Ettlin Michael,Michael,9.75,Kälin Roland **,5
+,Ming Christian *,*,10.00,Kälin Roland **,6
+,Zürcher Ueli *,*,9.75,Kessler Joel *,1
+,Gasser Stefan **,**,10.00,Kessler Joel *,2
o,Suppiger René ***,***,8.75,Kessler Joel *,3
+,Durrer Ueli,Ueli,10.00,Kessler Joel *,4
+,Ettlin Stefan **,**,9.75,Kessler Joel *,5
o,Schurtenberger Sven ***,***,8.75,Kessler Joel *,6
-,Suppiger René ***,***,8.75,Schuler Alex ***,1
+,Thierstein Marco *,*,9.75,Schuler Alex ***,2
-,Zurﬂuh Roman **,**,9.00,Schuler Alex ***,3
+,Herger Fabian *,*,9.75,Schuler Alex ***,4
+,Rohrer Ueli *,*,9.75,Schuler Alex ***,5
+,Reichmuth Armin *,*,10.00,Schuler Alex ***,6
+,Egli Damian **,**,9.75,Waser Dominik **,1
+,Waser Reto *,*,10.00,Waser Dominik **,2
-,Nötzli Reto ***,***,8.75,Waser Dominik **,3
+,Lagler Christian,Christian,10.00,Waser Dominik **,4
o,Schurtenberger Sven ***,***,8.50,Waser Dominik **,5
+,Kälin Remo *,*,10.00,Waser Dominik **,6
-,Fässler Dominic **,**,8.75,Heinzer Stefan **,1
+,Dissler Philipp *,*,10.00,Heinzer Stefan **,2
+,Wüest David,David,10.00,Heinzer Stefan **,3
o,Fankhauser Erich ***,***,8.50,Heinzer Stefan **,4
+,Achermann Simon,Simon,10.00,Heinzer Stefan **,5
+,Grab Daniel **,**,9.75,Heinzer Stefan **,6
+,Thalmann Thomas *,*,9.75,Schürpf Bruno *,1
o,von Ah Benji ***,***,8.50,Schürpf Bruno *,2
+,Hodel Martin,Martin,10.00,Schürpf Bruno *,3
+,Dittli Mathias (2002),(2002),10.00,Schürpf Bruno *,4
o,Schuler Christian ***,***,8.75,Schürpf Bruno *,5
+,Gwerder Andreas *,*,9.75,Schürpf Bruno *,6
-,von Ah Benji ***,***,8.75,Nötzli Reto ***,1
+,Gasser Peter *,*,10.00,Nötzli Reto ***,2
-,Waser Dominik **,**,8.75,Nötzli Reto ***,3
+,Reichmuth Lukas *,*,10.00,Nötzli Reto ***,4
+,Hess Dominik *,*,10.00,Nötzli Reto ***,5
+,Langensand Stefan *,*,10.00,Nötzli Reto ***,6
-,Arnold Stefan **,**,8.75,Betschart Rainer **,1
+,Arnold Marcel *,*,10.00,Betschart Rainer **,2
-,Ulrich Andreas ***,***,8.75,Betschart Rainer **,3
+,Ulrich Pascal,Pascal,10.00,Betschart Rainer **,4
+,Suter Pirmin,Pirmin,9.75,Betschart Rainer **,5
+,Heinzer Stefan *,*,10.00,Betschart Rainer **,6
-,Burch Jonas *,*,9.00,Höﬂiger Andreas **,1
+,Kammermann Christoph *,*,10.00,Höﬂiger Andreas **,2
+,Vogel Manuel,Manuel,10.00,Höﬂiger Andreas **,3
o,Arnold Stefan **,**,8.50,Höﬂiger Andreas **,4
+,Steiner Severin (2001),(2001),9.75,Höﬂiger Andreas **,5
+,Zürcher Ueli *,*,10.00,Höﬂiger Andreas **,6
-,Nötzli Reto ***,***,8.75,von Ah Benji ***,1
+,Schürpf Bruno *,*,9.75,von Ah Benji ***,2
+,Kälin Roland **,**,10.00,von Ah Benji ***,3
+,Eﬃnger Markus *,*,10.00,von Ah Benji ***,4
-,Suppiger René ***,***,8.75,von Ah Benji ***,5
+,Linggi Bruno **,**,9.75,von Ah Benji ***,6
-,Hösli Fritz *,*,8.75,Kenel Franz-Toni *,1
+,Langensand Stefan *,*,9.75,Kenel Franz-Toni *,2
+,Durrer Ueli,Ueli,9.75,Kenel Franz-Toni *,3
+,Lemmenmeier Lukas *,*,9.75,Kenel Franz-Toni *,4
+,Kurmann Toni *,*,10.00,Kenel Franz-Toni *,5
-,Rychen Roger ***,***,9.00,Kenel Franz-Toni *,6
+,Müllestein Mike ***,***,9.75,Rychen Roger ***,1
+,Gwerder Carlo **,**,9.75,Rychen Roger ***,2
+,Gwerder Michael **,**,9.75,Rychen Roger ***,3
o,Schurtenberger Sven ***,***,8.75,Rychen Roger ***,4
+,Egli Damian **,**,10.00,Rychen Roger ***,5
-,Kenel Franz-Toni *,*,9.00,Rychen Roger ***,6
+,Dändliker Shane **,**,9.75,Gwerder Michael **,1
+,Betschart Patrick *,*,10.00,Gwerder Michael **,2
o,Rychen Roger ***,***,8.75,Gwerder Michael **,3
+,Wüest David,David,9.75,Gwerder Michael **,4
-,Arnold Stefan **,**,9.00,Gwerder Michael **,5
+,Burch Jonas *,*,9.75,Gwerder Michael **,6
o,Gasser Peter *,*,8.50,Eﬃnger Markus *,1
+,Amgarten Martin *,*,10.00,Eﬃnger Markus *,2
+,Ettlin Martin,Martin,10.00,Eﬃnger Markus *,3
o,von Ah Benji ***,***,8.50,Eﬃnger Markus *,4
+,Buchmann Michael,Michael,10.00,Eﬃnger Markus *,5
+,Thierstein Marco *,*,9.75,Eﬃnger Markus *,6
©,2020 Eidgenössischer Schwingerverba,Schwingerverba,nd,Eﬃnger Markus *,7
-,Ulrich Andreas ***,***,9.00,Fankhauser Erich ***,1
+,Hegner Ueli *,*,10.00,Fankhauser Erich ***,2
+,Linggi Bruno **,**,9.75,Fankhauser Erich ***,3
+,Heinzer Stefan **,**,10.00,Fankhauser Erich ***,4
-,Herger Matthias **,**,8.75,Fankhauser Erich ***,5
+,Heinzer Ronny *,*,10.00,Fankhauser Erich ***,6
-,Betschart Rainer **,**,8.75,Arnold Stefan **,1
+,Bürgler Lukas *,*,10.00,Arnold Stefan **,2
+,Lüthy Ralph,Ralph,9.75,Arnold Stefan **,3
+,Höﬂiger Andreas **,**,10.00,Arnold Stefan **,4
-,Gwerder Michael **,**,9.00,Arnold Stefan **,5
+,Wey Nicola *,*,9.75,Arnold Stefan **,6
