result,name,level,points,placed_fighter,fight_round
+,Imhof Andi ***,***,10.00,Reichmuth Pirmin ***,1
+,Zimmermann Simon **,**,10.00,Reichmuth Pirmin ***,2
+,Odermatt Christian **,**,10.00,Reichmuth Pirmin ***,3
+,Müllestein Mike ***,***,10.00,Reichmuth Pirmin ***,4
+,Linggi Bruno **,**,9.75,Reichmuth Pirmin ***,5
+,Bieri Marcel **,**,10.00,Reichmuth Pirmin ***,6
-,Bernhard Lukas *,*,8.75,Betschart Remo **,1
+,Betschart Silvan *,*,10.00,Betschart Remo **,2
+,Gloggner Philipp ***,***,9.75,Betschart Remo **,3
+,Vogel Manuel,Manuel,10.00,Betschart Remo **,4
-,Arnold Raphael **,**,9.00,Betschart Remo **,5
+,Schnider Markus *,*,10.00,Betschart Remo **,6
-,Mathis Marcel ***,***,8.75,Wicki Joel **,1
+,Bieri Christian **,**,10.00,Wicki Joel **,2
+,Zimmermann Martin **,**,9.75,Wicki Joel **,3
+,Betschart Rainer **,**,10.00,Wicki Joel **,4
-,Bieri Marcel **,**,9.00,Wicki Joel **,5
+,Rohrer Ivan **,**,9.75,Wicki Joel **,6
-,Rohrer Marco **,**,9.00,Müller Michael **,1
+,Hess Michael *,*,10.00,Müller Michael **,2
+,Grab Martin,Martin,10.00,Müller Michael **,3
o,Bieri Marcel **,**,8.50,Müller Michael **,4
+,Rohrer Ueli *,*,9.75,Müller Michael **,5
+,Betschart Patrick *,*,10.00,Müller Michael **,6
-,Gassmann Michael *,*,8.75,Kennel Beat *,1
-,Gasser Stefan **,**,8.75,Kennel Beat *,2
+,Banz Matthias (2001),(2001),10.00,Kennel Beat *,3
+,Baumann Lukas,Lukas,9.75,Kennel Beat *,4
+,Nietlispach Pascal **,**,9.75,Kennel Beat *,5
+,Zurﬂuh Michael *,*,10.00,Kennel Beat *,6
-,Zimmermann Martin **,**,9.00,Linggi Bruno **,1
+,Felder Seppi *,*,10.00,Linggi Bruno **,2
+,Van Messel Noe (2002),(2002),10.00,Linggi Bruno **,3
+,Reichmuth Roland *,*,9.75,Linggi Bruno **,4
o,Reichmuth Pirmin ***,***,8.50,Linggi Bruno **,5
+,Stöckli Damian *,*,9.75,Linggi Bruno **,6
+,Döbeli Andreas *,*,10.00,Waser Dominik **,1
-,Steinauer Adrian **,**,8.75,Waser Dominik **,2
+,Vogel Manuel,Manuel,9.75,Waser Dominik **,3
+,Vonlaufen Lukas *,*,10.00,Waser Dominik **,4
o,Ulrich Andreas ***,***,8.50,Waser Dominik **,5
+,Kälin Roland **,**,9.75,Waser Dominik **,6
o,Bieri Marcel **,**,8.50,Ulrich Andreas ***,1
+,Rohrer Ueli *,*,9.75,Ulrich Andreas ***,2
+,Nietlispach Pascal **,**,10.00,Ulrich Andreas ***,3
+,Döbeli Lukas **,**,10.00,Ulrich Andreas ***,4
+,Waser Dominik **,**,10.00,Ulrich Andreas ***,5
o,Imhof Andi ***,***,8.50,Ulrich Andreas ***,6
o,Reichmuth Pirmin ***,***,8.50,Imhof Andi ***,1
+,Reichmuth Armin *,*,9.75,Imhof Andi ***,2
+,Gwerder Andreas *,*,9.75,Imhof Andi ***,3
+,Ulrich Marco *,*,10.00,Imhof Andi ***,4
+,Reichmuth Marco **,**,10.00,Imhof Andi ***,5
+,Ulrich Andreas ***,***,9.75,Imhof Andi ***,6
-,Betschart Remo **,**,8.75,Bernhard Lukas *,1
+,Thierstein Marco *,*,10.00,Bernhard Lukas *,2
+,Meier Andreas,Andreas,9.75,Bernhard Lukas *,3
-,Steinauer Adrian **,**,9.00,Bernhard Lukas *,4
+,Riebli Urs (2002),(2002),10.00,Bernhard Lukas *,5
+,Ulrich Marco *,*,10.00,Bernhard Lukas *,6
-,Kurmann Toni *,*,8.75,Kenel Franz-Toni *,1
-,Fankhauser Reto **,**,9.00,Kenel Franz-Toni *,2
+,Achermann Christoph *,*,9.75,Kenel Franz-Toni *,3
+,Gander Sebastian (2003),(2003),10.00,Kenel Franz-Toni *,4
+,Jund Matthias,Matthias,9.75,Kenel Franz-Toni *,5
+,Vonlaufen Lukas *,*,10.00,Kenel Franz-Toni *,6
+,Strebel Joel **,**,10.00,Gloggner Reto **,1
+,Bucher Roland *,*,10.00,Gloggner Reto **,2
o,Bieri Marcel **,**,8.50,Gloggner Reto **,3
+,Beﬀa Mario,Mario,10.00,Gloggner Reto **,4
-,Mathis Marcel ***,***,8.75,Gloggner Reto **,5
+,Ettlin Martin,Martin,10.00,Gloggner Reto **,6
+,Müller Roger *,*,9.75,Elsener Marcel *,1
-,Schuler Alex ***,***,8.75,Elsener Marcel *,2
+,Schuler Samuel (2003),(2003),10.00,Elsener Marcel *,3
-,Fellmann Roman **,**,8.75,Elsener Marcel *,4
+,Gander Sebastian (2003),(2003),10.00,Elsener Marcel *,5
+,Weber Ivo,Ivo,9.75,Elsener Marcel *,6
-,Heiniger Marco *,*,9.00,Briker Michael *,1
+,Achermann Christoph *,*,10.00,Briker Michael *,2
o,Müllestein Mike ***,***,8.50,Briker Michael *,3
+,Lagler Christian,Christian,10.00,Briker Michael *,4
+,Thierstein Marco *,*,9.75,Briker Michael *,5
+,Lustenberger Marc (2003),(2003),9.75,Briker Michael *,6
+,Mehr Lars (2002),(2002),10.00,Grab Martin,1
+,Betschart Marcel *,*,9.75,Grab Martin,2
