result,name,level,points,placed_fighter,fight_round
,Wohnort,Wohnort,,,0
,Hüttlingen,Hüttlingen,,Rothenhausen,1
,Gais,Gais,,Rothenhausen,2
,Flawil,Flawil,,Schönholzerswilen,1
,Romanshorn,Romanshorn,,**Friltschen,1
,Ottoberg,Ottoberg,,**Friltschen,2
,Appenzell,Appenzell,,Davos Platz,1
,Gonten,Gonten,,Davos Platz,2
,Mollis,Mollis,,Davos Platz,3
,Busswil TG,TG,,Davos Platz,4
,Schänis,Schänis,,Amlikon-Bissegg,1
,Malix,Malix,,Amlikon-Bissegg,2
,Wiezikon b. Sirnach,Sirnach,,Amlikon-Bissegg,3
,Güttingen,Güttingen,,Amlikon-Bissegg,4
,Amriswil,Amriswil,,Amlikon-Bissegg,5
,Lanterswil,Lanterswil,,Amlikon-Bissegg,6
,Bussnang,Bussnang,,Amlikon-Bissegg,7
,Altstätten SG,SG,,Amlikon-Bissegg,8
,Zürich,Zürich,,Amlikon-Bissegg,9
,Häuslenen,Häuslenen,,Amlikon-Bissegg,10
,Bussnang,Bussnang,,Amlikon-Bissegg,11
,Bichwil,Bichwil,,Amlikon-Bissegg,12
,Hochfelden,Hochfelden,,Beringen,1
,Sargans,Sargans,,Beringen,2
,Möhlin,Möhlin,,Nassen,1
,Gonten,Gonten,,Uznach,1
,Domat/Ems,Domat/Ems,,Uznach,2
,Almens,Almens,,Uznach,3
,Haslen AI,AI,,Uznach,4
,Hörhausen,Hörhausen,,Uznach,5
,Mörschwil,Mörschwil,,Uznach,6
,Igis,Igis,,Turbenthal,1
,Matzingen,Matzingen,,Turbenthal,2
,Buch b. Frauenfeld,Frauenfeld,,Saﬁen Platz,1
,Wädenswil,Wädenswil,,Saﬁen Platz,2
©,2022 Eidgenössischer Schwingerverba,Schwingerverba,nd,Saﬁen Platz,3
,26.06.2022 14:30,14:30,Seite 1/,chsee Linkes Ufer,1
,Wohnort,Wohnort,,,0
,Oberriet SG,SG,,Hellikon,1
,Kollbrunn,Kollbrunn,,Hellikon,2
,Eschlikon TG,TG,,Hellikon,3
,Schänis,Schänis,,Hellikon,4
,Wittnau,Wittnau,,Hellikon,5
,Braunau,Braunau,,Hellikon,6
,Ennenda,Ennenda,,Hellikon,7
,Appenzell,Appenzell,,Hellikon,8
,Wittnau,Wittnau,,Hellikon,9
,Bubikon,Bubikon,,Hellikon,10
,Appenzell,Appenzell,,Hellikon,11
,Hettlingen,Hettlingen,,*Felsberg,1
,Wittnau,Wittnau,,*Felsberg,2
,Flumserberg Tannenb,Tannenb,oden,Rümlingen,1
,Hinwil,Hinwil,,Aﬀeltrangen,1
,Hefenhofen,Hefenhofen,,Aﬀeltrangen,2
,Oberriet SG,SG,,Aﬀeltrangen,3
,Fischingen,Fischingen,,Aﬀeltrangen,4
,Gähwil,Gähwil,,Aﬀeltrangen,5
,Appenzell,Appenzell,,Frauenfeld,1
,Steckborn,Steckborn,,Frauenfeld,2
,Schaﬀhausen,Schaﬀhausen,,Frauenfeld,3
,Speicher,Speicher,,SFlawil,1
,Rikon im Tösstal,Tösstal,,SFlawil,2
,Gossau SG,SG,,Uetikon am See,1
,Braunau,Braunau,,Uetikon am See,2
,Nassen,Nassen,,Uetikon am See,3
,Grasswil,Grasswil,,Uetikon am See,4
,Domat/Ems,Domat/Ems,,Uetikon am See,5
,Altnau,Altnau,,Uetikon am See,6
,Seewis Dorf,Dorf,,", THomburg",1
,Aﬀeltrangen,Aﬀeltrangen,,", THomburg",2
,Berschis,Berschis,,", THomburg",3
,Merishausen,Merishausen,,Hatswil,1
,Rothenhausen,Rothenhausen,,Hatswil,2
,Bussnang,Bussnang,,Rieden SG,1
,Teufen AR,AR,,Rieden SG,2
,Hüttwilen,Hüttwilen,,", SHaslen AI",1
,Mollis,Mollis,,", SHaslen AI",2
,Neuwilen,Neuwilen,,", SHaslen AI",3
,Flawil,Flawil,,Schlatt b. Winterthur,1
©,2022 Eidgenössischer Schwingerverba,Schwingerverba,nd,Illighausen,1
,26.06.2022 14:30,14:30,Seite 2/,nsee u. Rhein,1
,Wohnort,Wohnort,,,0
