result,name,level,points,placed_fighter,fight_round
+,Nötzli Reto ***,***,9.75,Wenger Kilian ***,1
+,Burch Jonas **,**,10.00,Wenger Kilian ***,2
+,Doppmann Urs **,**,9.75,Wenger Kilian ***,3
-,Aeschbacher Matthias ***,***,8.75,Wenger Kilian ***,4
+,Gäumann Stefan *,*,10.00,Wenger Kilian ***,5
+,Roschi Ruedi **,**,10.00,Wenger Kilian ***,6
+,Felder Martin *,*,10.00,Roschi Ruedi **,1
+,Betschart Marcel *,*,10.00,Roschi Ruedi **,2
+,Suppiger Werner **,**,9.75,Roschi Ruedi **,3
+,Döbeli Andreas ***,***,10.00,Roschi Ruedi **,4
o,Strebel Joel ***,***,8.50,Roschi Ruedi **,5
o,Wenger Kilian ***,***,8.75,Roschi Ruedi **,6
+,Räbmatter Patrick ***,***,9.75,Aeschbacher Matthias ***,1
-,Reichmuth Marco **,**,8.75,Aeschbacher Matthias ***,2
+,Lemmenmeier Lukas *,*,10.00,Aeschbacher Matthias ***,3
-,Wenger Kilian ***,***,8.75,Aeschbacher Matthias ***,4
+,Odermatt Remo *,*,10.00,Aeschbacher Matthias ***,5
+,Schmid Simon *,*,9.75,Aeschbacher Matthias ***,6
-,Kämpf Bernhard ***,***,8.75,Fankhauser Erich ***,1
+,Gäggeler Adrian *,*,10.00,Fankhauser Erich ***,2
o,Ledermann Michael **,**,8.50,Fankhauser Erich ***,3
+,Schlüchter Colin *,*,9.75,Fankhauser Erich ***,4
+,Erb Roger **,**,10.00,Fankhauser Erich ***,5
+,Zaugg Lars *,*,10.00,Fankhauser Erich ***,6
-,Hügli Kaj **,**,8.75,Gäumann Stefan *,1
+,Mangold Martin *,*,9.75,Gäumann Stefan *,2
+,Odermatt Christian **,**,10.00,Gäumann Stefan *,3
+,Doppmann Urs **,**,10.00,Gäumann Stefan *,4
o,Wenger Kilian ***,***,8.50,Gäumann Stefan *,5
+,Suter Beat *,*,9.75,Gäumann Stefan *,6
+,Strebel Joel ***,***,9.75,Orlik Curdin ***,1
+,Schmid Samuel **,**,9.75,Orlik Curdin ***,2
+,Lustenberger Marc (2003) *,*,10.00,Orlik Curdin ***,3
o,Staudenmann Fabian ***,***,8.50,Orlik Curdin ***,4
+,Odermatt Adrian *,*,9.75,Orlik Curdin ***,5
-,Steﬀen Gustav **,**,8.75,Orlik Curdin ***,6
-,Schurtenberger Sven ***,***,8.75,Gnägi Florian ***,1
+,Bürgi Reto *,*,10.00,Gnägi Florian ***,2
+,Stoll Simon **,**,10.00,Gnägi Florian ***,3
-,von Weissenﬂuh Kilian ***,***,8.75,Gnägi Florian ***,4
-,Walther Adrian *,*,9.00,Gnägi Florian ***,5
+,Waser Dominik **,**,10.00,Gnägi Florian ***,6
-,Ambühl Joel **,**,8.75,Schwander Severin **,1
+,Würsch Lars *,*,10.00,Schwander Severin **,2
+,Schmid Simon *,*,10.00,Schwander Severin **,3
-,Räbmatter Patrick ***,***,8.75,Schwander Severin **,4
+,Waser Dominik **,**,10.00,Schwander Severin **,5
-,Strebel Joel ***,***,8.75,Schwander Severin **,6
