result,name,level,points,placed_fighter,fight_round
+,Imobersteg Matthias **,**,10.00,Ott Damian **,1
-,Müllestein Mike ***,***,8.75,Ott Damian **,2
+,Burch Jonas **,**,10.00,Ott Damian **,3
+,Strebel Joel ***,***,9.75,Ott Damian **,4
+,Schurtenberger Sven ***,***,9.75,Ott Damian **,5
+,Döbeli Andreas ***,***,10.00,Ott Damian **,6
o,Ambühl Joel **,**,8.50,Schlegel Werner **,1
-,Rohrer Ueli **,**,9.00,Schlegel Werner **,2
+,Bucher Christian **,**,9.75,Schlegel Werner **,3
+,Egli Damian **,**,10.00,Schlegel Werner **,4
+,Schuler Alex ***,***,10.00,Schlegel Werner **,5
+,Fankhauser Marco **,**,10.00,Schlegel Werner **,6
-,Müllestein Mike ***,***,8.75,Schneider Domenic ***,1
+,Burch Jonas **,**,9.75,Schneider Domenic ***,2
+,Rohrer Ueli **,**,9.75,Schneider Domenic ***,3
o,Reichmuth Marco **,**,8.75,Schneider Domenic ***,4
+,Kenel Franz-Toni *,*,9.75,Schneider Domenic ***,5
+,Imhof Andi ***,***,10.00,Schneider Domenic ***,6
+,Probst Gabriel **,**,10.00,Dumelin David **,1
o,Kropf Marcel **,**,8.50,Dumelin David **,2
o,Imhof Andi ***,***,8.50,Dumelin David **,3
+,Odermatt Christian **,**,10.00,Dumelin David **,4
+,Hermann Oliver **,**,10.00,Dumelin David **,5
+,Bieri Marcel ***,***,9.75,Dumelin David **,6
+,Räbmatter Patrick ***,***,9.75,Nötzli Reto ***,1
+,Schnurrenberger Roman **,**,10.00,Nötzli Reto ***,2
+,Kropf Marcel **,**,9.75,Nötzli Reto ***,3
o,Döbeli Andreas ***,***,8.75,Nötzli Reto ***,4
+,Hügli Kaj **,**,9.75,Nötzli Reto ***,5
o,Orlik Armon ***,***,8.50,Nötzli Reto ***,6
+,Vollenweider Jeremy **,**,9.75,Fankhauser Marco **,1
o,Orlik Armon ***,***,8.75,Fankhauser Marco **,2
-,Räbsamen Marcel *,*,9.00,Fankhauser Marco **,3
+,Brand Christian **,**,10.00,Fankhauser Marco **,4
+,Leuthard Reto **,**,10.00,Fankhauser Marco **,5
o,Schlegel Werner **,**,8.75,Fankhauser Marco **,6
+,Stoll Simon **,**,10.00,Rohrer Ueli **,1
-,Schlegel Werner **,**,8.75,Rohrer Ueli **,2
o,Schneider Domenic ***,***,8.50,Rohrer Ueli **,3
-,Arztmann Beda **,**,8.75,Rohrer Ueli **,4
+,Kolb Pirmin *,*,10.00,Rohrer Ueli **,5
+,Gmür Pirmin **,**,9.75,Rohrer Ueli **,6
o,Döbeli Andreas ***,***,8.50,Fankhauser Erich ***,1
+,Schmid Samuel **,**,9.75,Fankhauser Erich ***,2
+,Poltera Andrin *,*,10.00,Fankhauser Erich ***,3
+,Oettli Marco **,**,10.00,Fankhauser Erich ***,4
-,Orlik Armon ***,***,9.00,Fankhauser Erich ***,5
o,Strebel Joel ***,***,8.50,Fankhauser Erich ***,6
-,Moser Matthias *,*,8.75,Lemmenmeier Lukas *,1
+,Stüdeli Thomas **,**,10.00,Lemmenmeier Lukas *,2
o,Krähenbühl Tobias ***,***,8.50,Lemmenmeier Lukas *,3
o,Kuster Thomas *,*,8.50,Lemmenmeier Lukas *,4
+,Bürgler Patrick *,*,10.00,Lemmenmeier Lukas *,5
+,Kolb Pirmin *,*,9.75,Lemmenmeier Lukas *,6
-,Bieri Marcel ***,***,8.75,Orlik Armon ***,1
+,Fankhauser Marco **,**,10.00,Orlik Armon ***,2
+,Hügli Kaj **,**,10.00,Orlik Armon ***,3
+,Räbmatter Patrick ***,***,10.00,Orlik Armon ***,4
-,Fankhauser Erich ***,***,9.00,Orlik Armon ***,5
+,Nötzli Reto ***,***,9.75,Orlik Armon ***,6
-,Leuppi Samir ***,***,8.75,Schurtenberger Sven ***,1
+,Kuster Thomas *,*,10.00,Schurtenberger Sven ***,2
+,Schlegel Sandro **,**,10.00,Schurtenberger Sven ***,3
+,Krähenbühl Tobias ***,***,9.75,Schurtenberger Sven ***,4
o,Ott Damian **,**,8.50,Schurtenberger Sven ***,5
+,Schmutz Simon *,*,10.00,Schurtenberger Sven ***,6
+,Burkhalter Stefan ***,***,9.75,Erb Roger **,1
o,Betschart Patrick *,*,8.50,Erb Roger **,2
-,Arztmann Beda **,**,8.75,Erb Roger **,3
