result,name,level,points,placed_fighter,fight_round
+,Ott Damian **,**,10.00,Orlik Armon ***,1
+,Kolb This **,**,10.00,Orlik Armon ***,2
+,Walther Adrian **,**,9.75,Orlik Armon ***,3
-,Leuppi Samir ***,***,9.00,Orlik Armon ***,4
+,Schlegel Reto *,*,10.00,Orlik Armon ***,5
+,Schlegel Werner **,**,10.00,Orlik Armon ***,6
-,Geisser Lars **,**,8.75,Oettli Marco **,1
+,Jörger Corsin *,*,10.00,Oettli Marco **,2
o,Schlegel Werner **,**,8.50,Oettli Marco **,3
+,Laager Michael,Michael,10.00,Oettli Marco **,4
+,Elmer Daniel *,*,10.00,Oettli Marco **,5
+,Ziegler Andreas,Andreas,10.00,Oettli Marco **,6
o,Walther Adrian **,**,8.50,Schlegel Werner **,1
+,Landolt Reto *,*,10.00,Schlegel Werner **,2
+,Oettli Marco **,**,10.00,Schlegel Werner **,3
+,Biäsch Christian *,*,9.75,Schlegel Werner **,4
+,Arztmann Beda **,**,10.00,Schlegel Werner **,5
o,Orlik Armon ***,***,8.75,Schlegel Werner **,6
-,Huber Alex *,*,9.00,Biäsch Christian *,1
+,Widmer Fadri (2005),(2005),9.75,Biäsch Christian *,2
+,Ziegler Andreas,Andreas,9.75,Biäsch Christian *,3
o,Schlegel Werner **,**,8.50,Biäsch Christian *,4
+,Bucher Roman,Roman,10.00,Biäsch Christian *,5
+,Wild Thomas *,*,10.00,Biäsch Christian *,6
+,Koller Silvan *,*,10.00,Schiesser Patrik *,1
o,Good Marco **,**,8.50,Schiesser Patrik *,2
+,Lüönd Remo,Remo,10.00,Schiesser Patrik *,3
o,Wild Thomas *,*,8.50,Schiesser Patrik *,4
+,Rüegger Remo,Remo,10.00,Schiesser Patrik *,5
+,Roth Sämi,Sämi,10.00,Schiesser Patrik *,6
+,Keller Manuel *,*,9.75,Fausch Kjetil *,1
o,Schneider Domenic ***,***,8.50,Fausch Kjetil *,2
+,Müller Josias (2006),(2006),10.00,Fausch Kjetil *,3
+,Kiser Aron,Aron,9.75,Fausch Kjetil *,4
-,Kolb This **,**,8.75,Fausch Kjetil *,5
+,Hegner Ueli *,*,10.00,Fausch Kjetil *,6
o,Orlik Armon ***,***,8.50,Ott Damian **,1
+,Hegner Ueli *,*,10.00,Ott Damian **,2
+,Odermatt Gian Maria (2004) *,*,10.00,Ott Damian **,3
o,Schneider Domenic ***,***,8.50,Ott Damian **,4
+,Hugelshofer Lars *,*,10.00,Ott Damian **,5
+,Schnurrenberger Roman **,**,9.75,Ott Damian **,6
+,Zumbach Michael,Michael,9.75,Kundert Elias (2005),1
+,Kaiser David (2006),(2006),10.00,Kundert Elias (2005),2
+,Hegner Ueli *,*,9.75,Kundert Elias (2005),3
o,Gmür Pirmin **,**,8.50,Kundert Elias (2005),4
o,Pianta Christian *,*,8.50,Kundert Elias (2005),5
+,Mannhart Jan *,*,10.00,Kundert Elias (2005),6
-,Schneider Domenic ***,***,8.75,Nötzli Reto ***,1
+,Lüthi Manuel *,*,10.00,Nötzli Reto ***,2
-,Geisser Lars **,**,9.00,Nötzli Reto ***,3
+,Bernold Edi **,**,10.00,Nötzli Reto ***,4
+,Wild Thomas *,*,10.00,Nötzli Reto ***,5
+,Leuppi Samir ***,***,10.00,Nötzli Reto ***,6
