result,name,level,points,placed_fighter,fight_round
+,Schlegel Werner **,**,10.00,Rychen Roger ***,1
+,Bernold Edi **,**,10.00,Rychen Roger ***,2
o,Giger Samuel ***,***,8.50,Rychen Roger ***,3
+,Schudel Simon *,*,10.00,Rychen Roger ***,4
+,Odermatt Gian Maria (2004) *,*,10.00,Rychen Roger ***,5
+,Bless Michael ***,***,10.00,Rychen Roger ***,6
-,Schneider Mario **,**,8.75,Räbsamen Marcel **,1
+,Dumelin David **,**,10.00,Räbsamen Marcel **,2
+,Imhof Gregor,Gregor,10.00,Räbsamen Marcel **,3
o,Leuppi Samir ***,***,8.50,Räbsamen Marcel **,4
+,Bucher Roman,Roman,10.00,Räbsamen Marcel **,5
+,Ammann Rico *,*,10.00,Räbsamen Marcel **,6
+,Ackermann Rico *,*,10.00,Ackermann Remo *,1
+,Kuster Thomas **,**,9.75,Ackermann Remo *,2
+,Bühler Hannes *,*,10.00,Ackermann Remo *,3
o,Giger Samuel ***,***,8.50,Ackermann Remo *,4
+,Winzeler Simon,Simon,10.00,Ackermann Remo *,5
-,Burkhalter Stefan ***,***,8.75,Ackermann Remo *,6
+,Roth Martin ***,***,9.75,Voggensperger Janic **,1
-,Ott Damian **,**,8.75,Voggensperger Janic **,2
+,Loup Grégoire,Grégoire,10.00,Voggensperger Janic **,3
+,Lanter Christian *,*,10.00,Voggensperger Janic **,4
o,Bless Michael ***,***,8.50,Voggensperger Janic **,5
+,Bernold Edi **,**,10.00,Voggensperger Janic **,6
+,Lenherr Cédric *,*,10.00,Lehmann Philipp *,1
o,Burkhalter Stefan ***,***,8.50,Lehmann Philipp *,2
+,Zumbach Michael,Michael,10.00,Lehmann Philipp *,3
-,Schneider Mario **,**,8.75,Lehmann Philipp *,4
+,Fuster Arjuna,Arjuna,9.75,Lehmann Philipp *,5
+,Wingeier Janik,Janik,9.75,Lehmann Philipp *,6
+,Loup Alexandre *,*,10.00,Riget Florian **,1
o,Giger Samuel ***,***,8.50,Riget Florian **,2
+,Bucher Roman,Roman,9.75,Riget Florian **,3
+,Odermatt Michi,Michi,9.75,Riget Florian **,4
+,Ammann Rico *,*,10.00,Riget Florian **,5
-,Leuppi Samir ***,***,8.75,Riget Florian **,6
o,Riget Florian **,**,8.50,Loup Alexandre *,1
+,Elmer Adrian *,*,9.75,Loup Alexandre *,2
+,Fallegger Marc,Marc,10.00,Loup Alexandre *,3
+,Müller Jano (2005),(2005),10.00,Loup Alexandre *,4
o,Leuppi Samir ***,***,8.50,Loup Alexandre *,5
+,Hari Michi,Michi,10.00,Loup Alexandre *,6
+,Schmidlin Tobias *,*,9.75,Hugelshofer Lars *,1
o,Leuppi Samir ***,***,8.50,Hugelshofer Lars *,2
+,Rüegg Patrick,Patrick,10.00,Hugelshofer Lars *,3
+,Blaser Christian **,**,9.75,Hugelshofer Lars *,4
+,Bernold Edi **,**,10.00,Hugelshofer Lars *,5
o,Schlegel Werner **,**,8.50,Hugelshofer Lars *,6
+,Leuppi Samir ***,***,10.00,Giger Samuel ***,1
+,Riget Florian **,**,9.75,Giger Samuel ***,2
+,Rychen Roger ***,***,10.00,Giger Samuel ***,3
+,Ackermann Remo *,*,9.75,Giger Samuel ***,4
-,Schlegel Werner **,**,8.75,Giger Samuel ***,5
+,Koch Thomas *,*,10.00,Giger Samuel ***,6
o,Rychen Roger ***,***,8.75,Schlegel Werner **,1
+,Lanter Christian *,*,9.75,Schlegel Werner **,2
+,Blaser Niklas *,*,10.00,Schlegel Werner **,3
+,Nägeli Marco **,**,10.00,Schlegel Werner **,4
-,Giger Samuel ***,***,8.75,Schlegel Werner **,5
+,Hugelshofer Lars *,*,10.00,Schlegel Werner **,6
-,Collaud Romain **,**,8.75,Dändliker Shane **,1
+,Heierli Pascal **,**,10.00,Dändliker Shane **,2
+,Ziegler Andreas,Andreas,10.00,Dändliker Shane **,3
o,Bless Michael ***,***,8.50,Dändliker Shane **,4
+,Rotach Lars *,*,9.75,Dändliker Shane **,5
+,Giger Florian,Florian,10.00,Dändliker Shane **,6
+,Elmer Adrian *,*,10.00,Wey Nicola *,1
o,Bühler Hannes *,*,8.75,Wey Nicola *,2
+,Schwyn Patrick,Patrick,9.75,Wey Nicola *,3
-,Notz Beni ***,***,8.75,Wey Nicola *,4
+,Kolb Kilian (2005),(2005),9.75,Wey Nicola *,5
+,Rogenmoser Ryan,Ryan,10.00,Wey Nicola *,6
-,Kuster Thomas **,**,8.75,Nägeli Marco **,1
+,Keller Werner *,*,9.75,Nägeli Marco **,2
+,Giger Florian,Florian,10.00,Nägeli Marco **,3
o,Schlegel Werner **,**,8.50,Nägeli Marco **,4
+,Kundert Elias (2005),(2005),9.75,Nägeli Marco **,5
+,Spörndli Cyril,Cyril,10.00,Nägeli Marco **,6
+,Funk Nicola *,*,9.75,Koch Thomas *,1
o,Notz Beni ***,***,8.50,Koch Thomas *,2
+,Schmid Gian,Gian,10.00,Koch Thomas *,3
+,Kühne Cyrill (2004),(2004),10.00,Koch Thomas *,4
+,Schnurrenberger Roman **,**,10.00,Koch Thomas *,5
o,Giger Samuel ***,***,8.50,Koch Thomas *,6
+,Waldmeier Marco (2005),(2005),10.00,Winzeler Simon,1
+,Burkhard Tobias *,*,10.00,Winzeler Simon,2
o,Collaud Romain **,**,8.50,Winzeler Simon,3
+,Keller Werner *,*,10.00,Winzeler Simon,4
o,Ackermann Remo *,*,8.50,Winzeler Simon,5
+,Bachmann Janos (2004),(2004),9.75,Winzeler Simon,6
o,Voggensperger Janic **,**,8.50,Roth Martin ***,1
+,Ammann Rico *,*,10.00,Roth Martin ***,2
o,Signer Andy *,*,8.50,Roth Martin ***,3
+,Bühler Hannes *,*,9.75,Roth Martin ***,4
+,Riget Tobias **,**,9.75,Roth Martin ***,5
+,Schlegel Reto *,*,10.00,Roth Martin ***,6
©,2022 Eidgenössischer Schwingerverba,Schwingerverba,nd,Roth Martin ***,7
+,Notz Beni ***,***,9.75,Bless Michael ***,1
+,Geisser Lars **,**,9.75,Bless Michael ***,2
+,Schnurrenberger Roman **,**,9.75,Bless Michael ***,3
+,Dändliker Shane **,**,10.00,Bless Michael ***,4
+,Voggensperger Janic **,**,9.75,Bless Michael ***,5
o,Rychen Roger ***,***,8.75,Bless Michael ***,6
-,Rotach Lars *,*,8.75,Arztmann Beda **,1
+,Straub Paul,Paul,9.75,Arztmann Beda **,2
-,Feldmann Patrik (2005),(2005),9.00,Arztmann Beda **,3
+,Brunner Dominik (2004),(2004),9.75,Arztmann Beda **,4
+,Schiesser Patrik *,*,9.75,Arztmann Beda **,5
+,Koller Fabian *,*,10.00,Arztmann Beda **,6
o,Giger Samuel ***,***,8.50,Leuppi Samir ***,1
