result,name,level,points,placed_fighter,fight_round
-,Kramer Lario ***,***,8.75,Schuler Christian ***,1
+,Dubey Gaël *,*,10.00,Schuler Christian ***,2
+,Borcard Johann **,**,10.00,Schuler Christian ***,3
+,Derron Cédric *,*,10.00,Schuler Christian ***,4
+,Wieland Janis *,*,10.00,Schuler Christian ***,5
+,Gapany Benjamin ***,***,10.00,Schuler Christian ***,6
-,Schuler Christian ***,***,8.75,Kramer Lario ***,1
+,Hayoz Quentin *,*,10.00,Kramer Lario ***,2
+,Pürro David,David,10.00,Kramer Lario ***,3
+,Matthey Mickaël **,**,9.75,Kramer Lario ***,4
-,Piemontesi Pascal **,**,8.75,Kramer Lario ***,5
+,Ambresin Cyril **,**,10.00,Kramer Lario ***,6
+,Panchaud Noé (2004),(2004),10.00,Schmid Romain (2003),1
+,Loup Alexandre *,*,10.00,Schmid Romain (2003),2
o,Gottofrey Marc **,**,8.75,Schmid Romain (2003),3
o,Stoll Thomas,Thomas,8.50,Schmid Romain (2003),4
+,Lauber Grégoire,Grégoire,9.75,Schmid Romain (2003),5
+,Pasquier Loïc,Loïc,10.00,Schmid Romain (2003),6
+,Crettaz Olivier *,*,9.75,Emonet Frédéric **,1
o,Piemontesi Pascal **,**,8.50,Emonet Frédéric **,2
+,Grossenbacher Marc,Marc,10.00,Emonet Frédéric **,3
+,Dugué Maël,Maël,10.00,Emonet Frédéric **,4
o,Duplan Steve ***,***,8.50,Emonet Frédéric **,5
+,Balimann Sandro *,*,10.00,Emonet Frédéric **,6
+,Hess Michael *,*,9.75,Hayoz Quentin *,1
o,Kramer Lario ***,***,8.50,Hayoz Quentin *,2
+,Lauber Grégoire,Grégoire,9.75,Hayoz Quentin *,3
+,Panchaud Noé (2004),(2004),10.00,Hayoz Quentin *,4
-,Lagler Christian *,*,8.75,Hayoz Quentin *,5
+,Hirschi Damien (2003),(2003),9.75,Hayoz Quentin *,6
+,Duplan Steve ***,***,9.50,Kälin Roland **,1
o,Gapany Benjamin ***,***,8.50,Kälin Roland **,2
+,Maire Pascal (2004),(2004),9.75,Kälin Roland **,3
o,Wieland Janis *,*,8.75,Kälin Roland **,4
+,Clément Aurélien (2003),(2003),9.75,Kälin Roland **,5
+,Bapst Richard,Richard,10.00,Kälin Roland **,6
-,Lagler Christian *,*,8.75,Ducry Antoine **,1
-,Kramer Dorian **,**,8.75,Ducry Antoine **,2
+,Heiniger Mickaël,Mickaël,10.00,Ducry Antoine **,3
+,Grossenbacher Marc,Marc,9.75,Ducry Antoine **,4
-,Haenni Stéphane **,**,8.75,Ducry Antoine **,5
+,Fallegger Riccardo (2003),(2003),10.00,Ducry Antoine **,6
+,Rogivue Théo (2003),(2003),10.00,Egger Benoît,1
o,Mollet Ivan **,**,8.50,Egger Benoît,2
o,Balimann Sandro *,*,8.50,Egger Benoît,3
-,Heiniger Mickaël,Mickaël,9.00,Egger Benoît,4
+,Crettaz Julien,Julien,10.00,Egger Benoît,5
+,Vonlanthen Alexandre,Alexandre,10.00,Egger Benoît,6
-,Gottofrey Marc **,**,8.75,Collaud Romain **,1
+,Mosimann Vincent *,*,10.00,Collaud Romain **,2
+,Neyroud Geoﬀrey,Geoﬀrey,10.00,Collaud Romain **,3
+,Balimann Fabian,Fabian,10.00,Collaud Romain **,4
+,Steinauer Adrian **,**,10.00,Collaud Romain **,5
+,Piemontesi Pascal **,**,10.00,Collaud Romain **,6
-,Zbinden Lukas (2003),(2003),8.75,Dorsaz Théo,1
+,Rey Arnaud (2003),(2003),9.75,Dorsaz Théo,2
-,Loup Alexandre *,*,8.75,Dorsaz Théo,3
+,Beaud Eric,Eric,9.75,Dorsaz Théo,4
+,Cotting Florian *,*,10.00,Dorsaz Théo,5
+,Loup Grégoire,Grégoire,10.00,Dorsaz Théo,6
-,Collaud Romain **,**,8.75,Gottofrey Marc **,1
+,Vaucher Rémy,Rémy,9.75,Gottofrey Marc **,2
+,Schmid Romain (2003),(2003),10.00,Gottofrey Marc **,3
+,Hess Michael *,*,9.75,Gottofrey Marc **,4
+,Derron Cédric *,*,9.75,Gottofrey Marc **,5
-,Borcard Johann **,**,8.75,Gottofrey Marc **,6
o,Kälin Roland **,**,8.50,Duplan Steve ***,1
o,Derron Cédric *,*,8.50,Duplan Steve ***,2
+,Zbinden Lukas (2003),(2003),10.00,Duplan Steve ***,3
+,Steinauer Kevin (2004),(2004),10.00,Duplan Steve ***,4
+,Emonet Frédéric **,**,10.00,Duplan Steve ***,5
+,Kramer Dorian **,**,9.75,Duplan Steve ***,6
+,Ambresin Cyril **,**,9.75,Borcard Johann **,1
+,Colò Kilian **,**,9.75,Borcard Johann **,2
o,Schuler Christian ***,***,8.50,Borcard Johann **,3
+,Aeschbacher Ivo,Ivo,10.00,Borcard Johann **,4
+,Loup Grégoire,Grégoire,9.75,Borcard Johann **,5
-,Gottofrey Marc **,**,8.75,Borcard Johann **,6
-,Haenni Stéphane **,**,8.75,Baeriswyl Christoph **,1
+,Jacot Ismaël,Ismaël,10.00,Baeriswyl Christoph **,2
+,Rogivue Théo (2003),(2003),9.75,Baeriswyl Christoph **,3
+,Crettaz Olivier *,*,9.75,Baeriswyl Christoph **,4
-,Colò Kilian **,**,9.00,Baeriswyl Christoph **,5
-,Stoll Thomas,Thomas,9.00,Baeriswyl Christoph **,6
o,Colò Kilian **,**,8.50,Wieland Janis *,1
+,Monney Branighan,Branighan,10.00,Wieland Janis *,2
+,Gueissaz Léonard (2003),(2003),10.00,Wieland Janis *,3
+,Kälin Roland **,**,10.00,Wieland Janis *,4
o,Schuler Christian ***,***,8.50,Wieland Janis *,5
-,Bapst Ludovic,Ludovic,9.00,Wieland Janis *,6
+,Buchs Simon (2004),(2004),10.00,Bapst Ludovic,1
o,Berset Cyril *,*,8.50,Bapst Ludovic,2
o,Colò Kilian **,**,8.50,Bapst Ludovic,3
+,Gueissaz Léonard (2003),(2003),10.00,Bapst Ludovic,4
+,Neyroud Geoﬀrey,Geoﬀrey,10.00,Bapst Ludovic,5
-,Wieland Janis *,*,9.00,Bapst Ludovic,6
©,2021 Eidgenössischer Schwingerverba,Schwingerverba,nd,Bapst Ludovic,7
+,Steinauer Adrian **,**,10.00,Gapany Benjamin ***,1
+,Kälin Roland **,**,10.00,Gapany Benjamin ***,2
+,Loup Grégoire,Grégoire,9.75,Gapany Benjamin ***,3
+,Mollet Ivan **,**,9.75,Gapany Benjamin ***,4
+,Balimann Sandro *,*,9.75,Gapany Benjamin ***,5
o,Schuler Christian ***,***,8.75,Gapany Benjamin ***,6
+,Wieland Janis *,*,10.00,Colò Kilian **,1
o,Borcard Johann **,**,8.50,Colò Kilian **,2
