result,name,level,points,placed_fighter,fight_round
o,Waser Christoph *,*,8.50,Durrer Fabian *,1
+,Ming Christian *,*,9.75,Durrer Fabian *,2
+,Durrer Markus,Markus,10.00,Durrer Fabian *,3
+,Ettlin Mario,Mario,9.75,Durrer Fabian *,4
+,Odermatt Christian **,**,9.75,Durrer Fabian *,5
+,Zemp Christian (2004),(2004),10.00,Durrer Fabian *,6
+,Herger Fabian *,*,9.75,Hess Dominik *,1
o,Fankhauser Erich ***,***,8.75,Hess Dominik *,2
-,Gerber Jakob,Jakob,8.75,Hess Dominik *,3
+,Egli Severin (2004),(2004),10.00,Hess Dominik *,4
+,Rogenmoser Ryan,Ryan,10.00,Hess Dominik *,5
+,Arnold Stefan **,**,10.00,Hess Dominik *,6
-,Gerber Christian ***,***,8.75,Imhof Andi ***,1
+,Waser Christoph *,*,9.75,Imhof Andi ***,2
+,Felder Martin *,*,10.00,Imhof Andi ***,3
-,Gasser Dominik **,**,8.75,Imhof Andi ***,4
+,Huber Alex *,*,10.00,Imhof Andi ***,5
+,Steinauer Adrian **,**,9.75,Imhof Andi ***,6
-,Ramseier Fritz **,**,8.75,Suppiger Werner **,1
+,Würsch Lars *,*,10.00,Suppiger Werner **,2
+,Steudler Kevin *,*,9.75,Suppiger Werner **,3
o,Zemp Christian (2004),(2004),8.75,Suppiger Werner **,4
+,Spichtig Clemens,Clemens,9.75,Suppiger Werner **,5
+,Grab Florian,Florian,10.00,Suppiger Werner **,6
+,Niederberger Markus *,*,10.00,Wyrsch Silvio *,1
o,von Ah Benji ***,***,8.50,Wyrsch Silvio *,2
+,Bucher Roman,Roman,10.00,Wyrsch Silvio *,3
-,Waser Christoph *,*,8.75,Wyrsch Silvio *,4
+,Ettlin Mario,Mario,10.00,Wyrsch Silvio *,5
+,Suter Pirmin **,**,9.75,Wyrsch Silvio *,6
+,Waser Raphael,Raphael,9.75,Schöpfer Marco,1
+,Waser Mattia (2005),(2005),9.75,Schöpfer Marco,2
+,Gander Adrian *,*,9.75,Schöpfer Marco,3
-,Rohrer Ueli **,**,9.00,Schöpfer Marco,4
-,Ramseier Fritz **,**,8.75,Schöpfer Marco,5
+,Kempf Damian,Damian,9.75,Schöpfer Marco,6
+,Wallimann Remo *,*,9.75,Reichmuth Lukas *,1
o,Omlin Toni *,*,8.75,Reichmuth Lukas *,2
+,von Flüe Silvan (2004),(2004),10.00,Reichmuth Lukas *,3
o,Waser Dominik **,**,8.50,Reichmuth Lukas *,4
+,Huser Christian,Christian,9.75,Reichmuth Lukas *,5
+,Ettlin Martin *,*,10.00,Reichmuth Lukas *,6
o,Hess Dominik *,*,8.75,Herger Fabian *,1
+,Gassmann Michael *,*,9.75,Herger Fabian *,2
+,Kathriner Andreas,Andreas,9.75,Herger Fabian *,3
+,Gander Benjamin,Benjamin,9.75,Herger Fabian *,4
-,Bernhard Lukas **,**,8.75,Herger Fabian *,5
+,Duss Yvan,Yvan,9.75,Herger Fabian *,6
+,Rohrer Ivan **,**,10.00,Gasser Dominik **,1
+,Doppmann Urs **,**,10.00,Gasser Dominik **,2
-,Fankhauser Erich ***,***,8.75,Gasser Dominik **,3
-,Imhof Andi ***,***,8.75,Gasser Dominik **,4
