result,name,level,points,placed_fighter,fight_round
+,Rychen Roger ***,***,9.75,Leuppi Samir ***,1
+,Arnold Stefan **,**,10.00,Leuppi Samir ***,2
-,Vollenweider Jeremy **,**,8.75,Leuppi Samir ***,3
+,Hochholdinger Roman **,**,10.00,Leuppi Samir ***,4
+,Biäsch Christian *,*,9.75,Leuppi Samir ***,5
+,Hochholdinger Roman **,**,10.00,Leuppi Samir ***,6
+,Sieber Marc,Marc,10.00,Castelli Fabio,1
+,Leuppi Karim *,*,10.00,Castelli Fabio,2
o,Schlegel Reto *,*,8.50,Castelli Fabio,3
-,Schmid Gian (2003),(2003),8.75,Castelli Fabio,4
+,Wild Thomas,Thomas,10.00,Castelli Fabio,5
+,Horner Sämi,Sämi,10.00,Castelli Fabio,6
+,Herger Fabian *,*,10.00,Landolt Reto *,1
+,Korrodi Janik (2004),(2004),9.75,Landolt Reto *,2
o,Orlik Armon ***,***,8.50,Landolt Reto *,3
+,Inauen Maurus (2003),(2003),10.00,Landolt Reto *,4
-,Wey Nicola *,*,8.75,Landolt Reto *,5
+,Kobler Janosch,Janosch,10.00,Landolt Reto *,6
+,Schmid Dominik **,**,9.75,Vollenweider Jeremy **,1
+,Lüthi Manuel (2003) *,*,10.00,Vollenweider Jeremy **,2
-,Leuppi Samir ***,***,8.75,Vollenweider Jeremy **,3
-,Orlik Armon ***,***,8.75,Vollenweider Jeremy **,4
+,Schuler Martin *,*,9.75,Vollenweider Jeremy **,5
+,Hobi Ignaz,Ignaz,9.75,Vollenweider Jeremy **,6
-,Good Marco *,*,8.75,Habegger Heinz **,1
+,Siegenthaler Joël (2003),(2003),9.75,Habegger Heinz **,2
+,Ruppanner Philipp,Philipp,9.75,Habegger Heinz **,3
+,Tschudi Mario,Mario,10.00,Habegger Heinz **,4
o,Schlegel Sandro **,**,8.50,Habegger Heinz **,5
+,Ackermann Rico (2003) *,*,10.00,Habegger Heinz **,6
-,Habegger Heinz **,**,8.75,Good Marco *,1
+,Inauen Maurus (2003),(2003),9.75,Good Marco *,2
+,Lehmann Philipp *,*,9.75,Good Marco *,3
+,Wüthrich Hans,Hans,10.00,Good Marco *,4
o,Orlik Armon ***,***,8.50,Good Marco *,5
+,Flütsch Marco,Marco,9.75,Good Marco *,6
+,Ziegler Andreas,Andreas,10.00,Aebli Nino,1
+,Steiner Lukas,Lukas,10.00,Aebli Nino,2
o,Nock Benjamin *,*,8.50,Aebli Nino,3
+,Stadelmann Patrick,Patrick,9.75,Aebli Nino,4
o,Geisser Lars **,**,8.50,Aebli Nino,5
+,Keller Cedric,Cedric,9.75,Aebli Nino,6
o,Wey Nicola *,*,8.50,Rotach Lars *,1
+,Fässler Tobias,Tobias,9.75,Rotach Lars *,2
+,Langenegger Beat,Beat,9.75,Rotach Lars *,3
+,Herger Fabian *,*,9.75,Rotach Lars *,4
+,Pianta Christian *,*,9.75,Rotach Lars *,5
o,Orlik Armon ***,***,8.75,Rotach Lars *,6
-,Riget Tobias **,**,8.75,Schlegel Sandro **,1
+,Bütler Roman (2004),(2004),10.00,Schlegel Sandro **,2
-,Poltera Andrin *,*,8.75,Schlegel Sandro **,3
+,Bleiker Daniel,Daniel,10.00,Schlegel Sandro **,4
+,Habegger Heinz **,**,10.00,Schlegel Sandro **,5
+,Aeschlimann Martin,Martin,9.75,Schlegel Sandro **,6
+,Poltera Andrin *,*,9.75,Hochholdinger Roman **,1
+,Zumbach Michael,Michael,10.00,Hochholdinger Roman **,2
+,Bollhalder Manuel *,*,10.00,Hochholdinger Roman **,3
o,Leuppi Samir ***,***,8.50,Hochholdinger Roman **,4
+,Blaser Christian **,**,10.00,Hochholdinger Roman **,5
o,Leuppi Samir ***,***,8.75,Hochholdinger Roman **,6
-,Battaglia Ursin **,**,8.75,Geisser Lars **,1
+,Schwyn Patrick,Patrick,10.00,Geisser Lars **,2
+,Pianta Christian *,*,9.75,Geisser Lars **,3
o,Rychen Roger ***,***,8.50,Geisser Lars **,4
+,Aebli Nino,Nino,10.00,Geisser Lars **,5
+,Schmid Patrick *,*,10.00,Geisser Lars **,6
o,Leuppi Samir ***,***,8.50,Rychen Roger ***,1
+,Nock Benjamin *,*,10.00,Rychen Roger ***,2
+,Biäsch Christian *,*,10.00,Rychen Roger ***,3
+,Geisser Lars **,**,9.75,Rychen Roger ***,4
