result,name,level,points,placed_fighter,fight_round
+,Kuster Thomas **,**,10.00,Fankhauser Erich ***,1
+,Jund Matthias *,*,10.00,Fankhauser Erich ***,2
+,Kaufmann Reto *,*,9.75,Fankhauser Erich ***,3
+,Schurtenberger Sven ***,***,9.75,Fankhauser Erich ***,4
+,Zurﬂuh Roman **,**,9.75,Fankhauser Erich ***,5
+,Suppiger Werner **,**,10.00,Fankhauser Erich ***,6
+,Appert Silvan *,*,10.00,Lemmenmeier Lukas *,1
o,Müllestein Mike ***,***,8.50,Lemmenmeier Lukas *,2
+,Kurmann Jvo,Jvo,10.00,Lemmenmeier Lukas *,3
+,Thalmann Adrian,Adrian,9.75,Lemmenmeier Lukas *,4
+,Schärli Reto *,*,9.75,Lemmenmeier Lukas *,5
+,Schöpfer Ronny **,**,9.75,Lemmenmeier Lukas *,6
-,Wicki Joel ***,***,8.75,Müllestein Mike ***,1
+,Lemmenmeier Lukas *,*,10.00,Müllestein Mike ***,2
-,Ambühl Joel **,**,8.75,Müllestein Mike ***,3
+,Gander Michael,Michael,10.00,Müllestein Mike ***,4
+,Zürcher Ueli *,*,10.00,Müllestein Mike ***,5
+,Wyss Sven *,*,10.00,Müllestein Mike ***,6
-,Rohrer Ueli **,**,8.75,Suppiger Werner **,1
+,Kammermann Dominik,Dominik,10.00,Suppiger Werner **,2
+,Murer Andy **,**,10.00,Suppiger Werner **,3
+,Schaller Noah *,*,9.75,Suppiger Werner **,4
+,Lang Sven **,**,10.00,Suppiger Werner **,5
o,Fankhauser Erich ***,***,8.75,Suppiger Werner **,6
-,Zurﬂuh Michael *,*,8.75,Kurmann Toni *,1
+,Ziegler Elias,Elias,10.00,Kurmann Toni *,2
+,Rohrer Ueli **,**,9.75,Kurmann Toni *,3
+,Simmen Robin (2004),(2004),10.00,Kurmann Toni *,4
-,Reichmuth Marco **,**,9.00,Kurmann Toni *,5
+,Rutsch Remo (2004) *,*,9.75,Kurmann Toni *,6
+,Waser Christoph *,*,9.75,Zurﬂuh Roman **,1
-,Vogel Marcel *,*,9.00,Zurﬂuh Roman **,2
+,Amrhyn Jonas,Jonas,10.00,Zurﬂuh Roman **,3
+,Gerber Peter *,*,10.00,Zurﬂuh Roman **,4
