result,name,level,points,placed_fighter,fight_round
+,Schuler Christian ***,***,10.00,Wicki Joel ***,1
+,Nietlispach Pascal **,**,10.00,Wicki Joel ***,2
+,Bissig Lukas *,*,10.00,Wicki Joel ***,3
+,Lang Sven **,**,10.00,Wicki Joel ***,4
o,Ulrich Marco **,**,8.50,Wicki Joel ***,5
+,Ulrich Marco **,**,10.00,Wicki Joel ***,6
+,Arnold Stefan **,**,9.75,Lang Sven **,1
+,Langensand Stefan *,*,10.00,Lang Sven **,2
+,Durrer Jonas *,*,9.75,Lang Sven **,3
o,Wicki Joel ***,***,8.50,Lang Sven **,4
+,Wiget Ueli,Ueli,9.75,Lang Sven **,5
+,Gander Martin,Martin,10.00,Lang Sven **,6
+,Arnold Severin *,*,10.00,Riebli Urs *,1
+,von Ah Benji ***,***,10.00,Riebli Urs *,2
o,Ulrich Marco **,**,8.50,Riebli Urs *,3
+,Schnellmann Adrian (2004),(2004),10.00,Riebli Urs *,4
-,Durrer Fabian *,*,8.75,Riebli Urs *,5
+,Birchler Fabian,Fabian,10.00,Riebli Urs *,6
-,Bürgi Reto *,*,8.75,Kenel Franz-Toni *,1
+,Gander Adrian *,*,9.75,Kenel Franz-Toni *,2
+,Suter Lukas,Lukas,10.00,Kenel Franz-Toni *,3
+,Hurschler Tobias,Tobias,9.75,Kenel Franz-Toni *,4
+,Nietlispach Pascal **,**,9.75,Kenel Franz-Toni *,5
-,Zurﬂuh Roman **,**,9.00,Kenel Franz-Toni *,6
-,Riget Tobias **,**,8.75,Bucher Christian **,1
+,Schilter Daniel *,*,9.75,Bucher Christian **,2
-,Schuler Alex,Alex,9.00,Bucher Christian **,3
+,von Ah Markus,Markus,9.75,Bucher Christian **,4
+,Hegner Ueli *,*,9.75,Bucher Christian **,5
+,Wittwer Roy,Roy,9.75,Bucher Christian **,6
-,Ulrich Marco **,**,8.75,Riget Florian **,1
+,Wyss Christian *,*,9.75,Riget Florian **,2
+,Felder Ivan (2004),(2004),9.75,Riget Florian **,3
+,Marti Simon,Simon,9.75,Riget Florian **,4
-,von Ah Benji ***,***,8.75,Riget Florian **,5
+,Riebli Leon,Leon,10.00,Riget Florian **,6
+,Herger Matthias **,**,9.75,Suppiger Werner **,1
+,Elsener Marcel *,*,9.75,Suppiger Werner **,2
+,Gander Martin,Martin,10.00,Suppiger Werner **,3
-,Imhof Andi ***,***,8.75,Suppiger Werner **,4
o,Bürgi Reto *,*,8.75,Suppiger Werner **,5
+,Odermatt Andreas **,**,9.75,Suppiger Werner **,6
o,Lang Sven **,**,8.50,Arnold Stefan **,1
+,Zimmermann Daniel *,*,10.00,Arnold Stefan **,2
+,Hurschler Adrian,Adrian,9.75,Arnold Stefan **,3
+,Vogel Laurin,Laurin,9.75,Arnold Stefan **,4
o,Reichmuth Roland *,*,8.50,Arnold Stefan **,5
+,Rogenmoser Ryan,Ryan,10.00,Arnold Stefan **,6
o,Suppiger Werner **,**,8.50,Herger Matthias **,1
+,Kessler Joel *,*,10.00,Herger Matthias **,2
+,Gut Koni,Koni,10.00,Herger Matthias **,3
+,Zumbach Michael,Michael,10.00,Herger Matthias **,4
+,Schuler Christian ***,***,10.00,Herger Matthias **,5
+,Bürgi Reto *,*,10.00,Herger Matthias **,6
-,Riget Florian **,**,8.75,Ulrich Marco **,1
+,Odermatt Andreas **,**,10.00,Ulrich Marco **,2
+,Riebli Urs *,*,10.00,Ulrich Marco **,3
+,Scherrer Patrick,Patrick,10.00,Ulrich Marco **,4
+,Wicki Joel ***,***,9.75,Ulrich Marco **,5
o,Wicki Joel ***,***,8.75,Ulrich Marco **,6
-,Wüest David,David,8.75,Suter Samuel,1
+,Meier Andreas,Andreas,10.00,Suter Samuel,2
o,Binggeli Stefan **,**,8.75,Suter Samuel,3
+,Moos Christoph *,*,10.00,Suter Samuel,4
+,Bühlmann Daniel,Daniel,9.75,Suter Samuel,5
+,Hurschler Tobias,Tobias,10.00,Suter Samuel,6
-,Kenel Franz-Toni *,*,8.75,Bürgi Reto *,1
+,Lüthi Manuel *,*,9.75,Bürgi Reto *,2
+,Gisler Noah,Noah,10.00,Bürgi Reto *,3
+,Waser Dominik **,**,10.00,Bürgi Reto *,4
+,Suppiger Werner **,**,9.75,Bürgi Reto *,5
o,Herger Matthias **,**,8.75,Bürgi Reto *,6
-,Waser Dominik **,**,8.75,Imhof Andi ***,1
+,Reichmuth Roland *,*,10.00,Imhof Andi ***,2
+,Durrer Nando *,*,9.75,Imhof Andi ***,3
-,Suppiger Werner **,**,8.75,Imhof Andi ***,4
+,Lustenberger Josef *,*,9.75,Imhof Andi ***,5
+,Hürlimann Mathias *,*,9.75,Imhof Andi ***,6
+,Elmer Daniel *,*,10.00,Bucher Roland *,1
o,Fankhauser Marco **,**,8.50,Bucher Roland *,2
-,Wüest David,David,9.00,Bucher Roland *,3
+,Gasser Dominik 1,1,9.75,Bucher Roland *,4
+,Wicki David *,*,9.75,Bucher Roland *,5
+,Amrhyn Jonas,Jonas,9.75,Bucher Roland *,6
o,Wicki Joel ***,***,8.50,Schuler Christian ***,1
+,Durrer Fabian *,*,10.00,Schuler Christian ***,2
+,Kurmann Toni *,*,9.75,Schuler Christian ***,3
+,Fankhauser Marco **,**,10.00,Schuler Christian ***,4
o,Herger Matthias **,**,8.50,Schuler Christian ***,5
+,Schärli Reto *,*,10.00,Schuler Christian ***,6
+,Scherrer Fabian *,*,10.00,Bissig Lukas *,1
+,Troxler Jonas *,*,9.75,Bissig Lukas *,2
o,Wicki Joel ***,***,8.50,Bissig Lukas *,3
o,Röthlin Pascal,Pascal,8.75,Bissig Lukas *,4
+,Bühler Patrice,Patrice,9.75,Bissig Lukas *,5
+,Bühler Ramon,Ramon,9.75,Bissig Lukas *,6
©,2022 Eidgenössischer Schwingerverba,Schwingerverba,nd,Bissig Lukas *,7
+,Hegner Ueli *,*,10.00,Reichmuth Roland *,1
o,Imhof Andi ***,***,8.50,Reichmuth Roland *,2
+,Von Euw Adi,Adi,9.75,Reichmuth Roland *,3
+,Heinzer Lukas (2004),(2004),9.75,Reichmuth Roland *,4
+,Arnold Stefan **,**,10.00,Reichmuth Roland *,5
+,Schuler Alex,Alex,10.00,Reichmuth Roland *,6
-,Züger Benjamin (2004),(2004),9.00,Marti Simon,1
+,Epp Elias,Elias,10.00,Marti Simon,2
+,Elmer Daniel *,*,10.00,Marti Simon,3
o,Riget Florian **,**,8.50,Marti Simon,4
+,Schnellmann Adrian (2004),(2004),9.75,Marti Simon,5
+,Hürlimann Ueli,Ueli,10.00,Marti Simon,6
-,Imhof Andi ***,***,8.75,Waser Dominik **,1
+,Niederberger Markus *,*,10.00,Waser Dominik **,2
+,Lüthy Ralph,Ralph,9.75,Waser Dominik **,3
o,Bürgi Reto *,*,8.75,Waser Dominik **,4
+,Durrer Ueli,Ueli,10.00,Waser Dominik **,5
+,Durrer Jonas *,*,10.00,Waser Dominik **,6
-,Ettlin Stefan **,**,8.75,Fankhauser Marco **,1
+,Bucher Roland *,*,10.00,Fankhauser Marco **,2
+,Beﬀa Mario,Mario,10.00,Fankhauser Marco **,3
