result,name,level,points,placed_fighter,fight_round
-,von Ah Benji ***,***,8.75,Schurtenberger Sven ***,1
+,Bucher Thomas *,*,10.00,Schurtenberger Sven ***,2
+,Suter Beat *,*,10.00,Schurtenberger Sven ***,3
+,Herger Matthias **,**,10.00,Schurtenberger Sven ***,4
+,Rohrer Ueli **,**,10.00,Schurtenberger Sven ***,5
+,Fankhauser Erich ***,***,10.00,Schurtenberger Sven ***,6
+,Kennel Stefan **,**,10.00,Reichmuth Marco **,1
+,Schärli Reto *,*,10.00,Reichmuth Marco **,2
-,Imhof Andi ***,***,8.75,Reichmuth Marco **,3
+,Elmiger Matthias,Matthias,9.75,Reichmuth Marco **,4
+,Zurﬂuh Michael *,*,10.00,Reichmuth Marco **,5
-,Arnold Stefan **,**,8.75,Reichmuth Marco **,6
+,Hess Michael *,*,10.00,Lemmenmeier Lukas *,1
o,von Ah Benji ***,***,8.50,Lemmenmeier Lukas *,2
+,Betschart Roger (2003),(2003),10.00,Lemmenmeier Lukas *,3
-,von Wyl Kevin (2004),(2004),9.00,Lemmenmeier Lukas *,4
+,Eﬃnger Markus *,*,9.75,Lemmenmeier Lukas *,5
+,Gut Koni,Koni,10.00,Lemmenmeier Lukas *,6
+,Lussi Marco **,**,10.00,Vogel Remo **,1
o,Durrer Jonas (2003) *,*,8.75,Vogel Remo **,2
+,Ettlin Mario (2003),(2003),10.00,Vogel Remo **,3
+,Imhof Andi ***,***,9.75,Vogel Remo **,4
-,Odermatt Andreas **,**,8.75,Vogel Remo **,5
+,von Wyl Kevin (2004),(2004),9.75,Vogel Remo **,6
+,Portmann Josef **,**,9.75,Odermatt Andreas **,1
o,Fankhauser Erich ***,***,8.50,Odermatt Andreas **,2
+,Egli Kilian (2004),(2004),10.00,Odermatt Andreas **,3
+,Arnold Sebastian,Sebastian,10.00,Odermatt Andreas **,4
-,Vogel Remo **,**,8.75,Odermatt Andreas **,5
+,Fankhauser Reto **,**,10.00,Odermatt Andreas **,6
+,Waser Christoph,Christoph,10.00,Scherrer Fabian,1
o,Lagler Christian *,*,8.75,Scherrer Fabian,2
+,Blumenthal Lino,Lino,10.00,Scherrer Fabian,3
+,Suter Beat *,*,9.75,Scherrer Fabian,4
o,Herger Matthias **,**,8.50,Scherrer Fabian,5
+,Herger Andreas,Andreas,10.00,Scherrer Fabian,6
+,Barmettler Peter *,*,10.00,Zurﬂuh Michael *,1
o,Burch Jonas **,**,8.50,Zurﬂuh Michael *,2
+,Zimmermann Raﬀael,Raﬀael,10.00,Zurﬂuh Michael *,3
+,Gwerder Beni,Beni,10.00,Zurﬂuh Michael *,4
o,Reichmuth Marco **,**,8.50,Zurﬂuh Michael *,5
+,Mehr Lars,Lars,9.75,Zurﬂuh Michael *,6
+,Eﬃnger Markus *,*,10.00,Fellmann Roman **,1
o,Schuler Christian ***,***,8.50,Fellmann Roman **,2
+,Waser Christoph,Christoph,10.00,Fellmann Roman **,3
o,Rohrer Ueli **,**,8.50,Fellmann Roman **,4
+,Appert Silvan (2003),(2003),10.00,Fellmann Roman **,5
+,Vogler Jonas,Jonas,9.75,Fellmann Roman **,6
o,Bucher Thomas *,*,8.50,Ming Christian *,1
+,Herger Marco,Marco,9.75,Ming Christian *,2
o,Suppiger René ***,***,8.50,Ming Christian *,3
+,Roner Remo,Remo,10.00,Ming Christian *,4
+,Vogel Manuel,Manuel,9.75,Ming Christian *,5
+,Bienz Romeo *,*,9.75,Ming Christian *,6
+,Hurschler Thomas **,**,9.75,Fankhauser Erich ***,1
+,Odermatt Andreas **,**,9.75,Fankhauser Erich ***,2
+,Durrer Jonas (2003) *,*,9.75,Fankhauser Erich ***,3
+,Schuler Christian ***,***,10.00,Fankhauser Erich ***,4
