result,name,level,points,placed_fighter,fight_round
+,Nötzli Reto ***,***,9.75,Kramer Lario ***,1
+,Durrer Nando *,*,10.00,Kramer Lario ***,2
+,Egli Damian **,**,10.00,Kramer Lario ***,3
-,Arnold Stefan **,**,8.75,Kramer Lario ***,4
+,Heiniger Marco **,**,10.00,Kramer Lario ***,5
+,Kurmann Toni *,*,10.00,Kramer Lario ***,6
+,Suter Lukas,Lukas,9.75,Ulrich Michael,1
+,Gisler Fabio (2006),(2006),9.75,Ulrich Michael,2
-,Zurﬂuh Michael *,*,9.00,Ulrich Michael,3
-,Troxler Jonas *,*,9.00,Ulrich Michael,4
+,Wyrsch Silvio *,*,10.00,Ulrich Michael,5
+,Zberg Peter (2004),(2004),10.00,Ulrich Michael,6
+,Niederberger Markus *,*,9.75,Kaufmann Reto *,1
+,Nötzli Reto ***,***,10.00,Kaufmann Reto *,2
o,Gwerder Dario **,**,8.75,Kaufmann Reto *,3
+,von Wyl Simon,Simon,10.00,Kaufmann Reto *,4
-,Wyrsch Marco **,**,9.00,Kaufmann Reto *,5
+,Arnold Sebastian,Sebastian,10.00,Kaufmann Reto *,6
o,Hofer Sven **,**,8.50,Murer Andy **,1
+,Gwerder Beni,Beni,10.00,Murer Andy **,2
+,Schwegler Flavio (2004),(2004),10.00,Murer Andy **,3
-,Schuler Alex ***,***,8.75,Murer Andy **,4
+,Marti Simon *,*,10.00,Murer Andy **,5
+,Ottiger Lukas *,*,10.00,Murer Andy **,6
-,Omlin Toni *,*,8.75,Ambühl Joel **,1
+,Arnold Severin *,*,9.75,Ambühl Joel **,2
+,Hurschler Adrian,Adrian,10.00,Ambühl Joel **,3
+,Odermatt Christian **,**,9.75,Ambühl Joel **,4
-,Orlik Armon ***,***,8.75,Ambühl Joel **,5
+,Niederberger Markus *,*,10.00,Ambühl Joel **,6
+,Reichmuth Roland *,*,10.00,Egli Damian **,1
+,Balimann Sandro *,*,10.00,Egli Damian **,2
o,Kramer Lario ***,***,8.50,Egli Damian **,3
+,Von Euw Adi,Adi,9.75,Egli Damian **,4
-,Kessler Joel *,*,9.00,Egli Damian **,5
+,Waser Raphael,Raphael,9.75,Egli Damian **,6
-,Stöckli Damian *,*,8.75,Odermatt Andreas **,1
o,Durrer Fabian *,*,8.50,Odermatt Andreas **,2
+,Häﬂiger Patrick,Patrick,10.00,Odermatt Andreas **,3
+,Betschart Fabian,Fabian,10.00,Odermatt Andreas **,4
+,Waser Reto *,*,9.75,Odermatt Andreas **,5
+,Wyss Sven *,*,9.75,Odermatt Andreas **,6
+,Wyss Christian *,*,9.75,Durrer Nando *,1
o,Kramer Lario ***,***,8.50,Durrer Nando *,2
+,Kryenbühl Mauro (2005),(2005),10.00,Durrer Nando *,3
+,Wyss Sven *,*,9.75,Durrer Nando *,4
o,Kurmann Toni *,*,8.75,Durrer Nando *,5
+,Betschart Roger,Roger,9.75,Durrer Nando *,6
+,Imhof Andi ***,***,9.75,Orlik Armon ***,1
+,Schöpfer Ronny **,**,9.75,Orlik Armon ***,2
+,Ettlin Stefan **,**,10.00,Orlik Armon ***,3
+,Gwerder Dario **,**,9.75,Orlik Armon ***,4
-,Ambühl Joel **,**,8.75,Orlik Armon ***,5
+,Arnold Stefan **,**,10.00,Orlik Armon ***,6
