result,name,level,points,placed_fighter,fight_round
+,Lang Sven **,**,10.00,Bieri Marcel ***,1
-,Schuler Christian ***,***,8.75,Bieri Marcel ***,2
+,Arnold Stefan **,**,10.00,Bieri Marcel ***,3
+,Suter Pirmin **,**,9.75,Bieri Marcel ***,4
+,Odermatt Christian **,**,10.00,Bieri Marcel ***,5
+,Schuler Christian ***,***,10.00,Bieri Marcel ***,6
+,Hess Dominik *,*,9.75,Schürpf Bruno *,1
-,Egli Damian **,**,9.00,Schürpf Bruno *,2
-,Wicki David,David,8.75,Schürpf Bruno *,3
+,Gisler Silvan,Silvan,10.00,Schürpf Bruno *,4
+,Lustenberger Marc (2003) *,*,10.00,Schürpf Bruno *,5
+,Lustenberger Tim (2005),(2005),10.00,Schürpf Bruno *,6
-,Fellmann Roman **,**,8.75,Burch Jonas **,1
+,Scherrer Fabian *,*,10.00,Burch Jonas **,2
+,Wyss Christian,Christian,9.75,Burch Jonas **,3
-,von Euw Lukas *,*,9.00,Burch Jonas **,4
+,Waser Reto *,*,9.75,Burch Jonas **,5
+,Duss Yvan (2003),(2003),10.00,Burch Jonas **,6
+,Eﬃnger Markus *,*,9.75,Waser Dominik **,1
-,von Euw Lukas *,*,8.75,Waser Dominik **,2
+,Vogel Marcel,Marcel,10.00,Waser Dominik **,3
o,Lemmenmeier Lukas *,*,8.75,Waser Dominik **,4
+,Bühlmann Daniel,Daniel,9.75,Waser Dominik **,5
+,Gwerder Andreas *,*,10.00,Waser Dominik **,6
-,Huber Alex *,*,8.75,Lemmenmeier Lukas *,1
+,Moos Christoph *,*,10.00,Lemmenmeier Lukas *,2
+,Kathriner Severin,Severin,10.00,Lemmenmeier Lukas *,3
+,Waser Dominik **,**,10.00,Lemmenmeier Lukas *,4
o,Reichmuth Marco **,**,8.50,Lemmenmeier Lukas *,5
+,Schmid Pius,Pius,9.75,Lemmenmeier Lukas *,6
o,Waser Christoph *,*,8.50,Wyrsch Silvio *,1
+,Bucher Roland *,*,10.00,Wyrsch Silvio *,2
+,Suter Samuel,Samuel,10.00,Wyrsch Silvio *,3
o,Bucher Christian **,**,8.50,Wyrsch Silvio *,4
+,Auf der Maur Alex,Alex,10.00,Wyrsch Silvio *,5
+,Eﬃnger Markus *,*,10.00,Wyrsch Silvio *,6
o,Schuler Christian ***,***,8.50,Vogel Remo **,1
-,Kälin Remo *,*,8.75,Vogel Remo **,2
+,Gander Sebastian (2003),(2003),10.00,Vogel Remo **,3
+,Gerber Jakob,Jakob,10.00,Vogel Remo **,4
+,Gander Adrian *,*,9.75,Vogel Remo **,5
+,von Euw Lukas *,*,9.75,Vogel Remo **,6
-,Fankhauser Marco **,**,8.75,Nötzli Reto ***,1
+,Bissig Lukas (2003) *,*,9.75,Nötzli Reto ***,2
+,Odermatt Christian **,**,9.75,Nötzli Reto ***,3
o,Schmid Simon *,*,8.50,Nötzli Reto ***,4
+,Hürlimann Mathias *,*,10.00,Nötzli Reto ***,5
+,Ming Christian *,*,9.75,Nötzli Reto ***,6
-,Nötzli Reto ***,***,8.75,Fankhauser Marco **,1
+,Elsener Marcel *,*,9.75,Fankhauser Marco **,2
+,Barmettler Severin (2005),(2005),10.00,Fankhauser Marco **,3
+,Bucher Thomas *,*,10.00,Fankhauser Marco **,4
+,Herger Matthias **,**,9.75,Fankhauser Marco **,5
+,Suter Pirmin **,**,9.75,Fankhauser Marco **,6
-,Lustenberger Marc (2003) *,*,9.00,Betschart Patrick *,1
-,Schwyzer Samuel *,*,8.75,Betschart Patrick *,2
+,Gander Benjamin,Benjamin,9.75,Betschart Patrick *,3
+,Staub Ivan,Ivan,10.00,Betschart Patrick *,4
+,Schöpfer Ronny **,**,10.00,Betschart Patrick *,5
+,Graber Michael *,*,10.00,Betschart Patrick *,6
-,Imhof Andi ***,***,8.75,Ambühl Joel **,1
+,Waser Reto *,*,9.75,Ambühl Joel **,2
+,Waser Raphael,Raphael,10.00,Ambühl Joel **,3
+,Bienz Romeo *,*,9.75,Ambühl Joel **,4
+,Bucher Christian **,**,10.00,Ambühl Joel **,5
-,Arnold Stefan **,**,8.75,Ambühl Joel **,6
+,Epp Elias (2003),(2003),10.00,Vogel Marcel,1
-,Durrer Ueli,Ueli,8.75,Vogel Marcel,2
o,Waser Dominik **,**,8.50,Vogel Marcel,3
+,Herger Lars (2005),(2005),9.75,Vogel Marcel,4
+,Rogenmoser Linus,Linus,10.00,Vogel Marcel,5
+,Bucher Christian **,**,10.00,Vogel Marcel,6
o,Bieri Marcel ***,***,8.50,Lang Sven **,1
-,Odermatt Remo *,*,9.00,Lang Sven **,2
+,Bürgi Simon (2003),(2003),10.00,Lang Sven **,3
+,Schmid Pius,Pius,9.75,Lang Sven **,4
+,Bernhard Lukas **,**,9.75,Lang Sven **,5
+,Omlin Toni *,*,10.00,Lang Sven **,6
