result,name,level,points,placed_fighter,fight_round
+,Duplan Steve ***,***,9.75,Gapany Benjamin ***,1
+,Colò Kilian **,**,10.00,Gapany Benjamin ***,2
+,Haenni Stéphane **,**,10.00,Gapany Benjamin ***,3
-,Kramer Lario ***,***,8.75,Gapany Benjamin ***,4
+,Baeriswyl Christoph **,**,10.00,Gapany Benjamin ***,5
+,Kramer Lario ***,***,10.00,Gapany Benjamin ***,6
+,Moser Steven **,**,9.75,Kramer Lario ***,1
+,Piemontesi Pascal **,**,9.75,Kramer Lario ***,2
+,Dousse Michel **,**,10.00,Kramer Lario ***,3
-,Gapany Benjamin ***,***,8.75,Kramer Lario ***,4
+,Rogivue Théo *,*,10.00,Kramer Lario ***,5
o,Gapany Benjamin ***,***,8.75,Kramer Lario ***,6
+,Minder Florian **,**,10.00,Colò Kilian **,1
o,Gapany Benjamin ***,***,8.50,Colò Kilian **,2
+,Bucher Roman,Roman,10.00,Colò Kilian **,3
+,Borcard Clovis *,*,9.75,Colò Kilian **,4
-,Ducrest Etienne *,*,8.75,Colò Kilian **,5
+,Theiler Nils (2004),(2004),9.75,Colò Kilian **,6
-,Hofer Sven **,**,8.75,Baeriswyl Christoph **,1
+,Jonin Jérémy,Jérémy,10.00,Baeriswyl Christoph **,2
+,Gottofrey Luc *,*,9.75,Baeriswyl Christoph **,3
+,Tornare Paul,Paul,9.75,Baeriswyl Christoph **,4
o,Gapany Benjamin ***,***,8.50,Baeriswyl Christoph **,5
+,Emonet Frédéric **,**,9.75,Baeriswyl Christoph **,6
-,Gottofrey Marc **,**,8.75,Ducrest Etienne *,1
+,Clément Aurélien,Aurélien,9.75,Ducrest Etienne *,2
+,Minder Florian **,**,10.00,Ducrest Etienne *,3
+,Schär Alex *,*,10.00,Ducrest Etienne *,4
-,Colò Kilian **,**,9.00,Ducrest Etienne *,5
-,Ducry Antoine **,**,9.00,Ducrest Etienne *,6
o,Siegenthaler Leo (2005),(2005),8.50,Pasquier Loïc,1
+,Von Gunten Damien (2004),(2004),9.75,Pasquier Loïc,2
+,Tissot Joﬀrey (2006),(2006),9.75,Pasquier Loïc,3
+,Varone Luc *,*,9.75,Pasquier Loïc,4
o,Duplan Steve ***,***,8.50,Pasquier Loïc,5
+,Berger Sascha,Sascha,10.00,Pasquier Loïc,6
+,Sonnay Thomas **,**,10.00,Hayoz Quentin *,1
o,Duplan Steve ***,***,8.50,Hayoz Quentin *,2
-,Monney Branighan,Branighan,9.00,Hayoz Quentin *,3
-,Siegenthaler Leo (2005),(2005),9.00,Hayoz Quentin *,4
+,Dorsaz Théo *,*,9.75,Hayoz Quentin *,5
+,Piemontesi Pascal **,**,9.75,Hayoz Quentin *,6
-,Grossenbacher Simon *,*,8.75,Schläﬂi Hugo *,1
+,Collaud Bastien (2005),(2005),10.00,Schläﬂi Hugo *,2
o,Schär Alex *,*,8.50,Schläﬂi Hugo *,3
+,Fernandez Carlos,Carlos,10.00,Schläﬂi Hugo *,4
+,Sturny Nicolas **,**,9.75,Schläﬂi Hugo *,5
-,Monney Branighan,Branighan,8.75,Schläﬂi Hugo *,6
-,Gottofrey Luc *,*,8.75,Riedo Fredy *,1
+,Tschanz Jeremy (2006),(2006),9.75,Riedo Fredy *,2
o,Rogivue Théo *,*,8.75,Riedo Fredy *,3
+,Berger Dilan,Dilan,10.00,Riedo Fredy *,4
o,Berger Sascha,Sascha,8.50,Riedo Fredy *,5
+,Germanier Joel,Joel,10.00,Riedo Fredy *,6
o,Kramer Lario ***,***,8.50,Moser Steven **,1
+,Wieland Micha,Micha,10.00,Moser Steven **,2
+,Dorsaz Théo *,*,10.00,Moser Steven **,3
+,Dind Samuel **,**,9.75,Moser Steven **,4
+,Balimann Sandro *,*,9.75,Moser Steven **,5
+,Gottofrey Marc **,**,10.00,Moser Steven **,6
-,Matthey Mickaël **,**,8.75,Schär Alex *,1
+,Siegenthaler Leo (2005),(2005),10.00,Schär Alex *,2
