result,name,level,points,placed_fighter,fight_round
+,Suppiger René ***,***,10.00,Döbeli Andreas ***,1
+,Stüdeli Thomas **,**,10.00,Döbeli Andreas ***,2
-,Wenger Kilian ***,***,8.75,Döbeli Andreas ***,3
+,Schmutz Simon *,*,10.00,Döbeli Andreas ***,4
+,Matthey Mickaël **,**,10.00,Döbeli Andreas ***,5
+,Räbmatter Patrick ***,***,10.00,Döbeli Andreas ***,6
+,Imobersteg Matthias **,**,10.00,Odermatt Adrian *,1
-,Duplan Steve ***,***,8.75,Odermatt Adrian *,2
+,Joho Pascal (2004),(2004),10.00,Odermatt Adrian *,3
o,Kindlimann Fabian ***,***,8.50,Odermatt Adrian *,4
+,Roth Tim (2004),(2004),10.00,Odermatt Adrian *,5
+,Mangold Michael **,**,10.00,Odermatt Adrian *,6
o,Duplan Steve ***,***,8.50,Hermann Oliver **,1
+,Christ Dario (2003) *,*,10.00,Hermann Oliver **,2
+,Frank Marius (2004),(2004),9.75,Hermann Oliver **,3
o,Schurtenberger Sven ***,***,8.75,Hermann Oliver **,4
+,Ancona Enea (2004),(2004),9.75,Hermann Oliver **,5
+,Grieder Nonda,Nonda,10.00,Hermann Oliver **,6
+,Kindlimann Fabian ***,***,9.75,Erb Roger **,1
+,Joho Philip *,*,9.75,Erb Roger **,2
-,Leuppi Samir ***,***,8.75,Erb Roger **,3
o,Joho Pascal (2004),(2004),8.50,Erb Roger **,4
+,Stoll Thomas *,*,10.00,Erb Roger **,5
+,Roth Tim (2004),(2004),9.75,Erb Roger **,6
+,Stegmüller Klemens *,*,10.00,Schmid Samuel **,1
o,Matthey Mickaël **,**,8.50,Schmid Samuel **,2
+,Stark Urban,Urban,9.75,Schmid Samuel **,3
+,Duplan Steve ***,***,10.00,Schmid Samuel **,4
o,Leuppi Samir ***,***,8.50,Schmid Samuel **,5
+,Streich Sascha,Sascha,9.75,Schmid Samuel **,6
o,Erb Roger **,**,8.50,Kindlimann Fabian ***,1
+,Bader Fabian *,*,10.00,Kindlimann Fabian ***,2
+,Imobersteg Matthias **,**,10.00,Kindlimann Fabian ***,3
+,Odermatt Adrian *,*,10.00,Kindlimann Fabian ***,4
-,Schurtenberger Sven ***,***,8.75,Kindlimann Fabian ***,5
-,Vieira Tiago **,**,8.75,Kindlimann Fabian ***,6
-,Matthey Mickaël **,**,9.00,Brun Samuel **,1
+,Lisser Daniel *,*,10.00,Brun Samuel **,2
+,Hasler Luis,Luis,9.75,Brun Samuel **,3
o,Wenger Kilian ***,***,8.50,Brun Samuel **,4
+,Joho Pascal (2004),(2004),10.00,Brun Samuel **,5
-,Hügli Kaj **,**,8.75,Brun Samuel **,6
-,Schurtenberger Sven ***,***,8.75,Räbmatter Patrick ***,1
+,Ris Jörn *,*,10.00,Räbmatter Patrick ***,2
+,Gerber Christian ***,***,10.00,Räbmatter Patrick ***,3
+,Joho Philip *,*,10.00,Räbmatter Patrick ***,4
+,Wenger Kilian ***,***,9.75,Räbmatter Patrick ***,5
o,Döbeli Andreas ***,***,8.75,Räbmatter Patrick ***,6
-,Räbmatter Patrick ***,***,8.75,Schurtenberger Sven ***,1
+,Brand Christian **,**,10.00,Schurtenberger Sven ***,2
+,Henzer Andreas **,**,9.75,Schurtenberger Sven ***,3
+,Hermann Oliver **,**,9.75,Schurtenberger Sven ***,4
-,Kindlimann Fabian ***,***,8.75,Schurtenberger Sven ***,5
+,Mangold Martin *,*,10.00,Schurtenberger Sven ***,6
+,Vogel Remo *,*,10.00,Bader Fabian *,1
o,Kindlimann Fabian ***,***,8.50,Bader Fabian *,2
+,Gfeller Joel (2005),(2005),10.00,Bader Fabian *,3
+,Schmid David ***,***,9.75,Bader Fabian *,4
o,Strebel Joel ***,***,8.50,Bader Fabian *,5
+,Huser Roman,Roman,10.00,Bader Fabian *,6
+,Mangold Martin *,*,9.75,Brand Christian **,1
o,Schurtenberger Sven ***,***,8.50,Brand Christian **,2
+,Graber Colin,Colin,9.75,Brand Christian **,3
-,Suppiger René ***,***,8.75,Brand Christian **,4
+,Suter Jonas (2003),(2003),10.00,Brand Christian **,5
+,Joho Pascal (2004),(2004),9.75,Brand Christian **,6
