2021: 2021-08-15_21_Schwaegalp-Schwinget-ST
Gang;Rang;Schwinger;Level;Punkte
1;1a;Ramseier Fritz;**;10.0
1;1b;Schneider Domenic;***;10.0
1;1c;Colò Kilian;**;10.0
1;1d;Gapany Benjamin;***;10.0
1;1e;Burkhalter Stefan;***;10.0
1;1f;Leuppi Karim;*;10.0
1;1g;Bollhalder Manuel;*;10.0
1;1h;Walther Adrian;**;10.0
1;1i;Leuppi Samir;***;10.0
1;1j;Gottofrey Marc;**;10.0
1;1k;Thoma Christoph;*;10.0
1;2a;Schuler Martin;*;9.75
1;2b;Gnägi Florian;***;9.75
1;2c;Funk Nicola;*;9.75
1;2d;Rüegg Fabian;*;9.75
1;2e;Kolb This (2003);*;9.75
1;2f;Roschi Ruedi;**;9.75
1;2g;Giger Samuel;***;9.75
1;2h;Hofer Sven;**;9.75
1;2i;Räbsamen Marcel;*;9.75
1;2j;Kramer Dorian;**;9.75
1;2k;Baeriswyl Christoph;**;9.75
1;2l;Wettstein Daniel;*;9.75
1;2m;Staudenmann Fabian;***;9.75
1;2n;Schiesser Patrik;*;9.75
1;2o;Biäsch Christian;*;9.75
1;2p;Zaugg Lars;*;9.75
1;2q;Matthey Mickaël;**;9.75
1;3a;Gasser Dominik;*;9.0
1;3b;Duplan Steve;***;9.0
1;3c;Geisser Lars;**;9.0
1;3d;von Weissenﬂuh Kilian;***;9.0
1;3e;Orlik Armon;***;9.0
1;3f;Rychen Roger;***;9.0
1;3g;Dändliker Shane;**;9.0
1;3h;Gerber Christian;***;9.0
1;4a;Borcard Johann;**;8.75
1;4b;Good Marco;*;8.75
1;4c;Iseli Marco;**;8.75
1;4d;Kramer Lario;***;8.75
1;4e;Berger Lorenz;**;8.75
1;4f;Pianta Christian;*;8.75
1;4g;Elmer Daniel;*;8.75
1;4h;Poltera Andrin;*;8.75
1;4i;Ott Damian;**;8.75
1;4j;Dumelin David;**;8.75
1;4k;Wittwer Jan;**;8.75
1;4l;Balimann Sandro;*;8.75
1;4m;Aeschbacher Matthias;***;8.75
1;4n;Schmid Patrick;*;8.75
1;4o;Schäppi Urs;*;8.75
1;4p;Kolb Pirmin;*;8.75
1;4q;Inniger Thomas;***;8.75
1;4r;Gmür Pirmin;**;8.75
1;4s;Schlegel Werner;**;8.75
1;4t;Hayoz Quentin;*;8.75
1;4u;Steﬀen Gustav;**;8.75
1;4v;Fuster Sepp;*;8.75
1;4w;Schnurrenberger Roman;**;8.75
1;4x;Ducrest Etienne;*;8.75
1;4y;Riget Florian;*;8.75
1;4z;Oettli Marco;**;8.75
1;4z1;Schläpfer Markus;**;8.75
1;4z2;Dörig Erich;*;8.75
1;4z3;Gäumann Stefan;**;8.75
1;5a;Kuster Thomas;*;8.5
1;5b;Blaser Christian;**;8.5
1;5c;Joos Enrico (2003);*;8.5
1;5d;Wiget Michael;***;8.5
1;5e;Ackermann Rico (2003);*;8.5
1;5f;Wild Thomas;*;8.5
1;5g;Mollet Ivan;**;8.5
1;5h;Burkhard Tobias;*;8.5
1;5i;Koller Fabian;*;8.5
1;5j;Schneider Mario;**;8.5
1;5k;Wieland Janis;*;8.5
1;5l;Ulmann Fabian;*;8.5
1;5m;Collaud Romain;**;8.5
1;5n;Notz Beni;***;8.5
1;5o;Vollenweider Jeremy;**;8.5
1;5p;Burger Matthieu;**;8.5
1;5q;Schlegel Sandro;**;8.5
1;5r;Tschachtli Sven;**;8.5
1;5s;Giger Urs;*;8.5
1;5t;Krähenbühl Tobias;***;8.5
1;5u;Rotach Lars;*;8.5
1;5v;Hugelshofer Lars;*;8.5
1;5w;Stucki Christian;***;8.5
1;5x;Renfer Lukas;**;8.5
1;5y;Kilchoer Alain;*;8.5
2;1a;Schneider Domenic;***;19.75
2;1b;Staudenmann Fabian;***;19.75
2;2a;Giger Samuel;***;19.5
2;3a;Gasser Dominik;*;19.0
2;3b;Orlik Armon;***;19.0
2;3c;Walther Adrian;**;19.0
2;3d;Rychen Roger;***;19.0
2;3e;Dändliker Shane;**;19.0
2;4a;Kramer Lario;***;18.75
2;4b;Pianta Christian;*;18.75
2;4c;Gapany Benjamin;***;18.75
2;4d;Duplan Steve;***;18.75
2;4e;Burkhalter Stefan;***;18.75
2;4f;von Weissenﬂuh Kilian;***;18.75
2;4g;Steﬀen Gustav;**;18.75
2;4h;Kramer Dorian;**;18.75
2;4i;Riget Florian;*;18.75
2;4j;Leuppi Samir;***;18.75
2;4k;Schläpfer Markus;**;18.75
2;4l;Gerber Christian;***;18.75
2;4m;Matthey Mickaël;**;18.75
2;5a;Borcard Johann;**;18.5
2;5b;Gnägi Florian;***;18.5
2;5c;Iseli Marco;**;18.5
2;5d;Funk Nicola;*;18.5
2;5e;Ramseier Fritz;**;18.5
2;5f;Wiget Michael;***;18.5
2;5g;Ott Damian;**;18.5
2;5h;Dumelin David;**;18.5
2;5i;Colò Kilian;**;18.5
2;5j;Aeschbacher Matthias;***;18.5
2;5k;Leuppi Karim;*;18.5
2;5l;Inniger Thomas;***;18.5
