2253: 2253-2015-07-18_64_Weissenstein-Schwinget-ST
Gang;Rang;Schwinger;Level;Punkte
1;1a;Nyffeler Christoph;;10.0
1;1b;Röthlisberger Simon;*;10.0
1;1c;Kämpf Alexander;**;10.0
1;1d;Döbeli Andreas (1998);*;10.0
1;1e;Gehrig Damian;**;10.0
1;1f;Rolli Martin;**;10.0
1;1g;Moser Steven;**;10.0
1;1h;Gäggeler Adrian;*;10.0
1;1i;Schenkel Adrian;**;10.0
1;1j;Moser Matthias;*;10.0
1;1k;Zürcher Remo;*;10.0
1;1l;Kämpf Bernhard;***;10.0
1;1m;Stalder Remo;***;10.0
1;1n;Stucki Christian;***;10.0
1;1o;Alpiger Nick;**;10.0
1;1p;Matthey Mickaël;**;10.0
1;2a;Odermatt Christian;**;9.75
1;2b;Hermann Oliver;;9.75
1;2c;Käser Remo;**;9.75
1;2d;Bloch Dominic;**;9.75
1;2e;Roth Dominik;*;9.75
1;2f;Gerber Manuel;;9.75
1;2g;Uebersax Remo;**;9.75
1;2h;Wälti Christoph;**;9.75
1;2i;Luginbühl Hanspeter;**;9.75
1;2j;Roch Vincent;*;9.75
1;2k;Hasler Jimmy;*;9.75
1;2l;Krebs Clemens;;9.75
1;2m;Steinmann Yves;*;9.75
1;2n;Bader Andreas;*;9.75
1;2o;Hügli Kaj (1997);*;9.75
1;2p;Glauser Thomas;**;9.75
1;2q;Renfer Lukas;*;9.75
1;3a;Roschi Ruedi;**;9.0
1;4a;Scherrer Johann;**;8.75
1;4b;Henzer Andreas;**;8.75
1;4c;Gisler Bruno;***;8.75
1;4d;Brand Christian;**;8.75
1;4e;Guisolan Marc;**;8.75
1;4f;Blatter Lorenz;*;8.75
1;4g;Bieri Christoph;***;8.75
1;4h;Vieira Tiago;**;8.75
1;4i;Gapany Benjamin;**;8.75
1;4j;Piemontesi Pascal;**;8.75
1;4k;Hauri Urs;**;8.75
1;4l;von Arx Christian;*;8.75
1;4m;Kohler Adrian;;8.75
1;4n;Sempach Thomas;***;8.75
1;4o;Schmid David;**;8.75
1;4p;Cardinaux Victor;*;8.75
1;4q;Leuthard Reto;*;8.75
1;4r;Schütz Urs;**;8.75
1;4s;Schmid Reto;**;8.75
1;4t;Studinger Stephan;**;8.75
1;4u;Casarico Fabio;**;8.75
1;4v;Siegenthaler Matthias;***;8.75
1;4w;Gottofrey Marc;**;8.75
1;4x;Gerber Christian;**;8.75
1;5a;Erb Roger;**;8.5
1;5b;Waldner Patrick;**;8.5
1;5c;Strebel Joel (1997);*;8.5
1;5d;Zenger Niklaus;***;8.5
1;5e;Weyermann Florian;*;8.5
1;5f;Lang Martin;**;8.5
1;5g;Kramer Franz;*;8.5
1;5h;Lisser Beat;;8.5
1;5i;Voggensperger Janic (1998);*;8.5
1;5j;Sigg David;*;8.5
1;5k;Kocher Remo;**;8.5
1;5l;Bächli Michael (1998);*;8.5
1;5m;Huber Jan (1997);*;8.5
1;5n;Steinmann Kevin;**;8.5
1;5o;Klausner Yanick;**;8.5
1;5p;Heiniger Vincent;*;8.5
1;5q;Studinger Mathias;**;8.5
1;5r;Dind Samuel;**;8.5
