2694: 2694-2015-08-09_108_Nordwestschweizerisches_Schwingfest-ST
Gang;Rang;Schwinger;Level;Punkte
1;1a;Waldner Patrick;**;10.0
1;1b;Hermann Oliver;;10.0
1;1c;Henzer Andreas;**;10.0
1;1d;Wiederkehr Michael;;10.0
1;1e;Rüegger Aaron (1999);;10.0
1;1f;Leuthard Mario;;10.0
1;1g;Weber Roger;;10.0
1;1h;Kohler Adrian;;10.0
1;1i;Studinger Stephan;**;10.0
1;1j;Gisler Bruno;***;10.0
1;1k;Bucher Pascal;;10.0
1;1l;Hasler Manuel;;10.0
1;1m;Blatter Lorenz;*;10.0
1;1n;Dobler Florian;;10.0
1;1o;Hitz Florian (1999);;10.0
1;1p;Moser Steven;**;10.0
1;1q;Mangold Martin;;10.0
1;2a;Gnägi Florian;***;9.75
1;2b;Nyffeler Christoph;;9.75
1;2c;Strebel Joel (1997);*;9.75
1;2d;Studer Remo;;9.75
1;2e;Räber Lukas;;9.75
1;2f;Löw Christophe;**;9.75
1;2g;Widmer Sandro;;9.75
1;2h;Lisser Beat;;9.75
1;2i;Voggensperger Janic (1998);*;9.75
1;2j;Laimbacher Philipp;***;9.75
1;2k;Siegrist Christian (1997);;9.75
1;2l;Hauri Urs;**;9.75
1;2m;Schneider Markus;*;9.75
1;2n;Widmer Cyrill (1998);;9.75
1;2o;Aerni Lars (1997);;9.75
1;2p;Schaub Florent;;9.75
1;2q;Roth Christian;;9.75
1;2r;Lang Martin;**;9.75
1;2s;Kramer Franz;*;9.75
1;2t;Wehrli Christian;;9.75
1;2u;Stoll Simon;;9.75
1;2v;Hügli Kaj (1997);*;9.75
1;2w;Brügger Cyrill (1998);;9.75
1;2x;Stüdeli Thomas;**;9.75
1;2y;Riesen Ruedi;;9.75
1;2z;Alpiger Nick;**;9.75
1;3a;Schmid David;**;9.0
1;3b;Bösch Daniel;***;9.0
1;3c;Kämpf Bernhard;***;9.0
1;4a;Scherrer Johann;**;8.75
1;4b;Villiger Damian;*;8.75
1;4c;Wüthrich Martin;;8.75
1;4d;Bieri Christoph;***;8.75
1;4e;Nussbaumer Gabriel;;8.75
1;4f;Steinmann Kevin;**;8.75
1;4g;von Arx Christian;*;8.75
1;4h;Schneider Mario;**;8.75
1;4i;Studinger Mathias;**;8.75
1;4j;Bearda Samuel;;8.75
1;4k;Küng Marco;;8.75
1;4l;Reinhard Adrian (1997);;8.75
1;4m;Schär Jonas (1999);;8.75
1;4n;Räbmatter Patrick;**;8.75
1;4o;Brand Christian;**;8.75
1;4p;Widmer Tobias;*;8.75
1;4q;Stoffel Marc;**;8.75
1;4r;Mangold Michael (1997);;8.75
1;4s;Vieira Tiago;**;8.75
1;4t;Kocher Remo;**;8.75
1;4u;Klausner Yanick;**;8.75
1;4v;Reimann Marco (1998);;8.75
1;4w;Grossmann Andreas;;8.75
1;4x;Leuthard Reto;*;8.75
1;4y;Moser Matthias;*;8.75
1;4z;von Ah Benji;***;8.75
1;5a;Erb Roger;**;8.5
1;5b;Furrer Mathias;;8.5
1;5c;Leu Dominik (1999);;8.5
1;5d;Huber Jan (1997);*;8.5
1;5e;Müller Christian (1998);;8.5
1;5f;Mahrer Jürg;**;8.5
1;5g;Steinmann Yves;*;8.5
1;5h;Ris Jörn (1998);;8.5
1;5i;Kaspar Jan (1999);;8.5
1;5j;Bieli Andreas;;8.5
1;5k;Probst Gabriel;**;8.5
1;5l;Haymoz Kevin;;8.5
1;5m;Büchi Christian;;8.5
1;5n;Haymoz Jan (1999);;8.5
1;5o;Stalder Remo;***;8.5
1;5p;Odermatt Christian;**;8.5
1;5q;Müller Simon;;8.5
1;5r;Winiger Fabian;**;8.5
1;5s;Döbeli Andreas (1998);*;8.5
1;5t;Lehmann Robin (1999);;8.5
1;5u;Häni William;**;8.5
1;5v;Burkhardt Roy;;8.5
1;5w;Hasler Jimmy;*;8.5
1;5x;Bächli Michael (1998);**;8.5
1;5y;Inderwildi Daniel;;8.5
1;5z;Suter Manuel (1997);;8.5
1;5z1;Körkel Yannik (1997);;8.5
1;5z2;Krebs Clemens;;8.5
1;5z3;Wyss Cyrill;;8.5
1;5z4;Büttler Adrian (1999);;8.5
1;5z5;Stegmüller Klemens;*;8.5
1;5z6;Wittmer Lukas;;8.5
1;5z7;Schumacher Michael;*;8.5
1;5z8;Brun Samuel (1999);;8.5
1;5z9;Steger Robert (1998);;8.5
1;5z10;Bader Andreas;*;8.5
1;5z11;Schär Simon;*;8.5
1;5z12;Widmer David;;8.5
2;1a;Hermann Oliver;;19.75
2;1b;Blatter Lorenz;*;19.75
2;1c;Stoll Simon;;19.75
2;2a;Studer Remo;;19.5
2;2b;Laimbacher Philipp;***;19.5
2;2c;Hauri Urs;**;19.5
2;2d;Widmer Cyrill (1998);;19.5
2;2e;Roth Christian;;19.5
2;2f;Brügger Cyrill (1998);;19.5
2;2g;Riesen Ruedi;;19.5
2;2h;Alpiger Nick;**;19.5
2;3a;Kohler Adrian;;19.0
2;3b;Schmid David;**;19.0
2;3c;Bösch Daniel;***;19.0
2;4a;Strebel Joel (1997);*;18.75
2;4b;Räber Lukas;;18.75
2;4c;Rüegger Aaron (1999);;18.75
2;4d;Bieri Christoph;***;18.75
2;4e;Bearda Samuel;;18.75
2;4f;Studinger Stephan;**;18.75
2;4g;Räbmatter Patrick;**;18.75
2;4h;Widmer Tobias;*;18.75
2;4i;Mangold Michael (1997);;18.75
2;4j;Kocher Remo;**;18.75
2;4k;Dobler Florian;;18.75
2;4l;Reimann Marco (1998);;18.75
2;4m;von Ah Benji;***;18.75
2;5a;Erb Roger;**;18.5
2;5b;Gnägi Florian;***;18.5
2;5c;Nyffeler Christoph;;18.5
2;5d;Waldner Patrick;**;18.5
2;5e;Henzer Andreas;**;18.5
2;5f;Wiederkehr Michael;;18.5
2;5g;Widmer Sandro;;18.5
2;5h;Voggensperger Janic (1998);*;18.5
2;5i;Nussbaumer Gabriel;;18.5
2;5j;Leuthard Mario;;18.5
2;5k;von Arx Christian;*;18.5
2;5l;Schneider Mario;**;18.5
2;5m;Weber Roger;;18.5
2;5n;Ris Jörn (1998);;18.5
2;5o;Bieli Andreas;;18.5
2;5p;Probst Gabriel;**;18.5
2;5q;Schär Jonas (1999);;18.5
2;5r;Gisler Bruno;***;18.5
2;5s;Brand Christian;**;18.5
2;5t;Döbeli Andreas (1998);*;18.5
2;5u;Bucher Pascal;;18.5
2;5v;Hasler Manuel;;18.5
2;5w;Stoffel Marc;**;18.5
2;5x;Hasler Jimmy;*;18.5
2;5y;Bächli Michael (1998);**;18.5
2;5z;Klausner Yanick;**;18.5
2;5z1;Hitz Florian (1999);;18.5
2;5z2;Wehrli Christian;;18.5
2;5z3;Moser Steven;**;18.5
2;5z4;Grossmann Andreas;;18.5
2;5z5;Wittmer Lukas;;18.5
2;5z6;Brun Samuel (1999);;18.5
2;5z7;Mangold Martin;;18.5
2;5z8;Widmer David;;18.5
2;6a;Löw Christophe;**;18.25
2;6b;Lisser Beat;;18.25
2;6c;Siegrist Christian (1997);;18.25
2;6d;Schneider Markus;*;18.25
2;6e;Steinmann Yves;*;18.25
