2778: 2778-2018-06-24_123_Nordostschweizer_Schwingfest_125_Jahre_NOSV-ST
Gang;Rang;Schwinger;Level;Punkte
1;1a;Schlegel Werner (2002);*;10.0
1;1b;Bürgler Patrick;;10.0
1;1c;Dumelin David;*;10.0
1;1d;Landolt Reto;*;10.0
1;1e;Geisser Lars;**;10.0
1;1f;Castelli Fabio;;10.0
1;1g;Orlik Armon;***;10.0
1;1h;Schneider Mario;**;10.0
1;1i;Schlegel Reto;*;10.0
1;1j;Oertig Dominik;**;10.0
1;1k;Burkhalter Stefan;***;10.0
1;1l;Schmid Dominik;**;10.0
1;1m;Gmür Pirmin;**;10.0
1;1n;Bischof Martin;;10.0
1;1o;Ammann Rico;*;10.0
1;1p;Rychen Roger;***;10.0
1;1q;Herger Matthias;**;10.0
1;1r;Hobi Ignaz;;10.0
1;1s;Fausch Kjetil;*;10.0
1;1t;Ott Damian (2000);*;10.0
1;1u;Thoma Christoph;;10.0
1;1v;Kamer Hanspeter;*;10.0
1;2a;Hari Michi;;9.75
1;2b;Poltera Andrin;*;9.75
1;2c;Bernold Michael;*;9.75
1;2d;Lehmann Philipp;;9.75
1;2e;Baumann Rico;*;9.75
1;2f;Kobler Janosch (2000);;9.75
1;2g;Bless Michael;***;9.75
1;2h;Rohner Lukas (2000);;9.75
1;2i;Roth Martin;*;9.75
1;2j;Keller Werner;;9.75
1;2k;Bernold Christian;**;9.75
1;2l;Steiner Michael;**;9.75
1;2m;Ueltschi Patric;*;9.75
1;2n;Riget Florian;*;9.75
1;2o;Hugelshofer Lars (2001);;9.75
1;2p;Bärtsch Fabian (2000);;9.75
1;2q;Dändliker Shane;*;9.75
1;2r;Gwerder Andreas;**;9.75
1;2s;Schuler Martin;;9.75
1;2t;Pianta Christian;;9.75
1;2u;Oettli Silvio (2000);;9.75
1;2v;Schneider Domenic;***;9.75
1;2w;Rhyner Michael;**;9.75
1;2x;Rotach Lars (2000);;9.75
1;2y;Holenstein Christian;*;9.75
1;2z;Aeschbacher Matthias;**;9.75
1;2z1;Räbsamen Marcel (2000);;9.75
1;2z2;Hauser Simon;;9.75
1;2z3;Riget Tobias;**;9.75
1;2z4;Schnurrenberger Roman;**;9.75
1;2z5;Gartmann Mauro;*;9.75
1;2z6;Mettler Valentin;*;9.75
1;2z7;Kropf Marcel;**;9.75
1;2z8;Koch Reto;*;9.75
1;2z9;Schläpfer Matthias;*;9.75
1;3a;Wenger Kilian;***;8.75
1;3b;Flütsch Marco;;8.75
1;3c;Buchmann Michael;;8.75
1;3d;Oertig Simon;*;8.75
1;3e;Wetter Silvan (2000);;8.75
1;3f;Wicki Joel;**;8.75
1;3g;Steiner Joel (2000);;8.75
1;3h;Notz Armin;*;8.75
1;3i;Odermatt Michi;;8.75
1;3j;Arztmann Beda;*;8.75
1;3k;Schmid Patrick;*;8.75
1;3l;Frick Andreas;*;8.75
1;3m;Odermatt Christoph;*;8.75
1;3n;Büsser André;*;8.75
1;3o;Rüegg Roman;*;8.75
1;3p;Ackermann Remo;*;8.75
1;3q;Marty Jaime (2000);;8.75
1;3r;Haenni Stéphane;**;8.75
1;3s;Eugster Ruedi;**;8.75
1;3t;Vollenweider Jeremy;*;8.75
1;3u;Schnyder Christian;;8.75
1;3v;Bösch Daniel;***;8.75
1;3w;Heierli Pascal;*;8.75
1;3x;Roth Peter;;8.75
1;3y;Zbinden Marc;*;8.75
1;3z;Oettli Marco;*;8.75
1;3z1;Kuster Marcel;***;8.75
1;3z2;Funk Nicola;*;8.75
1;3z3;Wey Nicola;*;8.75
1;3z4;Lanter Christian;;8.75
1;3z5;Gosswiler Livio (2000);*;8.75
1;3z6;Vollmeier Sandro;;8.75
1;3z7;Koller Fabian;*;8.75
1;3z8;Neff Florian;;8.75
1;3z9;Rüegg Patrick;;8.75
1;3z10;Döbeli Andreas;*;8.75
1;3z11;Fuster Sepp;;8.75
1;3z12;Kammermann Thomas;*;8.75
1;3z13;Tritten Robin;;8.75
1;3z14;Zwyssig Raphael;***;8.75
1;3z15;Wickli Beat;**;8.75
1;3z16;Bühler Hannes;*;8.75
1;3z17;Kunz Daniel;*;8.75
1;3z18;Koch Thomas;*;8.75
1;3z19;Leuppi Samir;**;8.75
1;3z20;Breitenmoser Manuel;*;8.75
1;3z21;Voggensperger Janic;**;8.75
1;3z22;Wettstein Daniel;;8.75
1;3z23;Wittenwiler Roman;*;8.75
1;3z24;Schläpfer Markus;**;8.75
1;3z25;von Ah Benji;***;8.75
1;3z26;Inauen Aurel;;8.75
1;3z27;Dörig Erich;*;8.75
1;3z28;Rütsche Stefan;*;8.75
1;4a;Kuster Thomas;*;8.5
1;4b;Vestner Bruno;*;8.5
1;4c;Ackermann Roman;;8.5
1;4d;Kolb Pirmin (2001);;8.5
1;4e;Schegg Daniel (2000);;8.5
1;4f;Wildhaber Jannik;;8.5
1;4g;Hersche Martin;***;8.5
1;4h;Rüegg Fabian;*;8.5
1;4i;Morger Adrian;*;8.5
1;4j;Riedi Thomas;;8.5
1;4k;Elmer Adrian;*;8.5
1;4l;Burkhard Tobias;;8.5
1;4m;Schäppi Urs;*;8.5
1;4n;Jörger Corsin;;8.5
1;4o;Aebli Nino (2000);;8.5
1;4p;Jörger Marc;*;8.5
1;4q;Nägeli Roman;*;8.5
1;4r;Roschi Ruedi;**;8.5
1;4s;Bühler Ernst;**;8.5
1;4t;Oertle Daniel;*;8.5
1;4u;Piemontesi Pascal;**;8.5
1;4v;Ziegler Andreas (2002);;8.5
1;4w;Tremp Remo;;8.5
1;4x;Jöhl Christian;*;8.5
1;4y;Notz Beni;***;8.5
1;4z;Zumbach Michael;;8.5
1;4z1;Kid Simon;**;8.5
1;4z2;Arnold Christian;;8.5
1;4z3;Horner Sämi;;8.5
1;4z4;Schiesser Patrik;;8.5
1;4z5;Baumgartner Ramon (2002);;8.5
1;4z6;Hochholdinger Roman;**;8.5
1;4z7;Schwyn Adrian;*;8.5
1;4z8;Vestner Roman;*;8.5
1;4z9;Straub Robin;*;8.5
1;4z10;Furrer Matthias;;8.5
1;4z11;Krähenbühl Lukas;*;8.5
1;4z12;Peng Mike;***;8.5
1;4z13;Bollhalder Manuel (2001);;8.5
1;4z14;Bickel Roman;*;8.5
1;4z15;Battaglia Ursin;**;8.5
1;4z16;Büchler Remo;**;8.5
1;4z17;Pfister Florian;*;8.5
1;4z18;Ochsner Reto (2000);;8.5
1;4z19;Giger Urs;*;8.5
1;4z20;Krähenbühl Tobias;***;8.5
1;4z21;Schwyn Patrick;;8.5
1;4z22;Wolfer Lukas;*;8.5
1;4z23;Matthey Mickaël;**;8.5
