2818: 2818-2015-07-12_Fete_romande-ST
Gang;Rang;Schwinger;Level;Punkte
1;1a;Dufey Gil (1997);;10.0
1;1b;Pellet Adrian (1997);;10.0
1;1c;Mollet Adrian;;10.0
1;1d;Berger Dilan (1998);;10.0
1;1e;Kindlimann Fabian;***;10.0
1;1f;Maridor Loïc;;10.0
1;1g;Buchs Carlo;;10.0
1;1h;Gottofrey Marc;*;10.0
1;1i;Mariéthoz Grégory (1999);;10.0
1;1j;Blanchard Benjamin (1997);;10.0
1;1k;Süess Gerry;***;10.0
1;1l;Von Niederhäusern Martin;;10.0
1;1m;Derron Julien (1997);;10.0
1;1n;Brodard Augustin;**;10.0
1;1o;Vonlanthen Alexandre;;10.0
1;1p;Fankhauser Erich;***;10.0
1;1q;Roch Vincent;*;10.0
1;1r;Ducry Antoine;;10.0
1;1s;Glarner Matthias;***;10.0
1;1t;Tenthorey Matthieu;;10.0
1;1u;Loup Alexandre (1997);;10.0
1;1v;Kramer Dorian (1999);;10.0
1;1w;Berset Cyril;;10.0
1;1x;Schafer Damien;;10.0
1;1y;Schöpfer Dio (1997);;10.0
1;1z;Buchs Julien (1999);;10.0
1;1z1;Mathis Marcel;***;10.0
1;1z2;Alpiger Nick;**;10.0
1;1z3;Portmann Fabio (1998);;10.0
1;2a;Erb Roger;**;9.75
1;2b;Liaudat Rudy;*;9.75
1;2c;Pürro Tobias (1997);;9.75
1;2d;Aladenise Jonathan;;9.75
1;2e;Burgy Matt (1999);;9.75
1;2f;Heiniger Vincent;*;9.75
1;2g;Siegenthaler Matthias;***;9.75
1;2h;Rappo Yann (1998);;9.75
1;2i;Borcard Johann;*;9.75
1;2j;Gassmann Simon;;9.75
1;2k;Minder Florian;;9.75
1;2l;Torche Bastian;;9.75
1;2m;Hayoz Quentin;;9.75
1;2n;Barras André;;9.75
1;2o;Egger Pierre (1999);;9.75
1;2p;Kropf Rolf;**;9.75
1;3a;Haenni Stéphane;**;9.0
1;3b;Riedo Fredy;;9.0
1;3c;Remy Guillaume;**;9.0
1;4a;Colò Kilian (1999);;8.75
1;4b;Schafer Claudio;*;8.75
1;4c;Lützelschwab Luc (1999);;8.75
1;4d;Vaucher Rémy (1999);;8.75
1;4e;Lerch Jimmy;*;8.75
1;4f;Zimmermann Mario;*;8.75
1;4g;Mosimann Vincent;*;8.75
1;4h;Dubey Gaël;;8.75
1;4i;Kramer Lario (1998);*;8.75
1;4j;Berset Julien;*;8.75
1;4k;Ambresin Cyril (1999);;8.75
1;4l;Berger Alan (1998);;8.75
1;4m;Gottofrey Luc (1997);;8.75
1;4n;Gauch Bastien;;8.75
1;4o;Hayoz Paul (1998);;8.75
1;4p;Haldi Sami;;8.75
1;4q;Jacquier Pascal;;8.75
1;5a;Egger Fabio (1999);;8.5
1;5b;Crettaz Olivier;;8.5
1;5c;Martin Jérémy (1998);;8.5
1;5d;Guisolan Marc;**;8.5
1;5e;Brodard Simon;**;8.5
